x,y
1878,3873
11626,4399
8100,8345
3713,2305
6848,9566
2665,5915
11276,1852
10259,1393
4585,1462
12175,2369
9517,1865
13545,3665
13245,5878
14090,8456
13560,12134
3570,9286
13094,10554
11847,5270
5633,12723
8840,8218
11609,4108
6717,2683
5379,5917
4079,1196
4176,4718
13408,4973
12866,1900
13520,2641
6147,5711
2746,3171
12323,2884
13183,3532
13958,5656
13957,9079
8796,9026
14120,6999
13804,12914
9266,11308
11710,10602
11346,5916
9794,1476
11720,1438
9580,7163
3230,7738
2734,6911
5033,4968
5332,5324
7553,5070
1899,1759
12406,2270
11682,1141
6618,1022
5044,5661
5395,5933
2989,4105
3477,4870
13292,3353
12034,3400
6374,6500
8980,9038
12640,7528
5628,12744
10023,13960
11561,1238
12126,5046
13452,6089
13807,10049
11346,12088
12820,3261
12699,2790
11337,4658
7987,5830
10382,8779
11635,6972
10742,9860
12868,2908
10731,1775
7540,8344
12072,2426
11175,1047
6278,2322
6623,2808
5978,5620
6537,4640
11922,1426
10290,2542
13532,4893
13985,11173
13324,5556
5202,11549
11011,10849
9350,9212
6024,1730
10640,896
9607,10019
10112,11030
11804,2721
2850,5975
8379,3399
9936,5228
6847,6551
3630,3233
13114,2962
10757,7279
5386,9088
6235,8403
10568,1754
8353,2614
3476,4034
2527,3383
2728,3306
10940,1519
13200,2330
9450,6148
11852,9232
6799,11531
9928,11210
9983,1603
13373,4857
4225,10009
7794,5372
9903,7392
7802,8123
11893,5028
4294,9941
13128,3148
11187,5645
13620,4523
11108,11394
13648,9707
9378,11502
13232,2340
13619,3268
10454,1599
9946,1180
5849,5760
9174,5574
5917,4933
14134,12036
12997,3390
13612,4077
13537,7270
10004,6358
6158,9136
5419,6126
10070,6796
9240,2571
7367,7964
11973,2044
8544,10012
5873,5502
12360,11597
10608,9005
12265,10633
13183,3259
13132,6742
7168,11662
5182,8662
9137,8439
1556,12026
6856,6432
12092,13667
12848,2028
9637,2618
1671,6129
12513,2202
12279,1673
5618,9191
6695,7101
9516,1238
8204,8279
12366,2575
11527,3659
4344,5221
9275,8740
1998,11890
2787,8300
4049,12545
6208,10773
6016,9131
13641,3031
13966,4260
4743,5176
2217,9468
665,3765
13675,4485
13778,7474
13505,8383
10996,3734
7991,8370
10231,10397
7747,5260
10226,7283
9574,5586
5336,5610
12368,7684
13311,4535
13726,5077
13539,3522
13472,4508
9758,3350
9520,10104
13265,3380
11656,11220
13185,4507
8268,5693
12360,1805
9133,7369
10752,8732
10669,11115
8975,9017
3301,13403
12886,13396
11252,1512
10164,10525
11981,8877
7420,11385
11920,2041
8088,8614
7980,7357
7762,7364
10194,9653
10123,5433
4651,4691
13512,6140
7481,7883
8103,7738
13816,3918
7736,1685
11893,13286
11809,1320
7052,9982
3753,12980
3500,7950
7019,6484
6262,1992
8988,5563
2495,2979
7248,13504
12232,9175
2562,1761
3876,3744
10908,1287
13458,2486
8606,5388
9582,5471
7116,4564
8664,8199
6104,9150
4997,8429
13296,3065
7742,8197
7108,7678
12547,10449
7606,1410
3163,10547
13593,3682
9649,2426
8782,1570
1120,10759
11562,1480
12531,1414
9816,5909
8712,6210
13242,6849
8220,13407
1716,2524
9042,1059
6739,3049
10116,5236
8266,1146
6662,6600
5515,5148
3073,2554
942,1668
13994,5017
12410,1417
11037,3775
6566,11363
13094,3224
13228,10261
8036,7711
4764,6518
12292,12701
12148,2762
12469,1620
6980,9360
6520,12589
11375,6470
11270,11618
6612,12799
11390,11943
8950,8243
7640,8647
13331,4063
8543,5674
7730,8559
7716,7859
3052,2801
4532,1702
6140,6381
6556,7148
3198,8176
5387,5396
983,7873
712,4349
2737,3191
9153,3719
4717,1440
11542,1376
12140,1497
12091,1735
6916,4948
6089,5586
9486,13943
13809,6651
4276,2456
11292,927
10725,10329
10402,2546
7876,7228
13420,3904
13762,4642
11592,1154
10888,1580
4356,3881
7976,1355
11420,3639
12342,2322
6042,5498
9325,5915
7670,7314
7826,7239
3174,9063
11779,3912
13102,4954
4936,5149
11381,6272
3560,3305
1757,1140
11700,1167
11304,1519
11590,3588
11120,974
10799,10213
7913,8396
9248,8603
6999,9302
1959,7542
13394,3835
4120,12134
11380,1220
7913,7479
12040,12022
3546,9066
13420,12855
13074,3925
8639,6623
8447,8744
11273,10962
8420,11534
14189,13410
13784,3370
2812,7736
2688,1327
12905,5101
8147,1414
9852,9056
2227,9512
8541,12482
9511,8754
11072,11386
9696,9810
6893,6538
3936,10542
9618,5446
6494,4568
3422,7772
9830,6475
12349,2796
8923,1132
12065,1592
12394,3214
3380,9044
11308,5993
7164,3604
7582,7674
12967,2212
6958,6946
13875,4170
13490,4373
13867,3311
4672,6644
5369,10340
11440,1625
3494,10648
11678,1374
11258,1222
5447,5767
1641,5573
6398,2561
6550,4827
8990,7240
4730,5264
13327,3840
12935,2903
10698,13880
12428,13343
13160,3980
5048,10734
5216,4728
13814,8548
7757,6549
10873,1105
12736,2510
10303,2322
6857,6988
8101,5229
7584,13677
5145,5172
4145,4111
4639,5436
4591,1698
6561,6645
3432,4175
4776,4835
10905,4986
11645,3066
13164,3094
9375,6342
4773,8348
7700,8563
11199,5665
6372,6252
10746,1311
13971,4712
8900,8798
2856,3696
8979,3482
5212,7580
12806,2420
13252,2405
12854,2668
10839,4645
13604,4022
11843,5313
8674,3869
9721,9822
7304,13439
11402,4540
12010,13854
13530,3034
11446,6725
13011,7175
9145,11279
8106,3460
4857,2993
8403,971
3302,3614
3918,9384
1625,2080
12836,2025
11964,3884
6621,7326
6792,7692
7578,7496
8388,8555
2439,9877
6879,4600
10230,985
7772,1630
9226,3334
5078,4671
4265,3344
987,4513
9603,1042
11068,1284
9976,1071
4214,7368
5622,5416
5342,6176
5477,4902
8952,8692
8641,9049
4915,8615
8914,9312
10845,7611
10444,11711
13334,3502
13915,3834
13216,6251
7724,7507
6060,11091
10278,9600
7834,9956
8282,10304
13785,3256
13194,3651
5548,6147
10115,1242
7440,7658
7376,4654
3533,9062
3620,1964
11129,1726
8683,5656
6057,6762
13546,12598
10641,11456
6559,9493
9841,6004
3528,1711
11765,1920
12342,7266
13216,11562
7578,7540
7771,7830
8695,4920
13515,4228
6576,10039
9910,871
13848,5036
11818,1761
2731,6410
11111,3408
3622,3264
4361,3857
4964,9423
4814,3889
3489,4937
2842,6177
10651,3213
10514,880
13219,2559
9589,1766
12662,2585
11513,1304
7483,5110
4808,8324
6570,6888
4984,5908
8122,3520
8568,4651
13540,2731
10535,1370
13909,3902
8312,6525
3552,7961
8038,4787
7595,13943
9726,5662
9956,8926
11875,7301
7537,7058
12058,12868
13194,11164
10435,7433
13407,6814
10715,10687
3821,13071
2824,12980
1323,11888
1635,11056
1288,10832
4965,9473
8647,3873
5518,6032
2575,3124
6535,7242
3585,4145
4647,5531
2520,2858
13096,2043
8291,10376
11295,4610
13051,13635
11998,3632
10783,7117
10622,1343
8530,8716
10347,4738
6895,1119
8877,13628
12084,3008
10497,1475
7593,3242
5078,3100
1617,7431
13326,3786
13381,3210
8083,1354
3282,2872
6049,6114
7017,4379
9936,9905
4736,9712
3161,5149
6440,8494
8648,8841
11340,4132
10909,10861
9530,2494
12918,5075
12563,4795
11439,5727
10613,1381
13526,9472
8702,8922
5841,8922
10060,8565
1567,7436
11054,10853
12426,10663
5224,4764
9011,5446
8435,8408
12008,3291
9486,9726
9608,4909
13499,10363
12941,12781
11905,1393
13262,9361
13259,4389
6776,2883
2238,12004
6912,7359
13163,3200
10735,1955
12968,2257
8870,8066
7144,6550
13401,2543
13681,7119
10307,9720
9496,9515
10226,5484
11198,1792
6930,1073
11298,7616
8213,5388
4888,9198
4346,7175
5450,8538
4717,3700
11075,1752
12652,1475
13537,2858
7339,7117
2270,1990
1967,3159
11883,2362
13867,3805
12753,3280
9637,4595
3937,9945
11406,1569
4026,2794
1388,791
12600,1650
9768,6286
9448,5584
8446,10333
8400,11886
12923,13046
10629,2969
8684,7772
13102,2514
9016,8812
12343,5060
8483,5144
13661,9696
11540,3611
9504,5518
12030,7311
12741,12954
10388,11038
13581,3597
11246,4410
12640,2867
