x,y
10061,957
10786,3344
8004,9711
11730,1256
13439,2368
11689,1334
12925,2752
13223,2162
13736,4630
12188,9122
12467,10404
13700,12683
12766,2862
9050,890
5127,5731
5159,5375
11753,2044
8293,8347
8064,6509
9684,3399
13941,3767
11480,1714
8283,8908
12206,2100
10503,1206
13164,3791
8924,9271
12888,2827
4443,3909
9569,2390
10823,1098
11154,1856
11362,10552
1631,5178
11759,2838
13299,4064
3438,7899
12226,10132
12502,14294
3559,6216
13472,4680
13991,6209
7707,1113
10166,828
4436,4411
2870,3370
10406,1471
13503,4805
12794,5015
6551,7014
10459,11826
6948,11513
7560,11754
9040,4139
6438,6040
10957,5488
14199,11176
7525,9891
9232,5744
10521,10606
3899,3363
6551,9177
8783,8082
7984,13634
10807,3275
7629,8089
12047,5221
11998,2070
8617,13119
9959,6629
6078,9318
13373,12051
10263,9676
7879,1221
7268,12273
1978,3307
11758,4092
12500,2132
12328,2959
11782,2188
11720,11134
11310,12066
10611,3312
8276,7067
11786,9222
13315,3751
6133,6026
11298,5843
5264,5418
13468,5890
3547,2659
12364,2441
12264,7345
13486,3710
13498,4708
8771,8036
8440,8995
10725,980
11726,1296
10337,890
11661,1577
7375,8022
13617,3320
13845,3197
10200,822
10775,1479
8583,9041
7868,8549
8463,8843
1972,2621
10919,3292
10711,1014
12361,1516
8104,8131
13157,11039
12898,3416
13231,3431
13898,4911
3415,8348
13564,4417
13991,4197
12890,2268
11578,5680
10410,5637
5898,7330
8702,6237
4707,3865
917,9143
4967,4959
11547,1268
11909,11734
6519,970
11851,2439
12822,3066
13730,3356
9047,9492
11793,1497
12221,1923
9533,9294
9782,6371
11556,1169
6285,6836
12725,2310
10514,1407
7075,7721
5090,5435
1098,11428
7539,4900
12864,3380
13343,14003
4550,9357
3615,4213
13209,4062
13797,8454
11586,11109
12833,10329
12651,12235
13471,3078
12160,11572
12538,12329
13314,6494
12753,1890
9532,2406
4924,5002
5847,4947
5860,5683
1674,3787
4427,4701
11342,1316
12883,1913
12167,1869
11565,1519
3960,4312
11798,2944
9024,3537
8652,7858
1361,12278
8320,12108
10004,8831
8064,10579
13891,4891
11192,1936
13465,2705
12620,1503
8787,875
9672,1282
4880,4597
13420,2771
6725,7778
4291,13651
9102,9502
12196,2736
11762,1413
11450,1103
13469,8727
13438,4282
4214,11536
7164,7300
5039,5713
13362,2653
12191,3052
10275,10665
11833,1588
6956,12535
1072,4003
8198,7394
11387,4476
7846,8129
13474,3197
11918,9653
12189,1311
4303,13517
3946,13581
2711,13246
3406,10144
5441,8527
6195,10272
3395,1029
4127,1020
8015,8673
11523,1078
1045,7125
12644,5347
1962,9617
872,8513
1697,6992
4676,12278
13421,2846
11481,1234
826,10290
13576,3961
8144,1227
14310,12337
5441,5420
9818,4045
8487,5252
11938,3763
10517,1231
8097,1031
5568,9041
12812,1701
9778,5201
14070,4992
13971,4746
8158,6171
4208,13646
12230,1554
12537,1706
11286,1196
11697,1516
12410,1923
11713,7368
8394,5109
8136,5424
11216,10990
2593,13600
12890,12570
12031,11901
8282,5597
5021,10407
1071,2558
4035,7866
13236,3472
5380,8719
13829,12750
3311,6739
12854,2897
6164,8924
12841,3184
9100,1003
3289,6379
11833,3320
9534,4146
10794,10930
13194,2389
9125,8398
10529,1479
6707,7115
6494,9508
13082,2421
11795,1981
6631,7328
11881,1435
10522,3003
13974,9527
12491,10497
13656,4736
13210,11330
12288,1299
3128,686
13646,4035
13964,4068
1710,7873
13045,2798
8117,2002
11444,1891
10758,1582
11430,6205
13323,2876
5389,4914
3321,4219
13306,2712
14091,5902
10909,1256
7288,7140
11744,1332
13163,2409
6679,8227
10569,12974
12176,2483
12592,2394
12451,2891
7836,11754
10545,4722
13052,10574
11980,1575
1055,10987
2709,7174
3577,3057
13594,3180
8271,8071
6604,11457
8413,875
12235,2371
13298,2677
10731,5009
10776,4916
11213,989
11183,1111
11296,1124
2205,2139
2463,2998
5744,8591
7564,10174
3147,10801
10636,5313
13114,3184
13477,2788
11634,2175
8645,7743
10595,11043
6704,4681
7144,4524
11132,3286
8714,5422
1247,6067
3270,2184
4658,3775
1591,1253
7174,6966
13352,2946
13187,8192
8251,10372
10659,10477
13298,4409
13457,3937
8045,8045
2740,5558
13456,4256
13200,6901
13858,8486
7579,7065
12629,11523
13783,8717
13544,6336
10017,9981
12864,1910
13237,2699
7814,9672
7916,1820
8069,1747
7008,1008
12242,1785
2585,2646
11756,1306
8598,7994
7604,7855
9439,3475
13338,4730
14035,4344
10940,7640
10245,9938
13126,4137
13812,7261
13220,7428
9992,9463
8758,13672
10847,909
12354,2108
14072,4008
11186,1511
10502,10077
12588,7578
12953,5378
12556,1676
4813,3844
8636,5104
7806,8352
6445,6082
6482,6520
3380,3740
1305,4833
13332,3649
11085,1227
10158,1019
11582,1048
7702,7748
6433,1054
11753,1298
4830,8136
1792,9915
8300,7916
7564,7912
13936,3979
13274,3590
12920,6980
8322,8588
5430,13918
14018,13363
12945,13894
10101,1052
11734,2253
13798,5545
10536,5012
7206,7129
7553,11632
2836,12425
6532,8373
10081,9645
5754,5644
4759,10146
12136,1648
12778,1653
8354,5286
6779,4436
10303,5042
8534,4722
9974,933
12241,2647
10182,10092
9147,8536
7838,11968
7244,11550
4226,4418
12390,1692
10340,1579
8314,6177
8870,8245
6558,6787
10169,13282
1824,12114
4238,13476
2261,12675
6891,13248
7985,7272
8039,6856
7899,13659
9240,13863
1293,11950
8469,8730
7116,7216
805,7690
8250,8850
782,913
6462,11493
13799,3718
13612,2925
9804,7360
13972,5106
6563,7161
11856,2124
10966,1088
12968,2238
10740,2699
12092,11472
