x,y
9660,3300
9830,3328
8642,13744
8418,13102
8347,11733
6187,10644
9067,11193
13135,5004
9906,13388
2709,5676
3060,11122
3538,8952
1917,12582
3091,11888
2071,11639
7372,12231
10389,11725
9054,1703
9380,1569
9362,1804
6799,6866
3682,6509
5576,1191
4706,11653
4375,7061
1893,9408
8096,1956
7049,9447
8767,8441
7743,6885
7927,1870
8169,7494
9954,6442
8334,7929
2728,6631
3506,8296
2622,12718
2534,13036
13730,3193
3630,13504
10375,13068
6304,13518
11964,11084
8741,7995
1811,11644
2588,12813
4912,13504
5444,5358
5379,5397
5475,5143
8159,13754
8884,10849
9551,10164
11061,3966
8153,8736
13529,5573
7845,6342
4158,786
5996,8440
5988,5854
5707,5971
7709,5722
6710,6454
6944,6539
802,7324
6169,6018
1910,1394
4591,1698
5255,9047
7578,7341
10476,864
12369,2856
13378,2853
13189,3010
12921,5100
2712,9888
11335,10874
8018,9788
3411,10428
9644,13350
11769,7651
11720,7194
5596,5831
2450,8630
5991,6709
10393,1400
6036,10058
10703,1899
5774,6581
13237,4514
5359,7745
14052,8700
9827,5312
9778,5304
12543,9524
11066,10642
9013,7449
1373,12676
7967,1045
7679,854
6100,5858
5012,5154
1536,5152
7717,8153
2644,896
8814,8984
8365,8849
10806,4830
7966,8082
7069,9032
5319,5860
4818,6167
5128,10662
7822,6662
7100,3156
5167,7904
13277,4096
2046,11856
972,10118
6896,6189
2362,584
7777,7397
7774,8233
1244,10320
727,1701
7953,7623
9570,6134
6246,7052
5887,5402
6312,6327
6353,4880
6150,4892
12536,2280
3391,9130
3405,8658
3618,3105
2238,2821
8917,9153
7686,7161
7417,7495
9633,9274
5484,5303
7977,8232
6998,6196
8156,5504
9282,5665
9039,9086
9887,9260
11659,3581
13496,3250
13220,7747
13820,8167
12295,7694
9349,6046
12168,11726
12844,13228
13741,13132
7400,11552
6428,11292
8184,8412
8203,7270
6001,6300
13014,7362
5939,10216
11775,3379
12577,1608
10438,5450
6997,7081
7721,5678
7962,8479
10245,8069
7106,8685
7951,7332
10972,9830
7175,4643
6031,6008
7983,7485
7099,7584
7825,7876
7586,7064
6159,6406
11544,10794
6063,12500
10967,5458
7512,7545
10217,6806
4270,4218
8580,8656
8829,8405
7911,8568
13856,3719
11845,3112
10168,10415
9789,7314
14077,8416
8448,6687
9791,9402
10876,2564
4705,4382
6139,6412
7283,6900
1381,11082
6105,1852
7231,9188
4238,4588
2441,8871
9574,9219
4724,9302
1933,1162
13091,3671
1610,12996
5212,5777
7569,2970
12975,2682
8723,4964
11701,1070
7602,6810
7612,8102
11772,1900
12872,1658
10966,10567
7214,7304
7749,7172
774,7838
7162,6723
8710,8645
4443,7041
7898,5160
6774,6749
11232,10161
4795,4652
11258,5372
3098,7698
12954,3408
9268,9044
9540,9072
4266,11504
13889,12869
7120,6940
7486,1296
6310,1066
3669,672
12664,2579
12851,2849
10377,5275
8264,8003
9950,9649
1237,7752
5544,5566
4227,4207
2555,12433
2694,6080
4002,11436
6017,5604
13960,11948
10014,10564
13580,7437
11468,1055
13644,3416
9209,1616
11016,5345
11195,4862
10259,5855
5718,8459
6189,6041
935,2409
1333,2792
6710,1468
5276,925
9549,5762
8455,5416
798,8180
5405,7552
13916,5029
1114,1274
7061,6527
6616,8044
10758,1956
8929,6306
6173,3491
3496,2803
5800,3888
6598,9165
6293,6940
6927,6429
7794,7924
6030,5731
13350,8030
7999,7770
7702,5808
9946,10053
8676,7489
8693,5427
7140,7021
6465,753
836,3886
3036,10910
13806,7396
6450,13823
5067,13302
8410,11578
8302,13395
7865,8655
10240,8446
10898,7814
7256,7849
6192,4903
7487,2329
7590,1156
7909,11943
6689,6579
10305,8870
8212,10365
13742,9460
8169,8067
7736,6424
6073,6716
5868,11186
6148,8202
7334,7696
13890,8454
3743,9623
7962,9646
2726,11413
12816,12934
9347,9023
7113,3579
9936,5464
8376,8460
3874,10472
5731,12996
8685,9921
7633,13590
7925,13956
10459,9766
12381,12787
2301,11925
5324,5324
6251,10969
13457,5646
9080,7309
10035,9364
1991,3539
3888,13528
8972,7778
13513,3254
9377,5674
9529,5585
10918,10992
6186,6852
3237,11579
