x,y
7268,6655
8202,7927
7847,7170
8362,7943
7086,7739
4484,3973
13565,4485
11217,6018
2541,6413
7859,5109
5104,5278
2508,3358
7046,8337
6124,6991
8198,8138
10826,4444
10860,962
6147,4102
8818,3419
3359,8603
13840,7982
5726,9479
10827,10085
9524,8767
8874,8842
8694,8210
9678,10304
9217,11198
10748,10825
7909,8362
10437,9798
11378,13920
11253,6137
4974,9241
13241,2619
10932,1707
6120,6234
6046,1800
7609,3252
5780,5464
5617,4945
2074,1350
13917,5627
13740,4330
5269,5350
9771,9784
6576,9504
11407,12933
8792,8586
8911,8279
8812,8863
8382,8560
8882,8884
8152,10182
11246,11501
7814,7632
8415,8222
7964,7826
7854,7704
8615,8447
13896,8364
10096,5374
6007,13505
13172,9103
8633,8318
12255,8164
5353,8572
7298,7868
7709,6647
9482,4631
8160,7568
5718,9149
5994,6089
3866,3453
6870,7296
9890,9832
13173,10530
5996,6195
5658,5421
7358,7608
9424,9273
11228,5038
13578,4433
6762,3172
6901,6801
12032,1771
8443,14138
6984,7655
8805,4223
6183,6412
6018,6974
7969,8126
4342,5201
10217,10233
11890,11002
4488,13519
4676,3646
7996,8421
8634,8438
8223,8526
3850,11148
12075,7162
10388,7887
13390,12141
12099,3444
13043,2664
8117,1672
1100,5847
4792,2827
985,1343
1540,11046
6908,6195
5936,5051
8628,7514
4818,8145
3708,4772
3253,4249
3835,2208
8163,7527
7686,5179
13062,11446
6902,7353
8871,8829
14029,4590
8251,8529
8270,8525
12151,12319
8896,10000
1700,10333
8066,8667
13889,7509
7015,7543
8719,8597
7896,7741
6736,6664
9040,4139
6015,5553
6438,6040
12935,7365
7378,6757
2226,8906
5619,5362
14199,11176
10602,5271
8031,8258
6318,7215
7935,6804
11753,11130
3697,13534
2056,13272
9588,7368
9461,9307
1481,5184
6598,7773
8812,9025
10297,13986
10920,3290
12164,1304
6000,6027
8451,5663
8792,5912
12394,9392
13835,10592
13442,4385
10619,2949
10707,7541
10872,13880
6304,6110
6075,6816
6609,6480
5520,7470
6146,6480
8100,7665
7514,7179
5608,6419
14100,5855
4862,6011
5438,5792
6194,10672
5184,9354
13237,9526
8258,8186
8130,7912
13366,5205
8895,8126
12656,5478
10202,9892
6895,8993
8278,7942
9212,1918
10133,7203
11364,8271
6594,6495
6687,1580
5145,5411
3073,7448
4470,9868
5685,5166
10993,9933
6608,7292
6658,2627
7992,5696
6066,6352
645,953
6211,6171
3103,7246
6278,1268
3593,2150
11490,3461
7985,8254
11770,1843
6810,7032
8711,9255
5212,9216
9265,9275
13506,6780
7366,7633
12254,10452
13384,14115
13385,3816
10100,6650
8775,992
6061,5999
11368,11770
14039,12285
12119,1493
13820,4186
8211,7563
13361,3466
7272,11537
13418,2742
10299,11051
11455,8097
11573,10854
11762,11093
11304,11241
13910,12162
6933,6366
5805,6600
5686,6188
5420,6056
13507,6692
4814,6905
8204,10291
5749,6002
8879,9248
11720,10501
13294,11756
5783,5915
6924,5608
4923,5951
2361,1838
7074,6142
3520,13258
12194,11024
11074,8654
9667,12017
8515,12982
11637,7853
10803,4727
6048,4426
4587,5212
11513,1994
10419,885
7228,1619
4761,2916
2617,5779
2646,6741
2512,4520
1938,3003
11465,1884
7188,13388
8589,10564
9355,13433
7867,11204
14181,10946
8755,8287
8692,8820
6133,6026
