x,y
7729,5620
6589,6640
11575,1093
3946,7332
6333,6959
6164,6082
910,2717
12170,2692
10841,1090
9389,5621
13417,7424
9966,1316
1835,3117
11312,1437
13079,2137
10765,1458
9859,1128
6457,1186
6979,3093
11796,9486
9975,4698
1048,10706
13538,9918
3430,8670
13564,10153
11482,13060
9342,13762
9980,6280
1346,1980
1387,3528
7019,7995
8933,9183
5434,13080
7591,12278
10765,10387
8141,8374
13499,13630
3148,13302
11717,7211
7317,7036
6562,7614
10186,9785
9184,9539
5549,5103
8487,1452
4794,7974
3930,6255
5479,3525
2435,1370
1448,3091
7822,866
8167,5948
13764,4812
12277,2401
13761,4644
6824,8174
3734,13169
8100,8205
8622,10168
13434,6932
3522,10867
8910,5635
11404,11176
8561,12691
10592,10860
13129,10653
7710,7114
7657,6782
8083,7719
6313,8296
7596,7698
12645,2536
12174,6496
12085,12910
12447,12645
14090,13512
9256,9508
7932,7708
7145,9298
6860,6592
5835,6184
6854,7214
7280,6135
7844,7641
8170,2264
7621,7217
5923,5565
6652,7249
2259,2869
2559,3044
2070,924
8798,8384
11509,6515
8953,8348
9632,10259
10156,9603
12641,10804
11368,12270
8124,8112
6341,6396
7385,7523
5898,5128
6833,7562
7337,8830
8265,5524
3961,11247
8655,9099
4841,6049
6461,7010
7016,7082
9478,9164
10066,9354
10420,10644
7145,7276
6053,5687
5905,5955
8208,7154
9977,8756
7794,7928
9206,5798
12884,2934
3855,10659
8157,10304
8680,7984
10354,7475
10379,10154
9784,10952
13855,3445
6697,7557
12629,2322
2159,2705
1523,3327
2173,2370
1626,12114
11270,1896
8824,4129
5155,7731
3782,3144
13410,3637
7884,7119
11164,12416
12150,7557
8796,8876
12047,10395
13079,13990
13145,13874
6846,9824
11415,6501
12578,5908
10637,10743
11200,11036
9720,9588
10385,10088
12921,12866
12878,13228
13967,4809
11832,1977
12476,2786
14015,8541
8546,10384
8389,10336
11516,6531
1666,10978
7703,7976
8592,1174
11155,10634
12884,13259
12012,11522
10363,10259
11017,10291
9435,9950
5758,5950
9222,8456
10322,5368
3596,4065
2252,8240
13241,9420
8102,7852
6867,9360
8462,7910
8573,6038
13735,13117
12928,12482
1212,11072
3214,7277
7780,7192
3392,6655
2482,9745
3174,9856
7826,7140
9937,5691
9980,6822
8394,8935
6718,7537
8384,8589
11430,6103
9315,9355
10049,9963
10996,11277
6934,13112
12781,13767
12299,13196
9334,6278
13406,11084
12595,12820
12666,1974
10051,9824
13745,5736
12280,6700
10480,5623
10595,13484
8495,11590
10017,13682
891,9279
4659,6616
5690,5754
5660,1122
12414,2888
10830,10330
8589,9078
4761,10130
7938,7692
13583,3435
13842,3949
9725,6180
12486,13162
6214,6468
14022,4463
3444,13474
1664,10186
8261,7733
7312,7862
6135,6393
5218,4753
6940,6260
5920,5980
6104,6377
8610,8375
9383,9082
5676,7384
8701,9631
3472,6106
9030,5836
5604,5673
2840,7937
7301,2808
7099,2601
6880,4280
3624,9224
3596,9125
6607,6363
10430,10434
11406,12636
12004,12174
13298,12808
13292,12872
7374,6800
7822,885
11126,4161
8710,8165
5353,6049
8087,6402
2391,1897
5838,5460
2431,3512
2676,6321
9352,9814
8494,7498
2355,7642
7278,3293
2556,6117
1598,8250
11554,3345
8462,6588
11937,9511
11951,9806
5683,5924
7184,6689
9112,5408
6169,5931
5809,5697
11804,4223
12115,11597
6323,6182
4662,10150
5302,7532
5018,7832
4893,9452
5827,9423
8580,10078
8746,9741
10389,10266
11300,11691
14063,14585
12921,12930
5163,6089
9153,8399
8494,8885
9008,8971
8745,8870
8905,9253
8653,8704
10120,8269
12037,11128
10786,11466
10568,11155
13110,10206
11395,9984
10882,11447
13704,12742
11744,12438
4782,5912
6039,5151
3300,3821
4724,7483
8386,8482
9368,8888
5961,10612
3095,13111
10756,4756
13931,8098
9890,5372
6409,10071
6126,4908
9245,11279
7603,5790
8588,1656
4935,5452
5152,5532
7769,8257
2695,7413
10441,1390
9548,1203
7856,4861
10433,13514
8282,10270
13476,9707
6944,7122
7871,7415
7945,8129
8015,7811
7980,7357
8227,8557
8292,8560
9154,9159
8936,8967
10440,5023
6562,4687
5755,5567
8754,8148
13512,6140
7251,2962
6748,6854
1726,2525
11135,1000
13478,3214
13805,5434
5691,13521
9349,8975
7070,7200
10889,2319
4509,7468
825,1431
6536,11307
13643,2903
9192,6036
3158,11726
7263,7904
6954,7269
7773,7210
1834,1377
6213,6235
8076,7591
11222,4565
4677,4127
7668,8133
8012,8060
7734,7244
4289,4000
8195,5547
9256,9074
1367,10006
1328,10694
1347,9853
8281,8480
4648,6905
5887,5389
5404,3388
5981,4302
3745,3186
1170,4919
6981,6827
6536,6626
5001,6077
3567,9743
8904,8924
8360,8390
10003,5502
7168,7493
11960,6918
7267,7389
6671,6370
11597,7968
13562,7916
13984,7881
4706,8062
3684,8255
9568,9676
9333,9281
8518,8810
8724,8825
8345,6134
11594,11318
6550,6893
6563,11309
6750,11386
13243,7470
6151,6046
6890,6529
4672,9306
6229,6050
10850,905
13253,3236
7161,1370
1191,7905
1398,10526
7534,3384
6238,6273
7727,7248
12376,2264
11930,2377
6663,7276
5760,5864
5833,6111
4644,10610
2738,11887
2980,11346
3332,4025
6234,3522
5051,4633
8062,7202
4184,4188
5942,3722
4730,3700
6115,6855
7333,7290
8555,8233
7128,7383
6470,6650
6992,6638
7280,6818
10583,11000
5902,5862
4577,4488
8290,8080
5181,10017
9576,9314
14181,10620
9322,4308
7970,10738
13209,12194
8140,7562
7663,7032
5254,7668
5879,6164
3369,13789
10945,12850
10264,868
10288,1394
3609,9680
1473,10567
7645,1025
12494,1780
7132,1037
1498,5728
13383,4434
13394,4359
7094,6590
6811,6635
8559,6008
6262,8200
5575,5768
4144,5064
4711,9981
3668,4245
4698,5279
1878,2823
6657,7092
9354,8927
854,10783
4091,9760
7462,6859
7228,6564
8658,4670
2458,9134
1132,9757
6583,8327
8685,5177
10018,6590
7371,9772
4053,4049
9878,1546
9749,1488
7897,10193
8630,5036
7924,7914
6568,8108
2667,11622
3350,680
13236,2586
12501,4960
13867,6126
11314,5866
10859,2031
11330,1126
7968,7823
