x,y
11368,7590
9025,11072
9989,9208
11121,11882
7059,4683
8454,8367
8662,6074
4163,12847
2948,3656
4462,7384
6584,9556
13690,4950
11662,7762
8457,10435
6200,6552
2124,3080
6728,4678
12763,1836
13062,4004
12992,3381
13941,3767
8471,8908
10888,11491
1432,10824
3260,13288
10826,11731
6955,3787
2976,12634
3898,10261
6280,5847
4430,11987
5014,10578
1753,7443
8664,10416
10161,9449
8158,10279
3817,14002
11786,10672
11073,11711
14130,10729
14064,14285
1611,11764
2228,12656
1957,12506
1568,12178
4874,9658
3081,12848
5568,13398
7014,13559
5968,13808
1141,7590
9959,1234
11372,1459
7856,1469
9774,6342
2758,3852
1306,4804
8426,6365
4201,2333
900,11612
1427,9899
6301,11159
10418,1694
2431,5245
4132,4685
1732,2055
1983,12200
2462,12474
12959,3297
12702,11568
6934,13112
12564,10424
11246,12328
2727,13056
3366,10760
1290,9888
6718,13638
1207,12124
3947,10066
7790,8050
10731,1561
10869,13565
8780,9026
4352,13649
2743,12215
4513,12401
846,10343
1961,12044
1240,10906
1375,12761
1823,9812
7583,5231
2481,6432
2766,762
3664,13588
4209,13622
7445,3829
3069,6651
11528,10790
8540,7898
3205,13487
3538,13204
3082,13305
768,5940
5149,8508
5275,6077
13599,4835
12044,9110
7364,7359
5958,5688
6660,4595
5049,7559
10065,10166
10770,10663
13794,4937
7364,7279
1566,8851
1563,8866
4386,4552
6013,5998
2994,7140
6299,10007
2482,2692
13211,11800
3152,12984
11314,1633
7004,7206
10680,983
6314,6402
6109,6650
1524,7024
1424,8242
2940,5302
4863,4135
6208,1632
3506,2759
874,11206
3477,11715
5942,10999
10001,7894
13872,8958
13252,4023
5289,9004
7051,6248
7664,11636
13423,5900
4780,4892
6658,6925
10756,10534
3554,13555
4785,13258
3817,10753
2935,12062
2969,12393
9322,13586
13466,12137
8810,9984
9437,9200
3245,11566
11061,5547
7797,7228
3008,3570
10283,10168
3277,7401
8596,2326
1613,2449
7984,5343
12761,12680
1186,10968
1772,11639
1785,12209
1169,11055
1450,7276
1611,7235
4194,12060
1136,7187
7831,10954
13872,5774
9907,9644
7590,6870
5025,13494
5974,12536
11195,12442
11414,12734
11781,1389
9931,833
12693,2176
12248,1387
13231,3136
5402,5959
10692,1353
10685,2168
5233,5369
1506,12114
1141,10952
1688,11982
4305,9900
1262,10626
1648,12000
6226,13762
1944,3251
6976,6998
4611,4891
5369,5512
5069,7813
3838,9316
1857,11665
5081,5268
4733,8066
7272,1368
1768,11295
2421,12583
7815,9971
4382,5079
4080,3975
7007,7485
1784,11949
2338,12276
2053,11774
9577,9907
11190,10708
12749,10983
2630,12699
