x,y
8864,8652
8302,8534
8029,7228
7742,11728
3711,13214
12681,7397
10228,10950
5054,6113
8606,6032
8371,8185
8001,6623
6098,6272
11763,6965
3280,3840
4011,7274
6294,9329
7347,7102
9238,7318
7116,13538
8855,8913
8734,8945
9604,1768
6911,12788
12370,7276
9943,6596
6677,6872
6845,942
7222,6994
6454,4487
2766,5575
9068,2134
1427,2028
7779,7311
2838,1332
8054,8339
11038,10608
8270,8596
6039,9357
7082,4203
4640,9644
1248,12555
4120,10228
7918,7294
6697,7557
6102,4287
1523,3327
2545,1485
7624,8416
3642,4863
5162,11587
10056,5180
8290,13378
3508,10727
10078,13939
13436,12431
11645,7219
11200,11036
7286,7034
7918,7491
8073,7446
10221,5610
6340,9824
13716,12935
6005,8530
9008,7311
7128,7032
8129,7925
4136,10309
6667,4818
8556,4548
7339,8584
10942,3619
10640,11811
10958,5424
4354,10097
8688,3786
7482,8620
6636,6989
5824,5808
6999,6948
3471,7833
6261,9218
11724,6653
10388,8752
11766,2200
4733,12532
6981,6189
9215,3767
4523,5357
9678,5587
4765,6113
7243,1119
8343,8179
7338,6094
10137,7054
6148,6508
8885,5939
12617,5155
8867,1668
6444,6219
6661,6528
8497,7822
8185,5606
3857,3830
7384,7444
3340,6568
5516,771
4545,3865
6182,3498
6829,6394
4107,10179
12258,1754
10985,1020
12230,1682
10117,2475
11709,1993
5598,6260
10513,7789
8917,9144
2613,3331
7819,7598
12007,12319
9135,8400
8466,7551
8071,8477
8420,8068
9382,6347
8912,8141
7968,7353
6267,9342
6260,10984
10292,8014
7508,13296
10154,8501
12983,12957
7599,7819
8703,8472
7121,7132
6811,6215
8670,8769
9151,8636
6903,4613
6672,4488
4589,4633
2038,2150
7149,7047
6116,6454
9967,8775
11222,4511
9479,7374
6776,7378
7912,13557
6840,7718
10842,3242
6190,6576
8503,7573
4230,6042
5867,8657
7357,12131
11393,12603
8491,7749
8881,4586
6523,6866
7603,5790
6674,6897
4935,5452
8229,7423
7769,8257
8101,6895
13732,8638
10038,9828
11125,7751
7069,6689
5673,8765
2189,9704
3666,10756
4221,4667
5377,5752
8122,6826
3668,2636
4841,13542
9485,9091
6831,6685
6300,6523
8638,8691
7293,7286
8196,7252
5073,3714
13640,5140
11224,5536
8665,9121
6553,1271
8709,8578
4897,8327
7258,2845
6331,6528
10148,5192
7640,4932
6730,8525
6506,9142
5442,9144
13028,12908
8185,7549
7490,8756
9582,10224
4409,2729
7568,7848
7503,7310
6600,6885
9587,2428
8327,8415
7992,8273
12714,1780
12001,3140
8569,5290
8920,7968
8431,8648
10087,9486
3824,3358
1059,9860
7704,5466
8633,13310
4199,9996
7999,6372
8428,7691
2684,3940
10766,865
8289,6140
10673,5141
4344,9987
3303,7722
6044,6293
4252,4050
8659,6572
7119,7483
8133,4789
9806,5235
10638,7448
13520,9711
1976,2032
8749,5441
6190,10445
8117,8073
7218,13846
13962,8498
13626,3092
10592,1752
3620,13620
12435,3217
3296,9068
7972,2358
13081,7777
4379,4995
7745,7166
7196,6937
7911,5149
7524,7172
3628,9334
4183,4383
8741,7995
9550,6358
8592,7876
7597,7375
7074,7029
7564,7347
9551,10164
11061,3966
11223,11992
7727,6990
11993,7692
11158,10665
13560,13812
6434,6768
8529,8404
1008,5344
3806,4447
11231,6484
6613,9433
7914,3308
11597,1874
10617,1718
13168,2247
5938,4057
6852,7138
7786,6576
6951,7556
4283,9184
13391,9357
7083,9879
5132,4622
3698,4166
11280,11903
4796,8105
4818,4497
10742,11575
6648,8210
1163,11356
910,10169
1224,11396
8385,10118
13688,6665
8411,7920
7268,7194
13602,2958
7236,8031
12815,7172
1956,9830
9769,9484
13303,12173
6826,1241
8011,7853
8969,6187
7649,8106
7803,9858
8460,8616
3494,11340
8462,6792
8708,5492
8593,8840
9811,3275
10092,12082
9530,9403
8782,8730
8864,8962
3981,3834
6203,6577
1012,4554
13594,3893
6439,6049
1729,8035
6044,1162
6586,6927
2998,3052
4200,3082
3049,1774
8651,8725
12807,1851
6650,4734
11530,4818
6771,7291
8382,2103
9350,5695
2888,3256
3949,4162
4167,4533
9425,3356
8484,1579
11031,8769
6184,6898
8443,7646
5887,6944
4276,9620
6912,6653
9930,6595
8775,7980
5886,5744
8569,8583
9090,8817
8630,5107
11916,10358
7694,7415
9305,10021
7069,7199
8121,7295
7201,7238
4806,8347
6469,6375
6204,4938
4133,9807
6335,1269
6035,5938
5888,4269
3343,8487
2828,4200
829,874
1252,10080
774,10256
3363,10775
1217,11691
7775,7594
6070,9004
9046,8870
10272,10885
9198,6034
8078,8139
10269,4605
12370,11319
9612,5584
7032,6750
6512,8149
5853,5032
13212,3139
11901,2693
9842,805
13123,5201
13284,11029
12348,11915
8195,8105
7765,7560
6246,7268
8965,8857
13001,7124
8276,8200
11313,8559
10766,12990
6184,6530
7671,7620
10600,10225
10822,11974
12454,13626
7057,7355
8246,7967
8300,8512
8876,8675
11367,7943
6876,9238
4886,10008
13575,12585
8153,13641
9025,8858
9580,11250
10753,11958
8288,8596
10470,1390
11788,9444
2847,9570
12587,11629
8322,8321
9185,8433
8607,8580
10588,2654
2867,7665
6729,4748
9997,6449
9297,8679
7121,6403
10350,10708
6362,9482
10800,3672
10629,10227
10465,9917
7042,13198
6188,6042
4542,965
7623,8073
11326,8532
7116,6697
8245,8003
13830,7411
5975,6292
7360,6829
6987,8240
1654,4729
2087,1660
7072,6852
8383,8748
8503,6728
9704,9336
6211,6565
6325,6987
6757,6456
5857,6244
8663,8940
9607,5677
4949,8969
6704,6791
6980,7043
7864,5413
13393,7161
11183,4634
12518,7292
6784,7238
10914,11597
6620,6680
4678,13629
9163,9486
12496,3127
1537,8687
8965,4305
9691,9474
2409,4651
5921,6246
8134,5209
12912,2375
6172,7256
819,7777
8150,8072
5828,5904
1106,6464
5133,5617
923,5073
5778,3793
1639,4890
4089,10024
8205,7982
12099,3138
9056,3772
6078,2049
8950,9100
5074,2416
3430,4144
2708,5990
8271,8071
6604,11457
10045,1308
5433,5924
11480,6476
8177,6340
7941,6745
6289,13589
7039,7483
8228,13280
1141,5441
13813,7376
6431,7193
8933,6446
8260,8621
9306,8757
7676,831
11400,6405
10954,3621
4029,2996
3252,2005
1167,9795
6126,6492
6069,6674
5434,5966
1474,4514
1351,1049
7591,7769
12600,5276
12885,2026
6468,7157
3674,10216
5385,5307
9257,1771
4138,1666
6358,8814
10638,2774
3009,5128
3544,10189
4723,5393
3716,4952
2656,1190
8775,6671
4360,4864
3874,4408
2857,2540
808,10232
10182,9550
3678,10871
6501,7216
6696,7242
7508,8024
4715,5116
4648,7850
10764,13664
10092,13849
6945,7397
6280,6146
1958,3504
7270,8993
4078,6114
4691,4471
11399,8524
820,1953
6116,6566
8270,8102
13762,4822
6781,8496
9333,9901
4368,9665
4100,7365
9648,9355
9642,10246
2495,13596
7853,10612
10987,4287
1542,11664
11774,6812
7054,13980
11012,1010
2664,6780
8401,7548
7497,7181
7023,6510
13024,2658
935,10900
12518,1444
6516,9825
7819,8273
8492,7608
10022,5060
6062,10387
4724,4832
8534,6815
8221,10106
2986,1502
4548,13899
6674,9442
6821,7083
7427,7247
6652,6321
690,2452
7650,2550
7067,3851
1063,11149
13668,3369
2849,13553
9906,13998
5596,14110
8380,8712
11503,5839
8581,9787
9909,6022
8494,13065
6552,9628
5929,5459
6232,7118
7071,7732
10183,6814
8150,7025
7062,7047
6786,7008
7612,8898
9009,9605
7834,7935
10093,6343
8556,5111
12189,13314
11675,11395
11392,12836
1383,11330
3894,13897
13425,2635
8789,7913
7173,8770
12832,3327
5151,8642
8165,7803
8249,6156
5814,8614
13469,2745
12794,1929
13129,3450
13309,4035
13802,7158
10055,10909
8823,9744
4679,9499
13348,13590
8633,8974
2551,13521
7106,6980
10362,2756
6971,7242
6931,1645
2527,10016
6522,4799
1065,1644
2844,2058
8118,8371
11467,6035
8893,8890
7082,13597
6583,9730
11447,11292
8618,13554
13252,12561
7753,7514
7699,8024
8241,8367
6666,7152
6487,6228
7424,7073
5671,6501
8653,8520
6135,6376
7865,7494
4217,5963
2624,11551
817,10112
966,6392
1175,6016
7003,7175
11224,5004
4549,14057
8808,8373
7711,3359
11435,3211
9872,3220
11031,4319
10170,1544
5434,13295
6222,4236
7438,7431
7579,7019
10112,5211
9038,9097
13521,9719
10554,9860
9691,12745
10176,9861
13982,13640
8119,8160
4446,13404
8827,8604
13559,7976
7865,5265
7477,7732
9449,5744
6206,6341
6902,6945
10716,1104
6712,6650
6614,7380
7542,6983
6410,6334
2992,11745
7861,8029
5300,6084
7206,8146
6864,6519
9932,8818
7850,7341
6462,6426
10071,8043
5741,6524
3026,7542
4739,8185
1653,12037
10091,2570
6686,6255
10919,11349
6131,6177
5706,5772
8337,6314
7792,7344
9050,8348
9068,9004
8255,8110
8220,8568
11558,6852
3526,9767
12303,6543
11790,2972
4231,13431
8025,12249
14062,10988
13291,13811
9179,8713
4802,1192
1215,12314
2333,12662
2275,13556
8518,8293
7056,7016
7685,7903
8787,13245
1681,9916
7364,7876
2688,5580
4834,6496
868,8311
2781,1462
7957,8000
6946,7127
2125,12107
8753,7961
10107,10949
5366,5846
14143,11399
8425,11696
773,5776
8379,8364
5599,12406
9946,8022
7399,7596
6276,6084
8893,5691
6049,6871
8596,3926
5675,5504
4211,4570
2346,4378
3492,4742
3269,3435
1768,2069
6817,7058
8235,7498
5522,12491
4072,9543
