x,y
7616,6052
4516,11825
7374,13352
12325,7435
5657,13429
7045,7094
6783,6241
8331,6830
6270,10042
10598,3006
7857,7811
7024,6699
3954,13712
6339,13232
1268,11105
1239,11405
10314,10714
9201,9188
11068,10208
12503,10559
8387,8838
11453,6258
9324,13475
4569,10256
13855,12801
9571,875
12011,7234
12752,7188
12615,12715
9074,6313
7249,6970
9832,5422
7902,814
7411,801
6676,2633
6694,4708
2636,6799
8881,9889
7529,7459
4250,11701
7691,7828
9112,8838
10164,9809
7493,7427
5290,8614
3790,3662
8118,8479
4853,4583
3169,4232
2720,3804
13355,11088
13363,11044
5887,5262
2645,2386
1648,2020
13958,4219
8324,7031
6357,12767
5715,5938
7537,5590
8833,8722
8567,8578
8360,7920
7371,7684
8963,7680
10657,884
3801,4281
10372,1131
6047,6196
7070,7442
1087,10317
1407,7577
7052,5361
8769,3876
3912,992
7043,3729
4915,8554
1359,6624
2174,9600
3784,5842
6033,6776
5883,6133
7583,2323
4629,12484
6844,11396
3480,10249
9270,5821
13009,11616
4984,8806
9580,13509
4808,8176
6745,7897
9982,9696
12536,12572
13784,6067
11419,11216
12622,11448
13346,12250
5825,10450
9089,9270
4687,9343
3059,12096
11492,6354
11911,2147
8848,5734
6883,6771
5196,7891
3120,11177
6072,8560
7462,4918
8432,4943
5659,6460
5778,6106
10549,10984
9572,5358
7538,8360
5871,8394
5842,5920
5288,5259
5854,6692
8977,9039
9844,7019
8004,7992
9542,9764
11393,6771
14062,8505
1149,11244
3989,12477
1420,6976
1550,7205
6602,6477
5921,5127
4685,6967
9445,7038
6806,7392
8432,7940
6752,9734
5363,10311
6659,9486
14105,4818
2058,12301
8413,1431
9193,1230
6837,7373
11396,3650
11728,3828
7119,6310
4364,11888
5174,11458
5444,10752
735,9124
11422,13866
5967,5569
11385,1637
9752,1080
6319,8709
4212,4282
3871,12525
8670,5757
6808,4845
4738,5909
4287,3745
4282,4488
9532,6162
8882,5978
7575,3298
4559,13508
4664,13858
11473,1166
9199,3722
4935,5594
6340,4987
5371,4973
8486,5395
4429,1086
6707,6378
4752,9691
2568,2708
11532,6962
5170,1139
7015,1167
12052,1538
7324,6671
9115,9518
8996,6024
11264,11480
11144,12089
11495,10688
9063,11392
1943,2195
4594,10270
9973,8987
10236,7653
10404,8954
12208,13733
6559,6990
5584,7454
4209,9640
7596,7950
8381,8791
7812,10536
7835,10636
1570,8291
6831,4376
4055,4696
945,6264
1692,3741
7763,8231
6608,6729
1415,12488
7056,6968
10255,8280
10081,8359
13814,8355
7524,7594
7968,13580
9889,6083
12513,11600
9859,6045
7763,8488
7236,10888
4952,5475
5133,9271
4517,5152
11797,2164
9232,5588
9872,7317
7469,5997
4732,7566
13193,7476
8265,8749
7722,6630
7015,8048
4063,9833
12072,12726
13469,12154
4772,7416
6691,7901
2470,9749
4734,7342
4724,6887
3836,4105
9879,6467
3382,3686
8900,5932
7901,10610
5324,9203
8454,7834
3510,12935
4997,13948
8144,8672
6968,4791
6435,4809
7000,7141
7876,7744
10024,5178
10392,4942
6452,10066
6169,4645
4559,3918
8410,7933
8236,8264
7344,7167
5989,11100
9857,9796
9574,10196
8025,5796
6298,6192
7947,1802
6016,5886
6953,9785
9570,5438
7091,4880
6403,4815
5949,9274
5352,8776
2321,12306
8830,13778
8918,11329
7122,8886
9086,5432
4638,4244
2855,3576
4140,2667
5701,6010
9788,1061
5895,6220
10832,1434
3111,3625
10311,1291
10854,1321
6768,4841
11828,3288
4816,5326
8568,6668
1242,6289
10364,1368
6486,6337
4697,7585
10004,5680
8900,5755
5484,5825
12000,7208
13860,8742
7246,11513
4339,4865
8409,7693
12599,5706
12007,11088
6223,10376
8631,12826
13868,8958
6734,6833
13741,3841
12065,2109
9029,2443
5688,6461
12370,2821
8153,7494
3361,13932
7304,7536
7490,3169
8880,2228
8337,6080
7228,7136
6275,6218
11148,5324
13503,9224
10370,11875
7795,6928
12168,3161
14007,4420
8502,1616
939,2933
12542,5270
12534,1657
9886,9621
10012,7748
13206,2408
8703,8937
8758,6329
1388,7839
8302,3586
9631,3359
1305,4205
5541,5086
8222,7870
5070,10251
7524,13568
11162,1531
2591,9876
824,10303
3048,12871
13859,4988
9253,13460
7340,7436
4593,5154
8290,7596
8250,7992
8011,4856
7008,1266
8186,2209
5848,9116
4000,3436
4338,4154
2987,2127
3210,3728
5502,9302
10719,2249
9097,9208
9341,8727
3515,3628
7768,7884
9883,9134
9338,9212
9011,8773
7536,7100
7977,12064
4399,9549
9590,5466
6926,6291
8120,8472
7586,7794
8611,11522
9387,9447
4404,11837
8607,8883
11442,5177
7670,7918
7879,11009
3637,9103
2665,6452
5428,5266
5326,4947
4137,2313
5395,1113
4790,1178
3478,9073
8610,8662
1244,5787
11442,3253
13552,3794
6069,1991
2628,2760
5045,5053
1795,3040
2333,2316
11782,1260
11420,1836
11701,1709
13120,2231
7248,7368
7202,6648
7325,6393
7337,2564
10252,5066
7737,5442
3958,3582
6382,6808
5901,6161
6964,6659
6270,6167
9127,3791
9184,6027
4602,10166
997,1964
3688,9070
5472,9426
9134,9912
6362,6962
7148,7122
8394,7550
13960,12830
12754,13892
10636,3271
10575,1571
9556,4328
10070,5400
8008,3294
9727,7367
7141,8956
7028,8767
9810,13622
7899,7887
7291,7195
1299,7427
4107,13580
10702,10302
11908,11265
8862,5633
11651,12764
11476,13290
6906,6465
6492,897
4532,2286
4367,2879
5305,5052
2505,5477
13976,5534
12948,12980
763,9741
9610,1742
10674,1784
3159,7660
6070,9004
9700,10234
11875,11428
13638,12850
7956,7657
11477,6385
12468,2979
10261,4813
9880,9432
7889,9852
8866,5749
13803,4100
9146,1050
13532,7506
13446,11525
9186,9177
10907,11174
12287,7958
5892,5938
8455,8686
11199,4577
13215,7980
13292,11796
8961,8808
8495,8194
12699,12802
3853,13727
7281,9060
9539,10100
10049,11006
13978,13957
7020,7518
9712,4010
10589,10272
2188,13422
7866,11073
7896,10607
10319,2858
12092,2820
4420,14034
14022,5564
7884,7255
8842,8986
12342,1392
11341,1482
11817,1570
11078,10902
10620,10954
11785,9486
4239,9730
9302,3448
6816,6796
13933,6561
7611,3776
2484,7311
4946,3068
4945,5305
9555,5420
8700,9830
10643,10299
7696,7738
10244,8242
11020,10716
7645,13475
6623,6245
7816,7969
8567,8724
4424,11606
7875,11826
12269,6390
7044,7412
6321,8100
13529,7752
13694,9180
13982,7477
8712,8860
9054,8870
12908,12252
11904,11519
4681,4891
5676,6103
12102,8536
12022,2306
11812,1088
8180,5278
11058,6162
5546,11378
7673,3518
4831,5645
7124,4022
13743,8729
11603,4472
14028,7425
10753,10571
7179,6801
8772,8876
9346,9346
12123,5228
10109,5021
13870,6851
12221,7250
13276,10146
13228,9554
13482,9592
5587,6174
809,10557
7321,7806
5498,7547
4616,4877
13290,3958
8285,8156
4584,4183
5136,5022
1620,11039
7635,1352
2709,1874
7533,7113
8670,3580
12479,1991
11452,4084
12325,4937
11918,2052
13244,2891
6359,5065
8987,6183
6240,8654
3563,7282
788,6399
6008,5919
6916,6656
9814,3210
12276,2625
6921,5064
6088,3634
6069,6083
5534,5923
4465,2675
5721,12847
2617,1919
1445,2308
8161,7788
6108,6469
7248,7023
6365,1205
9075,13885
8767,5632
4972,9142
11456,6378
6405,6332
6075,9429
3541,10706
12576,2540
6006,5608
3122,3886
5919,3991
4866,4890
8649,8734
9080,8397
3857,10624
3867,10183
11941,10734
10546,13315
8066,6474
10064,8442
4869,13259
1601,4229
9367,9072
5676,6040
5075,5333
4398,4654
5659,800
6559,1284
6546,788
10363,2770
6772,6626
2517,2913
2692,3904
11337,1278
7361,912
1828,12736
7974,6862
9380,3361
12936,2088
7996,7015
3920,10578
10931,2210
10713,1984
8947,5612
6117,4710
13267,2868
11290,1595
8792,6668
9050,1368
13285,3025
7373,7272
4126,4541
4091,4460
3961,3550
2776,3824
2244,2816
2250,2689
6898,8222
8348,7594
7762,7400
5079,10650
5191,10174
7168,7238
7045,9953
8100,7504
2028,11960
14120,4889
7259,7701
6710,7277
6334,11354
7001,7994
6227,5225
1301,7535
8599,8883
8059,8325
6538,1012
10911,3334
2588,5674
1708,6199
7414,4702
2610,1436
6530,8714
6368,6224
2822,9978
1536,10287
13508,6000
6027,9471
7636,6811
14005,5626
9563,9594
11211,1283
7473,7235
10046,8024
9687,10242
7907,8093
12080,7363
3744,13494
3143,13334
1871,13004
9300,9032
11528,7226
8796,8972
13068,4534
14119,7135
13204,5211
9636,10054
872,10795
8008,861
9042,8321
10654,2741
902,11182
11412,1609
13565,3541
9451,7350
8198,8686
6597,9795
6981,4210
3815,7194
783,10408
8828,13614
6900,7705
6734,4106
3459,8357
7859,3999
2608,4206
11175,1365
8896,1168
8192,8115
4770,5046
1125,11227
1920,12832
3420,13229
13212,4915
7899,7792
10072,10416
6396,11219
11442,10794
8615,8143
7937,6832
6399,6006
6241,7239
9594,6024
6995,7176
6260,7226
8271,7024
4846,4421
4974,5450
8107,4897
7412,8481
6340,5914
5659,5650
8750,5436
4084,4542
3649,4065
2414,3348
2594,2424
7608,7400
2950,8358
4044,4835
8265,8600
9747,4552
3748,1248
8716,8673
5984,6709
8738,11096
3872,9805
13467,5147
13254,2559
9439,9327
10308,7518
9962,9621
11253,8734
13130,12462
6909,7498
2965,7994
6307,8066
4839,8275
12530,2289
3529,13976
8236,7683
10797,3441
13581,4462
6979,4899
919,2868
4660,2226
10940,5389
10227,8833
8496,13359
8412,4791
7286,7526
7932,8200
8378,6287
