x,y
1716,11640
4354,9846
10678,1660
11640,1005
10797,2001
8190,7526
10056,3208
2975,13327
9161,8586
9053,8335
9552,5837
1926,12884
1056,12236
11414,1248
10825,3285
5896,7008
12800,5478
4434,3904
5973,9113
4795,8232
10066,6866
12532,1763
8916,9177
11799,2534
7330,6898
3053,8063
5160,5224
11594,6884
4579,11584
10062,7656
2557,7020
9468,8747
7681,5031
12698,2322
5983,6163
2732,13790
7992,1364
2175,11816
1234,10830
8911,8279
3246,13409
3224,11771
7400,11769
11969,13286
10475,13432
4210,14018
10334,1496
13943,5870
8046,8273
4956,10550
6988,9307
7813,7256
8410,7990
1229,11472
6256,10992
1178,11978
6603,13301
4948,11676
8351,8039
12193,12348
11639,1024
12019,2180
10418,861
10172,2327
9724,867
10371,852
10999,6982
10342,2320
5110,5334
5158,5193
8404,8092
10534,3108
6306,6644
10080,5734
3184,13228
1266,11147
4545,13871
6520,13949
8862,8104
8608,3512
3112,7393
12033,2564
7540,6097
11015,6805
10701,942
11760,1506
12823,1732
10443,2907
10087,2433
1696,2086
853,10529
5612,1687
13208,11686
2512,13396
1051,11249
3156,12745
2279,11895
3165,9101
8714,9080
9014,1174
6757,6693
8084,5304
6436,8312
3088,1594
13852,4013
9429,973
7478,7276
7532,7390
6701,8602
8605,4586
11960,3901
13279,3696
13692,6642
11533,7195
6981,11311
10422,5279
13528,7276
1190,10249
9432,2458
2814,3608
13836,4001
12138,2054
10929,4652
5754,5346
8605,6480
8294,6438
5304,9086
902,10270
1130,9571
3737,10254
5384,9333
9763,5665
9092,2544
5817,5433
6016,6281
6394,6066
3699,9664
3386,10282
2066,1456
8586,8175
6884,6863
5852,5852
6126,10272
7746,7423
2234,11718
3532,11672
4780,7784
5785,7495
1792,11286
3870,13781
9515,10143
10188,5483
3748,11072
6712,13314
8169,7856
1399,7180
6916,4948
9181,6135
8688,11030
10865,13981
1144,10941
7578,6066
8602,10589
7342,13886
9566,6230
5498,10346
11157,11699
4776,14065
4035,10075
7467,8645
8779,8536
7052,5403
9100,7590
12901,12012
8486,8191
8639,6623
8696,8478
1615,10183
1643,12973
4634,13646
8127,8283
7490,8756
9582,10224
1096,10684
7059,8921
10999,1122
3704,13964
7521,7807
8560,9998
12716,2358
3767,10723
3725,11318
5842,5552
9757,4165
4844,4729
1644,12207
3941,13299
7738,13524
12269,2259
10336,8410
10098,8608
13261,7088
13022,6922
12197,6731
1192,10258
1378,11882
12310,7238
12480,5047
6176,6412
8618,8079
4792,11796
4848,12207
5587,12904
7091,6579
10162,10810
8068,10732
8768,8643
4490,4522
13214,3273
7036,6132
10794,4648
9971,2652
7165,4646
7074,5608
9991,9290
11235,11065
9898,9233
9712,10329
12133,2073
716,5890
13519,3660
4352,12175
8321,5423
7802,10177
9392,1742
9259,1244
6903,7217
7836,5080
11335,3176
11086,4504
7593,5045
7846,4970
3447,13707
6286,12228
13481,3366
10559,872
