x,y
11946,2138
13123,3709
13429,4011
12278,2339
11170,4585
9326,6359
4354,9846
13227,10798
13210,12608
12385,1960
13441,3785
7528,8757
7017,13684
8837,8131
9473,11337
10158,5938
9718,9126
12069,8998
12754,12761
13954,14068
11749,1574
13879,5029
12820,2242
9984,9019
8448,7519
6532,9080
10426,11442
10559,859
11173,1028
5594,1352
13176,3812
13311,4674
13188,4644
9963,7308
13763,13230
10747,12562
13627,4749
12707,2844
11789,1475
8162,1368
8209,1092
7688,1597
8321,1111
7479,2420
4723,4793
6588,8143
9220,8577
5683,5998
14023,7107
11864,5514
12323,2343
11255,6037
8341,7811
7197,9817
13438,5855
11934,7248
9908,9254
4950,8645
10753,12818
12842,12436
11069,5626
11990,2106
13434,6932
5648,13602
9413,5579
7271,10152
13758,9355
10592,10860
13768,6960
13742,10829
13129,10653
11450,13100
13532,4326
13236,3534
11721,1542
8305,1158
7143,6904
9357,9147
13667,4917
13903,5715
13178,8295
12556,9613
12641,10804
13352,3217
13329,2264
10576,2727
13327,4468
12012,3289
5365,5477
9576,1009
9546,1661
11887,2962
11690,1772
13910,7649
9154,8959
10955,10168
9262,11151
13470,3143
11452,4408
13595,4321
9909,1480
10458,2291
5546,5052
5393,5004
10768,1348
7150,4832
11317,1072
10470,1491
12256,1999
8421,902
6025,977
8701,8474
5535,8588
7086,7124
3564,8610
8612,4996
13214,4176
13358,4110
13306,4596
12162,8201
13332,3984
12920,10273
10118,7104
8248,3543
12924,11837
12481,13256
14095,4514
11641,4248
14032,4647
11814,2358
10474,3094
13528,6571
13200,10812
10307,4794
13033,2344
8666,776
7732,8030
4246,9146
13552,8520
13493,10129
5539,5806
12418,2234
10031,6765
11595,1953
10698,1744
7451,3565
5292,5280
3144,9494
2252,8240
4559,4483
3099,10915
10876,1076
11261,1496
13063,5072
10128,1528
7152,3456
6134,4228
6733,7270
6324,4464
4672,3974
6233,5955
7577,7440
11512,3230
11319,1816
4458,4954
1890,2206
5249,8526
13307,4332
11648,1478
11044,2001
11282,1588
11124,1904
10969,1003
9276,1223
8026,7535
6594,6639
834,1785
13334,3901
12181,1255
12904,3330
7261,8768
9190,8971
8022,8407
9979,9305
5625,7597
13873,13181
13679,4532
12797,2421
12392,2956
6418,7066
6096,8871
9902,2501
12974,2362
11008,1071
7768,4823
12511,5118
9902,4681
2058,11996
4755,5033
1063,1550
11783,2512
13368,2952
12344,1766
7411,7662
14034,7579
8725,8156
9068,9781
9988,9128
14017,11009
12293,2426
4857,5901
11016,3790
2073,2403
13171,2217
13313,2408
9654,942
13479,2417
7716,5390
5559,6229
10794,10653
6092,6500
9935,1158
6474,8351
8674,5603
12584,2007
13490,2763
3484,13768
11121,5033
14027,4933
13288,4982
13521,2852
4317,4515
1032,6476
2713,8107
9072,2535
9908,4918
7844,5842
2232,2777
10111,4318
5619,6008
9284,7244
12066,7103
13522,3806
12962,2265
12791,1880
13267,3555
6854,6821
10456,5600
4890,5934
13977,4394
13647,9811
3474,8597
11831,4238
12822,1658
12587,1579
9533,2477
5133,9271
13281,2931
12323,1544
13686,3206
6039,5151
4087,4486
8903,9347
1601,5496
4770,5535
11222,4480
5008,1090
3119,7706
10763,989
10248,1426
10766,5312
8276,964
7658,1566
8722,5409
9220,5582
2835,3226
5947,5965
10166,4668
12967,3548
11360,3975
1298,5400
3121,7598
4521,7546
13526,4102
12093,1863
13382,4800
8081,1219
11770,1883
10950,2167
10395,5615
6062,7079
8822,10724
12758,2684
12611,11332
7089,6218
13583,6825
5918,5584
1630,11420
11537,1902
13392,3103
5226,2724
13047,3268
12088,2167
4148,13518
10863,3558
5887,5389
4082,4872
986,5614
13152,3253
13222,2197
8252,6057
4837,3759
1765,11992
1092,6248
11974,7554
12279,2603
8345,6534
11262,1838
11347,1323
10466,3114
5887,7153
4805,5297
3054,4952
4274,664
5039,2533
6711,11719
8656,3360
2734,4011
7543,2889
9190,1806
2560,2426
694,1240
13768,4798
12685,1992
13306,3412
13324,4826
13531,4156
9491,9672
10457,10142
9056,9274
8046,8132
12537,11445
7213,8711
6212,6995
8664,9167
10569,14294
8438,6113
5482,11369
7788,12014
7821,11077
11182,1765
13485,7340
9183,1324
5686,6328
7203,2544
4136,1421
7494,7274
6715,6191
2776,2500
11114,1735
9636,10262
14042,7185
13484,3808
9964,9114
8978,7546
12917,10736
8620,8402
8470,8448
7421,7429
7044,6304
8021,8533
6195,8333
3899,8080
6433,12338
10850,10603
9190,1955
10577,10739
5371,5944
6114,5048
6661,11368
11986,12023
3500,7791
2734,1897
10453,5595
4983,3199
3523,8904
7660,6601
13661,3482
11676,1999
