x,y
11054,4138
3674,10048
12810,13101
12672,12604
11176,1492
6197,9982
6464,6433
13431,4106
11682,2032
12175,2369
13560,3648
13545,3665
10983,4107
13245,5878
14090,8456
12880,11228
14131,10799
13276,10743
13560,12134
8789,8590
3397,7865
10430,12439
3570,9286
5332,13070
12896,13050
12366,12598
9443,8867
11927,2200
10072,808
7570,6763
6968,1258
7840,1683
8027,2281
6622,6565
5694,8691
6712,8252
14093,5686
13662,5018
8629,8273
7700,7487
11974,7248
12244,10187
10933,10962
13408,3809
12998,3074
14048,4902
9980,4617
13218,7593
10096,5374
13364,9886
12255,8164
13247,12417
9813,802
13476,3570
9992,5360
14070,5105
2959,12305
7734,13247
6902,6280
12876,3228
10121,1567
5126,5078
9278,2208
7289,1195
9426,1817
631,4258
13214,5991
9980,5885
13222,5703
13986,5974
6488,7847
7638,5093
10385,888
10615,5128
10200,8107
12734,2792
13568,4758
3614,9012
6974,9128
10508,9962
7043,9841
10602,13155
11020,1803
6856,4624
6764,4450
7850,4822
13911,4077
11375,6146
5072,8454
9405,9639
13281,9673
13288,9539
11985,12500
10553,1775
6988,1252
12142,2156
10828,1154
10581,1197
12966,3060
12970,1830
10778,1506
12076,3558
12556,1873
1380,3637
2208,2531
2709,4895
4120,4196
3216,3557
2056,2674
2043,2369
12600,2515
8851,1358
10340,2752
9348,5742
10248,5783
12935,7365
11624,6500
4916,10460
2226,8906
8819,8138
3702,9779
11039,4083
10602,5271
12408,2176
14081,4742
904,3649
2700,2060
11826,1910
12306,1466
13420,2962
11571,1958
11840,7004
10556,1668
12998,2997
10753,1487
10495,1271
12377,2288
10350,1526
11568,1902
7940,9374
4878,7966
4887,6037
3895,6155
4848,5316
4494,11677
5029,8445
9874,9850
9937,10511
8495,8347
9092,3846
6535,4644
4067,3639
3795,9551
4957,10295
4008,10188
2480,7597
13452,3061
11922,1239
10374,4795
5142,6117
4574,6483
12394,9392
12004,10911
13653,12497
12393,11618
3868,3703
5513,9324
4515,6123
8123,6295
13551,3137
12980,3220
12751,3079
13549,3258
13479,5688
9233,7285
4794,9589
4237,9380
8544,10012
8473,7978
12265,10633
12620,3210
12084,2528
7996,9284
9556,9204
12279,6610
11635,12080
10694,995
3751,4168
3467,3994
10512,4733
8246,5304
9457,5515
2265,2153
13134,2000
13226,4333
11415,4427
13563,4511
2327,13285
8767,9347
13975,9363
14134,7121
13961,7329
10221,10345
6884,13828
7948,13613
13746,13360
13965,3923
7302,7472
6205,10079
8234,7749
11008,7004
14050,7959
11595,7955
6568,9785
12996,3354
6674,6248
7267,6881
6122,6000
4647,4665
695,946
11508,1858
10429,1500
10162,1320
11476,1922
6804,4860
5291,9112
13526,9198
2760,8192
11019,3982
894,2026
2908,2439
12012,1984
12801,2918
11430,3696
10842,3242
4230,6042
5288,1056
3784,9533
4800,8383
4872,10064
5867,8657
7357,12131
11689,1188
11491,1824
10672,1073
2010,12362
5677,6112
4923,5951
6622,7421
6286,5998
3926,4880
3575,2776
11539,3202
4346,1037
4713,6291
6276,4897
6804,4683
7141,3875
2306,1887
9164,3663
7192,7970
9619,9747
6051,6104
4898,4591
2467,1477
2837,7069
11875,7100
4507,7327
7294,797
4066,992
10073,6644
10622,7595
4076,6018
2572,5953
4438,6209
4733,5903
9856,1546
9186,9923
11922,12045
8391,13493
10889,1441
9392,9014
7608,7320
7207,6776
12308,6356
13482,6573
1953,12212
1629,4755
11832,4310
11136,1039
12976,3598
11868,1852
7224,7041
4249,4439
10702,3204
10766,3293
9264,2158
8996,1660
5767,1173
10652,1765
12471,3167
7358,7124
7654,7374
6484,6370
1887,12972
5082,10030
2578,3628
1167,5168
721,4247
11137,1387
10395,886
7306,5008
6723,2915
9813,4251
2708,2610
2636,2004
10003,6253
12403,7240
3210,4448
3805,1506
1756,2854
1695,4497
3122,5022
12822,2702
9744,5471
10136,4613
12459,2327
12890,2187
8282,8412
10082,8840
7229,9165
10518,10282
10058,8359
8562,5494
6933,8064
2795,3453
7343,14045
10620,9892
10233,10482
5728,11460
11062,4809
13114,2398
11990,2148
13210,6276
2832,5637
3459,4360
4359,1019
3630,3055
5412,3466
1895,2575
864,3720
4965,9987
5367,10449
14054,4371
9717,1454
11812,12028
11208,994
12205,1780
10533,2839
10682,1914
10630,2846
10643,3255
10852,10505
8385,8722
5099,9164
5136,8935
9538,8928
6715,8071
12268,5129
2304,12096
10674,4957
6416,9194
8893,9683
11863,9383
11321,6529
6946,7036
7308,7243
12099,4841
8218,8286
8652,8764
4801,9555
3001,10966
5265,5562
7148,7681
8908,7972
11513,11909
3972,3518
11960,5058
7655,5643
2799,2752
5831,4943
13694,10992
7005,6619
13486,5016
5817,5504
6952,6826
7036,6895
7759,8023
10788,3307
12355,2832
9394,9633
13110,4504
13428,4618
7757,8362
9201,8768
2619,6853
4479,4085
13084,3040
6197,6812
6580,9308
9461,9913
13908,7865
8421,10166
6570,9650
9708,9829
10200,9968
12798,11949
11780,10952
12591,1721
5734,5376
5673,6083
9148,8512
1507,10871
8078,8017
8625,4149
5089,10341
6223,5022
9577,9646
3673,9227
11997,2657
13523,3746
11410,1424
9401,1077
3105,7882
7518,1359
3608,2970
2030,3376
3492,944
8515,5831
3001,9632
3454,8497
13567,4057
10866,972
11272,1208
8317,7788
5615,5763
7401,3109
10197,899
9968,1306
12221,1450
9409,2398
12220,2783
8316,1353
8133,890
5002,1148
2154,1676
2076,1591
2085,1584
11011,1220
11292,1233
5659,5784
6451,13590
12784,12158
1866,2256
1855,2070
10580,1423
12724,3205
11682,1172
11476,1780
11768,2526
13618,3775
7156,3330
12675,1953
3304,8650
6133,4749
7276,5128
3922,1596
2293,1648
7821,3240
11509,7158
864,7108
4905,9145
9278,1014
10234,957
11503,1926
13188,3506
6338,6225
2427,8428
7144,4069
2477,7428
1151,1777
12220,1512
10516,1477
13159,3850
11564,12603
12628,1632
12796,5280
13045,2171
12716,2100
11373,1027
11553,3020
10720,3204
6578,6152
13345,3764
4548,12148
4161,11607
8316,12440
1145,1588
680,1500
601,1294
11992,7010
12244,8825
7701,7368
7571,7820
13673,3192
13366,3625
11882,2390
13581,4804
9880,4485
10063,5965
8266,8122
7892,7834
8886,7771
8627,8101
4967,8363
11964,7295
9647,4044
11493,1434
13156,5538
13868,11796
