x,y
1660,11440
4904,5400
2014,4130
2660,12278
2205,12387
3673,13803
4517,13975
4798,13729
9431,9898
7386,9844
13247,12417
4151,13603
2704,12795
3644,11193
2683,12319
1061,7545
7050,6785
1303,6802
1096,9273
6670,13339
1323,6619
1582,4174
3123,7854
8578,1568
1865,2095
2408,12437
9171,9306
7522,7080
8159,2386
8676,5360
9990,2983
881,5939
3483,4167
4853,13750
1947,9773
1882,9782
1033,6289
1928,12619
1646,11181
3490,11208
1650,11044
1489,10479
998,10833
4834,4200
4504,2953
1281,6601
3208,2094
1018,7038
4122,13039
1122,10136
7182,8049
10410,5327
5870,9100
3791,10448
13910,3515
10881,4453
5609,1720
1572,5235
2812,2054
1697,11670
1718,12879
1470,12283
1135,10167
8238,6229
11374,1924
5963,6295
7294,4613
3400,6381
2192,11932
2177,13359
1391,11425
2363,10170
1682,11095
1069,2004
1572,6845
7538,7846
7993,2272
10574,3227
7588,6812
9674,5306
3424,9001
3341,2127
12044,10964
5545,5989
4043,12982
6473,6559
3128,10918
11844,2400
9678,4664
9442,9822
9819,7294
4874,7706
868,7790
1966,4435
1366,11576
1486,12081
4076,12582
3260,13102
2608,13360
3138,6973
8852,9283
3759,9501
10414,10441
3228,3872
7140,12577
1400,4636
6780,13615
12864,13638
12406,11091
1282,11507
2080,9614
7675,13544
11961,10859
10868,13341
5629,8990
7263,5052
9635,4927
1965,7877
4766,8885
3580,9110
9059,8673
9992,6013
13897,7016
3098,13413
2336,13066
2653,8386
2767,6563
1521,1222
13104,3490
13126,4882
11199,4577
13215,7980
6613,9470
8250,8502
8211,7384
7334,7250
11003,3786
6173,1068
4207,13344
4444,13644
8627,7649
9674,10264
10259,10184
3529,13505
3676,13306
12227,7421
6031,9236
10125,10172
10424,10530
13128,11438
1149,11250
3140,13733
3099,13657
1399,12469
992,10072
7306,1364
1452,7244
2236,3739
3391,951
6245,7004
5202,3204
7323,6986
688,4173
1645,12898
1883,12344
3188,13224
1644,10256
1226,9908
8144,10088
4417,4399
3063,1412
2554,1634
8467,5721
5458,3424
10384,849
1756,3858
5762,6568
12741,1851
8948,3954
13433,2888
5757,5158
3597,4055
4310,4372
4734,5079
6685,6186
4532,3851
7645,4814
1686,5059
2413,9222
4166,14002
2867,13430
4920,11730
7085,13295
13381,8043
8452,13310
10655,11145
12237,11237
2643,13340
2774,12348
3751,12816
4235,4029
12865,2809
3361,8567
5167,1070
2233,12666
5598,12671
4761,13850
12656,3199
8011,8364
6038,9231
6634,13995
5942,13399
7501,7110
3863,10052
1473,8404
4939,8887
3785,3471
5563,12438
8988,9552
12300,6387
9168,8618
6009,6311
7833,7101
8923,9351
4426,1472
8221,6211
7694,1309
3848,13657
2529,13393
2325,12557
1220,12238
4274,14056
5126,10478
6782,7068
4845,10230
1422,5230
6468,6738
11831,3674
9388,935
12010,6693
9181,1588
7915,2024
5782,1478
1264,10849
5721,5268
2923,2579
6104,9377
2820,13218
3685,10123
3775,13323
9183,5709
1680,8566
8320,5818
9616,4202
13476,10701
12996,12906
11518,3741
12257,1513
7892,5749
4835,8225
2103,12582
9784,9250
7709,7808
772,7936
8820,5476
12160,1641
9092,8892
4190,4078
10378,10288
5441,5372
10234,9643
3204,3544
4184,4155
8099,8058
8649,7963
1863,12110
3018,13530
7140,9958
8542,13038
13841,7216
11529,12737
12690,12242
5993,6085
5842,6219
2960,13285
7076,7434
4209,4474
6933,13899
3099,11609
685,2407
853,10534
1582,10854
1782,11766
1832,11710
2127,13365
7979,7458
865,8409
3328,13123
9993,1138
1386,6757
1369,3507
1043,769
6701,7194
6888,7474
5651,6312
6035,5941
5291,5918
6828,6257
4026,3616
3682,3554
2322,1790
2025,2326
2616,12768
2294,12020
3029,7880
3278,13066
1526,6850
3758,4109
1522,9620
5277,12466
13520,3655
8725,10991
11059,13244
3800,10274
14162,13609
1167,11831
3688,13216
13046,2249
1956,12484
13556,13556
9734,2424
7138,3754
13783,8704
6486,6328
7603,7177
7119,7286
10917,4418
5423,4891
5772,8512
3379,12992
3625,13003
3133,13322
3629,13256
7330,14106
10766,5579
10167,10776
6325,6229
9517,13888
13206,11311
5497,12453
4640,9918
8713,8331
6094,6853
3659,13509
1768,12646
1480,12918
2840,12984
4169,13622
3870,13500
5731,5927
10044,1148
7276,11720
10862,10416
10512,11067
1141,12088
1316,8552
9358,7385
5207,10116
6505,9897
3834,13578
4786,5326
12324,1782
2033,1094
4193,12503
1765,12130
2874,11370
2412,9262
1502,12822
2194,13336
2397,12995
832,8070
2486,4566
4898,1030
1640,2066
1254,5992
12810,2996
3965,13456
7274,7048
1831,11594
2014,11875
4793,9025
1061,11239
11926,10783
4699,13839
1184,12127
5122,8873
2832,3603
4846,10354
5271,13950
7623,8408
7257,8002
8239,8029
6707,4833
6476,8346
10019,4383
2832,3801
1760,7947
8836,7961
9349,5793
8627,4650
1491,11743
1225,11674
4841,9190
1445,5746
11932,1742
1263,5060
1326,4960
3160,11565
3627,12892
4166,12354
6056,13588
6014,1907
2686,1470
193,723
1025,11900
10809,10826
10754,3286
6654,13626
14091,11289
1020,9755
1690,11495
3068,13556
1251,11439
1318,12018
2037,11707
5475,6003
2626,3611
1692,2734
6462,1422
2524,777
1727,11067
3618,13304
11241,4630
8678,8657
11059,1357
12547,1480
13123,2524
13465,5808
12142,5014
8305,2059
2243,2252
1068,11007
11948,3575
1103,8942
6484,1499
6370,13552
7314,7610
