x,y
1616,11634
1697,11225
1514,10154
1195,10131
4814,5661
4636,7296
13050,2743
4305,3293
2044,1966
3183,11196
1709,12106
7184,13631
13894,10980
6654,4820
4120,12971
3111,780
1171,1671
9476,9226
11132,4671
12511,10820
12772,9471
6685,6839
9736,1120
8647,1172
9963,840
1705,12176
1080,5693
5199,5709
6125,4745
6063,1943
5861,5065
5561,5266
2455,2094
3054,13157
3860,11510
9021,6469
6913,6804
4852,1608
4398,13420
1236,7719
7491,3212
9697,11307
9632,12576
3994,10345
13551,12032
4256,13699
3792,13343
4487,13844
4339,13506
10888,13691
11267,14238
11382,14018
10778,13453
12618,13379
13526,13738
13345,13627
12745,13389
7530,3361
11316,1234
2602,5911
2632,788
1952,2284
2982,12707
2077,12397
2291,12668
1113,12205
5827,13699
8633,10588
10057,10850
13041,14121
12685,13579
8350,6985
6323,9114
5114,8805
5551,6374
7775,6695
8201,5423
1574,6180
7421,7851
1705,2843
13412,3386
1991,9513
7530,7885
7731,8160
9901,5931
3552,617
3347,2072
3418,12900
3494,13107
4496,13462
7073,9871
4944,7957
11998,6982
9161,9229
4857,12358
3485,11588
7743,10891
4469,1035
1648,11097
3124,13507
7516,7930
9225,8922
10422,9989
7249,4648
3131,10003
13019,3008
12005,3383
2785,10037
6310,8940
10124,7109
14074,10391
14051,10520
10461,1323
13189,3651
7521,6699
5208,9176
6445,8543
5042,5426
5845,5609
6316,11271
5432,11681
1605,11923
7240,5085
825,10356
8967,7495
8932,7271
3826,9686
4106,4201
7688,4952
4851,7955
3464,9044
3501,8792
13854,13594
4612,927
13083,3684
13541,4885
8796,8430
12552,1594
11313,8559
10670,8752
13443,7891
9787,12992
10766,12990
8807,3913
8614,1000
2258,1173
14113,4668
10266,7959
9109,13648
11222,1582
11489,7602
3388,10926
836,8009
1536,846
1361,701
1160,849
2907,904
6954,7727
12418,4654
11072,1702
5385,5301
3569,3923
4175,3984
8733,8530
1221,4154
6593,4628
1769,4709
1998,3392
1625,4072
11013,3986
3423,6152
4884,9062
6150,1623
1488,12132
12447,2354
5974,5804
8658,5173
3602,13862
3600,13575
7866,7784
9201,9070
9227,9491
10532,5539
3817,12853
2815,11715
636,2657
4538,4679
5602,5682
4716,12614
1534,12993
2025,7463
7228,7984
12302,6405
8757,8255
5242,9122
4341,14043
8369,8078
8814,8739
13226,12880
5138,11707
3587,13268
7358,9078
13554,6306
11167,8750
13198,12125
7946,8225
8208,7834
7760,7494
10682,4573
8559,8004
12503,11135
7949,13812
8501,12990
7690,1430
1130,11311
14073,7892
13414,4243
1483,4751
10279,1073
10972,1758
12141,2454
12078,1989
10707,1997
8597,1512
9804,1213
13235,3709
12966,2062
4020,3957
4846,8181
8047,2267
7758,10552
1069,5581
13962,6081
5161,892
10926,5305
5541,5665
1290,8777
2511,10139
6531,9348
3998,12688
7934,7877
13533,3507
10689,10162
11967,9560
12498,10785
12914,10662
12836,11187
5369,9014
5794,13241
