x,y
7889,8247
7337,8474
3978,10183
1856,13166
11010,12430
11222,11959
7031,1251
13649,7622
8270,1346
10915,1401
10582,1498
6787,1204
7053,6603
3028,2992
13661,4354
11298,3784
11804,7301
5549,5103
11862,7284
8904,1054
2435,1370
9714,1644
13715,3392
13492,4659
13162,3955
14026,6051
13264,3922
10334,8744
6428,6330
11271,8633
11856,11100
13221,12222
13346,2194
13974,4121
10008,9769
10219,8849
13883,13890
7684,8034
8853,8925
8056,8241
8723,8973
7538,8561
10101,10392
13589,7634
8098,5448
12415,2350
10388,9020
4740,11843
6206,6208
12446,2340
9912,1105
4891,10002
10142,7580
7764,1615
9102,9510
11468,1103
7999,10756
4654,4593
5231,5827
2998,2194
13382,2536
13841,4256
13875,4014
13512,7813
9580,9306
13193,7527
10162,13963
12112,13435
14108,7162
8541,8631
7288,8058
8757,6592
10080,6531
11366,3862
11807,11291
11507,11090
10851,9914
13051,3820
13196,2951
13062,3052
13491,4095
10132,3277
11216,6630
12990,6998
6993,6462
5941,5698
5794,9398
8103,6414
7522,13881
9900,14078
11256,11220
11634,1704
13509,4885
9928,9952
9931,6098
11539,7071
4974,9236
5952,5585
6488,8655
8719,8735
8379,7885
4444,4203
6248,6324
13544,4805
13668,3871
13855,3445
12629,2322
9610,2446
3567,7386
6679,4704
2173,2370
1893,2054
13503,4805
11911,2147
6072,8560
8432,4943
5659,6460
9160,13184
3116,11044
13258,3474
12486,2302
7643,5741
2636,3594
5495,3437
11285,956
6003,5062
3297,4017
1998,3705
14081,4742
7959,4984
7693,7060
4544,10216
5810,6586
1908,7889
11185,1915
11970,7158
11672,1706
7628,7564
9753,7288
9930,9537
10127,7158
4849,4185
8814,5808
12364,2072
11352,4294
4375,4842
7609,2417
6715,7067
2734,2936
3107,2297
10674,2348
12034,3342
14122,7008
6282,9083
5258,4866
2855,13158
4169,11498
4406,4261
5829,5239
9232,5744
11572,10106
3573,3907
9798,6443
10864,5027
768,7608
11118,1055
12478,3121
9252,1964
6535,6187
4987,5778
5726,6554
6018,4982
4776,6224
5630,5140
5608,7558
4630,1704
13551,3137
11424,4530
12980,3220
13479,5688
8295,8054
6027,6181
9403,9716
11287,6683
10030,899
6586,6833
9010,4545
