x,y
11118,6726
10801,1904
11295,1868
7964,7434
2987,4106
12092,1610
5266,13606
4867,8998
7808,7491
6560,7163
7939,10961
13598,12143
9988,9601
11496,5922
7968,5007
6011,4948
13804,6989
9136,8594
7001,12505
1267,11117
6374,6500
9977,7897
13446,4562
11890,1587
4948,10514
9993,8953
7661,5062
9374,6259
13502,9432
4007,14010
10604,10079
13422,5016
12596,2979
8979,6092
5030,5300
7702,13521
10084,5251
11867,5458
11805,7035
8582,3677
7114,7772
8182,13924
3938,4013
9954,1414
11028,1294
6795,1226
3963,4560
4026,4320
9983,1603
13411,3794
7794,5372
10942,3619
6808,8212
10958,5424
9932,7082
6135,6461
4764,7828
11846,1355
13523,3222
13063,5072
4868,5740
7789,8757
13512,3236
10616,2621
1109,10950
8561,6596
6114,6392
8993,5912
8438,8600
3512,8580
1181,12186
4778,5125
5968,1143
7518,10058
9548,4282
6423,6160
8929,9868
6397,9090
12122,3197
6629,6473
2644,3425
4566,2313
3486,3612
2738,1388
12433,1365
12378,2072
13191,7164
11709,1607
7852,10868
6903,4613
12550,1759
9564,9176
13853,14100
13500,3603
13730,9768
10636,2694
10731,1323
4721,7685
7912,13557
6680,2773
13705,6894
12611,13737
12757,2650
12330,1330
12276,1532
13726,5077
9434,1880
9956,6594
12676,2160
10660,3184
13265,3380
13014,3238
12136,1413
12545,10611
9454,8941
6570,2594
2996,7410
2176,3006
9555,5765
4882,4374
2080,1186
1812,4602
1171,4587
2084,5280
12681,1971
11295,1379
11406,1240
8438,6113
10367,2506
7562,8193
7714,8246
14039,5685
10962,8945
7454,7972
5245,10345
7861,5995
7730,6998
10204,7187
9764,9074
9672,8921
8511,8612
10090,10099
9264,10014
4624,6006
1242,9812
9048,4120
7112,6450
13856,4148
13996,4185
1070,2721
2130,3421
2944,11802
10317,4557
8700,5102
3455,8812
787,8100
8741,8526
13499,3802
13606,3731
6765,7321
12590,7539
9868,6466
10137,6665
13992,5797
7141,9598
12891,13429
10660,943
11524,1954
13596,3843
11881,1700
10758,1110
12372,2961
12391,2678
9742,3334
8044,7816
3140,7488
9410,4276
5964,6292
10465,1432
7557,8283
9783,6176
6828,3069
13817,14015
10582,8843
7280,4982
11870,2081
13505,6158
13710,4071
9569,9360
12333,7797
2216,10057
5027,5912
11936,7492
11959,7762
13318,5031
5146,8640
7569,9954
7047,9700
12894,11932
7826,7831
7893,7856
14049,11379
8196,10134
4627,9715
5788,5473
12420,1402
13422,3650
2939,12425
8188,10383
1556,11994
1845,11430
1099,10080
1915,9562
1712,11098
9418,6104
9844,9666
12601,9591
9984,13272
10893,12245
7773,1428
7728,3600
3800,1410
6288,4726
4682,722
2754,10020
11517,1101
6164,11606
6569,11384
10252,5762
7674,8050
13011,7175
8106,3460
2123,9720
8403,971
6982,1066
2932,3947
4808,2953
6538,7745
13523,2669
1289,8362
2932,7515
13057,1962
12467,3092
13785,3256
8077,7402
8516,8457
7685,8486
13072,11840
10818,7567
10893,904
10588,1450
7847,8044
5514,3564
6520,4836
4209,1453
5937,868
1143,1368
13327,2498
4697,6129
6519,9687
5091,10104
9591,9698
8006,6360
9602,9408
7633,5158
12636,2080
4266,12101
13848,5036
11730,2358
2731,6410
7247,6930
4002,4160
12611,2620
8744,5756
13319,4079
10249,8776
3182,4991
4246,13470
12961,14125
2899,13425
11407,1516
5572,9055
10674,4916
13128,2196
11681,3493
12732,3156
13064,3116
12311,1304
12043,3408
524,3323
7205,3784
5740,1746
4100,4987
11235,1133
10976,4562
7002,11305
7970,1666
8160,1014
7108,3142
2900,3086
11775,1358
6842,6270
9860,13283
8056,7657
11900,2041
