x,y
3807,13453
7729,5620
9397,2366
11259,1068
11575,1093
10872,1910
10712,1889
10462,859
7512,6687
6485,6110
6564,3150
910,2717
8867,8007
8758,8592
10517,10320
1634,6069
14093,5686
11632,8172
9152,9713
11974,7248
12983,7254
12517,1968
10940,1969
13370,3619
3859,4330
10758,2064
6036,6899
3108,3988
10008,9491
5478,7514
4674,8266
456,495
13147,2352
13827,4711
9664,3220
10092,6977
8266,8392
5892,10718
10653,10796
7350,5138
13458,7754
7522,3934
13530,6712
12699,1986
13816,3867
8910,5635
11404,11176
8561,12691
7184,13631
13499,8349
7256,7132
12435,12324
12645,2536
10744,1878
10142,10550
13777,13762
13535,4265
13267,3555
9238,6258
6032,8670
7358,7346
9812,9337
12931,7377
10613,10858
10282,10531
12304,11386
13086,13909
9989,11022
12581,1898
13360,3744
8324,7031
6735,13624
9086,6100
10086,9719
4193,12589
5903,5226
13214,5991
13188,2431
13254,4472
12887,1821
13529,3901
13469,4547
13585,2865
14059,5142
14132,7174
12187,9520
10407,7556
12353,7665
13021,10778
11921,11458
12856,12982
11867,2343
11795,4002
11664,1175
12076,3558
878,1947
13675,3702
14019,4202
11538,2004
7166,7568
3350,868
8904,1180
1208,2903
4100,3124
10532,873
5527,5328
3925,3665
8758,2179
5222,4785
8109,1608
3324,3061
9549,1832
9160,1788
6429,4753
11092,6144
10183,4360
3671,9529
4207,3805
3028,7427
11301,1755
9861,864
10242,849
7182,1020
629,438
11242,3407
6741,3119
10148,2536
10269,1314
13281,3510
5044,1620
4288,4451
3553,1783
8249,7219
11594,2114
9602,2478
7210,11601
8309,5657
1519,2479
8749,7597
11765,10850
13836,3461
7207,6197
4995,8377
12528,2808
8694,4333
9291,8529
11991,11577
6249,8863
12757,1995
10417,1676
8588,1656
8492,6386
12052,5019
13176,5757
13288,7547
10142,9717
9399,13254
13562,4070
13426,4256
11532,11218
12129,2028
5662,5470
4580,4181
574,321
1650,778
3379,9040
4323,9831
673,3985
3683,1274
10063,7354
4825,4488
4047,4038
7282,4808
8971,8868
10864,5175
7951,7956
8306,6310
10712,1596
10395,886
8620,4331
7136,889
2745,2578
5074,1695
1182,5672
2636,2004
10850,905
7161,1370
5432,1480
900,4906
5612,1416
9572,2396
1879,999
9773,2458
13490,4181
13465,4399
9776,2508
5838,5836
13272,4456
12533,2114
12726,1764
11750,1073
11441,6562
13792,7332
13532,8137
10528,11245
12946,12544
12480,3233
12700,5064
13525,8878
7804,13298
7960,7094
6049,10669
12955,2711
13929,4208
13079,3411
13860,5097
8652,9091
12337,10662
6348,13322
11116,7744
4827,8744
9717,6408
1628,2370
10471,858
12724,1784
6960,7856
9642,9616
9280,8828
6682,9181
4567,4587
7031,7497
6424,4693
7694,3311
8955,9210
4020,4652
1084,2287
13439,3896
13236,7912
6664,8036
12770,2582
11209,1744
13138,2530
11292,1334
12616,2221
6619,6467
8236,7084
5198,9182
13468,4650
13794,4115
4737,8145
6281,9722
11569,4181
13056,3590
11707,6535
4425,10100
14182,11882
11091,5477
3292,3890
12402,13660
7719,7376
10676,9916
13207,2944
12226,2656
12353,1411
14056,8879
11746,11422
12284,7585
13490,10313
10161,11076
10312,11716
13718,12486
13074,13706
7821,3240
8760,4569
4856,5196
4880,5408
4901,5990
1847,4275
10040,8251
6208,10754
13224,5918
10842,976
6351,4853
7189,7633
7427,7902
4724,6494
4890,5566
6381,7216
4789,8139
8904,8273
13423,3456
7780,7566
3953,3929
8811,10617
12810,11511
7717,7423
12741,12259
13705,13004
11576,3253
11470,1280
13480,2609
6697,1442
12274,2491
6287,6229
1766,3223
6019,5757
13567,4151
12190,4965
11306,1412
10342,10273
11845,10789
13651,11940
6910,1709
6129,5989
6408,7160
1242,2094
11000,1422
13647,4327
7835,7087
13476,7190
3522,10218
5180,1220
2842,2689
2616,5979
11891,2131
13917,6849
13116,11732
13920,5699
12907,1958
8916,8182
14033,4603
5405,8721
11524,11204
11990,12744
10245,1393
11192,1640
12346,2058
11237,1665
6437,8749
5890,8829
1666,5017
4730,4279
12331,1659
13034,3539
7830,7176
10588,10277
13776,12585
12175,10099
13580,11852
13224,13917
10605,2153
13892,5156
13954,3952
8322,5758
11830,7013
11398,10886
9664,11358
10846,1094
11686,3076
9601,4862
6515,13394
11242,10711
13940,4729
7298,7382
5987,6238
6340,6690
12932,9699
4484,5274
5810,1312
6264,6848
4768,4316
11129,1506
10676,2416
8276,7579
11718,1855
2448,7529
10636,3271
10510,879
12042,2052
11983,2024
8095,1861
11262,1770
10608,1180
9506,2413
12316,2992
7519,5065
4758,12232
1372,11188
7302,14064
10770,1488
13046,2429
13320,2344
9287,9217
4818,7419
9703,8922
10301,10110
10698,3175
7590,8200
7007,6577
5304,10722
12257,1250
9269,1158
4410,13392
8432,12423
6208,6528
10955,1187
8290,8928
13109,2336
13450,2883
10570,3220
10603,1329
8351,1341
6269,992
11637,2045
11853,1461
8425,7572
1104,7209
5485,5135
7040,4917
9915,1680
13554,3379
11679,1771
7326,1578
5760,5692
7612,6954
4189,4589
2917,9739
3223,3899
9591,863
2515,2535
6898,9838
14094,4541
13385,4371
13130,2410
8661,1037
11782,3962
12154,11162
9853,6386
8395,6364
1587,5383
6290,9354
5471,8743
3293,4402
12269,1753
10230,9731
5673,11447
13166,8308
11403,1221
10002,5115
11795,1664
4714,7324
10654,1370
1043,8634
2702,7595
2117,3727
1084,1627
11766,2160
13068,4110
8721,9907
9532,1168
11808,1649
10342,1199
8382,1018
5504,5036
10681,3343
2720,6307
10962,1734
11486,4257
10702,1497
6619,8434
6875,4832
4359,1439
3399,4005
5096,2798
2241,1585
2368,4575
12922,2037
13533,4600
10243,9873
13341,3111
13968,4144
7242,9645
12386,11185
11410,12391
13038,11715
13229,12634
12981,10602
9884,6533
13418,12272
10904,11318
11940,2412
11956,1196
9800,6436
10021,8757
11078,1264
11086,4429
6867,6199
11005,3611
10813,5465
7877,5409
2332,7526
6860,1226
6796,6618
13462,12785
7535,8026
8288,7048
9620,6156
7758,10448
13519,2587
14120,7207
11294,6846
8815,13085
13041,3089
13998,4627
10322,1148
7645,1569
4782,4926
10247,5159
5880,5814
1191,8625
7160,4878
4096,3624
13944,7059
10930,1445
13580,3552
12050,10116
13684,9642
11599,11078
7544,9910
14119,4777
11743,9520
13691,4600
8842,8674
6837,7627
3776,10937
1019,7063
9582,5582
13126,7767
13746,3794
13213,3358
13863,3592
10873,5525
5507,11542
11219,4128
13864,6325
12930,7330
14446,14038
13994,4378
13864,3757
13832,6455
8507,8602
5950,6279
9054,6370
7933,3411
12246,12067
13777,3281
1883,12565
7988,10385
8590,12730
6164,10142
3997,12405
5928,5500
6763,1228
2035,3378
2347,7595
10783,4620
14129,4536
8362,13469
10819,13291
10819,14122
8384,6416
8106,6854
8018,8634
10150,868
6102,6235
4702,4783
6346,1120
12919,3320
7308,2889
5877,6032
3502,3877
11484,3592
10665,3198
11662,3339
10988,1320
8367,8815
8838,10705
5413,13892
9340,802
6986,7463
5151,9077
4288,1665
4680,9489
10050,8268
13139,3501
6303,6664
5322,9364
4016,9391
4625,5210
11281,3272
12809,3255
10406,1456
12022,2306
9383,5655
11058,6162
7673,3518
4831,5645
9365,11342
10768,3406
8583,7923
8102,11050
11017,10934
4839,5702
12170,2726
10634,1436
7036,6592
6895,6871
