x,y
12564,2956
11555,7110
7197,9817
13086,7624
10624,10265
13200,3495
10600,10881
10721,1200
10589,10842
13376,2977
11917,2371
13060,3430
7902,1442
11011,5510
11008,1395
5466,12753
10955,10168
11042,10576
7250,3320
12075,7221
12485,4861
888,4748
6009,3400
8034,802
13088,3737
4843,6844
12551,1794
2793,3797
1572,676
12990,2776
7670,7551
5379,9357
13976,6194
998,5673
9032,1339
8908,9734
5574,1045
8906,814
9634,8921
5640,9294
10041,12122
8288,8449
7451,8004
9273,9763
13836,4277
10749,11711
13306,4545
13526,4069
8981,1202
5950,3845
4883,8293
13786,3642
5566,11260
12206,2590
2118,778
6166,6546
8501,7869
3724,5066
4525,4413
13704,3642
13568,3674
8012,7918
9075,5511
13724,4819
4610,1680
6026,2027
868,5038
10334,1292
9370,2337
5147,4662
12927,3487
13117,5500
8208,7440
13338,3320
9988,1162
11054,1654
3862,10354
11516,6022
13282,2399
11094,4308
6117,3627
13603,2964
13442,3627
13252,4023
7416,10002
11715,1219
11034,1311
10680,1052
12303,1207
13653,13292
11568,1505
12450,5280
11845,2144
8491,10416
10077,1607
5200,4789
13986,8186
3152,13377
2485,11845
12223,2236
5140,11649
12858,12986
12767,5091
8033,7077
7915,8075
12111,1408
12563,1589
10936,2113
13451,3990
11694,1400
12585,1586
914,1542
1645,624
10543,847
13694,5422
13516,6286
13917,10708
9628,954
9212,5870
11732,1433
12436,3210
14051,4820
11712,1077
13497,3930
11652,2304
10028,4511
9110,9332
10311,8695
4193,3777
13363,3114
4980,8979
12924,12780
12947,2963
12603,1474
8447,8353
11591,1493
8532,7741
9881,9046
13578,2980
10880,1542
12228,1261
9642,9270
12751,2919
11421,1130
11778,1649
11597,1481
12126,4852
6369,6204
4251,1413
12588,1757
12365,2834
8667,13421
10199,1246
8972,1328
9403,9439
7534,5167
3195,7021
10935,1141
13526,3590
8946,9280
10997,11456
13216,11590
8445,1368
879,9073
3882,1294
12340,3062
11102,1569
13588,3134
5930,13765
12757,5192
4542,6086
2028,4724
7674,5665
13458,4135
4800,3980
4741,6609
3890,6334
12172,1428
1184,7954
1428,8328
3979,3032
14005,4458
12457,1572
12811,1762
8570,10589
8200,1164
5304,10607
6837,10059
13581,2794
4050,13260
12541,2892
12141,3013
12485,1671
12992,2395
9976,932
13265,2469
4730,2916
12118,2780
7618,8058
5494,3408
7685,1003
7681,1482
10826,1644
2029,2175
14165,12581
3625,4127
4538,13733
6646,6268
6902,9786
13140,3310
9255,11172
8707,9702
9294,9288
4273,4100
12135,2126
13094,2967
12024,4997
11762,2066
12688,11621
11627,1769
13678,3284
11703,1971
6182,3147
10632,4665
8090,13201
12276,2180
13072,2269
9097,3421
8870,1560
11063,4836
11036,1381
6534,6404
7702,5052
13038,3284
12954,2943
8601,5085
10197,9736
12940,1964
10597,9870
6543,6180
8222,2172
13104,2098
7734,3311
7944,3514
2230,13475
10651,2670
13164,2639
4727,3746
5524,9115
6168,4538
13018,3522
13497,4321
9972,5888
7749,5008
6513,7929
9036,8372
8001,7239
12544,3204
11368,4410
3567,7817
7978,833
14211,10570
10996,12952
11435,3211
11031,4319
7904,811
5523,8985
2486,9578
6060,5132
7078,4631
13284,2472
11022,1532
11403,1865
6731,6688
10830,1691
4194,12230
11003,910
13737,3153
13497,3937
13778,3774
8883,8922
11101,5053
12177,2561
6081,11279
7608,5127
10668,1183
10663,10164
9748,10131
8697,9070
10338,5524
10882,3642
7314,6060
4733,7383
6620,3067
6066,5941
11099,5757
830,1496
10683,5489
5615,4982
9577,7154
4696,10342
13999,3899
13631,3748
9993,9176
5623,7477
11796,1383
6677,12784
12789,1978
5145,9208
3663,10150
2065,9695
5176,4990
1632,966
12116,1767
5392,1340
13027,3233
13188,3998
10395,1352
6850,1192
4783,3983
12575,1930
13170,4783
9926,840
12920,2137
9832,4800
11760,1505
8524,1720
8165,8634
8643,6270
13460,8864
13314,3436
10579,5731
3800,3108
10583,3252
9736,6429
10551,10382
12797,2007
12847,3276
13561,7836
5976,11405
12959,2024
13499,4497
13543,7582
7072,4493
12556,3189
13326,3551
3042,3768
2462,3243
11617,1182
8277,7407
12074,7299
6291,7004
9112,9342
11514,3011
10745,1238
12318,5820
7191,7281
10647,1126
10464,1148
5386,1280
10729,10100
13891,3667
13454,6658
10125,6686
6135,5984
14118,5212
13796,4899
13290,7591
11826,11042
7290,4906
9705,5849
4936,5355
2079,953
12268,3258
12723,1929
7703,8839
5124,8456
1485,9147
12977,2755
9948,6570
10862,1134
8166,11074
10878,3464
8084,5216
11660,5602
10598,1496
11231,7530
13508,4411
13724,4470
9494,11580
9002,11403
13871,3772
7892,788
6848,7156
8136,8520
9825,1470
10418,1442
7691,5041
13010,3198
13563,4451
13338,2415
2927,1235
10171,4533
818,9321
13292,7984
13768,13829
10064,9336
12736,3212
9959,6042
12872,1876
13957,4820
12203,2366
7992,1821
9910,4501
7380,7045
8306,10230
8369,10165
6002,4914
12606,2209
10234,1084
8569,8300
13282,3418
11136,1942
12997,3516
4792,13638
4797,10231
10714,11118
12814,1898
9396,9129
13448,5084
12298,2528
10672,11276
14496,10826
3711,4259
7589,11458
10795,10278
8331,8460
9764,9026
2765,4001
1718,2877
10966,9925
8326,4869
10912,10179
14107,11218
12250,1858
6742,13144
2654,9928
13442,4445
7205,6212
4699,6460
7745,7333
2309,1704
9412,2111
10117,7635
12895,5225
6556,8184
6814,6604
6318,11046
2533,12403
4077,4299
12199,2290
10375,2344
9602,5821
10772,5263
8193,13761
13116,3780
2194,5303
2104,1321
10964,998
8369,4909
11608,1246
13364,3868
9861,5371
12491,6526
8170,6700
8333,7829
12712,2643
