x,y
4002,13415
12170,2692
8943,8910
5453,5815
12702,12874
9069,7631
4903,10264
4743,5063
3531,13281
1936,12176
4074,11371
3051,12638
7175,6928
1208,8407
3321,7162
3586,2172
8441,5532
1676,12867
1737,12611
7239,2859
4689,13818
3824,10425
2738,12721
1645,11636
2970,9582
7551,1451
1796,11896
2732,13790
1980,12483
3245,3750
2034,11608
9988,9601
11496,5922
7483,5070
1408,11612
9136,8594
1879,5509
3476,10303
14111,5655
10009,7408
6898,6434
9374,6259
4989,14033
8594,13484
11193,5839
12479,13349
2145,12161
1250,10854
2078,12751
6620,13661
9883,11840
11304,6661
1154,11217
897,11039
2114,12900
2916,13668
13060,3430
7298,13406
10799,5417
6406,6045
11092,8486
11123,3625
1106,12092
12371,7284
11231,13944
11345,14011
3789,13335
1392,11315
4375,13623
5348,12972
4723,9740
8970,5483
10695,11963
5547,9423
6116,4077
6082,2063
4806,8902
14155,13214
3813,13314
2644,12634
1482,12653
1416,11893
9658,8988
12500,11650
1544,11149
2287,11732
3891,4534
10099,1147
1207,10026
6182,10285
8423,2284
7510,8646
4229,4917
8658,8792
2525,9780
7124,3565
10990,5401
10318,2706
4779,9011
11645,4349
8563,5934
7196,9996
9233,5616
1181,10142
7833,10106
13460,7931
11782,10776
1132,10006
2428,12588
2922,12836
3202,3852
1056,9358
4794,5152
3217,13015
3220,12798
8522,2332
1264,7814
6267,6516
8072,7702
2729,13475
5220,13866
4830,12428
5837,13750
8267,12353
8893,5549
14075,8623
3504,3920
12679,9674
6610,13826
5466,8805
3654,13057
5956,12449
7061,13294
4718,6528
3375,2664
2802,12794
1342,12519
11526,6551
13754,5994
7711,9808
9246,13189
1848,13089
4784,13846
2761,11734
6687,13499
8979,9479
2959,12776
5319,7790
7006,11585
3841,13163
2122,12070
1557,12816
2598,12573
1102,10181
1287,10522
9154,9159
7520,13785
7402,11430
13841,6744
7436,7951
2980,3310
1945,11973
1944,11638
3263,3746
6696,1383
1286,10270
1130,9571
3737,10254
3274,10975
5058,5916
3535,10513
2038,2511
4242,4314
907,679
1088,11141
6396,13320
9611,11904
1960,1845
2853,9860
4197,13510
3154,12965
4169,13475
4772,13594
7202,13519
4033,12228
11798,9539
13308,13674
6795,7969
3369,13789
3928,13963
4144,14015
1628,12883
3913,13442
4124,13942
7755,8095
7542,13608
1798,12936
6512,9620
11585,5635
3642,8937
12497,12750
3931,13675
1374,11826
2180,12250
1636,12834
1833,11822
9374,1636
3761,10056
10038,5326
8051,8192
7520,6810
3968,13140
4526,14047
7914,8253
3083,7514
5550,5889
6101,6253
1047,11026
2893,11682
4776,5484
5478,5908
9081,8597
13694,10992
4422,9349
2463,13242
1636,10685
4396,12461
944,10846
5575,5768
1798,11647
1298,9532
4615,9667
2057,2456
1878,2823
1915,11980
862,10706
3611,12899
3506,13186
6676,13846
5789,12704
7114,13898
7188,5124
7835,6459
4944,5169
3448,8231
3305,13401
4410,14056
1096,10684
3338,3347
2208,12881
4394,13726
4279,14052
3225,13784
4451,14059
8680,8519
4124,10239
8961,11407
9853,9833
4138,4036
6173,9643
1644,12207
3941,13299
1192,10258
11230,4963
8618,8079
4498,13434
10458,5616
4913,9314
2907,11332
2041,13286
2346,12336
1108,12147
1652,9916
7026,3069
6475,12566
2448,12748
3615,4213
2950,2019
1586,9288
4588,13377
4065,13335
4477,13311
8190,7521
8011,8218
3206,11802
2040,12464
8502,1616
1750,5316
3830,3850
2495,12626
1128,10457
2984,11274
4962,5506
5729,13595
1047,5300
7498,7690
1783,12015
7962,14089
10294,14097
9567,1511
1224,3758
6425,13279
5805,13856
8602,11596
6491,8304
13808,13634
1058,11413
3721,13553
942,9992
2750,13101
8877,9069
846,10765
10468,5216
13598,9342
5493,13982
1358,11960
7526,784
869,10144
4273,13691
6727,7108
1455,6220
4612,13270
1655,11015
2389,11749
843,10781
2204,13299
833,10838
6014,4918
960,5105
3480,2775
1890,1893
2432,12966
1170,12250
2787,12701
2464,12804
13610,12817
4152,12954
1811,12924
2959,9811
4021,1154
7097,1392
1468,12755
1171,10459
9978,11144
1617,12280
2754,12150
5369,7709
9330,5877
2946,9567
10186,1118
1706,10998
825,10957
5488,6102
11087,5118
1250,10112
7512,5005
5881,12804
4570,1347
1760,12115
2817,12266
4228,13750
7175,13292
11647,11993
2235,12462
2112,9606
2418,12221
1934,11917
910,10872
2500,13504
8723,11531
12199,12576
987,11211
11971,13008
1434,10100
902,7738
10703,4775
4973,9057
8528,4874
854,1888
3583,13635
1266,10614
7614,1467
4082,1066
2504,12436
2224,12027
1526,7608
13894,7722
2030,9534
1227,8050
11449,6987
1498,10510
1071,11140
963,11610
1146,10412
1116,10480
7188,978
7342,1123
1230,12207
10652,2676
5909,5297
3593,9222
1543,11762
871,10727
873,7917
2282,9679
13208,5508
3252,12938
3052,13208
8455,3609
6007,4906
6524,6846
7272,7182
3184,8259
1673,1137
5425,12744
3037,13520
1804,11337
9385,9453
1283,11530
4706,13363
3882,13614
2289,12005
1867,11673
1496,5726
3743,13891
4997,12405
7534,13511
9945,9525
4627,5240
13536,9225
2252,12718
1142,10475
2600,12788
13561,3990
7166,7824
6490,7209
9762,6351
2183,7692
2704,4132
1738,9231
3710,13609
3834,9961
11257,7649
12902,12970
2071,11904
4886,11515
10243,2402
