x,y
5447,11463
5088,5563
5872,6226
6312,4934
10502,4841
5962,5803
6385,6263
7958,8143
8431,8118
4710,9154
6584,13824
5447,4883
12162,8726
10116,8104
7851,7549
10002,5516
1764,11743
1650,8072
4051,1003
1110,10961
1490,10244
1312,10181
2187,7635
2736,12811
5763,7296
7099,2877
5034,13716
1558,12948
1892,13226
10219,8849
13609,14017
13958,14261
2661,12330
3898,13842
3945,13444
3185,1329
3289,13390
7618,6048
8066,6398
10002,9704
7350,5138
3596,10039
2304,12376
2832,12424
1327,11059
1545,10975
1420,6029
6994,1320
3168,7943
2539,13422
9912,1105
9102,9510
12030,5174
13471,9174
3932,13346
7357,13380
6248,13612
5578,3506
3354,13204
4878,9222
5526,5459
2976,12634
9033,9373
13973,5786
13944,10578
11020,13454
5014,10578
2920,13211
3144,13574
5918,13478
1638,10756
5434,12101
9494,9417
2775,12377
9331,5273
8881,973
1606,6842
7660,1658
5410,3236
3714,13626
1688,12126
4455,4949
9894,3196
4179,3807
4907,4557
1884,2008
8958,9967
5575,7664
3964,6004
5014,9610
5263,8660
9972,5263
13464,7986
13687,7997
3474,9056
12918,12484
12597,11518
8964,9253
13411,12580
5477,12739
2963,12874
5565,8831
6323,8935
9477,9116
3179,7685
2680,5482
6626,7834
8984,5751
1529,10897
2536,12730
11987,2151
9717,1006
9328,2242
1508,6276
5926,4155
4566,2163
2480,1680
1133,11616
2794,12634
1797,12249
5449,13433
5571,13007
3014,7397
2775,7601
1095,6597
8090,8497
9536,8880
8597,8670
5294,5174
5110,10445
5157,5600
1814,2526
2879,12738
2743,12215
3606,13091
6268,4880
4104,13497
1084,12186
11775,6861
7020,6543
2678,12022
4766,8234
6096,8976
7513,9969
10155,6654
7537,7718
6394,7936
8861,11525
8450,8792
9749,8890
5287,1346
3949,13166
1483,9983
7638,9970
9850,7263
7961,13239
13205,2259
2608,12995
2397,11685
980,8990
1248,11107
12864,3349
4787,6939
10677,13365
3545,681
3155,13712
2291,12923
7310,6832
5537,5789
6661,13149
6449,7192
7870,8022
8337,7631
3970,3484
