x,y
932,11000
1229,11379
3946,7332
1265,11080
6830,8288
6164,6082
2475,11873
975,11362
4616,13777
8053,8464
10046,10476
8691,6439
13965,13128
10735,2225
10439,1366
5014,1238
5053,6088
9989,2593
6551,1018
8054,6752
8867,2202
6164,6249
5127,5731
12486,5747
8253,6702
13670,4293
12850,2438
11289,1448
13135,2055
9053,3775
5428,5588
9796,9878
10807,10409
9153,7539
7025,7971
5184,8987
9514,8972
6227,6016
9982,9696
10944,13308
4594,9877
12622,11448
6716,8275
9987,10340
7430,6921
8804,2293
6407,9152
7824,8005
10089,6772
4355,2612
2530,2930
2471,2473
2240,12217
3700,13326
7130,7699
1978,12256
8273,8291
8163,7895
8316,8889
12174,12990
12959,3200
11870,1947
11637,2929
9399,2257
6086,4907
9033,6008
4615,7020
4902,3044
9306,6348
13180,3462
13244,6737
8242,5208
7845,10076
7160,1359
12231,13195
13446,5043
3570,6413
8817,9852
3526,2951
8594,8318
7406,2587
11126,4161
5353,6049
6633,6703
2431,3512
2676,6321
3466,5190
11935,1947
11704,1913
10587,1522
4118,4948
9238,9087
10528,1701
12748,2030
13375,2886
13159,4098
13264,4302
13211,4148
11679,4131
11475,6097
12485,12860
12920,12756
10378,860
10279,834
7551,1404
7689,1535
5707,5823
5720,3885
12263,3093
6515,6761
12588,7330
11077,10869
6772,7314
11576,10112
12034,2773
8368,5910
8014,1432
1147,10137
710,515
13966,5275
8488,8374
8715,6656
11271,6135
2470,5549
12978,3547
10812,5486
13114,2398
11990,2148
8101,6721
7285,2770
3630,3055
2183,2555
1733,9432
2891,2917
11208,994
10533,2839
10643,3255
10497,10616
7834,7178
5556,12248
5345,7627
2028,2932
12902,3167
13428,4618
2683,1746
11578,1170
12243,2943
12349,5157
6736,7810
8476,5420
4843,8038
3031,905
10149,4532
12384,2173
11288,1690
6185,6522
6987,1206
7564,6932
5993,6011
6884,3055
5311,5542
1513,2043
856,1669
3429,2696
8154,8338
11984,2593
2796,9987
1961,13208
1486,12762
824,10419
1927,4093
1920,3026
10033,2551
13775,4912
4058,4377
6373,1714
14044,7736
8133,6711
8547,10045
11900,11435
6474,9446
11524,1559
12634,2109
12204,2488
12990,2198
11565,1519
7681,8456
4868,6023
1908,3059
7709,1459
8129,8314
828,4420
4669,4568
4872,7567
4240,9217
11557,1776
12551,5145
11181,10931
2960,7982
5442,8743
994,6877
1113,6037
6892,4764
3769,13913
1735,12952
8442,8943
5085,1243
8519,6186
6746,4871
7186,7060
10093,4451
7998,8663
2908,7662
4885,5095
4374,7191
2799,7423
4435,1075
2368,1711
11745,3333
11171,5613
12724,3243
7589,7592
13353,5263
14010,4244
13373,3573
10632,2184
13444,7086
13373,7298
7836,10394
8526,6126
10568,2490
4871,5864
12408,2231
13567,3789
8509,10476
10860,10437
13002,12136
11441,1436
9821,2518
6414,1160
9391,2175
6284,2202
2190,11858
4257,4077
4415,5266
1318,10680
7760,3884
968,11079
5994,6325
9992,5229
8885,9304
11224,10989
1869,7540
711,1463
11995,1233
12543,3097
13269,4633
10350,9834
13167,3897
10707,10470
7778,5745
8508,9994
9327,2262
8578,13142
10966,7686
12464,1380
12423,1996
12839,2565
821,7167
9490,6258
8862,5633
11651,12764
11033,2142
6000,1832
6482,6559
13293,2849
7194,6948
5024,4979
11596,1815
4997,7549
5964,5862
11010,1350
4049,13301
2360,13283
8233,8093
2910,12678
7090,13678
