x,y
8362,7943
4484,3973
8244,1684
6994,1655
7685,848
2564,2668
7886,8368
7898,1002
11720,1438
9873,10214
3302,8998
7261,4881
1899,1759
12613,1591
9265,9427
13357,3657
7279,6573
4492,4065
5087,2251
7612,3224
13556,4427
11682,5670
12126,12982
9326,9834
13275,3925
10160,4370
3202,3852
10881,5326
8650,5513
10898,1379
10056,962
7500,767
6202,7164
13717,5689
11310,3491
7473,7457
7832,8416
1418,6077
1182,5672
10124,3172
9611,3258
13485,7340
10680,983
3966,9426
1424,8242
6208,1632
13484,3808
7958,6665
12232,2381
10866,4585
10701,4652
7970,8302
3591,13131
1766,588
8535,3848
12438,1652
7816,7250
7471,5093
11996,1822
4957,12219
3620,13620
4670,7332
7585,2299
11706,1232
3887,3548
8184,8059
8772,6334
5835,8829
7103,7350
8979,3482
13332,10530
13141,9841
8382,6860
2162,12224
2306,11845
13908,5772
8100,8293
11479,11421
8719,8613
3374,7218
4344,1032
8138,8603
8636,8910
3593,13225
5882,13838
1320,8458
12332,2674
8194,5737
12586,2344
13222,2671
12098,6800
13102,3966
13396,2484
11298,1488
11884,3762
2755,9835
10521,2668
11013,919
6657,1328
1914,1388
2225,12792
7542,7911
9662,10264
11323,1779
5919,6837
8633,12810
5588,13838
10936,12203
13527,2684
1376,12384
12776,1734
12393,11125
4076,13171
7217,6876
2408,13149
8275,6634
3487,13354
4798,13348
12402,11268
13037,11242
2426,12786
13008,5112
3660,3387
2149,2184
11130,8659
9031,5569
6921,7089
7960,6664
11802,5333
11828,11770
9401,1668
4724,10264
13823,4343
7971,7258
12937,3329
13626,2975
6410,12574
13197,4615
13138,4148
14091,5621
11509,8495
5371,5871
3667,2446
3857,2588
11314,1000
10044,952
13414,3411
11157,10124
12306,12878
11649,3933
8670,8010
13001,3214
5372,8920
12906,13414
1241,11956
8175,7593
10122,10125
8038,7419
8042,7317
11219,3298
7382,7686
11058,4796
6165,9125
5113,8756
13660,8444
8372,8164
3766,5180
1924,2470
11271,1767
12680,1851
13047,3296
527,737
10036,9642
10196,9686
8657,8676
11693,2012
7036,13742
11881,14096
9890,4351
13040,5336
1308,10463
4452,12448
1865,12297
6917,949
5400,1214
6153,8605
2593,869
8759,8748
9060,9004
13867,4843
817,10112
966,6392
6626,3080
10961,3321
12995,2191
5766,5302
11910,2614
4898,8459
10030,8686
13564,3219
14101,6134
4834,6496
6369,9563
10102,5361
11920,6810
12138,8525
7918,8054
4962,9309
7736,10946
6022,9166
11281,11509
13423,13740
12477,2439
3583,13681
9900,1553
5475,5049
13366,3467
1866,7746
1668,11450
12979,2609
11674,4644
4630,13582
12387,1600
10497,2765
12546,2141
11850,1269
13512,3875
4993,5218
1634,12335
3282,13056
2774,13239
5894,5660
6137,5917
8333,6640
2943,3070
7148,7347
4307,12007
13288,2638
7873,2158
6232,13396
9987,9772
6006,10958
7969,11785
11152,6202
9257,8704
7385,13616
11121,1063
3624,1693
9838,1429
1362,11910
11501,3015
3674,12957
2412,1890
11367,1422
9916,812
10568,1698
10707,883
13591,4547
13383,4200
12903,5078
12051,2689
13199,7282
13167,8265
11273,10141
6740,8624
9410,7996
7710,7350
4618,4988
2070,3225
11312,1240
3398,13228
11683,1843
9755,9155
9903,9178
1382,3881
1144,5858
1235,1859
10607,1285
11407,1179
1785,11564
5925,1495
11078,1588
1376,5096
12406,2504
7081,11020
12460,2728
9138,6390
3937,11201
3792,11064
11864,1280
13674,8656
2374,12796
10196,7964
13988,5569
6030,9002
10008,7043
13619,9161
12996,11496
5928,4056
8776,8701
6989,9464
9938,9680
7776,816
11086,926
10480,2210
9784,4287
4889,4813
10846,1516
2364,4360
5992,5570
10010,3244
8032,7128
10491,8973
10112,6546
11900,12164
10014,13718
12118,2766
1558,5010
1072,10898
13711,3063
11823,1701
10767,1069
7537,8296
13879,5045
14114,10448
13716,6612
7826,1416
8465,7766
12495,1776
7720,5256
13481,3278
7406,7644
778,10052
3173,13728
13389,7787
11035,12642
8918,5679
6400,2430
11048,1171
8727,4657
6555,7226
10118,6492
12638,13357
13723,13543
1325,6043
2732,6292
524,4058
1348,11014
2002,12024
2550,12544
3453,13035
2655,12339
4013,11574
9794,9600
11032,10968
11830,1321
10943,3685
13255,3353
13863,3344
8507,7598
3837,13352
4260,12178
9706,6328
12376,9688
12229,2377
13573,3578
13910,4331
9890,13423
5842,1228
11611,1371
10977,3503
3490,2318
4603,4652
10555,7489
7217,12683
3981,13949
6179,8184
13800,3875
12249,7793
12746,10999
12634,2282
5836,6110
884,10713
8593,888
5053,7706
6489,6703
4535,10440
4278,14064
6023,5116
8086,10162
10225,10044
10861,7532
10658,1792
8297,1475
11833,2186
2574,13391
3770,13554
6373,1159
7212,8142
13693,8184
4716,5247
12057,7290
8008,8458
8411,8745
7036,1360
6382,6438
10086,7785
11960,3062
8288,5115
1568,11260
11988,3864
1959,9764
5072,9581
12488,12721
1354,10928
13592,5062
4754,7716
3668,9327
9371,8636
11136,5799
8123,7097
13578,3534
