x,y
13732,4580
6457,12326
10199,10650
12033,12272
13661,12366
12609,10404
7386,3854
2497,8490
11944,2706
4782,7179
4655,5138
2706,5988
6105,6896
11703,9661
9213,8913
1168,7870
8826,9902
6813,8342
7901,2037
4928,8768
9155,6230
10546,13940
6140,6106
9924,4505
6679,7314
3178,6352
5739,9402
808,4965
2114,2378
2771,12317
3033,13039
2667,8466
4705,7411
5309,13259
8728,9064
7636,7138
10022,8024
13311,5131
7101,4836
5636,7858
13178,8577
13414,10413
7014,6745
5641,6459
6119,5864
6558,1662
5266,4875
9112,9422
11368,4432
2625,7284
3859,3474
11271,6214
3955,6413
5712,5447
14094,4808
5630,5143
11840,5430
6263,4939
9894,3374
6222,10682
5610,8662
6538,8417
11514,5802
1051,11249
3156,12745
2259,13339
2279,11895
3165,9101
5246,7934
12104,1938
1239,12125
2074,12200
8462,6588
11188,5868
1211,2719
8240,12346
6439,9714
5824,12786
10034,8381
3622,4656
9168,13973
13229,10437
13968,14053
9462,2582
3183,10723
1044,8828
6034,5976
6772,6212
11068,11000
3606,11216
12614,12374
14012,12243
12148,12350
7355,7238
4266,11648
10107,4574
10816,11312
4132,12490
732,8829
12232,2381
11240,6128
10689,4712
7970,8302
8702,4573
8800,1639
3023,7842
2703,4956
8535,3848
3179,4199
2944,11802
10317,4557
8700,5102
787,8100
7844,6426
5973,11111
4333,3089
7754,7410
1836,12614
3219,11725
3438,4965
6784,4807
4760,6070
4655,11585
6284,6472
4735,6465
1025,1662
7240,7752
7854,10673
12674,5370
6210,8964
11536,1626
8456,8350
3619,9524
6670,6670
10036,12002
9982,6211
13675,8624
11878,3804
12416,2864
4864,5972
876,4309
6122,3410
6280,10184
6365,8494
5532,11448
11962,10626
7783,5666
9813,808
7681,3629
6628,4551
4228,2617
10724,5487
6782,6302
5096,10282
10580,5122
8285,10091
5336,13522
13954,3666
7087,11465
7878,13597
12657,11747
7724,5902
11940,2675
6938,11349
10369,14118
6866,9749
9739,9116
11478,3584
9688,5856
13219,5706
13442,7352
6287,10173
7756,8179
14112,9973
11175,3980
9754,13494
12770,11984
10508,9936
10034,9283
4348,13631
11737,1811
9690,6231
5983,13529
9497,7073
8011,6448
8030,12318
5865,3625
4554,13891
12122,7413
10473,10368
13306,4832
13933,9133
12274,12343
13004,14039
2240,9078
7625,10061
3101,11950
4807,6060
9054,9217
7810,10712
11350,4715
4772,6568
11023,9755
12407,12541
9449,9175
12867,3325
12729,7355
9546,3556
11214,3212
2557,7198
9014,8346
9962,6764
8247,10241
4908,8334
7064,6628
6514,11370
9452,5930
1216,6893
12216,9110
9424,8994
5636,3736
6957,6928
5910,6245
11001,4263
3304,7343
2804,2544
2693,6510
11298,1140
11253,4605
1560,10552
8494,5894
13124,6874
13171,2230
6140,10374
5382,10196
6197,6960
5284,13829
12102,8536
11866,6857
9409,3458
3481,2613
4702,9354
7409,814
11293,3987
7497,5115
9567,9010
8257,7472
8735,8114
5699,7348
9876,8885
12383,12211
12489,11963
13447,3618
9923,2612
13693,4047
12702,2858
7744,8070
7967,11844
10974,11634
11775,13250
13506,2768
13858,5102
13420,4769
7078,9034
4753,11713
3693,13736
3326,6653
1057,5650
13058,2282
13851,8447
7840,8030
13452,7892
11268,11398
8293,8878
10835,1454
7622,902
8947,7899
12538,2857
11356,1366
2305,13399
1765,9562
1080,11981
3628,13004
1517,9653
3632,13236
4118,12288
2146,11971
10812,8660
1255,8530
10758,1440
8901,13975
8204,6960
4713,5458
13623,4885
2775,5773
12258,3174
2188,13358
8500,3781
4134,9734
2648,3414
9667,5933
