x,y
1211,11166
1601,10867
2661,12330
3898,13842
8184,8184
1645,11984
3945,13444
3185,1329
2240,13416
13062,5209
5292,9470
13648,9811
11253,12234
8939,3574
7273,7446
3204,6899
5682,1490
11414,4816
8087,6402
1432,1284
2800,4104
911,6239
2250,1578
6987,6210
10964,4728
8303,10206
12565,12374
12479,2187
11099,5459
7375,8022
7581,5998
13296,6627
4197,3190
9259,2005
2637,7185
9684,5813
10380,2913
6683,4690
11281,4351
5147,4662
10330,5679
9808,7042
7122,2938
6733,13116
8976,4255
6180,8276
6754,7584
7812,10792
9086,9177
10115,4833
7213,7770
8545,8778
6061,6123
4244,3738
12685,3115
12891,2423
6650,12715
13723,7697
8767,4032
8858,4273
10956,3731
7880,6567
2564,7430
8982,2171
6892,7062
9400,5839
9008,5945
7984,9841
9505,11626
13425,12863
13336,4581
7709,7567
9203,1510
10025,4796
7524,1190
1640,5998
8624,4393
7953,1783
9380,2536
6716,4338
9640,3484
2897,5079
6127,6731
5536,6104
10868,4931
7318,7010
6899,4737
10668,8782
9928,7984
7113,6081
10082,9029
4910,5840
10968,7729
9810,9447
9024,8925
12233,12134
9543,10058
9272,13473
13926,13378
4658,10107
5352,13340
13120,9262
6932,12796
9719,14009
3145,13480
1309,10707
8120,7712
3529,7268
1992,7607
9767,6979
13272,3277
8079,7748
6120,8448
8913,9124
9972,6817
6677,9543
10021,10622
11648,11357
7880,6663
10591,7534
13684,5650
13419,4784
7806,13204
8725,10097
3616,5138
9822,5771
916,11028
11936,11270
13549,12927
13284,11646
2445,12805
2530,13040
7852,8184
7298,7697
1325,8593
1532,8776
6902,8349
9395,9067
6707,7115
6288,9169
7854,8067
6494,9508
10477,2623
4991,10221
9158,9298
9255,1449
8661,5285
1639,10078
6504,4773
9936,3294
7774,4818
3415,6474
5904,936
9722,4108
7195,6367
9204,7194
7920,3474
7940,7504
11002,3948
8114,5475
1061,6755
1711,10367
1453,11215
2213,9573
4686,8096
4120,7396
2975,11295
3059,9875
10790,10334
6271,10132
9993,5436
12695,2024
12602,12220
2720,11905
8018,1363
8260,5578
12617,5542
9502,11492
7598,7894
13636,14178
6550,6562
6776,13587
611,3521
7739,7827
7061,7643
2408,9960
4905,3874
10090,1135
10275,5153
10162,9772
6392,2421
4166,4573
916,7852
8663,10527
4421,7117
1203,6365
8954,9824
3787,12695
1353,8707
815,5130
13183,2926
8054,7974
8303,7031
4844,5837
5388,4872
5964,14063
12893,13359
5072,9086
12864,1910
7801,7878
8200,7625
8931,6114
8595,9929
9590,11346
9855,5703
8069,1747
8153,7390
3938,2194
3986,12983
12878,9754
5960,6880
5777,6226
13084,4919
3690,4157
12268,2843
7217,6820
5155,2035
13030,2939
2058,13145
8564,2346
2574,4779
2288,7523
1595,4065
11566,982
9040,5644
7936,883
5988,2089
2724,1807
5968,8784
8654,13237
10229,7318
9185,2446
5633,13856
8012,7317
11188,5039
12545,2029
4530,4768
10635,1420
5600,13727
6912,4930
13069,13580
9694,8830
6452,12489
1348,8176
5717,9314
7489,7333
8533,8922
6164,13303
6147,4082
3324,9206
10870,5408
4158,3257
4860,2890
9624,4423
7097,3811
3505,10421
11591,4543
11087,4760
5850,5962
11659,1461
13962,5154
12659,1998
8446,7628
8633,6339
7262,6922
7112,8900
8654,13808
7774,5960
5014,8433
7735,7207
1445,3016
12900,1977
12840,2079
9849,5236
9744,9447
8923,6607
13401,4466
7552,11200
14099,7228
12236,9279
6665,6767
7455,9974
7797,7084
7124,4910
13594,13059
9224,9559
5144,13159
8402,10341
10014,7019
13138,8079
6689,9431
7445,5869
9100,2322
8400,8064
3235,8056
7801,7436
9901,4373
4304,4968
4240,3730
10357,5495
11032,1904
5392,13697
12937,1889
2571,12183
5715,5990
974,4613
632,2758
6814,8198
8074,5722
9895,5744
8543,5933
13665,8680
10861,5318
4824,14072
10541,7468
5450,10608
6993,6617
6968,6941
10982,4350
8181,8109
9699,1217
9756,4528
7656,4987
4880,9606
11821,7394
4567,10203
1973,2111
12510,5804
6592,11330
6075,5962
2036,7864
6166,1948
6107,13762
7958,1275
7308,11139
1969,7529
11737,3442
9609,4230
11009,3755
3758,10417
11812,6954
3767,611
4160,4423
3213,11531
6138,6867
12947,2214
3347,8432
4724,4783
6976,6270
8703,7489
7814,7196
2611,1699
6761,4820
3617,1037
1366,10043
5486,6328
5174,10606
8644,890
2414,775
7557,7559
8775,8147
8940,7593
7053,9653
12060,6605
11122,5730
10285,10769
11251,7108
6911,3127
4810,9184
2382,8452
7179,9625
2608,12289
9969,6808
997,6946
11377,5688
11109,1983
8750,5452
7803,7501
1154,9900
5355,4905
8338,5446
7587,5125
3695,3239
8851,9985
10224,5538
9798,2616
9621,9934
7818,7120
9604,9076
10426,11524
10439,5190
4011,9568
9125,11373
8856,9352
6273,6993
6640,7205
7597,3359
8343,3571
8084,8194
11242,6012
11829,5136
11416,1383
7464,9874
1124,6274
13910,3511
13067,3217
10032,7736
10754,4915
5056,9182
13280,12496
9748,2543
12949,7178
9214,6373
4753,4192
13826,4372
10737,10421
7727,6853
6272,6444
11548,3446
8979,9545
6304,977
6254,7018
7499,7823
4430,7062
4566,10246
2686,1971
5115,9364
10623,2976
3680,9066
9354,7256
2038,11780
9612,1432
