x,y
7703,7248
13312,2154
5799,5919
6130,6488
2989,4105
2698,1525
840,525
12081,1437
9890,9832
8296,6937
1584,3294
4759,5090
6562,1601
11749,12239
2776,1193
11705,4323
8313,6259
12309,2873
13528,6687
6182,6593
11889,1717
8712,6210
8260,7325
11534,5652
9248,7462
6296,6508
8789,8981
11552,11160
9676,11640
13222,2369
9051,6191
9651,6004
9472,6270
10938,4240
1860,7733
1604,10100
9356,13878
8283,8590
8508,8750
1764,12424
7008,8868
8575,9885
13968,7521
9230,8632
12773,10519
1902,12512
3375,12968
2091,12074
1396,9117
5884,6648
7164,7535
3070,9681
3202,9491
5560,12740
1506,8350
8196,8187
7772,7787
9944,4660
10710,2696
4712,6858
10078,3952
4565,2635
10363,902
10431,881
1112,9544
3872,1513
4089,12246
5077,3262
4215,10216
4007,9747
13187,5715
1108,10182
1213,10673
1549,13039
824,10535
1097,10098
3331,8315
6694,9722
8887,13920
9268,5364
10922,8558
13644,6062
7572,8015
9094,8788
8586,8436
9846,1632
6336,922
3536,8626
10390,3158
4779,6186
4528,9392
1468,10596
5582,7604
4499,6972
10048,6672
1018,11512
10208,6711
3690,3840
4238,1402
13535,3165
13559,7213
5620,4951
3746,4682
5303,9086
4665,8064
11738,4322
11970,1514
10591,2688
11748,7322
13105,2128
8284,1277
8340,6235
12787,2255
13394,10680
5749,13006
7707,7980
8210,5826
12762,1739
12106,11068
6428,4593
13553,12425
1581,11472
13185,7220
5139,13917
6308,2396
6475,2442
11469,11086
6191,10207
10984,1878
7505,13774
1278,6980
1757,8005
6258,4365
11904,3307
4839,8347
6496,9124
1840,11400
13151,2072
11310,1064
12396,2384
12835,2922
13163,2462
13513,3749
12358,1987
8442,6483
7424,7128
5379,7523
11555,9768
8034,13665
10778,8720
11189,11041
12286,12102
13117,2019
11740,1852
11030,1126
5473,6342
6660,6186
13498,3079
10651,1614
4070,12800
8984,5790
11760,4521
13658,10468
13745,10333
13140,12756
12677,12315
1981,12452
6537,9622
7312,6813
4269,9256
3997,11333
7446,6782
13536,3478
5856,7374
3612,10260
2512,8599
2333,13289
2380,9886
6280,6337
12459,1646
12185,1382
4458,5969
2287,11937
11832,7571
6590,7241
1089,12127
1230,12146
8648,8084
12960,5106
12139,1581
9383,921
10032,1651
13328,3150
11291,5559
3881,13996
10127,1324
8203,8061
10322,4864
1466,11188
7382,4905
12920,7360
9757,9562
9868,9710
10163,8137
8942,3711
4850,10136
3633,8982
3420,7097
2816,6196
8608,5463
1637,8001
2694,7416
5728,5954
7805,8075
6568,6793
6294,6284
8400,5458
6036,6196
5833,5424
8804,8219
6193,10635
6092,10156
6823,10033
2742,8432
11058,5537
8845,11372
11284,7045
11788,4089
2268,13506
9730,14082
2228,11887
1262,6403
2814,12936
11591,1825
8259,7515
7635,3164
6600,6374
4254,9896
14046,10744
13756,8706
9757,4503
14142,4615
13550,2600
13642,12200
13812,11404
7045,7551
7351,7839
14012,4150
12796,7333
8628,8682
9329,6368
3742,13541
13641,4537
4174,7429
7814,3890
7718,7385
7137,8147
3813,1849
5724,5058
10015,7803
7620,7280
13984,7085
4973,5458
9756,5508
1847,2131
6567,894
11960,12969
6676,4754
2036,12354
2912,12506
992,9502
5448,5822
6267,8520
5680,8823
2887,11213
7021,7200
7823,4950
7012,7219
6763,7067
11115,5662
1734,10898
8047,10230
8772,8412
10093,7538
10008,8232
9836,9145
13436,10207
9274,13536
12390,13899
10606,903
3772,12695
8106,6589
2561,12369
12714,5061
8682,10677
3890,13261
2717,7641
3560,8983
2591,4901
757,1825
7402,6159
5370,5366
4620,3841
5155,12188
6776,6458
3573,9688
13984,5088
7325,6376
10780,4537
1172,10780
10365,13927
1208,10334
11004,3506
5294,5601
13358,3866
1050,10819
8029,3469
4598,1201
1601,5466
5836,4934
7558,5949
8665,5028
9110,9495
11361,5497
3952,13989
4895,5212
5953,6115
13395,2615
967,10843
11039,1288
8594,5829
4558,4387
7455,1068
7165,1041
5785,5856
4634,5521
1180,12240
2858,11428
4255,12290
6559,8162
5264,5005
2992,3453
6496,8054
12391,1651
12776,2950
3554,13883
4066,13642
6774,4820
5994,8592
10878,894
5791,832
3852,4311
2669,1691
4544,13758
12358,2328
8275,13189
9358,9885
8094,13328
8279,7197
9992,10577
7922,9601
13404,7080
12428,7290
8912,5930
5570,8744
13361,10508
8198,7549
6003,6723
8671,5308
10699,856
8463,6591
6926,6910
13690,6945
9637,9177
9444,5340
8488,6773
9602,4158
2690,9888
1390,11339
5403,5077
3538,2962
2858,2512
4669,13708
11590,1790
7984,1352
9304,9162
8733,8519
7547,8196
12893,1939
14115,4810
11018,4832
8911,8767
4917,5798
3135,3473
8744,9797
11594,1258
11850,1590
9816,1291
10647,5316
6797,9827
1008,9112
3504,13530
2944,8043
1422,11769
7398,1394
4495,9370
5404,6186
12651,1738
10848,939
1677,7547
3705,8311
3906,13291
4559,11722
4209,13341
2566,6529
953,4519
13731,3739
5882,9352
6798,8347
10123,5164
10412,1178
6944,6805
10561,3514
9308,2205
13497,4011
1662,11540
7368,11624
11234,5531
13682,2995
10484,3042
2580,4907
8305,6138
8506,5892
6978,7732
7986,7816
7284,4752
6050,4946
10406,2558
6322,6644
3428,2744
760,1656
10609,10239
6365,6605
6655,7229
13520,12956
10020,987
2004,12491
4798,6172
1300,10484
2989,13070
11904,2418
11182,5610
1980,13319
1470,8812
8156,8591
13379,6655
3381,10890
1367,8176
10561,2653
4578,9458
1044,9558
8311,6906
13687,7735
9422,8831
7737,8254
13540,11072
9030,6186
4277,7390
8302,2213
12748,2665
10659,874
11112,5774
12079,6267
11727,6909
1276,7047
2993,5351
1283,11232
857,7138
11906,1204
4560,11947
10649,4805
6669,9119
10229,5584
11799,11136
9837,9836
12174,11166
3240,13707
11270,1396
6014,5973
3998,3671
8018,7851
8012,7738
1476,8334
7758,10042
8910,8354
11785,7776
10812,7568
