x,y
9469,1943
1289,11650
9231,1353
2742,5284
12588,2586
7526,5792
11395,11372
6628,4633
11974,11412
1169,7525
11079,1970
8774,5552
13263,2346
1293,12130
1752,7321
9062,8358
2370,2400
6765,7930
6729,7771
8139,8744
3269,601
11375,6146
8778,8700
6862,8023
3117,7407
2675,12616
1448,11400
1148,9668
6374,10106
8885,3608
1633,12736
6671,4687
9337,2220
3098,13206
5161,12374
10627,9830
5854,5829
4572,4115
5136,10809
10234,5952
5757,5884
6548,6805
7966,11823
11436,6193
10053,10647
10286,8271
12952,12825
1531,9397
9928,6351
8032,8048
3609,9679
10492,4786
13124,9768
8913,5603
6510,6670
4655,4912
4982,4569
4574,10021
3933,1599
3969,1538
1920,1275
964,11072
2441,12951
7262,6955
13130,5642
8213,7401
1610,9332
3399,4222
1673,11716
844,10224
13504,6337
3427,3041
1035,11053
2124,12073
1397,7434
2887,9630
1228,6423
6520,9081
4501,3927
4576,13558
4628,14074
3897,13575
4512,14066
4936,13274
8175,7477
4175,13267
1274,10791
9427,9446
1882,11675
7019,7004
6218,6240
3188,9249
8266,762
1587,8153
3180,6901
4559,4236
2339,3800
5862,5295
3694,10204
10104,5641
13422,6658
7714,8192
6865,12848
10934,10293
10020,9595
14075,7165
4091,1140
1362,11582
7702,12340
10341,5578
6396,6255
2452,2376
6274,4855
11881,1700
10758,1110
4912,5959
8850,5949
3715,1741
3140,7488
9014,2082
5874,6758
8595,8051
4266,12427
6789,7393
7944,11068
3432,3548
7985,7764
8290,11712
11892,13050
926,11461
8250,10249
2261,11826
4493,13403
7504,6825
8808,1281
4512,6438
11786,4028
2683,5562
7091,6677
3476,1819
3313,13190
1690,12769
1263,11782
1105,11043
3073,13547
2051,12841
1530,9233
4845,10280
5806,8463
1512,9286
6446,6340
6714,7737
7551,7068
979,10757
7511,7519
5740,6078
10444,9852
5406,9530
13469,8727
12308,7397
3262,12821
7283,6812
13548,7934
11193,4306
3799,12850
5909,12751
1422,11389
1043,10276
1514,9854
4037,7356
5330,6099
3986,4326
4405,1039
3165,3525
3299,13388
7993,7800
2864,11610
12211,7242
4791,9741
10737,4497
11017,3869
5981,4945
3169,10979
6328,4927
10825,4525
4875,5451
9537,4319
4878,5000
12047,7414
6711,11457
9941,6844
6312,9096
13788,5105
9786,11117
1588,9921
6465,4831
5797,6563
1154,10450
8697,8306
8931,8747
5176,13517
4148,4549
2932,11272
1351,12378
4183,9800
1332,9523
1124,8129
8119,5312
2748,5914
3982,4939
4784,4769
10742,3405
4650,10259
9278,3368
3442,7142
703,2854
1812,11507
1508,9986
3050,13807
11102,11566
13635,12757
1343,11117
1231,9999
13468,5033
12128,1382
3724,9850
3835,9788
6258,6087
2947,9645
7044,893
1539,726
9894,5199
12294,13996
11559,1328
3514,9238
6457,2594
1582,8326
1993,2204
2141,12494
11790,6645
4491,13212
6973,4120
5626,5965
7342,7736
12516,7308
10320,8379
11195,1858
2302,7634
1056,6193
10123,5551
3210,3985
13373,10799
7997,10064
13236,4775
4776,10287
8660,3893
1116,11642
8770,8500
8068,6522
9919,5634
1099,5635
11287,5515
12670,11943
3472,11241
11724,2063
7918,908
7891,917
5008,3325
5709,5211
8756,8121
13810,7104
8506,2479
6795,7537
2137,13097
4141,9912
5942,6269
4134,5970
3292,13050
8980,7752
5274,10814
8813,5456
5495,5238
4382,3105
3347,13753
2188,13422
7896,10607
12092,2820
8148,13543
11495,11067
1750,12693
1269,12238
4010,13964
3602,11614
8116,8763
9083,8413
1190,11509
3437,13262
922,10761
1117,6785
4024,2972
3605,10383
6696,6552
7725,3319
7543,2453
2333,1345
1645,6227
4408,9699
7626,8400
10025,10084
10550,5516
5101,1736
2670,1500
1650,11556
2246,12512
1358,11390
8828,5471
10058,5218
7027,5083
13143,2791
7549,3625
4526,5142
2450,4228
12569,7200
11510,3143
11054,7509
4802,8171
3122,12860
3773,13275
910,10643
2119,11913
7184,6736
3360,12992
6792,13213
11928,5544
6372,4769
13579,8949
8653,8629
7946,1455
14091,6892
8350,11656
7112,6826
12838,13500
12939,13622
1280,12391
4701,14045
1012,11248
2637,8174
6402,1309
8824,13637
840,10354
2626,12191
685,3760
1930,12404
1213,12111
2329,12651
4866,8265
4225,4393
1798,3406
4183,13579
3886,12981
8887,6232
10018,8710
7764,13408
10245,13597
1640,10304
1767,11259
3098,13678
1840,12534
1368,6607
6394,1516
2691,3240
2716,2313
2153,2029
5688,11484
1175,7010
3418,797
4230,3871
1239,2046
1581,11472
3541,12894
1701,12089
1812,11685
2619,12560
5312,13095
13232,11015
10345,10501
1962,11625
2144,12012
6478,12405
2923,11168
8190,7261
3503,13159
1181,10357
10248,10416
1715,11363
3412,13428
6596,6920
6380,6461
3431,10898
13922,3624
5037,5349
4850,10273
12764,13038
3799,13617
2056,12065
10755,1094
1499,12073
11684,1990
1687,10807
7021,9673
9470,9544
13704,3256
13575,8282
4491,9656
9954,10314
11134,5789
8071,5269
10221,5454
13504,2726
8338,5653
5656,9094
12232,12984
4487,13738
2111,13226
4567,10191
12179,2245
2470,3528
4102,3272
13390,4479
10653,2908
13704,2899
14109,5771
7235,6613
1171,5516
13712,6539
8443,5625
9609,8788
10014,10024
8623,8288
10621,2160
6084,6228
9459,9158
12031,12472
4366,12181
13360,3686
6715,9159
6170,12582
13438,7877
6552,9425
1356,9799
3444,8719
1981,12465
1171,8785
8473,8273
4147,4745
2408,1797
12259,1374
11902,2933
9822,4208
8467,11612
10056,8795
5335,1578
5335,7654
1679,7754
1645,12689
1376,11121
12956,3307
1342,6663
9929,1036
12453,4954
7080,1314
11284,6644
5696,12986
5648,6415
5073,5006
9498,10065
8814,8948
6919,7987
7061,8091
11656,7698
8248,5149
4986,950
630,3907
2081,3167
6260,6304
5613,5097
9902,4547
4391,3956
2015,11692
4150,3671
5312,4964
2044,12318
3549,13136
3527,11282
13113,2888
9451,9766
13002,13634
3469,10227
2832,12219
8876,5680
1093,11477
8730,8083
6688,7205
3013,7800
3801,7954
1595,11519
4107,5970
2679,12348
1655,644
5291,9140
6464,6544
4776,7086
6960,4689
4227,3766
8388,8311
12399,5110
13478,12800
5421,9428
11521,6489
9630,3331
12258,2672
3810,11247
6502,4832
1076,11410
10833,4669
2718,3986
4286,1762
7166,9826
11277,5984
1794,11707
13645,6407
11104,11018
12978,13633
3352,11742
8586,1247
8812,8490
4718,4026
5186,1132
1914,12559
4474,13781
5390,6130
2593,11708
11486,6407
2592,12441
4213,13746
3600,8755
3220,10959
1525,11417
4452,13292
4553,13581
7617,13640
5997,13254
5783,13821
10865,10263
10776,13203
7218,3235
11873,1332
10544,5227
5724,6544
6498,11284
2287,11937
2244,12427
1230,12146
1206,12474
8648,8084
13414,7627
7811,7981
7563,7416
12307,3004
11103,5558
10604,3286
7232,7844
8667,9191
8018,12181
9991,4690
2789,5002
3436,3888
9954,7400
5685,4998
10186,9755
11925,1459
4650,4738
5126,1418
4736,9592
2724,7656
8159,7627
5854,12793
4162,13560
5958,4950
5830,5630
6254,9862
669,1392
3547,13446
2106,11782
1761,3931
1534,1237
1489,11549
1387,11038
1044,10187
1562,6289
912,8074
3541,931
1688,7556
1277,1932
3206,13269
1234,11462
798,8093
8342,7575
9564,9798
3672,9404
11828,11969
13510,6630
5204,13550
2886,13133
1906,11644
6596,6298
3656,4812
6198,3225
4256,9701
3147,10809
2477,12947
4714,13736
1554,10990
3004,11283
3145,12963
13433,7668
11110,8952
1326,9650
7115,7418
11178,1470
7636,1226
892,4702
11499,1258
6183,4496
6837,6627
8829,8826
2798,4056
7776,7284
6394,9285
5230,5042
10167,9625
10123,13854
3946,10130
5441,9182
11691,8056
8578,2342
5151,5617
6532,6460
6288,1074
6909,9819
13366,5978
3776,11449
5687,8709
1824,4396
2682,10006
2403,12289
1437,8750
2824,6158
3431,8653
8955,9404
1798,1309
11313,4996
12488,7316
9497,1615
11428,6319
6634,7838
6840,8218
7513,7824
5794,5546
10344,5646
7795,5396
9786,7366
11261,5492
1794,11063
8444,2416
3026,5404
2996,1497
2662,12487
4427,13418
3715,12822
7457,13584
1284,8681
1222,6833
6838,4589
8030,5509
5888,7121
3622,3983
3217,6781
13225,8000
2068,1974
2328,12054
1159,9171
3286,13754
11272,8286
6311,7200
12078,1759
6917,5390
10154,4378
7675,8753
8277,1251
4219,3401
9868,6208
1312,9759
9003,8944
11227,5076
9497,5927
6945,9468
7081,7650
11613,3289
11709,7963
7192,6763
2312,9809
3751,10612
6178,6718
5710,5873
6999,4262
5076,5171
