x,y
10001,5451
4516,11825
10273,11074
7636,7798
5482,13777
13676,13851
7421,7559
8182,8533
8656,8525
9210,8566
11454,5623
6028,13243
12870,10434
8907,11136
13262,12293
9224,7384
9121,6348
6500,12811
10628,10280
13945,14334
9455,9688
3328,10359
13114,10682
9544,13312
10557,12005
6193,6572
6934,7262
7314,4628
10912,4942
9070,2418
13698,12957
7719,8205
4819,8801
13623,4999
11578,11328
8769,13830
7406,7021
5576,13226
10062,5549
6656,7002
7457,7638
8916,9177
7659,7129
7330,6898
6774,1145
5160,5224
8240,7978
9123,8832
8959,9925
10682,10438
11485,11874
13197,12247
4580,4865
3276,2919
8793,8853
8710,8125
11012,1309
10996,1408
13018,3538
6028,6339
5408,5923
7445,6847
6188,6537
3746,3327
7403,6934
8942,9058
9018,7583
9388,8656
6853,6957
10690,10973
12595,5206
8614,8525
8264,7534
8549,8266
7006,9282
6954,6738
6321,6790
10285,2712
6863,6957
969,4931
8005,8227
2363,11955
6353,8782
9208,9005
8171,8153
8132,10104
11492,11095
12401,11786
8453,8907
7884,8300
3532,13526
6401,5003
8329,8597
864,11030
11694,10745
13852,9379
8130,8456
7256,6696
8082,8253
7178,6106
11422,7547
9157,8561
10163,1348
8560,2193
6275,6683
14128,5078
4249,10096
8404,8092
6306,6644
4386,4980
4926,5754
8147,8359
7555,6764
10249,5617
8705,8762
7889,7743
13964,9695
13192,8135
7777,6983
5688,4959
1594,3243
2650,708
7861,8497
7152,6512
13464,7986
4831,8312
10796,10342
13411,12580
8602,4490
5803,6629
8052,6500
9029,4605
2522,13112
5665,5066
7599,8250
774,10174
4573,8032
7491,10051
7594,5200
7950,7574
10041,9603
14041,10805
11525,6462
3806,10746
10881,5326
8650,5513
7445,3750
6058,6886
5903,8434
6562,6436
7246,7139
3416,13236
7163,6134
9079,5989
6165,7237
2438,7200
5200,5735
3618,4006
3933,1259
6622,7312
6931,6449
6208,7159
7288,7565
8890,3662
6685,7485
7450,4673
4602,1247
1463,4705
2786,578
1783,3369
1798,3696
7840,8372
4926,5933
3307,4083
13142,13666
5866,6596
8494,7498
7820,7211
6168,6703
6055,6459
5754,6097
7015,6263
6725,6378
6202,10599
2547,8521
6060,8464
1774,960
4139,4854
2474,1104
5998,6488
5997,6327
7324,7598
12184,9095
5769,6543
7541,6957
9598,2443
6305,6414
4910,4966
4816,6556
4618,6374
4044,4094
3542,4259
3336,2335
7763,8488
4952,5475
7188,1569
9145,8422
7473,6898
8301,8191
9865,9207
9093,8332
10597,9993
8174,5279
6958,7122
5525,5441
5855,5319
4936,4428
2225,1968
14022,5744
9222,11406
14202,13247
8137,7674
12078,3428
8801,6044
7624,7217
10640,4627
7948,7701
2931,9229
3620,3454
8651,4790
5888,5869
6085,8381
1678,3154
6204,9407
3508,8469
6152,5758
8262,6932
6531,6672
7913,7862
7522,11798
7157,6075
3168,8134
9835,9572
12622,13734
8296,11843
1884,1801
8409,5358
7871,10104
8494,8007
4980,10556
7226,6132
6860,7329
6510,9448
11434,8209
6699,6966
6630,7124
6084,9163
6438,6222
7036,6892
6791,6558
6073,6352
6764,7419
6783,7133
4334,5024
2599,7421
2631,2800
5957,6159
9122,8359
8083,8031
7936,7260
8763,8670
7728,8119
8026,13565
7619,8736
1285,12327
7213,9063
7723,2348
9110,1282
2925,11301
6628,7649
4656,9243
11491,12097
8533,8515
8120,5211
13211,7883
4080,13590
8142,6731
8198,7027
10617,10843
11810,12188
6299,6584
6467,6966
7020,7184
5701,6499
12186,11918
6297,4923
7706,11347
11005,13981
8712,8282
5719,1617
3608,8888
2559,2853
8434,7702
7465,7028
8409,6790
7983,8173
12294,11094
4600,8154
7179,7996
12656,7195
7052,8313
5939,6585
10822,3497
6296,6508
6792,7015
8954,8991
5966,6602
4871,8368
11018,11376
6829,6872
7346,7894
10791,10046
4319,3843
3278,8220
9111,8836
3862,10354
2113,11803
11293,5156
10170,8121
10009,10563
6424,5908
6507,6391
7362,2973
7800,8016
7512,7822
4745,5232
1125,10854
6117,6313
2917,7516
8819,8147
6312,8055
5182,1046
3890,7293
2212,2304
7119,7285
9259,8496
7189,7548
8863,8154
8476,8550
13389,7622
5591,6039
10176,10432
13316,4460
12367,13178
10834,9956
6544,7219
6103,6401
1281,10553
1238,7894
9252,2499
1262,11242
6657,7092
4091,9760
5537,5517
7784,6882
6766,7028
6017,7030
934,8868
6315,3347
11816,9411
