x,y
3994,7272
12277,2401
3756,11002
12617,5301
13474,8902
1774,11376
6125,12725
5983,12749
7396,13992
9980,9106
8834,4560
11508,4390
10062,8960
6541,8412
12000,2128
12353,2801
10879,2193
6248,13612
8098,8724
13646,10409
13491,12685
3576,13640
2848,13076
6292,10185
1349,12180
11306,12310
13494,8634
11020,1803
7850,4822
1384,11310
1448,11651
827,8901
11132,1776
9617,6374
7736,5014
13328,4769
12055,8421
5712,9358
11459,3888
8618,4087
12669,2534
8005,7083
9389,1189
5454,11388
8003,3472
1802,11734
2771,13240
1176,10817
4578,13144
11412,7088
8620,9210
7585,8444
10191,9654
2116,2652
2433,12754
8194,8164
3221,13703
3643,10168
8192,8184
5480,3616
1691,12951
1155,11797
8422,8234
4077,13203
8203,8744
9622,10203
9975,10443
8585,4841
11912,1419
9289,6372
6536,6270
10057,6326
7938,10068
9925,6864
8356,6183
10342,2320
11993,2369
6890,6702
6710,6372
5110,5334
7222,4552
2539,3069
1773,10945
4152,13336
7813,13556
2820,9934
7871,11110
2594,11634
9157,8508
5752,9214
1314,11386
1270,11468
4282,11742
7399,6757
1800,9651
1487,6996
7346,7952
4653,4283
5572,12444
3953,1694
2400,2049
3806,4316
1199,10777
3602,10618
11288,1721
2245,12782
8795,8824
9289,2192
6042,7228
7528,7077
792,3690
925,11185
8462,7910
12928,12482
10071,3255
6792,1560
9188,13668
4682,9260
8680,6172
1296,11238
1049,10926
2740,8050
4599,5150
3024,2770
1501,11675
4427,12157
5163,4720
4403,7435
5615,1275
1822,2156
3574,13881
4349,10093
9417,8890
13116,4676
1080,6678
3468,8654
8448,1387
7147,4600
3853,11161
1114,2945
4369,4728
918,4148
9356,9918
3723,11409
3246,13936
4253,13280
5909,6286
6650,13249
8051,13216
6598,7692
11245,4447
13207,10212
7457,6225
6882,12681
6196,10396
8753,10578
10128,13568
3270,13519
1531,9798
3355,13489
5026,13967
3110,13300
1211,10401
4138,9254
998,6834
6570,2594
1539,7178
2996,7410
2275,7384
2176,3006
6424,6209
4493,13735
9909,6393
6394,7936
8157,8706
3693,13233
3774,12992
3858,12972
7091,11382
11677,7472
8628,12264
8290,7867
4588,13832
3275,13136
5754,5346
2560,5475
946,8558
1002,5416
7474,13387
5693,12759
12417,9432
8836,11474
12286,2263
13338,2561
11688,1662
13255,4992
10489,5194
5558,5696
2397,11685
1248,11107
1805,11188
1326,10692
2482,7618
11858,3024
1993,3378
1442,1016
2920,12828
834,10674
4231,9655
5977,14031
1385,10840
743,7803
11209,4037
12876,13510
6704,9180
14082,5888
5581,3491
4455,4336
12600,2435
13249,3168
13303,4453
12249,1337
6109,5187
6685,9239
9982,10958
13418,7510
12434,5996
9963,993
9321,1321
4833,5350
12308,4696
4152,1149
1286,2093
12656,2044
10082,8840
10290,9996
11072,11000
10058,8359
8562,5494
7574,6608
3524,3404
11283,3727
11865,6750
8596,5642
9540,7174
5015,5016
10502,5514
5725,5645
4866,8864
3249,12931
10203,10057
7637,8610
13858,9331
3638,10591
9713,10237
9569,11622
8941,8266
5028,9756
8242,10194
7356,11454
14035,8076
12205,8671
4468,13372
7216,9751
14086,14223
3164,12810
3510,12935
9112,8956
10330,12385
7315,7694
10573,5136
10102,8034
6139,4244
10562,9963
