x,y
13016,14078
12043,1225
8130,8302
7253,7612
3277,13399
3460,12993
2005,11957
10354,7487
10514,7631
6981,13400
9194,11315
13365,8564
10768,1348
6812,4518
7150,4832
13793,3986
11953,1347
9400,5793
1103,11770
4849,7532
7560,3137
2068,12138
4853,13865
5547,5322
8362,8850
8719,8735
8814,9055
8922,8768
6086,11215
9019,7419
2146,2818
5357,7740
8008,8284
3683,9788
3940,4610
960,11045
1806,11453
10028,965
14092,5325
13254,5299
2962,3614
5383,5560
1111,12119
7711,3351
6492,6606
4185,3047
936,11218
4756,14057
7412,7984
5140,1080
2504,2398
3066,11514
2631,12537
4832,13238
1762,12148
5661,9044
6356,9086
8270,6940
8670,9862
13008,12978
7017,9542
12375,1496
1072,10228
3278,10466
9640,3094
11968,11546
12588,12826
7725,8321
4652,13821
8931,1573
2775,8159
1460,3280
1381,12416
7083,4518
6259,6172
3495,10292
3396,10070
3707,10491
1765,11237
6344,9644
6922,7430
1384,11097
2159,7455
3391,6751
4345,6198
4741,13919
1043,11163
9012,9256
10194,10807
8550,11595
846,10436
8204,8682
3926,12484
1354,6956
799,7972
4664,12239
11329,11408
12172,12224
2067,11699
5186,13637
3404,13827
2526,12272
4179,13433
1660,9749
4935,13632
1086,7872
2576,9868
2769,4256
705,4601
10084,8665
6687,13499
2465,12695
9409,14113
4304,13205
2353,9049
2491,11781
7598,8059
6734,6465
4156,9768
5090,5132
7277,3398
4975,8422
4012,13374
2995,11603
5578,13028
9757,10295
8636,10581
11608,11204
11532,11218
12828,5122
6696,1383
7306,932
1286,10270
3535,10513
863,5057
1039,4801
2038,2511
2440,12576
1731,11048
9732,7348
12483,2349
8286,2098
9997,1225
12159,1394
12681,5863
992,3695
13254,2486
13660,4072
9491,9672
12044,9110
9056,9274
8046,8132
3036,13106
4464,10556
8685,11857
8934,12820
8041,12379
7113,7852
6790,6455
4841,13542
3268,10530
8462,8242
10675,10424
11762,11103
1289,9473
4470,9211
13889,5366
13819,6523
3556,13344
8372,3473
2094,13172
2456,12081
1738,11641
4472,13474
11151,3445
1776,3397
4152,817
3795,13578
2309,12796
3070,9437
5255,12487
1176,10525
2978,13178
10734,2836
6753,11392
9024,4148
8796,7690
3786,3243
3911,4362
4025,11449
7687,7137
1277,12079
1292,10797
2051,13234
8829,7335
10245,10589
8718,13399
8233,13227
1841,2199
9657,1596
8167,5308
5308,5001
1404,4893
5058,13839
1090,11446
1763,12187
6332,4894
9796,9438
4374,4742
5317,10636
13443,5106
9996,4569
1480,712
6614,6386
8802,8588
1186,10968
1772,11639
1785,12209
1169,11055
1450,7276
1611,7235
6606,11403
13949,6455
8587,11876
9887,5752
12915,13916
13252,2405
7104,14098
12911,1967
11848,3872
10839,4645
8674,3869
9031,3444
9540,7186
10241,4962
13646,12844
11819,13068
5805,13856
6030,5929
2084,12435
800,10553
1244,10945
5620,5498
9437,6149
5778,1343
4642,4400
13356,3675
13250,3930
5731,13891
13421,3180
6298,6812
8718,8310
7971,7285
6231,6722
3213,13824
1916,11452
10846,1094
1491,12343
3121,11581
5621,13556
4556,5293
8041,5212
9880,5712
7117,6984
11689,2076
6187,8722
9868,4586
3550,12972
4180,13338
4461,9502
1417,9997
5572,5272
1660,8395
2541,8559
10808,1028
4868,5718
7246,6502
7807,2344
9217,1272
8017,5227
8416,8588
9003,10976
10031,10032
8911,8729
12900,11622
6552,6197
7052,6232
1650,12902
1611,11093
6102,8733
11892,5283
10280,5264
2867,11301
2844,11434
10479,11834
10238,11006
3647,13390
6224,10446
14019,14019
4180,13862
5405,11406
11396,981
7065,2537
6021,6469
8203,7370
9381,9733
8144,8424
10295,1358
8911,8305
