x,y
2183,12351
1063,7013
1279,7569
3829,13179
2779,12713
2265,12195
8258,7357
8636,8364
916,11522
4148,13606
4198,9810
4985,13930
4920,5229
6195,5771
10589,5498
13390,2640
8265,5524
8655,9099
4841,6049
9478,9164
8733,9298
10002,9498
7145,7276
7322,6219
5694,12363
5116,3774
5903,5227
970,760
5905,5955
1671,11781
2112,12326
1328,10378
3406,13458
10125,6801
11482,3950
9724,9648
9472,9638
12924,12880
1086,12265
9007,9964
13415,13777
2214,13306
2244,13390
9182,9946
10844,10618
8929,9958
12624,1676
963,10810
1410,11832
1885,13187
6762,6938
11840,7004
3795,4432
13608,13366
9787,3155
1933,11800
4740,9715
7875,894
1126,10268
3365,13697
1980,9589
5870,1073
978,2790
3245,2642
4114,13164
2692,12648
9120,982
2621,12105
2451,12593
9688,1761
7899,3341
8161,10286
4862,13954
2976,11558
2900,12060
7082,3837
3760,6548
4764,5850
11175,4196
947,9939
4792,13488
1104,11242
10964,11247
3661,11171
4458,9906
3210,13193
1149,12336
4992,13172
4960,3780
6984,7813
11218,5926
4748,13626
13079,7765
7565,7734
6203,9659
4620,9587
12218,8600
11020,10656
10822,10208
4420,9942
3615,13343
2796,13212
1574,11284
2391,1897
2454,3682
4740,9706
9352,9814
1226,12390
1539,12842
3882,13356
4283,13545
6888,6953
3774,13910
10273,10184
9564,9176
9356,13242
10276,12314
12700,12573
1774,10506
2879,12738
12677,2916
10811,11486
4548,9013
948,11109
1362,8377
6276,6473
2396,8465
6122,6000
1811,3410
1010,10798
6039,5583
6332,6016
13036,6989
1351,7784
6269,8719
4319,14003
3830,10235
8010,10128
2022,11788
3404,13158
2009,13051
1878,11273
1810,11127
6974,14106
774,10031
9718,4492
6310,12665
12592,13344
8468,7916
12208,7967
3830,13282
13662,8792
11814,6887
8153,8621
12106,8214
13235,12786
13008,11161
12829,13449
1758,11884
2953,13332
1622,10839
12859,3366
8890,4784
8369,10087
6937,7062
5468,5116
7982,4807
4098,9611
13487,3065
2399,3032
10204,7093
1721,12960
1652,11270
4046,13120
9496,1818
14108,4687
5944,8638
2750,7321
6436,6406
7957,6821
3765,11127
4508,4824
7138,4842
7878,7568
10607,10490
1868,2518
13308,6314
8019,12254
13337,2825
8401,7728
6884,6863
4616,12237
6283,6475
5793,5333
7250,5142
3222,1963
2447,1199
3627,13328
1267,10914
6630,7335
8376,8055
6992,4178
6210,1105
3916,1752
7921,1616
7663,7032
8448,4916
6724,4728
11390,6528
6802,9672
1520,10532
1935,11750
6058,7100
7902,5420
1995,7575
1344,4052
4684,4723
767,1036
2003,9749
5445,12572
3526,13335
7620,7836
8794,8542
13584,3955
8139,7357
7779,7256
8732,8306
13064,3271
7632,10342
11350,8192
10763,11980
12415,2634
13958,12310
12380,11100
8261,8553
7089,7448
6420,6782
5885,5376
8731,6677
3082,9561
8841,7476
4219,13555
1954,11752
2069,13201
3874,10296
7330,13986
4996,9481
9950,6037
13224,12233
2059,13349
2906,12622
6550,6545
13747,3010
10851,2036
1444,9585
10937,1379
3882,1216
6520,7939
2684,2450
1519,10395
3398,13670
2575,6393
1117,7068
2411,9295
4094,3422
2844,7275
3542,1982
7800,7934
5519,9114
8668,8609
7809,7737
5184,10100
10136,9931
1351,10954
12160,11572
12538,12329
3681,13377
3952,13321
1418,11551
4167,13505
1782,12958
4946,1469
4790,10148
13728,8385
9694,8776
9168,9108
4082,13878
1317,12292
6191,13370
9514,11534
10397,14044
12266,13676
3025,12873
6914,13284
7136,12602
6344,11172
8662,12197
8302,12010
1120,12330
3313,6418
6365,7039
1868,12067
4778,13494
6807,7179
10133,8018
10517,10426
11654,13426
3715,13116
8697,8931
5949,13984
13546,4787
1546,12456
8180,8024
11566,12693
13338,6164
13609,8761
12869,13387
11414,12618
6214,10757
1614,12236
1438,11114
1936,11569
1804,11890
3884,13616
2936,11473
1991,9513
7530,7885
8467,8589
3236,733
824,10303
3048,12871
12239,4817
1667,12842
6848,8484
12485,5265
13924,13756
1938,12972
2750,9715
13945,7746
1656,10320
12287,10795
1919,12538
10117,8489
9842,11482
13072,11840
7271,6874
7493,8402
8887,11034
8621,5632
9932,9682
4320,11878
8216,12332
3354,8566
9450,6099
4524,4800
9574,6251
8064,5402
6454,9758
9618,4354
8358,8458
6154,9674
8891,7361
3646,4104
1253,11649
1263,11028
3527,13238
3517,13810
4430,7426
3704,13774
4019,12713
6931,13423
10050,3186
1316,12506
14120,10104
3714,14022
8730,8453
11505,6749
10417,10156
12391,12394
11586,13385
5984,13618
4552,13935
3267,13079
7916,13948
8092,13811
8387,12232
6517,11280
10394,5278
13168,2708
11363,1275
7566,6042
9185,9411
9912,4610
1458,4639
10172,13623
7940,10304
9727,5768
6543,3171
3392,8498
3749,13809
4487,13939
1628,7316
7604,7879
10814,5122
3215,13349
8379,8273
5555,8927
13501,7774
3650,11307
4674,9948
2029,2006
1750,10795
6852,9466
7772,2445
8862,13666
9477,10007
13678,7710
12085,11084
8612,3949
4922,9830
12636,12138
2772,13059
1085,11492
4470,12175
8916,12808
10372,3108
1071,2558
1794,1037
3730,13057
2730,13413
5553,5524
3702,9520
13647,8244
5323,5238
4389,4249
9117,5524
3962,1541
899,10199
1087,11004
1406,11569
11752,11147
8581,10583
9456,13387
6216,9685
4292,11676
6663,7060
8520,1724
7205,1393
1871,4201
4652,7950
2036,1789
1550,8071
11766,11484
1568,12859
2402,13058
5556,14087
5892,6680
7252,13644
5087,10772
11124,1526
12180,12574
6147,5042
4096,13344
13637,6954
5052,8563
10004,4598
8702,4471
7928,7176
6689,7000
6629,9858
9390,7133
10047,9672
9627,11375
12662,12586
7570,13860
6826,6636
9364,6110
4889,12382
2762,6632
8513,5775
3383,10708
7496,5150
5312,8435
8670,3580
2844,11498
5056,5669
6361,6194
3220,12921
6535,6362
