x,y
4775,13519
5224,4911
10197,7693
7947,7624
2410,2867
12411,1265
12760,3195
5367,9075
5054,5812
6365,6238
11537,4661
7486,8556
1044,8827
5763,3805
7904,5124
3281,13798
970,10869
4293,11608
12585,11143
3628,13868
4071,11638
12090,1433
9959,9092
13543,10375
10982,9824
8453,8227
3479,11635
6486,9133
5358,10440
1598,5782
8322,8162
11994,11020
926,8344
4490,13674
3742,13075
3835,12904
9943,7457
8338,13833
5754,12858
12612,3203
9945,1281
2315,7461
2888,4384
5960,1752
1186,10832
3290,13654
3112,13411
1979,13293
8084,7488
13016,7239
3224,9346
6154,5984
1447,6926
4988,4002
13157,4460
13244,7300
13104,11077
13842,10065
1623,11409
950,10880
1418,6279
3916,886
13863,3444
9683,4421
7806,7212
13319,6176
10290,13689
12976,12924
6080,4099
2717,13003
2771,12569
816,4325
2498,12484
5559,1029
4595,9843
2761,12105
11703,1964
5677,12743
11019,11896
13113,2297
13503,2813
13303,6930
13338,12533
12685,13579
7230,10078
8348,4859
7308,8039
13811,11707
10591,11518
13542,8933
2716,12362
9168,8588
11066,11898
14035,7679
9107,13590
9201,7332
10804,10314
9523,9352
3104,13738
4493,13965
4603,13751
13181,3740
5360,6254
8371,7903
4778,10064
12653,11519
2403,12619
1771,11764
1585,7817
1386,10748
1274,11997
6314,6628
6291,8113
8208,7852
7579,5884
636,3188
2394,1071
4092,2847
1914,2721
1786,12972
2792,13295
7876,5538
1922,13224
1565,11390
6972,11576
893,9586
800,10137
1474,2022
10239,3252
8506,5416
8503,7621
11709,6945
13050,13560
4089,12246
3008,11767
6101,5795
12274,7420
4955,2949
7819,1180
7800,1571
10672,1140
13243,12811
11211,5958
10072,8336
8951,2394
2090,722
13448,6343
9971,10004
1835,11820
1117,10038
3844,13558
10970,4968
10736,10213
1096,10328
13076,6954
4938,10302
9827,7216
2115,4431
8496,10360
5245,2747
13814,4642
13507,2683
11108,4040
11084,1042
9882,9739
10047,1501
10328,4745
7379,1051
7285,1050
5438,5610
1116,7774
3747,3278
5885,6146
1821,11356
10534,12052
10238,9555
1764,11513
3731,10272
6429,6595
7349,9748
1564,8284
12372,5768
11832,3749
530,2047
6186,9689
1659,11739
5198,12100
4452,12207
7687,9969
9828,10414
13959,8476
2572,4458
1550,8127
1179,11008
1710,10964
1121,11615
3537,13215
5751,11087
8430,10146
11606,3742
8864,6338
5884,5576
4760,10226
8144,7304
13437,9997
13555,3998
10846,1829
11258,5116
11622,3248
8833,9701
9921,9317
7244,856
13439,4224
10791,10462
1268,12065
1541,10576
2768,11797
4986,5291
7730,1635
6251,5773
2442,3302
2831,2108
3737,10804
9757,1592
6593,8555
9318,7393
4538,6560
10683,14133
1598,11822
4382,13445
4548,10176
4844,4006
7706,8758
13335,10960
7862,3240
8090,3518
6819,7019
10711,1932
5992,4162
6379,6911
6228,10974
3594,9013
8376,3602
1345,1011
4727,11593
2776,11546
4545,13413
11285,1674
1083,10899
11358,4946
1434,10797
8738,11096
3872,9805
5990,8590
7869,4828
5824,6582
10033,9456
10947,11820
5140,9436
8524,8608
8058,8233
2289,13216
9317,9433
3576,8524
2419,2244
4510,1172
1906,3290
5477,13030
6638,7544
8350,5444
5629,3777
5815,3862
10035,1159
6747,8326
8520,4802
13719,7819
3067,7176
11658,10054
9460,11977
1213,11170
1338,11429
4423,4215
6394,6590
9735,5903
3665,11103
4819,9459
7223,4768
6252,6035
4516,13747
4699,13879
3567,11387
6541,6989
4523,13623
9662,9846
13306,9158
12860,2270
7968,5547
6192,6384
1570,1266
892,10203
7225,6863
8795,7898
7857,5357
3053,3874
1928,11766
1092,12228
873,9232
2133,13188
2927,11604
4215,12127
3995,11591
4168,10202
11388,1374
12957,3232
14036,4364
12111,2818
11699,3916
13486,8919
3532,12916
11848,10984
6856,6520
12680,9369
9953,9459
4863,5221
13780,8429
13300,10272
5904,5791
5852,5881
6163,5047
2046,1685
13238,4124
9860,5512
1446,10278
12161,8594
11196,10671
5393,10565
12934,2255
10064,8641
4498,7993
6852,7353
4808,4637
3834,13475
3835,13729
2466,5451
4998,3702
3078,4392
1511,2076
11984,1985
9454,9064
6237,8475
9793,6463
7227,6701
8143,7095
10026,8900
7776,10101
12314,10718
1832,11290
4250,14046
7813,5555
5319,8993
12504,9610
13908,3523
12367,2184
8758,6358
13392,10010
10361,8932
10156,8097
4040,13631
8644,7960
10583,8992
4732,13708
3966,13891
7941,7581
11815,7809
8614,4947
7974,13785
4183,4290
3904,3601
2010,12393
10316,5447
13861,13569
6382,8069
7169,7500
8844,5781
7380,7265
7634,7335
6257,6205
5046,4561
7404,7784
7245,6918
3407,3134
11495,10985
3512,13048
1430,12380
1744,11884
1077,7034
3626,4784
7228,6870
6022,6635
5848,9142
4395,4355
2701,2051
1510,12746
8724,4402
10704,4905
13761,6069
10135,10626
7784,5248
11054,12597
6623,12722
4071,13443
1284,12312
6912,9858
13121,14068
13911,13353
6758,7132
7569,6841
8248,7423
8156,8733
8927,4007
10519,4681
7095,6857
8453,5260
2797,12058
11970,2602
7306,3082
13111,4890
9821,9026
922,11292
853,10263
1460,10111
8514,8371
4843,5660
7572,8144
4100,3170
6568,4586
9203,2500
4855,12184
5442,4921
5882,5138
3266,11040
2895,11161
730,7614
3007,12841
1956,12847
11037,2023
9511,5665
4679,13226
6600,6196
6586,9947
13639,11070
10902,10566
11205,13390
12155,1137
8173,6363
8083,5104
10051,5396
3768,11077
5345,4901
14525,14408
8122,8171
6465,12537
12077,6742
5608,11032
6204,9143
923,10834
1669,12418
6918,6193
1099,7448
1572,8141
1420,10786
1534,5779
1891,13070
1496,8193
3523,13829
11613,1992
11896,2727
4830,8477
8490,8565
6887,6352
7060,7930
11786,7445
5091,9639
10722,12053
13404,12882
4148,12348
5842,13724
1175,11036
3684,13674
2703,7451
5666,6193
4956,10289
5340,4998
12047,5132
1532,3675
4395,3108
3536,13055
3985,11268
11516,10078
7869,13845
11161,11640
5633,13498
2788,7996
5100,13640
10245,13696
9650,7076
5205,11640
5848,8897
13517,9820
12000,10756
6886,7317
9249,8714
9135,3883
7984,7639
13332,3304
11875,1407
4101,9804
4359,13636
2772,12735
2470,12475
6054,13599
5121,7848
7951,7282
9923,13452
7666,7152
12055,8522
1552,11942
9545,8859
12545,12658
13138,12859
3159,13640
7061,13583
4073,12943
3284,11054
3756,10936
3396,10254
6572,13334
6996,13210
4122,3950
9613,9308
4395,4031
8305,8572
2223,2371
2034,11791
1658,11241
11449,1413
7239,5985
10735,4569
1478,5388
7320,1627
7132,6388
4748,1266
4324,4591
7105,7684
13632,4869
12567,2274
11695,5871
7768,11087
7933,8040
10589,4937
4771,10472
13215,12061
784,10070
5460,6004
9077,4101
2648,12726
2616,12767
5134,7692
4094,4520
11169,1079
6827,4605
4298,3873
9146,1718
7331,6371
5741,6500
13693,12999
10010,7651
10961,5107
1470,10358
921,9982
3563,9004
10353,3159
4543,9085
12879,5443
6163,9946
1349,11620
1176,10665
6226,13938
8831,7864
11062,8684
2416,12376
13956,6866
13572,8410
4528,9539
8531,1277
2875,11392
12038,12034
1712,12420
1624,7707
8428,10073
10447,9921
1754,9897
4582,13707
8490,8414
5080,9527
2518,11615
2571,13539
5851,6590
5253,4848
5386,911
2246,11720
2632,12614
5261,13867
9315,1421
3194,13008
1558,11229
10500,1567
1401,10024
8403,7801
2589,11741
7528,1122
1017,1491
10380,5690
3496,11736
6812,7161
777,10610
2894,13138
2401,12437
2570,12872
3175,9001
1006,9423
6124,8206
5897,1175
2409,3196
3670,3456
1668,11136
2038,12148
1717,12995
5539,6140
993,9793
2860,11841
11266,1398
11175,4523
2729,12069
1068,6079
7693,7882
9194,8458
10201,10288
4778,13961
11729,12031
805,10601
1682,8335
3317,3887
1632,2062
12454,2993
12544,1519
6609,6379
13779,4975
2997,1071
4658,9502
2879,3226
11112,11057
1628,12230
2131,11850
1385,10538
3969,10136
6452,6075
5097,3072
7725,8748
3993,13102
9645,7232
10638,2886
6915,7218
10262,4854
13100,9296
13853,13447
4379,13482
4462,13876
4391,14026
3065,11573
