x,y
2105,13301
11412,3140
4028,13996
1660,6794
7906,1809
11328,1139
10673,2254
6726,6246
7474,6746
9842,8812
3032,9714
7389,12263
4798,5632
4790,5160
5827,5711
1972,610
4165,13636
1661,9199
853,8564
2830,13460
3726,13235
7874,14080
3391,12926
5824,12786
1213,11394
6478,4854
9230,13777
3622,4656
11368,11770
9168,13973
13313,9174
13064,12048
13200,2098
4296,12634
10378,10424
10965,1470
10488,1365
10020,977
11788,1239
4095,12185
12494,4696
13024,2900
7625,13482
12366,8130
11136,11006
10504,1218
12813,2437
7835,920
6241,1861
6870,11392
4152,13124
7079,14017
11830,11157
5474,11524
1583,11919
12978,3547
10812,5486
5932,6948
4157,1346
3940,9755
12943,2427
13862,3574
11590,3588
4133,13765
2937,9605
4397,2564
11646,1066
2605,13507
2208,12881
12454,12528
2764,11594
7564,6932
2301,13175
10953,1230
3145,13196
2496,13184
10337,5357
10222,5499
7726,5944
6562,7208
10250,8216
6457,6481
12698,1748
11503,1830
10834,2663
8638,7874
995,9873
4268,9628
12139,1353
2249,12613
9646,9533
8869,12779
12068,8949
1686,11053
3832,4432
4574,6994
3400,13033
9822,4780
1578,11072
2893,12730
8324,7581
8188,7234
3643,13689
1543,12793
8764,8524
11272,11046
4767,14000
11033,5098
9954,8828
9942,9301
14072,6612
13972,4000
8381,8891
11320,8296
11133,11968
4494,14020
3749,13569
3178,10706
8929,8642
13588,13078
1427,7720
8708,7962
9204,7194
13109,6852
11460,3948
3820,11117
2248,7677
8869,8818
7030,4270
8982,8849
5951,6072
10912,1138
4243,14032
1777,11151
7494,10273
8978,8234
8102,11050
12316,8078
4546,5394
13129,4205
1892,7872
5585,3533
10736,2396
4681,2125
1360,9288
3410,9236
11252,5240
11335,6218
12244,1955
9315,8709
13152,8414
1241,11542
7122,9815
8613,4136
6374,5972
2344,3756
7498,5098
7280,9782
10090,10711
12920,3455
13713,3041
5826,7178
1993,1154
12540,2755
12170,2804
1847,11472
10297,983
8581,13882
9045,9965
11230,13175
4796,6378
9814,8810
6182,4850
1275,11812
14027,3976
13566,5610
11702,7388
5404,11728
1503,1063
4903,5133
5660,8725
1173,10690
4134,13818
9659,5314
2662,10334
12616,5852
1649,3941
8238,13548
10080,3259
825,6522
8456,5278
1528,11642
4067,13188
4144,12439
2002,9855
8052,8267
6604,9928
3717,7849
936,11354
1472,7317
9440,3264
4824,3448
1648,1140
7720,4897
5574,1344
10122,1090
7720,12334
13496,7825
8433,8241
3498,11666
8296,6430
7399,6812
4970,13657
2734,12504
3392,8660
2661,6418
13340,11600
8712,14040
13556,7994
11391,6273
9608,3524
11285,4210
4240,4426
7516,9696
3656,3538
7818,5919
11432,10620
6510,6608
13864,3478
6844,7230
10397,2636
7136,7872
8112,5340
6703,4554
3175,13174
1697,10251
2939,12529
4239,12504
3489,13196
6930,6770
3984,14016
8540,2506
7523,3328
8491,6520
13297,6653
4764,8918
10508,5824
2380,5525
3068,10987
5363,8908
4574,9702
9588,6294
11216,7150
13645,3099
6320,8946
8164,3448
12350,3044
11719,1393
2072,11893
1805,12074
5508,12544
4921,13859
8930,14130
11421,12930
9372,13432
10064,9322
11628,2044
6878,7305
6407,7979
12453,3256
11780,4324
7080,9151
8781,3476
7036,2551
11578,10588
3577,13484
6564,9884
4955,13240
776,8001
1726,11600
4781,8497
5469,5594
6682,6972
6030,6081
7686,7543
8156,6136
10192,5443
9874,7286
11402,8794
10046,6684
7845,7344
9942,5176
10204,9932
8145,8631
8386,6674
6830,4237
3338,2959
2818,3217
3654,13946
7055,4204
941,11436
8278,7368
7680,9728
7442,14082
10348,9711
14105,12943
8922,6142
8469,8218
8501,6764
8551,8327
7692,11952
4752,1222
11844,1142
13725,7296
5844,8729
4569,13687
7771,8124
6954,6211
9847,8952
7338,5180
4785,13964
2472,2579
1949,13241
8126,10586
1232,10531
5656,6388
7400,5860
14064,7828
14012,9558
13566,5442
7778,5386
9758,11519
8231,6668
4683,13958
3175,13323
3374,12878
2369,13594
8680,7518
10132,10601
8862,7926
9699,8983
9044,11414
13008,11676
13559,12456
13662,2755
9995,5528
3548,9430
14052,13433
8242,2112
1782,11714
1669,11525
1504,10319
3740,12784
737,3622
5488,6304
10688,2672
10667,2694
2463,13544
3958,12380
7422,7839
8228,6144
2470,11722
2221,11803
1650,6112
757,6377
704,6998
11132,976
6879,6228
6048,9388
1784,13208
3531,11647
4254,14040
5392,10680
10000,9478
14606,14454
13814,4668
11926,3778
10010,2302
12018,2857
7995,7121
3604,10599
1720,11520
6029,1690
13199,2742
14008,8980
14274,13472
14163,11529
2876,13562
3673,13384
3390,13143
6685,14007
6605,12855
8377,12398
9602,14018
11756,9486
728,6558
1183,11104
5933,5720
6211,6255
8672,8067
8672,3958
6090,1860
8112,938
7038,1704
2201,12125
914,11652
7450,13568
7168,13701
3160,12786
1976,7530
4152,12639
8950,7435
9798,6927
4524,10660
6791,13503
9280,8877
8684,5241
6088,4061
7935,5610
7417,7942
6704,7022
7430,4738
9619,6261
3710,4081
1346,6537
588,1380
3360,12858
3475,13221
980,11806
3192,13540
1878,11809
7247,7430
1300,10841
6282,13276
9702,9458
13992,5421
8204,8013
12220,12044
12576,12205
7244,14008
1722,7274
10136,8938
9567,9552
2166,1715
817,10850
7426,6215
7314,6162
9673,6389
4670,1760
756,7466
1280,5638
1900,1664
6607,8437
10416,3041
7821,7524
9974,5624
13407,10683
12263,9634
11464,4154
8846,10629
1966,11434
2504,12706
870,10962
1411,5403
2972,8332
1390,3466
1805,2127
11849,2166
6624,4561
6384,6978
6544,7166
13141,8975
1644,10655
1870,11366
4438,13654
8396,6607
10100,9587
1375,11835
2517,11812
2904,13308
8515,13757
3767,13258
3856,13184
12217,7242
11021,8692
1310,11888
13496,8346
4378,13436
4045,13618
3966,13496
1754,11249
12599,10816
1394,10733
848,11106
5699,8871
5490,5532
1222,12170
6233,6624
4245,866
4301,13709
4288,13648
4285,14045
12007,6968
2577,11767
13022,2072
13142,8551
10108,5848
10048,9424
2026,7513
6008,6382
3637,7774
8105,1131
1763,973
2894,12938
4268,14062
882,10906
850,9753
3015,9601
770,7894
9821,9750
3738,8198
1728,10504
6559,6097
8305,7382
13808,5292
8297,1165
1242,4517
1264,12484
3408,12938
732,7648
1101,9480
6734,6833
7347,6806
6437,8623
7036,9604
6742,9064
2942,5662
7402,7594
6021,4969
3881,1045
13454,12235
11968,10322
11455,12212
12916,13478
4887,12298
4667,13902
6917,9007
9388,7290
6551,10034
10372,4745
10902,11172
11846,9030
13702,12058
4142,12492
5923,11140
10945,5419
13710,3423
10294,11078
1581,10885
1227,10635
4415,13665
5324,4808
14120,4836
1297,11302
2363,12189
7336,13256
10011,8895
9658,8987
6858,13326
7768,12290
6437,13304
13942,6359
10076,3328
6685,1324
10402,3454
978,11680
11876,4924
8668,6232
11818,3284
11916,3756
11484,3360
9076,8644
9970,6001
10890,3290
13417,5786
13118,3958
12516,3041
10064,5307
2096,11722
3086,10768
2266,2014
1206,11470
3126,12820
1595,10440
3141,11189
3998,9610
822,10768
2268,9434
6281,6099
3509,7357
4435,4866
4538,4554
2677,2932
2032,12416
1268,6888
718,6500
825,5394
5660,1040
1804,614
11311,1008
14056,5586
12554,3163
9058,3922
2951,12616
1732,858
2390,2754
1472,13008
2868,13549
8670,9238
8241,6177
8502,9056
6772,11776
7842,13530
10910,968
729,2862
1817,11192
756,7983
826,10122
8364,6952
9763,872
7578,6659
5667,6402
1429,9362
4600,9490
4422,9652
1826,2064
1101,10529
8404,7548
8191,5205
8112,5810
8370,8528
7425,3450
10330,7854
7518,7222
6375,10073
3428,13415
1773,12758
8496,7490
3021,9417
2816,11940
13523,2663
6089,1210
1764,11072
3184,10839
7524,7368
3666,13942
10810,926
4258,4355
11320,1379
5227,10557
12596,2259
9003,8771
7528,6029
2990,12366
9079,1208
8503,8804
2088,550
1676,2125
3508,13156
5682,5030
2743,7378
13450,13534
8330,800
11174,5768
12946,2284
6263,6641
2106,11742
13277,3036
13067,4918
8320,7376
918,11283
10811,5152
11942,2622
2125,7549
1931,11622
1389,11136
7366,14040
886,9464
1482,11660
6643,12872
1986,7564
1053,9993
5863,6677
1264,1941
7014,10112
8202,10137
2064,13436
2578,13246
1859,12036
3347,10286
11790,1114
8166,1338
6464,6066
7196,4578
1091,9528
2532,12857
3973,13511
9656,9715
11337,12251
11890,12678
4396,13270
5943,13824
1358,12537
2686,12844
4370,14060
3982,14006
4109,13754
3126,12794
4722,12533
1805,12235
813,9062
2171,9577
3012,12684
6414,13402
2610,13603
9152,5928
4014,9456
4428,14052
4904,7524
12830,1828
9111,1413
9746,5586
5407,13404
5875,3974
11666,5346
2398,9292
3487,13521
4804,4338
7034,4532
5816,4182
12609,1753
11396,7932
2156,12479
3665,13679
12794,3270
6804,7104
4743,7276
4465,4887
6867,6553
2859,13262
6087,5965
12206,1255
11615,5554
8283,14090
11321,1711
7561,4934
9896,5218
1144,10995
12239,3186
10998,1220
1318,10755
1189,10852
1278,10862
1491,11344
4684,3678
4740,4085
2729,8329
758,9200
2530,12338
1514,10843
5362,8904
3157,3715
5899,3785
2455,3069
8500,4812
2298,5340
12945,13680
8372,7410
2525,12927
2527,12410
11088,982
13336,4205
12166,12979
12570,12156
1164,10524
870,11132
3406,8657
1363,12293
7386,8458
8888,9420
13954,10402
6892,4898
1172,2138
746,6434
10529,12280
1828,11302
3700,13154
4124,13456
1686,12900
1344,10983
2260,11776
8762,8465
12573,7340
13958,10980
13870,10728
14104,9834
9907,10022
6868,3114
1397,11071
1034,11084
10967,4847
8593,4646
7290,8512
10357,10024
9133,5402
3218,8961
2366,5076
4216,9929
2816,7844
2794,7788
13452,5048
12878,2183
1744,10634
5076,5047
3166,13610
2818,13746
11868,1036
8354,1448
9662,1540
11870,2981
6806,1102
9682,9918
3893,12629
9640,4642
6208,6315
10040,7547
2080,11765
1162,4108
1074,4949
10624,3106
1128,3923
4832,5858
6401,5153
8756,6672
9326,5400
10988,7715
8680,13516
