x,y
4062,13999
3881,13919
1277,11476
3583,13145
11169,5521
6775,7260
7234,7452
4139,13050
10379,10154
12092,11686
9999,13855
13321,4065
11704,1650
11584,1504
10576,2865
9411,6275
6322,6681
1697,10247
6528,6699
9518,5854
3979,3678
1816,12286
6668,9890
5591,5224
13238,10447
10846,11594
5202,10493
8932,7883
3290,11399
7036,6895
7815,10294
10788,3307
10953,3678
11832,5702
9431,9970
11916,7004
10753,11453
10838,4538
2985,13014
1268,10787
7891,10990
11390,4669
6110,10470
10656,10346
10856,3556
6865,7012
7482,7173
12088,3396
8950,5466
2978,13178
11505,5677
11567,4200
5757,9307
3488,3976
10734,2836
2376,2898
1490,11177
7053,6909
4485,4851
998,2122
9518,4127
12464,6687
11788,2860
13888,13555
3722,9136
6734,6833
4996,7958
12065,2109
1026,11021
11988,3473
8662,2324
5688,6461
12370,2821
6178,5015
8153,7494
11512,5674
7304,7536
10494,9922
7074,12473
7574,4709
6783,4288
10841,1707
4062,9318
2496,8749
730,763
7492,7574
7659,8757
12405,1922
9301,9094
9991,7221
8661,10942
13441,9394
11583,13393
3441,12950
4514,14047
14044,8320
10054,8674
9115,9619
11641,5599
8733,10015
12284,4867
3176,2231
12390,5877
6818,8031
7893,7856
12326,5486
8760,10396
3587,9174
2166,12890
1355,11634
2410,12862
1290,6836
8704,6274
5894,5899
760,8522
6107,5912
8058,5055
10098,1461
2200,2361
8707,8624
7292,8760
11790,5240
5013,5395
854,8673
5175,4692
7025,7212
4819,5598
6944,8292
13578,13086
1701,10660
3109,12778
4733,11663
14038,12542
10022,13331
6395,9402
5567,3656
1422,2519
4437,9753
7294,7426
6416,4913
5144,8488
7895,12018
11459,3130
7808,10196
14124,6679
13105,10290
13770,12325
11511,1675
10678,1220
10660,1844
4590,9647
4345,13523
10341,4651
4526,14034
6238,10420
10967,5067
11210,12556
3320,10323
2971,12939
1576,10216
1096,10726
3256,2318
12219,1368
11448,1541
7341,3297
6512,3164
8660,3444
3457,2700
6604,6306
3910,7226
7677,9964
2020,1011
8585,9966
12279,3334
5104,13636
4359,14013
10165,5257
3737,4209
11313,8446
11116,9965
3301,1475
1299,11500
10079,1330
7208,11399
3610,13722
2095,7760
5620,5887
7500,6785
3646,3197
13882,3495
10637,1352
8172,7714
4599,13602
11495,6178
11686,7491
13887,6585
8048,3483
10020,9267
7130,9498
13273,10598
6032,11165
7228,9224
8190,8740
1302,11960
4957,13944
2045,12550
8161,7544
3950,12528
1691,10980
10382,2798
12068,3539
3292,13532
2098,12788
3438,11695
2086,12964
9683,9535
13473,10525
11392,11310
1158,7819
7566,6734
10438,10864
2110,2172
3917,2652
12746,13181
1045,9993
7594,8063
7692,7735
6844,6896
3776,10772
2918,2822
8378,11676
1943,1822
12831,2889
11345,1164
12561,3158
10529,1569
8174,7194
8910,6290
4635,5460
7972,10074
9205,994
7080,12575
10303,3265
9657,12087
7656,7090
4981,2889
2115,2156
3939,13265
6710,7087
2360,9248
10000,1224
6189,6085
1152,10230
6859,2916
8381,7963
3714,10698
13169,7442
8898,5872
6963,7154
8349,8717
12924,9844
1522,9907
8314,10491
13656,2799
11501,3535
12376,8216
7387,7206
5966,9844
11504,3225
5249,3735
5093,5804
7916,1498
9157,1939
1404,2286
4331,2648
11025,5409
13532,3711
7198,4867
10738,10972
12221,7250
13276,10146
8789,10875
3738,13704
12669,1723
5953,13819
13596,3236
7100,4816
1507,8441
5907,5621
5308,11559
8745,9962
4580,11916
6250,11329
11615,4196
11450,5772
2757,5647
5259,11446
10445,9964
12978,13486
1425,9671
10442,5224
4584,9856
5094,8891
8814,1618
4876,9612
3024,2912
12766,1949
13392,2533
7212,1248
11335,6218
11434,1874
2611,1878
5028,5336
8834,8999
12989,2020
7068,6556
4553,13676
12378,3206
2710,12832
3842,13616
9804,11119
8097,8373
13538,6675
12344,5664
8510,10308
5303,13624
9622,9836
11238,11578
4169,13611
6544,13228
2579,11565
7826,7693
12049,8799
6998,6984
8495,13657
3982,13379
4463,13962
3391,12913
12345,7725
3870,13333
13429,3736
11349,4326
7748,7460
12532,4934
13693,9052
8370,8565
10814,13500
11124,12034
9300,9032
2360,12810
1282,12200
1336,12282
7594,8018
13068,4534
13204,5211
11609,10049
872,10795
7522,8662
8008,861
9738,808
12865,2088
12192,2206
6365,6504
10557,2256
5986,6320
4945,6041
9646,7025
6016,5630
6026,10426
2004,12356
6163,6616
11056,3752
7556,6931
2709,6582
9938,1162
5149,5395
9964,9740
10847,10172
6787,4902
7860,3421
8408,6585
1263,10268
903,11189
4092,11367
752,6467
7179,4675
9183,9343
10006,9072
9486,13430
6180,9680
2675,12869
1322,2452
3326,3876
5412,3754
2891,5948
7072,7380
7766,3681
3934,4210
1458,4992
2801,9771
10929,7531
3385,9267
9036,4390
8402,7900
7525,6681
1278,9392
3750,9180
2484,7134
5356,7587
10174,8544
2561,7516
3356,9204
5551,11471
9313,832
3350,13589
1547,1302
3437,6871
8262,7700
4208,7364
8659,9929
5581,9131
4080,12084
7924,7708
7500,8589
8554,6578
5483,8877
7284,7734
964,11568
799,2364
10671,5013
9801,4644
7854,8122
10456,1284
5854,9300
5636,5205
6077,13678
9250,8660
3044,7597
13656,6658
9072,7345
9136,13134
12275,12663
13582,6538
13146,8782
939,10005
1395,12241
11903,5568
966,11538
1031,7627
1040,11400
5589,3502
8312,8375
3494,13683
3930,13291
7544,6955
3564,13175
4007,13046
11693,11128
12478,11865
9817,9228
3784,13918
1480,11467
949,2112
6533,7845
3306,10267
5194,9187
3821,14002
5798,1508
1655,12935
8573,3830
10001,3055
13900,6804
8748,11548
6938,9133
8998,5713
4277,11469
6889,11454
11552,12176
10721,10392
1448,11120
4556,12209
5118,3598
4898,6032
8862,4066
3480,13184
822,10622
2933,13111
5749,6192
5997,6455
7741,8107
1492,6549
5436,5682
1288,11749
4602,4878
7911,3547
1989,2423
1067,6722
1787,3820
9718,7188
6872,13752
12136,4982
10233,12356
12695,3225
12709,1838
1692,7415
5924,5679
5505,745
1906,3839
13091,4973
6650,6529
13728,3417
10669,4924
13432,7095
10241,7977
7313,11783
13347,6071
9728,13299
1668,12925
2174,11844
3468,13304
1531,11722
7526,8379
12308,1616
4940,12527
10955,5524
13673,13871
2430,12910
2520,12043
9441,5410
5205,12306
10981,5166
1546,10146
8594,5445
3822,9342
8405,5313
3376,9075
12828,12014
