x,y
1079,12148
3355,13038
4179,11784
5188,7701
6442,6892
10387,5547
9417,3309
988,5278
5577,5394
5795,5234
1660,7640
10714,2868
1852,11994
8739,13636
13068,11354
12503,12550
12225,1210
12759,1690
11450,1950
11555,1465
10235,812
10329,3040
10194,2618
6668,7672
3598,2943
7328,7387
5188,5743
12024,7509
7576,13556
2159,12938
3945,10423
3324,10601
11905,7713
10074,10484
11676,1999
10203,10035
6843,6684
11130,3844
6382,6888
6587,6645
12373,3203
13516,4395
11271,4753
7684,11019
10611,10510
12048,8851
12912,3452
13458,4504
12296,1338
8214,8072
6718,4818
3146,13762
3896,13890
6617,6698
10965,4484
6664,7267
3998,4216
6300,9304
7406,7436
13320,4418
7061,7990
9279,5632
3952,6141
5302,7523
11646,1359
11034,1620
4972,4947
12929,2268
13626,3092
10701,1202
8923,1132
10592,1752
986,10149
12435,3217
3380,9044
8787,1496
11908,7394
6804,6985
1146,12290
13042,5218
8312,7605
9598,9569
7778,7320
6691,4467
6230,6269
12696,2038
9851,5828
3422,9258
3708,9226
8090,7260
8202,6655
8024,7089
8700,8700
13565,13045
1825,9805
3758,8714
5030,13894
7846,9926
7626,7764
5006,14092
8853,1707
13587,3263
6706,9610
9004,9416
9816,6348
1705,10120
8619,4214
9952,4886
4266,9225
4158,9614
6157,10266
6501,9743
12710,7363
13593,9688
9202,10082
10221,7023
8962,9838
2053,12580
6554,8745
5737,8431
8879,8088
8361,7495
6624,6417
11044,3487
10059,2995
856,8280
7805,3598
5287,5798
3323,1501
3300,13593
2679,12429
3754,10733
2899,11275
8800,8087
3346,13772
8399,12013
11340,1172
13393,2296
11798,7281
6139,8805
12628,2134
8560,5625
8538,5398
8587,5541
13256,2441
13831,10247
6062,9057
6942,8108
6999,6574
8965,7509
8777,7753
11390,7493
4111,10305
823,7737
5649,5866
8308,7734
12815,13200
5908,14090
2231,8290
6108,1121
7006,4204
2404,2264
7804,7858
7151,7335
7232,6880
11985,3126
6608,1348
6850,8926
6672,9188
7040,9072
12506,2788
10587,2952
9432,3290
1314,10923
3829,11121
9174,6285
8569,6431
11172,13408
1045,10664
1055,11789
9996,9235
4415,11885
8458,7944
6880,6741
10165,8265
5979,10844
2523,12369
2953,7535
10516,3243
11202,3437
8044,7659
9793,1050
6935,1025
5234,5919
13147,7947
9249,5457
12145,1661
8416,6459
11190,1933
4670,9822
8890,9266
11744,12092
912,11189
7620,11687
6782,6302
5096,10282
3463,13740
3422,2985
4566,4872
1638,3987
4543,2393
4625,4271
11579,1121
11673,5861
9888,918
9019,6484
1665,10793
4829,8153
1546,12954
2683,4157
3784,2452
8437,8390
4076,13596
3356,13687
8179,8134
1396,8233
1253,12131
12274,8875
2698,6229
4061,1713
824,10551
5307,6106
5451,5331
10030,6560
3512,10456
7819,2394
11762,3612
11907,2981
11836,3741
9906,2595
13261,3719
13929,3839
12500,2009
13642,4082
14091,4655
13909,4191
10303,5556
12516,5144
1653,8106
5436,12649
4713,13628
13243,3571
13650,5601
3480,13487
13838,3608
5354,13925
10616,10393
5394,8944
1657,10318
13566,3128
13960,3697
13810,10412
1999,7491
6668,4750
6794,6693
5711,6190
6442,6486
7004,7160
2135,12694
7555,7780
7900,8450
6685,9525
5738,8804
11417,1883
8044,8596
8166,6792
6286,6154
7060,7604
13474,5564
11798,2829
9842,9409
8176,8288
8216,8151
5611,5645
4026,9806
6008,8432
6198,9050
8562,10350
5135,4623
1091,11268
1394,10791
822,10948
5575,8944
6733,6202
7086,7158
11068,5409
2542,12432
3786,3550
3977,3730
11102,8207
6535,1264
7916,7342
1242,10158
13789,3738
13486,4647
13776,3680
13452,4368
2459,2061
10187,960
10929,4983
2320,13157
10798,968
10818,1818
1201,12214
6293,6469
3220,12921
7729,4756
14192,14302
6389,7125
13708,3119
9567,5488
13471,2871
13093,4191
9943,7879
5256,4767
6610,4823
1396,4318
10106,5623
9141,1438
4488,9932
3098,6909
1829,1366
5295,7627
2163,3052
1312,1062
12198,1524
12472,2258
1764,11513
5726,13832
6429,6595
10657,9860
8237,980
11578,4210
10083,9740
7261,7721
11832,3749
6186,9689
9316,1921
9897,9510
11829,4199
11765,11085
13403,2572
13928,3688
12062,7073
14056,7180
13030,2181
13910,13993
13682,13619
12341,5918
13296,4989
3478,10781
6410,9103
4685,7456
10205,5241
774,10301
6565,6922
11667,9632
8751,9879
12269,8605
9217,9116
12173,6857
8818,6644
8732,8132
7552,7119
10987,4287
9288,5706
1228,11372
11774,6812
13478,3467
7932,7757
13400,3471
13222,4184
12541,2762
10958,3654
11740,1846
6555,6902
3679,13084
5098,5626
2194,4174
6049,6106
2896,13372
13924,3416
13489,4145
9269,5854
2822,12043
9259,8556
5849,10848
7846,6444
8294,8473
10269,9811
2194,9510
3231,9142
7290,11268
1744,12970
10646,1798
6790,6944
6093,802
11087,10142
10563,5437
3950,9453
7296,7641
930,11331
1631,11249
6135,6376
12763,1988
7865,7494
12543,1351
2554,12481
5332,9059
4805,7560
8804,8178
8768,8289
14073,4595
8678,8568
1249,8795
3567,13313
12046,1984
9912,5572
6758,1279
4660,9928
10712,5277
970,5515
9549,9182
7295,13445
7473,12437
3242,8805
3138,8963
7634,7610
13880,3833
14117,6952
4595,10273
8626,9034
10483,5538
9543,13896
9255,13358
13153,5299
12252,13051
13778,6888
13109,8819
13685,12856
3345,7826
9316,9453
1490,10479
13970,5608
829,10894
1166,12194
958,6269
7967,9338
10132,3099
11198,9697
6379,6167
6827,6213
1520,13012
2574,13756
6606,9992
2750,13804
3962,12595
8216,10313
10428,11060
12141,12229
6222,6617
6445,6369
10789,9841
8106,8678
7411,7473
2237,7567
2648,5753
11516,3166
7385,7404
5425,10336
5613,857
3162,1334
5413,1097
11862,1238
2739,7638
11963,2115
5163,10419
6819,6766
7234,6134
8360,3474
2003,12537
13762,6163
6218,10610
5247,9160
9592,6096
12686,11188
12061,8328
1206,10834
8275,6802
7089,6763
3267,11217
9162,8858
12381,6711
1348,7573
7979,13687
6085,4229
11594,6486
12354,2763
4848,6739
2080,8566
4963,3784
7684,13779
7824,8710
8041,6368
5637,12876
6550,6867
5487,5533
2820,13218
7543,13705
10739,1664
11501,1199
9870,1372
12039,5302
9384,3445
11966,3663
4180,4333
8412,1055
3919,11571
2605,13390
8114,7492
9246,13143
8874,8857
3130,11840
8697,13019
1650,10549
2378,11813
3200,13286
8182,7513
7220,11649
12296,7401
10693,975
11340,1750
4986,10626
2732,12905
4028,13750
2156,11816
8128,10072
9890,9762
8687,4312
5192,10089
1073,9216
13737,7669
12780,12588
11700,12819
11306,12446
11533,12227
8060,10272
10201,7440
8752,4301
2517,13138
3324,13170
8974,14070
11119,961
14033,4763
12507,3139
11344,1003
4638,5017
11550,5720
9456,13643
8726,4286
8293,6118
10434,13254
3204,10906
7533,935
8143,8587
1335,11644
3082,3062
6065,13785
5422,13717
2302,13198
5066,10733
3308,10906
6793,5155
6848,5162
3274,6843
10852,3626
4473,13695
3828,10181
1541,10304
10479,11676
10907,11226
10781,11005
5606,11236
13035,13648
11931,13255
10304,5792
12095,3218
12175,8339
3072,12885
6057,8898
11449,8217
11639,3184
13160,11703
2662,13745
2386,13672
1079,11875
5876,3495
9349,9648
7834,4840
10223,1226
12570,1890
4120,3245
8931,2254
7802,3345
6558,4557
6954,4885
3004,4196
1158,7458
1258,6956
2980,2418
2017,1396
2158,997
10152,7370
6181,10814
5473,12854
6860,7523
8443,8831
5988,6057
