x,y
12593,1904
13781,4786
6783,6241
5077,7769
4005,12831
8302,8405
8720,6500
8944,8888
4877,1610
9941,1396
3739,7844
12476,3016
1892,11377
10222,10373
14092,4557
12148,1551
6238,12586
8688,5997
6262,9892
6628,9628
13410,2752
11691,1546
10145,1410
11818,1928
7150,7048
10054,7772
3856,4035
5342,5526
13026,2110
13080,3365
7772,13796
7976,6839
8244,3540
10557,3265
1450,2019
2259,9198
13245,3853
13298,3513
11369,5724
10914,1062
11306,1083
13134,3748
8801,9322
13233,10633
11530,6212
11840,9422
11964,7067
13708,7691
12152,11934
13368,12734
6134,4979
6320,13384
9206,6221
7439,7743
9238,9222
9030,3449
13473,5823
10200,8236
10836,10556
9043,9315
3790,3662
8118,8479
8152,5236
8410,11572
2754,3554
13355,11088
5901,5386
10495,1241
9476,9226
6981,6452
12307,3291
9697,9381
4262,13205
8408,12392
8696,6719
6617,8326
9744,9687
13145,9775
5412,7592
9226,9620
3540,10880
12360,1555
13912,3962
12966,2111
9925,5234
8250,7633
4963,4687
1126,7374
10841,3314
8119,5183
3910,1891
7472,5758
9954,1414
6871,4503
11028,1294
6988,1252
10051,1135
10056,4496
7714,6451
8835,5704
11110,5729
8220,10286
5228,5021
7384,9993
4708,4350
2392,8750
10314,982
7583,2323
1350,12135
4629,12484
3480,10249
9270,5821
3379,11098
13009,11616
13116,2509
5729,1652
2716,2425
1659,4276
12052,1931
5103,5020
1943,4060
13512,7070
10662,10189
11671,2073
9370,1870
7729,7849
5211,8822
7170,3121
6141,6276
6867,9360
7914,6733
11555,2030
5194,5534
4956,10146
3302,3809
11883,3746
12957,2083
13629,3502
6376,6858
7880,11734
7288,9094
3312,4060
4936,10288
13148,6991
11943,2135
7770,10923
8902,9096
10817,4768
4270,11860
4632,4290
2148,636
13772,4045
12554,2369
8108,5206
11430,6448
13084,2785
13787,8988
6717,6914
10500,5019
11976,12039
11644,1508
8643,4290
7328,4654
7912,1831
7361,7493
4666,4600
3107,2228
3296,1065
1572,676
3782,3629
5306,808
2590,5305
3490,3216
913,6499
11965,2151
11770,3912
10784,11368
11528,1122
11322,5058
8373,5317
13935,3651
6614,4814
10050,7699
8348,6905
12815,13229
3871,13415
10248,1722
7134,3538
3287,1392
11762,3249
6784,7284
11384,6583
8823,9865
10405,10478
11146,5454
7130,6869
10272,1172
6772,6732
10230,1359
9193,1265
2222,12018
11248,1869
12457,1679
9471,11273
11065,1297
8506,5727
9882,10774
7375,7423
5927,6005
13134,2000
13563,4511
7365,13486
8486,8016
9113,11097
10221,10345
6884,13828
14003,12973
11958,1325
10880,915
6172,2626
1495,9369
2494,7600
6571,7178
1368,3580
11188,1572
5997,4939
5683,5924
6169,5931
3042,7586
12166,1579
8468,2497
13852,4080
8962,1137
3882,7272
5302,4804
10272,808
4213,1058
7141,3875
4680,8004
7212,7107
6721,9373
13908,13907
10828,3650
7537,7718
10827,1232
7406,1324
4371,4909
12800,1823
12514,4608
6453,6696
7971,8565
8815,5440
11340,4087
13688,3073
11907,3541
4811,6341
8872,8647
8395,1116
9720,5850
2596,6774
12766,2464
13144,3059
11858,2026
5243,2771
10820,5553
11680,2133
4618,11808
7241,6495
4814,7505
6691,7385
3723,3235
6337,2772
1930,1245
10259,1178
13904,4370
7704,5806
7263,7904
5540,5456
3088,3371
4790,5478
1919,1434
13800,3111
12416,4958
11887,2147
10971,4398
13281,5093
5428,3139
8294,7271
10679,10639
1358,6341
12205,2676
10115,5146
5178,5701
6162,6953
12364,2441
13697,4476
2503,5562
4733,1630
6977,4757
7067,1552
4074,4989
3488,686
3071,1384
2777,780
6455,6368
7244,10976
4905,4932
1478,693
9382,2054
9367,9269
10050,972
5278,10512
8206,5025
7278,6888
2943,2520
13408,3508
8269,7723
12403,7376
11474,11006
4674,4812
10930,14206
12162,2552
13701,4295
10547,1370
13237,2097
9600,4059
7769,10859
8453,5239
6281,8102
13619,11026
3454,8444
6472,9387
5739,11386
10028,7946
13142,2121
13371,3523
9627,1711
10682,1348
7266,7845
10279,5821
6085,8293
7612,7644
4867,4994
5422,10560
3012,2476
9154,9009
2972,1470
1741,697
10867,1000
11479,1945
10954,1846
10740,1890
3303,10832
13020,2058
6236,6195
7400,9770
13799,3910
13264,4208
13545,4678
6333,6730
10152,3189
3893,3495
7110,5030
8664,8887
8596,7727
7776,8104
11234,10968
10738,11618
9209,829
11755,7881
6898,4876
11155,10766
13782,12959
12431,2829
9318,1550
8772,9754
8211,7467
5083,10281
2138,2610
10786,1213
7544,4881
11446,1109
13808,3625
13614,2806
5774,8406
7499,7598
4653,6098
4714,9226
7145,7132
12341,1817
11936,2114
6137,1636
11492,1969
7707,1658
9972,1233
661,1472
11934,5012
6497,4620
11582,1704
8918,11329
11027,1063
3178,3792
8964,3438
13236,2586
12501,4960
9694,4440
13945,5360
11330,1126
6932,4404
6058,7254
4390,3958
10270,2893
13522,3179
11281,1788
10408,1475
9504,4309
9140,1190
4708,4038
961,1554
7090,4301
13002,3411
11091,3758
8189,8138
11463,11087
12784,11047
12964,12460
5185,9408
9468,9237
1074,7308
809,1907
9768,1066
11594,4644
9173,8698
3706,11154
8994,5990
12858,11419
12028,3088
11348,1084
7209,6183
10678,1319
3616,13980
3815,9322
11568,1505
11028,5464
6268,6133
6682,3158
4377,9983
4984,5204
11058,1636
11991,1528
10760,1114
11285,1199
9565,4738
6476,6101
1098,11428
7567,2677
4956,2939
830,10416
7306,4591
9162,5993
5318,5544
11348,1469
13766,4017
8045,7227
5230,8888
3234,13079
13974,11084
8853,6548
9174,8925
10876,12087
13283,3153
13402,3052
12287,2424
13634,5044
11059,1310
10307,8322
10247,6502
2997,12836
9232,11396
5587,13798
12247,9225
11187,10787
10013,10218
9722,11364
12815,12470
13178,7826
8555,6717
5269,13483
11745,2065
3615,10499
9768,5205
1694,4610
11595,3044
9061,1401
13043,2403
4523,5224
4459,1379
1952,2284
9478,1056
7874,1377
5358,4842
9324,5703
802,7324
3139,13301
5297,9599
5110,5919
7777,8193
13550,4272
12106,2330
11932,6823
13575,5707
1385,12519
13898,9382
14181,11250
6963,7250
12943,13479
11648,1857
10774,5474
14132,13044
13838,4220
12186,2608
13597,4085
4253,11934
8118,10059
12156,10606
11955,1765
10179,2566
7569,9954
7911,10098
4627,9715
11551,3038
12124,8623
13174,8681
12915,13916
13492,6054
6083,6740
9545,1599
9730,6100
3154,9061
8957,9332
12725,7353
4796,10268
7536,7671
12438,3244
8108,8063
11834,6950
13708,12040
7188,8692
8177,8532
827,10738
6483,6359
10482,10676
11522,1238
11865,3136
6214,6475
8512,5754
7687,4748
1844,11570
2551,2338
1704,2400
11170,1238
11739,1741
6608,1348
10587,2952
8569,6431
7982,3449
10218,8044
9459,9326
13488,5706
12259,8292
7766,11157
8357,7955
12858,12986
10830,2178
4404,4106
13256,8552
8075,1532
6710,7582
9140,8990
9883,9134
10081,2592
8502,3688
6316,11131
6062,4993
3616,9477
8436,6389
10629,904
13247,11503
13103,12856
11204,1260
12790,2933
1734,11486
12690,7292
9947,9301
1192,790
13954,4180
4857,12358
9196,9236
9421,9824
2434,2376
11037,1308
11112,1922
10757,1489
8310,2073
6422,9750
8387,3536
6456,10059
1998,9724
4133,9848
10917,4283
7310,1428
11376,1864
12897,3320
13066,5004
8119,4819
4574,4843
6899,4836
9066,8604
13445,6777
3860,3995
4988,13595
12944,13568
13696,13140
9842,6524
12005,3383
9750,11647
10124,7109
14051,10520
12380,2694
10696,960
12280,1315
10644,930
7284,6739
7958,5505
6991,6649
4675,4784
12484,2882
4266,12101
10056,2988
13454,4564
12741,2614
13415,3305
9766,8927
8417,7778
6083,3935
11429,6504
14115,4531
13334,3013
6893,6351
9526,8909
11092,11407
10522,1313
6595,7236
12217,2379
10376,5327
8675,1490
4688,9203
1440,3177
10192,857
7378,7836
10911,1667
5491,5182
5033,1144
5642,3506
2691,4259
14051,4820
11190,1933
9804,8812
9834,1311
4434,9744
6174,5691
8577,2354
13592,5048
13596,2748
7742,6857
10694,7476
11764,6735
7066,6460
8435,5662
8650,8781
6582,6590
11326,5790
13526,2835
4745,6728
10764,4970
1769,5261
12789,1759
5740,9390
13834,4748
1811,7533
3621,899
9103,8365
11504,4348
10035,5686
7900,10306
9342,11180
10963,13075
12752,1744
12568,2546
10099,1233
7262,3757
6468,1454
8648,4041
2800,1604
3975,4346
3593,8799
1490,1046
12154,1222
8883,4056
4802,7762
10005,9665
9526,9508
12469,13011
10688,879
10102,1350
4007,3675
7035,1084
2512,1444
10332,2688
11968,1635
9078,9478
11017,12186
8857,4377
11138,1497
10228,883
10086,1442
6583,11322
5699,7702
12257,3282
6215,6549
7059,6805
6336,6312
8166,10114
11760,2139
8028,6942
14122,6744
6238,12537
11439,3405
10992,892
12329,2784
12824,1771
10892,5209
9714,833
4432,9387
8722,13610
3317,10488
1162,7055
3180,2096
4345,4654
8143,7755
2645,13763
1394,11373
10014,13872
13882,10068
13049,7374
13048,1862
11714,2153
6780,6614
7011,5021
10226,3164
8129,1314
13716,3887
12082,6988
13727,9132
9605,9582
4643,4728
4315,4825
10076,5417
7856,13762
11484,13235
11472,6404
12701,12958
11379,11711
8297,7987
7032,6854
4988,5717
8359,10070
13973,5105
12828,12308
1638,11388
1416,11504
813,10371
1160,10739
12015,7297
2205,8787
4847,4280
3289,6379
1306,4964
11741,2199
12037,2119
12509,2516
8060,7427
8683,5787
7734,6805
11217,3353
8555,8327
10742,10299
13746,9477
11714,2126
10106,1058
13850,3410
10167,988
10694,1225
13388,10404
4469,9625
12529,3133
5755,5973
10711,1692
7833,835
10880,5459
9560,6349
1373,11621
13344,2540
7599,8138
11867,9178
10367,11564
12267,2481
12522,2321
10529,1479
8497,8359
9042,9643
4576,9706
10773,10732
4592,6568
13465,4059
6136,7118
7191,7558
6768,7485
6204,9257
11304,10800
7911,8524
10978,10640
13165,3597
14092,4876
12410,2867
11696,7103
9190,7405
7407,6092
10770,11011
4488,9010
8187,8797
9985,9097
1487,10690
7318,13712
6377,7127
10711,14152
11031,10532
13043,10884
11473,1618
10834,3358
11284,3907
14066,4234
8822,8770
11395,11151
12925,13416
8689,8938
7404,10942
7832,10018
3958,9364
13053,7425
4785,8418
13588,3134
13334,2268
1297,10115
4660,9148
10342,9957
11310,5338
9046,11324
1633,10855
11486,11002
10356,8613
12582,7530
8806,7502
10745,895
11317,1207
11785,1814
10919,1459
11507,1577
2817,7357
5009,1256
5206,2795
13800,4135
2907,904
9324,5791
9765,4831
9336,9631
12611,11677
904,8141
5413,6003
11855,4192
11485,8008
5621,12401
12938,2583
12807,3279
13128,3589
9899,6485
9553,9769
11585,7511
7994,8713
13266,3482
10235,4729
7811,8707
13826,5135
10669,10070
4793,4879
2790,2507
5412,1241
4696,13912
4202,691
13450,3604
10679,1097
8556,6675
13210,4990
10985,1740
8222,8700
5434,4897
11576,11186
14067,14077
11500,1462
10163,3056
11623,1455
12666,2120
7640,7204
6812,6642
10998,1446
11489,1461
8784,1156
9156,3316
8034,1318
10523,1225
13289,2480
8278,8266
7036,11538
10379,1374
7831,10165
8056,8272
11210,5626
13920,4005
6396,6799
11971,7499
6205,10467
6993,4437
4325,5040
8729,2313
9375,4338
4003,2214
13661,3405
10800,2329
13178,8302
6612,8482
10725,5399
8561,5584
9916,1285
9946,1165
3814,12854
5072,5684
6425,4562
8604,1338
4870,8273
14042,4876
13728,4983
13859,4919
12530,2690
13252,12546
10291,11073
13763,13956
9423,4163
12304,2958
11360,1095
8548,8059
11344,5418
1708,6046
10881,10132
5798,1529
7953,829
6453,7033
11001,3675
13842,6127
14017,12935
10761,1733
8767,4917
4650,4087
10943,1795
11689,1108
5855,6211
5323,9549
11283,11157
11417,1399
12552,3121
13337,3923
10441,870
3941,10325
12354,11563
9772,13228
11649,3933
8823,10647
10743,11290
13317,2199
13578,9918
12200,1282
7864,972
5480,13504
3622,13074
13992,11269
13092,2368
8058,7890
10448,1599
6707,7195
5247,5401
4538,2442
7708,6900
3024,1234
13503,3608
10213,4879
5394,12530
7780,7620
11664,12099
12704,10730
7855,11826
8036,11898
6108,2628
7232,3885
4820,8046
1620,2234
11520,1608
13056,7214
13328,4182
8497,8336
5354,10446
6990,6290
11886,9873
13292,10375
13700,13788
11304,3703
13700,3584
9384,2102
13420,4368
6888,6806
5918,12702
4196,2852
9064,8412
12891,3151
10520,5050
13402,4958
8353,5741
4765,8287
9965,5628
7705,7994
5637,8829
13924,3587
8193,7370
7031,7061
5890,5610
11596,2071
2774,8186
13597,3864
11331,5041
10506,10802
2460,12386
9656,9242
9355,11219
11157,1286
11316,1082
13284,2448
7136,6936
10036,9642
8861,13408
11728,5294
12335,10524
7561,11863
11396,1330
