x,y
6214,9512
13441,3785
7115,9450
8384,1316
8837,8131
9473,11337
12069,8998
12180,11704
8080,7922
1200,12023
8536,11302
3748,11548
12370,7276
10452,11806
8064,10231
1383,12731
1606,12908
5594,1352
4383,13669
9989,2593
8638,4379
10406,6776
5813,5360
3277,13295
5309,14097
8758,3897
11277,4935
10028,5242
11317,1072
8093,10568
2109,11862
2091,11794
13147,3643
7503,7100
13491,4095
9011,8849
1818,12328
12990,6998
13908,8362
6993,6462
7036,4340
10047,6530
8152,11728
7405,10021
6054,3831
7916,8040
9900,14078
10586,884
10056,4496
7714,6451
8835,5704
8480,10364
5228,5021
7167,3512
6030,6739
2650,13164
8588,4580
12206,1698
11524,1514
10735,904
4822,5350
5370,6278
3677,787
2344,12172
9757,7016
9330,8580
7293,7829
9894,9481
2240,12217
3462,13478
13360,10188
8129,8198
9678,9793
12912,12644
11637,2929
11220,3827
1427,9899
9027,5564
11430,1812
7662,3251
6320,6688
12797,2421
11738,2076
5216,8716
9578,9918
1783,7456
7376,1149
8823,5457
11990,1277
10814,4404
11783,2512
1200,11853
8725,8156
10041,8139
13929,10763
13911,4211
7514,7179
8070,7100
7957,10117
7655,6751
3723,11409
7878,3577
4538,7984
4680,8004
2071,12817
2599,12429
6396,7164
1446,5112
4956,10088
4125,11478
7178,3206
6203,2675
6155,10573
7728,7962
11783,10571
4126,13987
3363,13108
3762,13330
9103,8543
5379,10556
10996,1428
9743,8734
1506,10984
1402,10956
6506,6143
6695,1461
4576,13558
4368,10028
8978,7546
11662,10928
7716,7859
10478,4863
3052,2801
8252,6688
12394,2470
7486,7408
4936,5149
7620,7836
8794,8542
7660,7990
8053,7925
1368,11853
11997,7607
11129,10703
8044,6710
10948,10121
9498,13160
9188,13150
5947,947
3952,1728
4895,7878
2996,2184
1774,11977
10117,10740
11645,5592
8817,8163
10166,5944
10050,6598
13149,3245
6863,6795
6163,5901
6459,6688
10937,4823
13728,7959
10536,9780
4804,8729
4754,8289
7992,1280
4867,5109
1956,9778
12159,5026
13226,4402
11558,6880
12146,12126
11305,11526
9689,9160
13489,8787
8240,13638
9422,13614
10906,10910
1804,11466
9825,1151
7410,7364
3811,1855
14034,4222
8403,7843
8309,7576
5018,4008
1529,12908
2245,12714
1486,7759
4410,4513
4953,10022
1176,11600
5918,7366
7049,7933
8786,6376
8080,7622
9721,2829
8188,4987
7263,4861
9693,8949
9200,8448
9828,9190
6625,12665
5691,13960
10691,8863
3864,13702
2416,12454
11387,5415
7054,7971
4976,3762
13334,6328
13965,4024
1143,11299
6360,8103
3972,9596
829,5459
8320,5339
9704,6046
8301,7290
3885,1003
3741,1594
4489,4052
12921,12062
13125,2953
9314,8712
5157,5682
13672,13352
14135,5059
13902,4920
10991,10461
10829,10899
3823,2791
11029,912
7125,6492
3850,13216
8125,12045
9870,9732
12196,10552
1585,11599
3877,12793
4031,12715
11806,11163
9070,4690
3464,12955
3432,13242
13204,3944
8696,5412
1610,11646
6071,1887
7652,11583
10888,5527
9211,11309
6208,10673
13219,2468
10514,9068
5298,4865
11060,10101
6997,7927
4194,6064
1408,10548
6468,1454
8660,3444
7088,7158
3762,2831
2131,1465
3457,2700
10766,3397
12158,3253
8073,8672
7004,7004
7658,8033
13177,2871
10328,2952
8365,10166
9758,5762
10632,11694
9615,11970
4064,1062
7206,7496
7881,4983
7861,5001
12124,5100
7351,6913
11426,3406
2777,2701
13229,4158
6931,6966
11609,4779
11609,4789
4800,10705
4655,4723
13294,2386
7247,4923
12082,2289
12174,2094
11288,4308
7536,7550
5233,8878
7818,7926
3656,13455
7896,7915
10914,11807
11290,5282
5263,9294
5381,1805
869,5347
3672,7177
4930,3892
8116,8300
7346,9031
10000,9447
13340,5198
13915,8067
1302,11960
2045,12550
3950,12528
11028,1558
10732,1371
9313,11204
10208,4530
9061,2126
2440,12499
3131,7673
9026,6236
12094,2898
7907,7373
6349,1884
5854,754
3008,3803
6016,1028
5180,8812
12127,3382
2024,11569
919,10832
7727,866
3353,13807
4604,8972
4371,5060
7770,6933
8208,7860
5414,11646
4542,965
11734,7366
4630,13732
7941,7730
8186,7348
6297,12621
10230,4639
8210,8193
3414,3507
5964,9385
1670,6582
6701,8302
10332,881
6120,6267
8712,7864
9503,9690
1274,11604
799,9232
6062,12453
4627,9595
4710,2008
5326,6042
9882,1479
1756,3858
4424,857
7542,6009
8112,8484
12920,2126
12637,5506
10932,4312
13812,3241
13532,2456
12254,2848
5924,5158
11500,1358
8769,7517
1178,11970
3938,13056
6843,9188
5915,12776
5640,11054
11176,4186
7279,6736
6287,12638
8203,7874
13869,8333
2867,13430
13381,8043
13413,2853
10531,2690
8135,5614
9030,1281
6359,11196
9882,6388
2508,11631
7567,9635
12069,7108
10052,5230
2206,12021
3584,10524
11951,9778
4216,4122
4245,3823
5072,10303
12433,2718
3938,2194
13294,3132
7208,6018
10210,864
6256,8136
4680,6222
10764,11058
8254,13867
7313,1544
6742,9436
9501,2554
3121,11885
3103,2365
6859,8518
10618,1631
3946,13400
1545,9938
7674,7684
13760,3353
10340,5818
14067,5853
7942,8466
12949,4651
11874,5942
1220,1855
1032,12162
8813,1642
6261,6817
2993,13689
1724,2802
5667,5314
3569,13296
853,6722
10004,10001
12606,12396
12352,2175
11658,1778
12155,2238
1810,616
8748,4411
11019,4136
9724,807
1024,8518
11718,5859
10996,4366
11409,5645
2978,9416
6137,1270
1644,2083
3722,9604
2367,13471
4739,9771
11671,8083
13866,8132
2600,4327
5000,5090
7087,6791
