x,y
9657,1726
3243,8803
11288,9920
11254,5972
3768,10995
7474,7949
12191,7513
6894,9043
10682,1518
3435,8053
7982,4814
12448,1903
9062,9815
11116,13388
5384,6076
7250,3320
7117,6980
8619,6106
12485,4861
1383,5067
10615,5128
11664,2870
12231,2118
11138,5472
13422,2677
3573,4177
1265,4751
10304,2694
12306,1466
3658,13103
6794,8995
11705,4323
5230,13180
5206,8922
6031,1909
6526,7027
10260,2956
8680,8044
6861,5076
4740,7287
8361,7495
11044,3487
11353,1547
3639,7305
7805,3598
7058,3052
5298,2424
2696,2442
2540,2001
12539,5172
11141,6199
11190,8310
3500,9363
6245,3155
3362,8457
4798,10119
6137,10392
12072,1950
1822,5317
6670,4771
7732,10314
9432,11373
8619,4589
5439,9307
11485,12497
8150,13448
14030,10122
2977,12354
9719,5459
3539,13332
1960,9756
4362,13581
2858,12412
3329,13480
2929,11472
774,10006
6634,13552
8611,4771
8208,8647
1839,11208
6216,10215
13282,11909
3101,11332
13710,7613
8261,8854
5070,6010
13220,5564
12505,6098
12379,8110
8019,10215
11530,7917
8101,6956
3958,13453
6258,9119
6845,6295
6012,3444
3128,2309
2252,1571
8952,5659
11602,5910
12527,2636
8748,8668
12308,6308
6405,10107
13909,4042
11124,12430
9138,8461
11576,1694
6874,8971
13589,7714
6536,7172
13588,6058
1255,8525
13506,7757
10729,11699
7757,13953
10858,8702
9509,9762
11926,3884
6998,6196
10154,6464
9163,9670
12634,2573
11440,6546
9691,4637
11758,11196
5846,9180
13409,4995
6925,6546
7716,5948
7540,10308
6040,4905
3859,4371
1220,12441
7104,4573
5854,6076
13036,2170
2287,9931
7036,11087
6077,10835
13161,8201
6078,9252
4710,10293
5245,748
788,6399
1089,3873
7095,14120
11010,7705
4792,7282
3614,11386
5011,6075
13222,3368
5254,6015
10555,3026
5892,10124
2294,13352
9955,11097
12806,11830
8058,7878
13217,12646
9270,8917
9339,9161
3301,13445
7762,7400
5079,10650
11180,6995
7036,7292
12773,5105
11662,1345
11519,7135
11931,8913
12860,9363
7910,5844
4307,9833
7805,10456
8774,11536
10621,5300
1696,9992
6395,1618
9578,6049
14055,4879
13529,6530
13644,7687
12229,7322
12298,7538
10319,13757
13292,3332
11829,4039
3231,9142
11480,11138
1137,2462
13179,4016
9211,5757
12885,3409
13619,8398
3722,9604
13641,3901
9427,5724
12280,8590
8418,8578
4739,9771
10193,9993
8274,11704
5188,10448
8887,9214
10014,8039
13549,9376
13849,8608
7568,10131
1288,11858
2751,12466
1810,11390
862,10553
8148,1160
9489,5682
3314,13500
4585,6236
8707,6582
8972,13897
12747,13996
8042,8128
11117,4558
5014,8483
7156,7569
7672,11652
11162,9920
6844,6706
10907,11151
11249,4789
8341,8230
2790,6810
7656,11676
13142,3775
13001,11351
5525,8974
13501,3012
1331,11458
8080,8090
5439,5406
8270,4902
10151,7499
4790,10389
11544,7591
8012,3406
4674,6040
8536,5781
4488,4960
1119,10456
6487,1085
2956,940
1080,1936
8624,5263
11690,7186
14122,5773
11507,12602
10739,12091
1647,10870
13923,4119
13554,6494
3148,11588
7994,7866
7208,6929
10301,3218
3528,6320
11544,1053
4679,6726
3547,756
10016,1231
11046,3692
4246,9472
1668,6877
7539,7564
3935,1288
1014,4777
11234,1824
11316,4930
3664,13698
3852,10666
5084,11469
11609,1275
7770,7533
10450,8738
10249,4803
1488,4292
1012,3358
1521,3670
2044,1271
10129,5249
3965,10388
11249,1401
1152,10224
3958,3175
6112,6868
6132,11009
7888,6503
4253,12271
7792,7312
11428,4795
6930,5080
3103,3946
2106,2205
2120,560
1663,11443
5115,8663
3685,10850
1342,5376
8327,8021
5201,4729
3613,13511
5474,9416
4895,10172
9886,6221
11902,10863
14044,10537
10108,4994
7882,7970
13935,4967
4388,12490
6239,10919
7891,7444
3106,10806
13179,8594
11546,4654
8533,9995
5229,13245
9273,6102
7649,11655
10139,12063
9336,13423
9527,12341
7890,7613
10303,1291
9497,5878
10622,4809
11337,5431
7081,11606
9034,6357
7481,758
9030,6399
8271,7461
7526,7342
13107,5075
