x,y
6231,4283
7928,1237
10160,8449
5022,5982
10327,10183
9741,1682
11490,7051
7212,6522
7966,836
6997,7864
7507,7475
3347,13966
9139,8751
9908,6198
10474,4982
8664,7653
6850,6619
8619,7957
4878,829
3343,8104
7797,4828
3512,11515
8672,13804
8086,8626
13677,2947
13188,2431
13470,3143
1159,11162
11540,1602
1608,13002
1249,12265
3558,8673
2494,3839
6911,3040
7139,3161
2058,1891
14019,4202
2199,3926
10994,955
5260,6151
6758,7794
3427,13601
6594,6639
6184,7026
3487,5147
3024,2770
4062,11526
12581,2908
4432,13570
12328,2125
13907,7072
8303,10206
11709,11239
13184,13590
7659,7745
13375,2886
13487,3348
13159,4098
9143,8442
7820,13650
6284,6838
11532,12471
3038,12634
12263,5027
9504,4309
1111,10643
13110,5054
2789,4766
961,1554
6538,6752
13352,3780
11250,3763
7422,5102
8884,8726
4180,12335
7697,7341
13857,10562
3481,13516
12916,3488
4837,12326
12790,7082
10466,12786
5736,9480
8310,6422
4298,4756
3282,9208
9462,9914
8162,7618
2565,12756
8391,6959
5087,6039
9506,2413
8597,4767
8822,5528
10478,5276
1759,12760
1372,11188
11189,12649
13735,7839
14116,6580
13904,8369
7526,12272
13429,10975
1568,9846
2020,11639
3060,11821
1858,12462
7852,6806
13104,3102
6214,8560
6354,2464
10891,10402
11413,1691
4032,13272
8876,8708
5188,13136
13647,3805
10607,9887
13950,6324
7968,8316
8494,9042
13242,4468
13875,9696
6147,5042
13884,5636
11768,5423
8702,4471
8772,4472
8787,11565
12259,8056
9259,10007
9089,8383
8762,10745
7693,6325
8065,5310
11976,2358
9658,8770
1368,10974
1533,10058
11277,3197
14059,4981
9274,5702
7006,7354
11906,9314
9299,9039
12100,7184
11782,11320
13744,3194
7623,7206
5658,5354
6489,7838
1494,12690
12696,2068
12378,2113
4889,11546
12110,7325
5040,14030
5714,9359
9225,7208
8150,8072
7959,7411
10248,839
1268,11083
1300,10306
5828,5904
2640,5798
3113,4081
1427,4502
1598,4416
3742,4299
5155,1738
4953,13430
8384,8232
4121,13770
10219,4562
3670,7988
4157,11362
12762,2758
6304,6704
3982,11526
11686,2130
13041,3512
13492,3432
1189,10046
6212,8325
11551,3524
6321,9652
5158,9135
4213,1093
13147,5012
2052,12220
2238,12413
9501,9617
6882,9528
10548,11031
9026,9126
7834,7522
10684,10234
13714,13080
7394,7364
9273,9046
11056,10643
12233,10984
12366,11465
13053,2231
10055,1143
11655,6784
10179,812
808,10232
9693,9686
11883,2046
10613,1312
3432,9198
3463,8035
11830,5371
11584,7557
9840,9184
12607,6091
13455,8589
8557,5845
8482,8381
3684,13500
