x,y
4751,13578
2792,5659
4748,4570
10777,5208
9726,9024
3822,13124
4352,13610
7860,13280
8647,5946
13120,7382
5212,8605
8728,9926
11475,7523
4092,13134
809,8879
1598,11218
3344,12866
1063,8314
912,2972
885,8049
6400,7089
2680,5508
423,388
1452,10524
11819,2711
4448,11794
1250,10662
3717,13338
1218,10812
3025,12604
1188,7398
13381,4361
8755,10762
8698,10592
11449,13192
3463,8751
1809,11532
8240,3546
6221,12092
3257,12822
3876,13631
2173,12217
1318,12224
7614,13309
7016,7409
11549,10807
2703,2857
2272,12922
4963,8443
5478,5823
1338,9282
1464,4996
6317,7188
6389,6489
1763,12979
832,9599
1795,5541
8851,1358
1039,5364
9348,5742
948,5959
11980,6992
9086,9486
3698,10474
11039,4083
6434,4561
3536,10923
1071,8286
2139,12206
4682,13436
6215,13481
7410,7676
11684,9818
7479,7935
4516,11922
12843,11823
9488,11361
8542,13863
10312,10304
1557,11000
7447,7836
12129,1881
6029,5905
1383,11624
6198,10408
4230,9847
4491,11508
3036,1538
3678,4119
3565,796
3478,13353
8894,9442
8134,11970
10302,11021
12478,13817
1435,12307
7457,7487
1338,4775
3727,13032
1903,2462
2908,2439
2618,13687
1196,10506
4584,12217
4635,12261
4944,13449
12734,9877
4402,10043
8918,8988
1194,8996
13268,7602
4555,1359
1338,2769
8208,11828
9450,11464
7495,6106
8190,3574
9493,5484
4123,4563
1844,11476
1856,12654
2010,12362
6935,8036
1410,5898
3100,2228
914,10257
1421,12268
4232,13560
4058,13282
1918,12392
3359,13218
7608,7320
12308,6356
2790,6876
7352,7284
1646,9549
1953,12212
2444,3816
1787,11357
1010,11586
1738,11088
943,8274
1861,11483
1520,7794
3862,2781
3019,5413
3036,13106
1888,12877
2156,12291
7343,14045
10183,7091
10400,7867
3280,8422
9291,11414
5822,4981
2798,13275
1185,10283
6307,13327
9748,14052
933,6362
9363,8769
3436,8118
13689,6909
2471,3009
2637,11631
2875,12313
6123,13538
11152,5781
13336,10699
4364,13484
2645,12915
8501,10165
1551,2496
2266,13092
2570,13742
1329,11734
7712,7200
12118,2102
13597,9652
13443,10156
11576,10676
13626,10426
1037,12194
804,10672
3863,11143
4469,4980
6096,3261
1393,5976
9161,5800
4834,9316
3443,7812
9340,4305
6997,3971
7088,6620
9124,3707
9835,6517
8336,8641
1585,12055
1460,10334
1400,10744
4178,3720
3809,9317
1977,12960
1039,10078
5696,5249
3984,3314
3987,13587
8002,7454
2756,11454
3448,11437
3247,13029
7248,5069
8573,5084
9319,9843
4038,2674
1382,10933
5434,8688
7796,8313
14174,12391
4256,13699
3792,13343
4487,13844
4339,13506
2366,12218
3552,13571
2113,12444
723,8948
6944,6539
3459,10575
1645,12411
1638,9812
2650,10171
11923,4012
8962,9838
7088,10646
11949,10354
8933,8692
1522,9390
2294,11842
5013,9734
3742,13478
7307,7502
3165,7673
3936,7956
4374,13442
1954,11606
4466,11536
11492,6400
9285,9706
10268,5847
10805,12234
9872,9438
13901,10597
2448,13366
6364,6656
8868,8584
5416,5374
10820,5386
5616,9190
2485,8588
7569,11600
5130,5134
5132,7951
2649,2250
2954,2952
2596,12123
2005,11901
3352,12984
3861,13856
13924,8272
8140,13600
10382,10140
4372,9684
1735,13051
4091,11659
1874,12628
4330,4495
13951,10606
3398,11156
3460,7979
4442,2866
912,2253
6474,6305
6050,6799
4391,7316
1218,10481
4968,5373
8390,10042
7755,4822
10043,3311
5351,1803
3765,13262
4476,9124
3754,13008
9779,5846
3033,11674
2670,12812
981,8347
2742,2189
1228,3910
3692,13377
2292,12196
5444,13870
7714,13550
9182,9590
11195,5871
9953,13942
6426,8604
4706,13516
8232,7554
1630,9822
3795,3515
1688,5940
1147,3024
2228,1653
3493,13344
3304,12923
4359,13710
1758,12640
7072,7521
7337,13673
11380,12484
12152,11556
11102,3956
9171,2304
4013,4108
4403,4746
5132,6110
2336,7536
2335,2889
1990,11824
4428,13269
5982,13318
13266,8754
10057,9961
10900,10508
7022,6787
4526,13613
4245,13555
7334,13211
7610,13640
5514,3766
3224,2815
933,11316
3424,12911
11111,4702
10541,5246
13588,6919
13068,3125
4076,13596
3706,10324
3084,9440
8522,6160
2008,12015
