x,y
3177,12925
2436,13409
2605,12143
791,10383
2652,13627
3712,10768
1454,12934
8543,11841
6998,6392
5580,5225
4697,13843
9908,9254
4950,8645
1165,10306
1444,11050
10703,1130
9544,3506
9831,3381
10961,3553
2850,3239
1625,10923
883,10686
776,8115
3235,7745
1770,7458
1575,6508
7264,6585
7508,5106
2704,5844
13757,5045
9995,9121
4665,5924
1016,1376
1671,11781
2112,12326
1328,10378
3406,13458
9901,6576
10125,6801
11402,5916
7063,13956
9678,10196
11444,11327
12924,12880
2738,12676
4659,13553
7209,13746
8698,9955
10103,13228
7765,11780
8168,11855
1462,9845
1056,10270
13452,3512
2583,12410
4382,13581
5411,13958
1239,10610
3908,13243
1163,10426
4299,13449
7578,13507
11213,10722
10552,10167
11182,13110
4594,9877
6933,7690
2345,12806
12916,12802
9231,8660
5658,8785
6051,8633
6716,8275
9987,10340
7917,7248
8094,7064
3381,13806
2413,12977
1275,10722
3109,13643
9020,5632
9920,6498
9309,7056
9970,4424
2489,7601
3027,3921
878,1947
842,10555
2197,12662
2740,11651
1125,7139
1323,7518
1656,6396
7434,1084
8067,1323
1518,7863
899,5186
7339,6714
3144,9494
4559,4483
10652,10259
3134,10607
1453,10852
729,8307
11008,1071
6558,1662
12511,5118
3671,9529
2625,7284
3859,3474
3028,7427
3710,13523
3716,13276
2694,12143
6671,12718
5890,13358
7944,9534
10718,9938
7874,7686
8633,8091
10086,10149
10706,11162
10168,9460
13928,11430
4599,13236
5531,8668
6614,9149
9471,11273
12148,11113
11941,11224
9888,9472
5891,10897
3966,1490
1226,12390
3882,13356
4537,10109
9356,13242
10276,12314
9772,12886
2515,13421
1628,4494
1571,5081
2747,2515
4198,13335
1826,12611
2888,13050
4693,13396
1125,12314
1117,2933
2552,12384
2619,12695
4343,13375
3715,10324
3852,9908
7052,13964
8235,13718
7511,7220
8082,4930
9686,9290
5330,5603
10203,8172
7908,11803
9620,11296
8626,3621
5022,5347
5888,5869
4497,4952
6085,8381
4770,5535
2318,12213
4178,11456
3772,9184
1567,3989
1610,9332
2373,3922
1624,2158
2507,11624
1548,11867
1525,10190
1437,10566
760,8133
1627,10764
1300,6834
5999,1581
9381,1213
1879,999
1533,11324
1202,10213
4166,13844
1776,11118
1105,10326
1695,6751
1216,5405
3875,8012
3249,12931
10107,6627
9030,10920
7637,8610
3638,10591
7779,8389
13975,7606
13910,7812
753,7861
1869,11723
7706,11347
883,9204
1081,7284
2752,12685
2898,12684
3366,12985
14001,5825
6024,9836
970,6927
1269,8045
1808,2592
12641,10771
1542,12627
3306,7135
4692,4751
4166,1558
3103,11701
8442,4895
6671,6953
3045,2383
3986,5995
9246,6281
4736,5515
3819,3185
4053,13239
1624,11526
8663,7851
4193,11742
11661,8395
12746,11652
2592,12784
3421,12957
4074,13446
1142,10602
3540,13619
2903,9864
8064,5418
3981,4720
8624,4929
5206,10218
9965,2454
1162,760
3886,13818
1008,10322
2343,8537
2175,8492
9488,7293
1007,11198
4370,13550
3154,3391
3441,12950
4514,14047
12296,7557
4563,13672
1585,11887
1661,10569
2117,12328
5286,10652
2399,1822
1599,9544
3253,3942
2390,12400
1667,11894
3283,13247
3144,13360
6246,8970
3247,13033
2674,13477
2271,13433
7608,7749
7935,8490
9450,9719
5264,4986
10994,5469
4859,8259
2623,8446
6125,4864
3658,13948
5124,5148
4605,4523
10334,5195
13672,12698
7278,13566
1614,11361
3933,13769
4502,13604
7481,4886
8231,5345
13857,9020
3473,8949
5096,3100
2235,13334
3745,4394
9842,6524
4478,13589
2380,4239
3280,12854
8746,9093
11945,11435
1717,9443
1059,4049
1688,11051
5082,13583
2224,10106
1817,9524
3360,3960
3585,4145
3562,2766
2520,2858
8693,5152
10550,7634
12317,4594
13148,5081
8555,8972
13379,7499
1423,11738
3370,13003
1348,11950
1156,11862
1254,12013
13510,8230
3624,13150
9729,4912
3222,13254
4787,7362
7589,8061
8856,4692
10814,5122
12934,5364
13047,5337
8829,8866
4856,9978
11856,2124
753,8240
2762,6967
4563,1100
2964,12598
4020,10039
10071,10012
4755,13649
3681,13774
3931,13367
7504,13338
12046,11743
12386,11185
11737,2050
13038,11715
13418,12272
1594,11109
1940,13247
970,10692
972,10922
1291,10301
7959,8229
6229,6497
1132,1393
5379,10598
1827,12496
2778,13328
2970,13260
788,10510
1085,7525
1655,11447
4757,8244
5348,8663
1343,8736
1222,8953
10052,13756
1314,3028
3194,2114
2300,768
1986,12326
1532,10721
952,6580
2933,13379
7566,7756
5682,9280
8395,1527
7448,1206
3811,1735
9424,5388
8538,5933
6233,1497
5031,1040
1803,12468
7057,7355
7090,7485
8246,7967
8300,8512
7467,10969
8876,8675
11498,6545
11367,7943
10125,10172
10424,10530
13514,11820
13128,11438
13575,12585
1557,11078
2732,7304
7286,1452
3347,13753
8148,13543
3020,11952
4678,6041
4025,1982
3926,7390
2338,1440
8564,10509
10554,4688
2434,11760
3955,13586
1393,12785
4665,13785
6540,6221
2187,3266
5679,9075
2305,2880
8208,7945
1064,11029
2121,12427
3724,11630
3028,11323
1190,10515
4143,9750
10680,9936
8339,8518
8567,8695
4193,12109
6270,2518
6234,2458
1563,1237
4017,3770
3934,3962
2930,12561
1672,11733
3455,8176
3098,7840
1577,4688
5621,5772
5227,5639
3763,2284
2628,1566
2344,11766
1539,11617
1622,11369
1544,11727
9224,7487
7117,6835
3517,3938
3630,4130
2392,13613
2796,12742
4799,6149
3249,12979
7974,9866
10412,5362
7481,5793
4128,10216
2338,12073
1924,11935
7701,957
7953,829
6988,6634
5973,7340
6917,8030
1662,11468
5114,5906
8836,1390
6045,6315
3484,7688
8489,1242
11355,1828
3052,11044
3812,13054
1448,11410
1504,12324
8097,8095
8611,10069
6924,13106
7186,7806
4616,7057
1121,11531
1026,11659
1700,5794
13225,4155
13603,5087
12456,1721
3448,13804
1902,12682
1364,12652
1323,12621
9362,13130
10436,2942
11474,12647
3818,10759
6774,6625
1085,10831
1686,5059
1257,7550
992,7497
2413,9222
5642,8927
3684,13590
6139,14069
7616,857
6018,3425
7261,3031
13758,7811
11172,6278
11205,8515
10487,5054
5996,5828
5086,1700
1522,10317
3173,11872
1703,5754
1393,4074
5572,5485
4691,4471
3600,9247
9493,8888
500,2616
1049,1585
3589,13944
2741,7089
1374,10335
2859,12996
1422,10444
1584,10689
4590,6171
6005,6664
3872,13521
9497,9397
3860,10598
3771,10887
7442,7610
6893,11390
8654,5460
8724,10655
8906,10877
9038,11107
11844,11794
8340,11737
8028,11854
8450,11971
9967,4413
11037,5547
13411,11891
11037,12123
13890,13402
10453,12232
8253,7337
5028,10916
5778,5854
2324,12050
1988,12849
7153,7472
8158,8075
7838,6811
1432,12417
8082,8561
4795,14042
3195,13389
13271,2516
1600,10734
1024,8818
9371,8744
9730,8877
4234,14058
2858,12976
5056,12409
4583,12301
8786,8798
6583,7961
12993,3275
3637,13211
8064,3521
2356,4292
1266,7743
1585,10456
10681,11281
942,5982
2687,11846
2923,7147
876,10547
2110,13347
1733,11147
1254,10250
1555,11216
7103,6369
7186,6283
5801,5399
5836,5377
1070,10582
1883,11696
3925,1514
5715,5687
8408,11674
9136,11422
3657,12949
6224,10599
3735,10206
8043,13987
5437,13493
6374,13902
7177,12568
1091,10252
9699,9584
12273,2687
9818,5462
2718,12981
3113,12960
3677,13229
4791,14040
1707,12180
10175,2619
7952,13252
4518,9328
4383,9505
5530,9224
943,4655
1332,10700
1483,9817
1165,10514
10095,9384
5323,9470
10300,9822
5089,11452
9261,3791
4963,835
3090,1604
1074,11814
2624,12386
827,10422
3386,13929
1685,12093
2273,12579
5012,9384
4121,14030
2601,11934
11628,10113
6868,3027
13982,10213
4054,9606
3788,9280
6545,6146
6327,6077
4805,10792
2969,2780
2561,9751
4010,11586
1805,12278
3127,7517
8978,8212
2143,13284
12475,5911
1452,12190
1593,11195
1241,12179
7888,5447
1444,11025
1182,10676
4626,7652
7270,1641
4487,13738
2111,13226
11464,8584
11923,1211
972,5596
4102,3272
3542,13525
