x,y
9635,6260
3798,3952
4648,4674
7999,10756
2845,3669
3272,11719
3804,9467
8705,1542
6169,10746
1087,8714
6175,9569
2763,2062
2920,3816
2204,13019
10245,5572
8690,5752
8847,5760
5759,9094
2097,12170
2724,12843
3018,12812
4776,14022
7164,7448
8560,8963
11968,10106
9624,12596
9659,14019
9600,13802
8890,13732
13767,12640
13344,13970
13653,13459
12291,1670
9034,5592
2975,7440
11645,7219
10487,10750
13655,13150
1684,9914
8626,9828
6837,6660
7024,1260
9504,8925
7178,11072
3238,10740
9396,9790
12799,2037
8480,12324
9541,7170
4839,8240
14008,6903
1863,11490
2465,8769
3766,13369
3376,13475
2510,13098
3866,13316
4124,14056
9005,8334
8305,10094
8511,10475
8929,10780
8352,10135
12313,8229
9594,9223
13613,7823
7787,14034
8700,14033
11363,9770
10992,12229
12737,13878
9351,13600
12812,12154
14053,12234
7712,9610
6010,8712
10920,3290
12164,1304
8541,8119
10210,3038
10211,2612
2748,6973
4767,3577
1888,7537
2450,5624
13669,3001
6638,3002
1306,6682
8670,4106
9834,3305
7422,6708
8023,7556
8301,8191
9865,9207
6574,6108
9414,7395
7243,3611
9093,8332
8174,5279
8570,8798
6958,7122
7859,7009
4257,3992
10630,5427
2897,11186
2551,12523
4936,4428
1824,2158
10986,5224
10466,5020
9222,11406
6736,9514
11934,3798
3069,6651
3693,13233
3774,12992
3488,13380
3858,12972
7091,11382
9833,5420
13176,5757
13531,7833
11677,7472
13288,7547
11102,3768
13606,8462
11723,7188
10142,9717
10269,10687
10039,11405
9773,11710
8921,6054
11825,2932
9248,3811
13001,2076
11688,1662
9282,9356
11049,1881
3874,4604
5006,1334
4221,12556
8507,7608
6591,8295
2624,12143
2748,12323
8077,8504
9994,12001
1690,11688
990,10960
8984,3464
792,10628
3520,9322
7422,7690
10279,5821
10658,7672
6085,8293
7612,7644
7482,7585
4623,4749
2660,7683
3012,7072
3012,2476
801,7568
1001,9112
3948,13395
2405,12224
2035,12168
2302,13216
13629,7828
13551,12379
14189,13410
7063,7073
7737,5010
13116,2175
9754,2391
7726,7286
7797,7200
3433,3951
8210,1062
9825,3337
7355,7806
13579,5941
6634,7236
7886,6674
8173,8762
8259,6349
4680,13558
5280,13382
8703,8392
4604,7592
13411,12020
3922,12581
9294,8996
11192,10876
11353,10880
12564,11919
10908,3302
13802,3252
2810,13058
