x,y
11356,3266
12098,5090
11773,5714
6457,12326
13661,12366
1222,10374
5708,9216
825,10440
5482,13777
6571,13244
3128,11900
2861,12653
1765,13243
2034,11940
3495,11626
724,8459
2924,7222
1631,12130
3865,13319
5120,5244
4708,12440
3122,7275
2350,9870
9957,6590
11331,7651
11997,1771
10445,7774
5603,12941
10793,1198
3824,4704
5815,5986
2014,4130
5938,10207
9374,13663
13617,12675
11398,8214
8237,5715
8114,7706
3374,8323
854,4508
10634,1382
13227,9271
8015,8408
11590,8720
1010,8600
2261,11925
810,9971
7769,4238
10497,2393
8856,8884
9410,8848
4673,6774
7049,6189
6816,13982
1197,2314
2448,13356
2160,8792
4226,13646
2976,12481
7324,14106
11859,2577
11313,3628
5324,8881
5077,8495
13757,3308
3744,13089
11549,6533
1531,10966
3859,4330
10038,7250
6036,6899
3108,3988
6857,6324
1194,6710
1688,6129
9801,7215
5478,7514
4684,8197
4674,8266
3716,9645
456,495
8444,10060
2145,12161
1250,10854
2078,12751
6794,7097
11842,4984
4702,6478
1618,13144
1772,11450
11150,5604
3576,13578
4199,13519
10222,7086
4583,13859
1384,11310
1930,11554
1448,11651
827,8901
1749,9344
8290,5772
9617,6374
5190,5342
9140,5636
7736,5014
1408,12514
13596,7412
13328,4769
5512,5342
7461,5839
10363,10029
10048,9823
11652,9758
12055,8421
9978,8182
5158,8862
11947,2806
8618,4087
11840,4106
1870,12194
3050,13556
5181,13754
12524,10428
1609,11572
1492,10840
12295,12377
12295,12224
12661,12250
12179,11628
5941,7297
4028,4260
11267,10911
11318,10838
14239,10402
9134,8453
871,6116
1574,11490
11491,1714
2859,12771
2719,9962
7021,13596
7691,11436
7932,11822
4136,10309
6060,6180
13136,3288
4354,10097
4294,9941
1303,10471
970,11272
3104,10962
1343,8871
6180,5054
2118,1232
7824,8005
8800,8149
4164,2815
5659,1384
2804,2854
1603,11625
2865,12010
1725,12238
4542,12205
4102,13467
4235,13407
7937,7371
7919,7405
5967,11370
3276,13296
8598,12646
7947,3287
7093,3649
6477,9833
3922,3438
900,11612
13587,3391
13344,3369
4688,11634
4733,12532
6981,6189
11070,1120
10967,1380
932,6298
7641,4784
8674,5506
9678,5587
4132,4685
4902,3044
6633,1056
3098,13206
11185,1143
8306,5457
11211,9928
10440,9858
7241,11794
7786,7320
6208,8265
5497,5201
8850,9749
4766,4732
4572,4115
7842,5536
7123,4733
2720,12960
1014,10814
2206,13230
3506,9743
8502,6829
5961,6639
8478,12425
826,7864
1090,1295
3536,10923
8143,1987
10235,1374
7788,3238
6784,3094
7984,1949
12080,6573
5236,5949
3420,8428
2398,12274
1219,12503
6875,1264
1209,10377
2440,8852
2965,12523
13272,5441
2976,11558
2900,12060
3760,6548
1018,8148
2944,13083
1813,11993
6190,9034
6295,9284
7034,9550
6282,9083
7604,8163
2543,12340
4415,11970
5336,5398
5558,5092
11572,10106
3573,3907
9798,6443
9954,5970
9704,5395
1268,8938
1396,11801
1328,12252
2720,11581
8574,5682
9426,5633
7840,8236
3340,6568
7850,7666
5399,1127
5812,1396
5406,2072
4545,3865
6182,3498
4107,10179
2621,3823
3550,13535
3059,13007
1494,11580
3896,12676
8469,3731
3442,10148
11356,1824
5209,5791
1589,11023
1447,11768
3101,6999
6849,7244
6075,6816
6711,6594
6391,6470
6609,6480
6074,7186
4514,2832
4115,1660
5568,9485
5108,13474
2808,11707
2632,11620
8941,11427
10028,8975
11978,5278
4606,9145
3986,10273
13740,11812
3778,12814
1782,11088
1994,11968
4203,12127
3495,13045
6261,6596
4653,13644
8751,8856
8522,2332
10739,2012
6310,6400
5885,7143
6792,8124
5029,8431
12843,11823
9190,7540
11963,7564
3118,7809
12129,1881
5352,5579
5559,5386
3278,13227
2101,9514
2074,12200
1118,4750
2035,2909
1211,2719
8240,12346
8498,12220
6439,9714
2909,12096
4370,11826
7232,7333
7045,7698
10311,7579
6654,13923
12856,13421
6819,6905
4772,5102
986,3958
3727,13032
2179,2501
1903,2462
1026,2883
2354,1738
1132,11014
2140,11694
7826,11855
9756,11098
7182,8791
9988,9092
7625,7220
8301,8423
10942,6922
4615,6581
9796,7288
9882,6564
10020,6835
3543,10724
11675,4277
12885,3213
7788,13718
8588,11796
9450,11464
5024,13142
7233,3435
8459,7895
4279,4769
4000,4651
4123,4563
3990,13408
2030,11676
4738,13964
8088,14135
4146,10131
3707,4075
10845,14046
1771,11128
2532,13524
1515,10515
7076,13944
8163,13498
9555,9051
8894,8690
6315,6608
7971,8565
1188,10572
2862,12474
7754,8237
811,10807
2353,10067
3085,7741
3324,6766
5233,4744
3218,7756
7650,11142
5494,9071
5749,9150
4799,6141
2744,6399
3104,8088
8508,8708
5092,6097
6452,6503
7008,4151
6262,2785
9900,1327
2765,5806
8870,6599
9666,5704
8423,6000
3742,13075
3835,12904
11768,3582
10102,5687
8338,13833
7964,13832
5754,12858
13235,12786
13773,13181
13526,4102
8081,1219
7722,758
