x,y
2451,9800
8310,7420
13093,2171
5783,6089
4882,4848
10599,3176
7457,7638
8853,8925
8056,8241
7538,8561
5892,10718
10101,10392
1357,11626
1834,12258
9162,8420
8098,5448
13530,6712
8350,8171
7962,8385
8000,7752
9048,9428
9335,1092
7030,9784
8585,4841
2919,2224
10188,10291
3313,6459
7900,5058
4684,4805
3964,11290
5032,12320
4908,11651
5083,11476
6088,6019
3426,4259
5944,5514
5885,6267
3962,4196
9840,5985
9103,5829
8540,5573
8827,5530
5864,1173
5320,1524
5156,1174
5853,1623
3343,6680
3464,6752
8166,5575
8898,5729
8622,5621
2130,1400
962,913
6088,9261
7131,7413
13568,11938
11648,7755
9064,5742
8254,8756
7028,7762
7962,7738
8696,8190
13413,5769
8962,5801
6716,8243
1873,1309
8864,8746
4514,13585
9701,1484
7709,1459
4611,4891
5191,7670
9655,9750
6033,13392
7474,12128
11310,5951
7164,7163
8293,7501
2208,11745
1324,11325
3767,13230
7200,6807
10079,3304
11261,11824
4626,5335
7783,5099
8746,9172
12781,13051
9414,5408
8296,5444
9543,8782
11228,11036
11082,10881
6644,4528
9405,6058
7699,8259
4116,964
1036,4210
8729,8545
8538,8004
1990,11824
11266,6978
11458,7536
4428,13269
9577,9123
8985,3980
9850,3236
13992,8016
4516,9254
10466,8940
9835,9384
9638,9266
10337,9893
6683,4730
13517,7360
13376,13660
2836,11359
3578,8776
3624,9292
1577,11326
852,10273
2321,7672
970,6869
7788,919
11020,981
8417,7643
7784,2299
8666,11071
2277,9258
1868,3466
1260,2464
9021,8318
9627,5826
1096,4614
2731,8252
11185,10710
11191,10784
12320,12614
3647,9968
2165,12619
2563,11803
10026,5130
3550,7070
2867,7665
7463,3853
5512,3544
4689,6905
8016,8281
10091,5801
11594,11029
12688,13729
7062,7020
8630,6207
7845,2076
9646,6934
8098,7310
7653,8386
3603,8820
6193,6550
5298,5920
5938,1201
5788,1480
7085,6487
5096,8527
5810,8659
6304,6273
7526,11690
8302,7378
11422,6047
3966,10491
7636,8012
2445,12684
1738,12291
8476,5116
7404,5084
4196,10320
4428,7126
8424,8505
8468,8144
12035,10107
6065,9195
4844,4006
6699,4570
7706,8758
8020,8032
13531,13007
8589,8261
8224,8456
8473,7802
8018,7054
10552,4971
11769,2593
12489,2114
1394,12169
11378,5726
13804,7998
11582,3374
12038,1954
7108,7292
9905,9300
9674,9544
6710,6569
8155,7901
6385,6480
5457,5914
11470,3632
5264,5336
4955,5058
492,184
14097,10032
3547,756
8622,7988
4954,7667
14122,4500
6292,6107
8688,8433
9243,8872
8924,8736
5748,5383
10168,5403
9104,2402
6144,4973
11611,6594
3426,11285
7135,7036
9481,9060
7872,7673
3711,10885
8741,4379
6916,12762
2012,3065
1607,10931
2033,11626
11466,1178
10761,918
8279,6315
5583,5621
8043,7306
8892,8681
13715,5574
9744,11806
5838,9379
13250,13674
2136,12783
13965,6637
5672,8886
7765,6954
11376,3130
13159,2796
12706,2522
7871,3527
5584,6069
7325,9123
6572,6246
13648,2652
5450,13938
9325,9447
13800,6358
12447,1741
8886,4285
1189,11740
4842,9846
4554,4501
8048,13538
4641,13482
6317,5264
7568,1600
7248,7840
11518,1544
13400,7004
4412,11971
9986,9190
11128,11885
2587,13424
5151,8730
4976,9327
5093,8772
8607,8358
11323,6516
6796,6537
5120,8540
9996,9283
3199,8356
3374,9258
4267,9618
9834,11164
10541,5263
9599,5619
3881,4036
3535,3533
1123,5059
1959,3960
4786,7679
11408,4789
13145,3914
13962,4102
11266,3897
10009,3097
8121,823
1634,10330
7736,7817
7480,8647
2680,11736
7340,7140
6720,6700
3308,9136
5186,10298
4067,3368
9605,9279
9925,9761
2692,3567
6407,7133
6051,4922
7056,6776
1184,9661
5098,9622
8091,7388
1024,7984
11878,6677
9952,6814
7950,6450
9736,7186
741,4040
3842,2772
5274,13206
10053,8249
10395,10222
3151,10918
4713,3675
10673,2920
4362,13726
2302,12628
7836,8585
6602,7964
7027,13282
12243,9223
12742,7514
12121,10080
7139,7283
9533,6022
9642,1743
6698,7368
6009,1677
13151,1976
11264,6198
7438,9673
8543,10398
14122,8918
4776,9886
6306,5830
5892,9317
11321,1856
896,6640
1774,7355
2505,6980
7440,9973
7426,7048
9585,5679
6510,9402
7361,8534
6188,5060
6082,6274
5113,7775
7974,8064
8120,10129
3685,7350
6990,6789
5462,6198
4586,2753
4282,2734
5076,7698
8895,8422
8045,7702
5506,5475
6114,6264
9447,4365
7431,3270
7926,3400
8630,4763
8633,4997
13777,6935
6831,6831
6845,8009
13681,3052
2270,12856
2863,12599
2675,11722
9599,8937
14217,13917
4874,9406
8652,4006
5930,6671
3231,11127
3911,7303
838,7730
4696,10364
5503,7551
4748,7508
4887,4794
4024,4412
6443,895
6665,1073
8232,3568
4968,5516
2121,7751
5985,4372
4694,4876
6124,8206
4222,7248
3221,3969
13311,6887
4323,1649
5030,1576
4833,9227
2800,7362
4750,5137
2894,4399
3628,4174
7945,8379
7787,8324
3003,2341
1457,1208
3388,3608
7939,1914
7913,1907
9714,5329
5469,7620
14117,5771
1158,12242
13660,6975
11758,6783
773,5709
7924,6432
7329,4968
3378,4382
11366,1096
9461,5493
13950,3777
6742,9468
7200,10039
5250,910
1128,8785
4064,9410
1350,11725
1249,10972
6270,9007
5454,5971
5814,10699
9168,8830
10366,2993
11294,6683
7626,7628
1177,830
7762,5491
9368,5678
2012,5226
2752,4936
2649,2320
7674,7430
5773,9311
7712,7369
3969,3821
3574,2761
10886,10458
13351,2583
4420,2998
7224,3424
8080,7714
10517,7761
4674,6108
6298,6369
3996,13314
6513,7232
8471,8414
12806,2784
13218,3444
5705,8627
1214,10773
6567,6955
9770,9258
