x,y
11402,8348
2756,6383
9065,5636
8374,6566
13500,3669
6600,4740
13120,2931
13074,2572
11128,5702
8664,8492
4774,5102
8726,6544
5827,5824
4334,3890
10636,3186
13477,7570
6093,6101
10650,13461
4903,10264
5335,9096
8240,10116
4214,4410
2624,3364
974,1610
12621,5187
9732,12955
9661,3275
12814,3327
13336,2685
13449,3355
12223,2670
13800,3553
4684,6109
4694,8163
8254,13390
9217,11198
12420,7471
5112,13892
9240,8986
7909,8362
8459,6512
9031,8662
9404,8833
10437,9798
9396,13133
4048,9352
13623,4999
6266,9563
8389,10432
11578,11328
7055,13416
7406,7021
6168,9833
6656,7002
5038,9570
6074,6804
11625,7121
9239,11296
7719,11120
1941,13127
11076,4860
11936,3425
11783,1087
10015,5410
13389,3813
10555,1784
11572,1284
10696,11852
13440,3587
10108,1232
4174,14056
5080,6118
5134,10458
3978,13493
13758,3059
8386,7623
8196,7066
4550,4713
3675,9054
8157,8223
2230,3562
1481,11412
5211,1567
7815,1318
5016,5975
5467,5361
6531,8497
11525,1597
12212,2618
7877,10073
8215,10212
4136,9445
4325,13454
4961,13914
10860,1793
7522,7648
8908,7377
2256,12535
10724,11149
10828,11163
12517,13329
4197,13510
1608,12374
8069,8027
4374,1938
1449,11487
1618,12238
13889,5763
9170,5498
10537,2989
13470,3336
13497,2421
11536,3085
9711,1073
10114,2574
7202,1696
5379,1593
2675,7237
900,4906
6808,4320
7970,7132
6668,9949
8073,10044
13032,11713
8692,8679
5245,6151
9216,13757
3529,8720
11751,4163
10229,5657
2866,7153
6366,7008
2239,7580
13619,11026
13757,9119
13305,5920
13781,7934
13873,6836
6564,9886
6564,9753
13844,7496
7364,5063
10884,13117
4676,11692
1520,10532
11361,4117
8261,5695
6549,7154
6297,11190
1935,11750
3749,11493
10720,1819
8560,6644
8643,8356
6058,7100
8072,8708
7902,5420
3113,7448
8861,4042
2796,6352
10961,4721
10452,4845
2712,3090
2808,1243
4489,4811
11101,1616
13647,2895
12413,4786
5100,10756
7795,5391
7880,8529
8207,7808
7173,7692
7885,7676
9116,8590
14016,4588
13304,2451
3620,4985
12274,2876
11701,2146
1430,8754
13974,8025
12897,2973
6503,6705
7147,3763
5630,5699
1298,9532
719,648
2070,799
853,1736
987,1227
3699,13598
3350,13110
13469,5680
8224,5542
7133,7220
5426,5660
2985,13014
3599,9906
6865,7012
7482,7173
12088,3396
8625,7764
9595,4259
7476,3616
13187,3024
6128,4831
4628,7151
4292,9884
5986,3948
6161,4286
4863,10268
4573,7400
8698,1096
4420,12002
14082,8703
10359,10893
11046,11846
12144,13908
11503,1662
12652,2424
9431,5703
8215,8354
3434,8646
5896,6136
8596,4647
8689,5515
7044,4426
4084,3563
9638,4266
1732,2014
5966,8506
1317,12292
11238,6413
7078,6587
7522,6758
9931,8749
11061,11068
5260,13586
3071,13339
2446,12047
4131,13299
9406,2428
1725,7056
6670,4551
6136,8833
13519,7003
6598,3173
4857,2993
4456,11598
2356,13272
2913,11399
780,9282
2869,8002
1625,2080
8413,6699
2367,10023
4190,4676
8346,7779
6712,6776
13776,6784
10191,5025
11066,11898
9910,10107
13907,8211
9107,13590
13659,9368
7599,7625
12066,7822
10084,12034
2432,12966
2787,12701
2652,12490
7451,1425
11444,5580
10880,1759
9230,5433
1150,7621
1492,7221
5883,13322
9820,13785
12509,1472
12771,2694
10949,10242
8338,7450
5985,6167
6475,6208
12202,1720
12427,7586
14036,6938
2914,8329
11246,4678
9679,6134
13769,5737
10448,10011
11598,9979
13463,3828
11312,6233
12695,2486
3857,4015
3067,11936
1730,11991
2426,11852
6289,2315
3654,13456
5215,5637
937,4963
5514,5768
1656,7654
9086,5556
8470,10528
8420,830
10414,13519
12261,12876
3315,13358
10626,3005
