x,y
3959,13406
4472,13856
4214,13680
4257,13714
4190,13974
9982,9052
6243,13826
10044,10313
8816,6534
12187,13133
13759,13116
10886,1681
11798,1624
13080,3238
5892,6621
10559,878
7064,7795
4683,4642
1079,12148
1626,11124
4179,11784
2286,13110
1851,11310
10021,4993
1194,6626
9104,8504
10056,6927
7560,3137
5044,5279
7774,8398
6537,6079
2079,2186
3688,7034
9545,5963
4298,10227
12252,11939
8711,8243
1762,12148
5639,13560
8282,10198
13008,12978
1356,11518
881,10834
965,9707
4695,9384
2488,11664
6898,1246
1653,3581
1570,11499
1336,10479
6295,9284
6539,8588
5736,5937
3622,13240
4920,12289
4616,5494
4217,3023
9954,5970
11103,4427
3899,3363
995,10872
12123,3471
10664,3436
2124,5170
2969,5734
3374,5010
4091,13799
6744,9408
5506,12866
3064,13221
8037,10184
8778,8011
3733,10998
2909,12524
8473,7978
14032,12106
12800,1871
10889,1218
9717,1006
6080,5674
2758,2375
1760,12672
7236,6264
3739,4160
11717,12414
2813,1092
1312,12349
2260,9370
3614,2038
4667,12465
10333,5530
1302,11890
6887,13094
4592,7233
4104,13497
1415,12488
7056,6968
10942,6922
2678,12022
7513,9969
7524,7594
10155,6654
2552,12384
2619,12695
4343,13375
8235,13718
7789,7724
9686,9290
10203,8172
1644,8571
4064,4588
2683,13613
7649,11735
2771,12494
4678,13432
3376,13288
12325,7514
12295,6454
12079,11915
9245,11279
12871,10617
9898,9186
4768,14074
13179,4009
8892,11437
1091,11821
826,10514
1492,12240
2902,12667
1455,6562
926,6725
6227,1327
1904,12815
2953,3480
1244,8111
7280,1362
2291,1441
2708,2610
8286,2098
6566,6314
6750,11386
2294,12080
9375,5781
5297,12461
3471,6356
4341,12351
2460,12347
13630,3676
7999,13787
6334,6966
5318,5287
6071,1190
1606,10554
6072,13335
8044,5135
10408,2972
1187,652
11079,1016
10850,1382
10576,1198
8654,5680
11187,6548
6805,4733
10892,10720
3581,11599
10782,10446
11129,5873
11454,11040
6949,11683
10830,4763
8915,9069
2283,12378
5414,3222
4074,13652
8655,9249
9004,4261
8582,5131
3786,3243
3911,4362
1949,992
3725,11318
9757,4165
3701,10393
10644,5212
3989,13066
6951,6963
11155,3706
5716,12316
5321,12477
1161,11347
1584,7683
1494,10676
2406,12197
1266,11306
7575,7980
7431,897
3909,3661
9121,9000
6416,9547
5444,12698
13634,13117
5027,5912
10943,11460
10280,10961
8184,6794
11894,7082
1805,13020
1326,10620
4225,9346
4774,10177
11616,5577
10472,2994
11972,1578
7316,7529
10597,897
12580,5821
9751,1147
3010,12744
2877,12606
8082,6457
7762,13452
13584,5082
13282,6034
9569,10112
12924,12108
10561,10775
6209,6550
6084,4662
10326,4817
2367,10023
2910,7165
1089,1733
4835,14041
6382,6532
1397,11600
4532,6963
4108,13210
3802,13881
7253,5998
10776,4754
2020,11868
1868,11643
4256,4184
5483,3484
1121,11997
7265,7012
1784,11338
2470,12321
7374,7137
4246,9708
13234,3430
10942,1000
10440,8897
6470,9298
894,10222
7768,12342
5368,13460
7476,6912
5025,10999
6933,1320
3160,3719
2412,12000
2662,12088
3668,10228
4274,13174
14067,4977
1748,11261
3269,11853
9709,9297
13177,10273
10942,14036
12662,2491
13117,3219
7210,1269
3932,10279
6957,3771
14014,4841
932,9018
12637,1765
7919,7149
6007,13784
10185,4584
7642,8396
11203,11421
10414,11584
2899,13425
4708,13781
2237,13150
2398,13330
10824,9102
7141,7195
9084,1704
1515,7254
9974,6295
3672,3438
1187,10571
1334,10631
10586,4870
3291,13557
3522,10286
9894,10025
10461,1323
13474,3197
5432,11681
8932,7271
3159,2940
8633,5129
3464,9044
1337,12469
2903,12534
4603,10174
2156,12266
3765,10400
8816,8779
1254,7100
7320,2639
6134,4032
1959,1249
12187,1836
6465,6989
9229,9463
3670,13460
3270,13098
7378,7572
7939,13252
10909,1334
12142,3483
7182,8606
5796,8438
1295,11078
9032,4334
13334,5473
6910,8950
8070,6887
3426,13479
14070,4992
13971,4746
8127,5066
1155,6132
3222,13298
4069,13667
2769,12400
4422,13475
3753,13164
2312,12070
4543,14011
8867,7602
9938,4234
6369,6204
10200,6674
3846,1705
2852,9284
4276,10100
6385,6689
4702,1646
991,1609
3983,13420
1147,11922
4297,14056
5608,8781
10928,2217
3768,9511
7263,6624
12079,12909
1213,11235
2930,12660
1088,11540
844,8748
4375,12365
12729,3233
13294,2386
10514,2928
9846,5561
6791,9819
8200,8543
4454,3967
824,10551
9458,2566
10060,2615
7948,3325
1682,8608
4867,5735
1177,1094
1057,10021
1302,11437
5345,7527
6124,8488
3115,7340
8003,1027
10523,1163
1216,6583
1675,11131
5264,13608
9326,10062
12233,13943
13275,2219
10716,1285
11052,1098
6266,2290
10288,2704
3185,791
2672,3098
4817,13803
826,8173
4907,4704
1676,2176
8378,8679
1180,12232
2750,13625
3045,13374
2839,12360
6061,11106
11814,6769
3880,12407
870,10680
844,10923
4963,5524
3747,6145
2965,2165
7255,13453
9301,9829
4868,10312
9347,13464
3441,3182
833,3243
1327,6336
2292,3269
4059,1651
3022,11122
4644,13864
1258,8788
9082,2041
6192,13721
12992,3566
4032,11494
6231,6467
7887,7685
6864,13170
8785,8784
5692,13117
8496,4817
7662,3498
8690,8424
3572,13153
1529,10812
1054,11796
2981,11254
3131,9811
5271,5319
6795,4767
3668,2336
9314,786
6788,4215
12828,9538
1136,12278
4040,13230
4578,2301
11269,6426
828,10481
1150,12397
10714,5312
8542,7592
4879,1303
3354,1563
2469,7400
1386,9335
1362,2319
9365,922
2440,13197
13543,2884
8419,7615
10163,10047
6431,9150
13445,12914
9754,1182
2215,12178
7029,9462
11658,3944
1890,753
2799,13364
11811,3022
6206,7210
6520,2544
1399,8854
1249,2490
1308,10705
3281,11773
2980,12230
4194,13379
4770,13306
13830,3544
3796,13143
10647,12982
13594,9384
12234,9199
13927,10515
4100,13993
10848,1529
11043,12244
3376,12953
1918,12479
6475,8231
11611,7945
5286,6153
3681,4303
2751,1437
1430,10339
1151,10371
5505,8544
8075,12328
9598,4353
4641,1936
8741,5475
1595,7556
1566,12238
5376,9218
8523,4807
1080,10534
2844,13334
2993,13689
11220,6877
1069,1403
2706,2181
1031,12156
798,10358
2891,7081
13423,2651
3749,13606
4334,13466
508,3771
3048,7766
9759,9871
7821,10184
10176,12494
4562,12050
6965,7553
2583,7023
8675,5236
1117,10696
13004,3480
2232,9723
6876,989
9523,1554
2676,1309
936,11354
1472,7317
4824,3448
3853,3670
2367,13471
14120,9956
7608,8228
6214,9070
4275,9391
10015,13723
8612,9210
11738,1807
788,10736
3094,13046
5566,13948
8466,7962
7362,2775
3536,7879
1812,11110
1298,10499
8781,4777
3744,10537
1153,12235
1724,10128
2739,11785
10780,1094
7177,1283
3936,14017
3672,13549
4219,13598
3827,13236
7446,13526
5098,13819
9878,4547
10117,9846
13191,12479
3072,11090
3795,11367
1017,11367
12069,9645
11294,11062
12701,2684
6392,7200
3513,7829
4388,13544
6113,1591
12742,2082
13781,8246
14023,4618
6786,7948
12488,9600
2180,2821
8382,11860
4873,1521
7422,4813
1779,11852
4603,13767
4166,13830
14153,13771
10920,12900
1624,11889
14104,4896
1414,10766
874,9897
8730,3441
10372,10457
3793,7278
885,9705
10390,9758
7218,9706
2253,12512
2690,9960
5600,6028
3367,8512
4179,13440
8782,6475
6006,6356
5840,9456
10619,913
1151,10890
1286,10922
1105,10931
1510,10786
735,7499
12110,2320
9968,4422
6756,4692
10596,3194
10055,1337
9437,4412
13520,6809
6229,6351
10070,7291
3776,12858
13393,3816
4615,12041
12485,1395
2723,9996
12154,9506
13256,9189
12216,12364
3769,13267
12448,1313
11330,6946
12462,2295
10051,7081
12647,12673
4151,13492
7430,7614
1432,2178
7694,887
4772,7627
779,10357
9151,8445
11366,1162
6030,6304
5120,5610
4201,11794
3984,13781
8662,7946
6744,9150
874,10768
3181,8105
8748,2251
6406,6466
2323,1598
6227,1900
8954,5806
451,937
3543,13897
6522,6228
13237,2480
7314,13519
7778,8024
11956,10059
5226,5481
7308,6320
5458,10339
9027,6465
11617,1182
5389,12246
3160,12867
5616,1447
2035,11663
1880,12347
1214,10151
1441,6827
1082,9962
2696,7518
11612,2152
11142,1242
9104,5710
13192,4281
4580,9991
10445,10292
11028,3739
11322,9906
11258,5593
9209,6412
2314,12633
10769,5308
5935,4415
2305,3935
1375,12642
2720,12133
6537,6949
9246,8904
3766,10393
5069,5499
3500,10910
1081,1319
3710,10620
2044,7436
3662,13390
3833,13737
5038,14106
4351,14050
4666,11579
7907,10160
7131,6126
12861,11524
2780,13580
5936,13534
11746,9566
13087,5321
9572,13205
14019,4594
5712,9246
8514,3631
13954,3997
1184,986
2893,12821
1414,12400
1392,8394
10012,5430
7340,6910
4899,13239
5791,9098
8545,6713
4232,11741
13809,8520
9238,8793
4314,2038
1879,2815
3862,13402
7992,7861
8507,6443
10090,5472
11615,11215
13537,12986
1275,7035
1317,10834
10340,1263
4572,1602
1904,2060
1674,12806
796,10335
5803,5032
5921,5614
2234,5416
4115,4183
3856,2905
13795,4025
13610,4955
12170,8304
10757,12071
10325,10382
11705,6635
6117,10053
10787,9853
1687,12933
3836,13270
3261,13587
5172,13329
10821,5517
11242,12840
3143,13048
2816,6196
2212,13439
4996,5364
1637,8001
4804,5115
11738,2228
1633,10194
1349,10468
12777,13407
1622,10998
11791,3371
9408,5682
1214,6329
6833,6741
2132,3582
5811,5063
2728,12622
6936,6495
7497,7543
10548,10635
13084,2262
2092,12920
10896,5207
10710,2149
13608,7803
7749,10441
1952,12026
2587,9871
2291,12460
3557,10213
9415,7386
1725,6826
3051,7156
3254,2724
3277,13062
3061,12389
3222,13199
7300,13502
4778,9307
1152,10688
6253,13465
5298,12422
8770,10441
2336,12387
6104,6869
2939,13185
8947,7747
9774,9708
12318,10804
13559,12902
5792,12578
9874,9770
7369,7166
7360,7461
5392,5676
12242,9049
9149,8564
7076,7014
10590,11871
6900,6429
6690,6724
5764,6010
1621,7252
1866,3148
13603,2842
1451,7929
4443,13998
4732,4929
11045,4562
4895,13398
3303,12945
13226,3814
1498,12407
10552,5346
12213,2040
9103,812
10705,10036
9720,12020
8215,12308
1744,11767
7033,1271
3258,12802
1025,9902
11269,5499
1956,13219
9668,9918
3801,13411
8572,10413
10485,13864
3530,13606
1293,11771
968,775
1227,11004
2019,12354
2769,12801
1140,9184
1354,6971
6534,7168
1993,2494
3757,13580
1316,11505
2045,12644
1260,11218
3740,9684
3769,9458
10299,9590
13439,10335
2702,12872
1931,11938
2351,9794
1575,9519
1637,6822
5146,10291
1052,6139
5217,5725
4088,13551
2715,12697
4261,13520
10072,5459
1785,11564
1132,10776
3797,9881
5504,1252
3902,13308
3410,13834
1995,11837
10740,4755
11172,5518
3928,9442
8586,6471
1053,10275
13455,4504
13829,5080
9675,2518
8493,1592
9997,9942
10034,8352
6166,4886
4412,3340
11351,7623
13983,11666
9834,8806
7358,9715
8629,8685
7742,9372
5042,10258
6114,6346
4670,9877
1842,11735
1356,12712
7639,13903
2335,13548
9803,11182
6906,13119
6134,13336
13151,1976
12371,5932
13812,11404
4776,9886
7284,8568
6350,6949
5744,13016
10794,10916
8349,7381
3121,9226
13666,8281
1783,11857
2114,12376
2809,12629
10614,4856
8325,1621
2654,9928
3277,11694
2787,12605
1987,3539
2019,9614
4438,13367
3078,10810
12546,2596
12126,2479
11245,929
5972,6827
3603,4160
2251,2455
12251,6472
4527,7465
1064,2538
4943,13786
13958,11075
13386,12328
5164,12199
10778,2581
9296,13089
5796,9466
10368,8677
4070,13284
2537,8355
3966,13336
4104,13626
11482,8000
13946,12350
13222,9962
1126,11223
6301,12719
2491,12311
6111,10382
9993,8737
11270,8362
5329,4926
1156,9553
3187,8297
2997,3728
1770,3295
11502,4440
3888,10339
5191,13194
5726,13126
4664,12257
4038,4925
8100,7914
9248,8673
7471,6738
10935,5514
9580,13736
11323,3181
884,10059
6113,14085
5431,13433
6971,13973
1180,10443
12519,5269
5306,13667
7571,8259
4742,10628
8447,4912
4568,951
5284,5466
12813,1852
5196,1237
4432,4678
4207,3173
7060,3112
5558,7691
4132,13523
558,2481
5865,5045
1889,1442
4030,13305
3634,10793
13230,2443
11882,2330
13201,4415
2392,13131
8152,8104
11408,7082
1380,10864
3018,12658
2022,13175
5693,5839
892,7979
5691,5504
3761,3536
2378,12352
3783,13276
1224,12394
9980,7926
9527,8933
7042,13674
13237,13680
1447,12728
6850,4854
700,1543
1510,1053
9935,4894
5421,9357
3117,7140
11911,5256
8651,4295
7777,4784
9562,9444
10107,5507
10257,1747
1710,7038
1755,9328
6366,6975
1652,2017
834,6083
4819,6113
9871,3204
11231,5343
12380,3251
7078,12708
5302,9435
11328,10884
13469,9804
2561,12369
1142,10538
1932,12224
13112,3417
1216,10461
9995,4862
900,5737
3787,13091
13247,9534
5319,5508
757,1825
3865,13685
1474,12810
13408,7524
2201,12327
4138,13487
9504,9431
9404,9341
14122,11635
9241,11395
3073,13105
2060,13386
7920,1978
10175,2485
5338,13325
4347,13533
1104,10547
4789,11558
4435,13671
13091,5113
8718,6176
10289,1494
6761,7632
9107,8862
3908,13317
4124,12879
3283,12856
7871,13543
8740,7711
12242,8168
12633,12412
11683,5261
10864,1854
6466,6445
7671,4651
11680,7577
8373,8937
8542,3837
2011,3044
11946,3413
962,9705
932,7642
11026,6360
9230,1763
1884,4069
2466,6391
1055,10968
791,10619
1013,9887
12553,5383
1367,11745
11228,6407
8775,9147
4927,8722
12593,5476
9458,9336
10952,10419
8621,8753
5708,13785
10053,5618
11294,6340
11188,1732
13532,8434
10178,13975
6544,12010
12867,13325
11604,5900
8912,9115
4845,9933
1146,10560
2255,12716
1158,9744
14047,4463
9088,1594
2447,8824
3528,4108
1328,10504
1362,10405
6680,4825
3251,12998
6534,11318
3288,2970
6124,8645
13458,12884
11230,4988
7402,9031
10821,7652
10298,8026
2741,12436
3501,13090
6023,13691
6711,8379
2987,13377
5990,6351
12501,1886
1766,2718
2645,11910
2328,11712
3334,12954
3118,12012
2810,12440
4517,13470
8655,8399
5855,13863
3553,12886
8617,3612
6264,5889
5430,8907
8827,958
997,10227
1050,11055
2970,13035
1337,8876
7015,7534
1903,1298
1851,11511
3948,13211
9448,13436
8099,13640
8657,10686
9250,5671
7992,10628
6523,13516
13656,11081
11092,13784
10953,12776
10054,9643
8900,7660
3917,13928
13189,7125
14040,5713
3123,10794
11926,3755
9156,7234
5230,10307
967,1701
951,9234
2313,12707
1380,10876
3794,10053
8329,7651
7306,7611
4019,9790
6796,4610
10057,10092
6477,6917
3423,3133
8591,5989
7939,1914
13827,10729
3923,4220
4107,13400
3554,13416
11091,3998
7185,7270
8700,8920
10059,10350
10907,13683
10018,5070
1059,11418
2113,12349
10996,10969
1738,6232
7794,10807
4967,9385
13825,13499
1641,12709
13406,3775
13904,4229
12277,3068
5444,13532
8761,1545
12140,7227
7902,5161
9964,6774
12504,2327
14388,14123
2684,12208
857,11126
735,6191
9105,1464
4197,1407
2624,6670
7182,3253
1270,10409
2623,7216
9004,836
1395,3856
1414,2581
810,10652
1147,10763
3252,12918
12056,8172
10977,3503
1246,4434
4603,4652
11651,4571
7900,8353
5095,8456
10786,11018
4992,5436
10502,13227
12040,2797
13036,2262
7657,1266
9818,1456
8162,7472
7697,4864
7122,6907
10223,9971
2528,2894
6141,10838
4544,9765
3396,12977
10174,13364
13008,12962
13379,2384
12246,2462
12696,2068
13765,4655
12358,1379
13709,9166
8530,7684
10419,10781
13128,2442
10231,1059
11321,5034
11248,4489
4835,4494
3037,11057
1376,12572
896,10110
3933,13698
7984,13544
12192,6526
4268,13598
4705,9352
6276,11254
8468,10413
4712,8152
1702,12890
11351,1698
12117,6642
11677,7479
12533,7267
8799,3970
7623,11534
4022,4230
11549,11356
1653,2646
3561,13377
2058,11758
4428,13552
9645,11778
11283,7502
1106,11952
1676,11094
829,10540
9042,13461
4109,13583
9178,9746
7850,10808
4182,12653
3885,13922
6808,14099
7777,13684
11655,3776
13256,3680
13488,4307
5924,3668
8084,10210
7167,5483
7794,7042
4504,13932
11502,11046
7854,8195
11106,5701
6515,10169
3233,13147
6688,9317
2755,4288
1522,11940
3626,3166
2669,11613
2796,11439
1671,11743
10174,4510
6735,6701
7897,13950
10500,13366
10165,8961
11006,10898
1950,11657
2913,11508
2946,11066
1188,11030
9116,8470
1648,4871
2876,3348
13756,3089
1171,10467
6645,8135
8007,8021
7561,8299
11813,3157
8684,10494
13942,12288
3355,13509
13481,6493
2125,13110
8862,9985
10029,8936
13422,10437
13658,9898
12360,13803
5728,6530
2942,12244
6788,2982
3577,10535
2618,7222
2756,2728
6594,1204
4904,3132
3916,4566
1394,11515
4475,13368
3086,13561
6185,4617
4704,5195
9158,1786
7922,5597
6210,10311
5961,4260
9493,5547
11295,12560
5463,9522
12299,2804
4540,13778
8074,8076
4461,10173
2938,10269
4190,12794
4920,10498
1339,6989
11399,1407
12300,1546
10902,1185
9384,1469
9187,6372
1810,2984
1642,10495
1905,12519
2082,9641
13165,4174
13118,3989
6402,13555
7548,7402
10198,4414
3586,8543
12368,1386
5268,10238
4506,544
1636,12815
3317,13686
9353,9698
1197,11763
3631,13633
4204,13561
7596,11609
3634,10940
12067,10892
3909,14029
11042,4122
1943,9486
3319,13360
5219,4863
4582,10238
4594,4562
3018,12602
5014,3916
3187,12878
7928,7923
7171,10110
11991,1820
13846,8267
5073,13212
6178,9583
1167,11537
878,10739
2814,13312
2999,12790
4813,8235
1103,9977
1529,10677
2296,8432
5924,758
1252,10792
10036,7406
10137,13109
2801,13330
10602,3288
3871,13619
13980,5667
7469,8534
8768,12447
12826,13612
2228,11948
1544,11419
3111,11462
13300,3378
8121,11896
4847,13528
6919,7434
12968,11575
13070,11873
1712,11388
3079,12990
13868,3786
1650,11926
1987,12370
8463,7651
13898,10476
3669,13550
2913,11354
1797,11458
1823,11751
11998,1752
3509,8037
1095,5395
6550,13349
6043,12635
9482,8853
6262,8167
3685,4089
1084,11399
3783,13206
3806,13435
780,10428
1352,6081
8295,3583
7776,10513
677,1197
13763,8579
7117,13312
8501,5437
13991,5069
3038,12612
4774,12299
2378,3145
7618,928
12416,2393
12117,1768
13707,3515
7740,8480
9736,11798
4517,10157
12854,12836
13443,3400
2801,4890
12730,12407
9979,9586
10992,10447
14043,9399
10310,12847
10586,10369
7953,5000
8812,3914
3139,9343
11722,7212
12666,12820
3983,12650
6760,12873
2916,9190
2730,12472
2403,3553
3913,4066
1996,1748
7012,11274
11886,3220
4164,9542
1430,6586
13394,7352
6452,6802
11790,1114
10823,1617
10380,1127
6181,6089
5612,4980
7196,4578
3295,3548
3505,2434
687,1532
12056,3618
12939,2520
11038,3313
8753,4966
8034,6522
5592,5797
4248,4086
10248,12072
3666,13674
4606,7713
9630,5422
9655,3451
2667,11514
3258,13084
9050,8336
9919,9497
7865,7172
10450,10585
8090,7932
4640,4436
6444,11651
10269,5169
1448,11538
2159,12017
1749,10427
2035,12128
7171,5386
3771,13532
1627,11040
1545,11601
1859,13004
6640,6686
3094,8000
12451,1556
11373,6699
12126,1980
7105,7287
3121,11298
2863,12463
2893,12262
7758,1606
10634,10839
10724,11338
3191,12783
3942,13395
8658,951
10930,2165
10616,1519
13030,3144
13202,4236
7618,7882
2198,2602
1421,11312
1361,11349
839,9972
2132,12113
1788,12576
1326,10324
5988,5700
5561,5404
2275,3997
12546,2036
13099,3764
10088,10419
13175,3934
5827,6249
8386,6100
11763,9405
2600,12961
9749,11055
9963,6475
5414,13096
6370,1097
8547,11553
10154,5912
10502,2486
6539,6872
6690,6411
3357,8106
5016,11536
10418,10579
1565,12143
3993,13917
3114,12951
4255,14034
7008,13662
11929,5312
4812,9735
7197,13520
11831,11555
13771,11142
1928,10119
1684,7461
3070,12726
6725,1054
8114,7565
13454,3223
13527,4224
12176,3422
8339,8016
9992,6303
9257,9040
11762,7327
6208,11240
12250,8672
7227,13327
12153,10211
3571,10075
5903,5196
3520,7743
5353,3401
1232,12154
7536,1183
2210,2104
7547,3816
6976,7322
6751,6210
10245,1021
9854,4230
6868,4657
10709,5164
1015,11467
1414,12790
5185,10435
7696,866
1882,1493
2278,12494
3669,13289
3138,10945
3261,13013
5767,13530
10576,5072
13639,8878
13899,12957
6234,2036
13967,4224
12282,2398
9640,13772
12606,12112
9163,8622
3090,13407
1642,11125
13536,7978
1464,10509
8116,2242
4211,7183
6287,12186
12417,11379
1164,10524
870,11132
14114,6560
7506,1690
7958,10231
10666,13366
4454,2298
10166,6815
13316,4443
8511,6837
9954,9540
9456,9235
8037,10619
10709,1341
5548,13294
13514,4467
1402,11730
5652,13579
9801,8970
3773,12839
4639,13705
4492,13568
8798,8171
1402,10798
13287,4919
792,8541
5976,5906
2893,7084
2555,3658
7514,9994
1310,1949
722,1403
1036,9452
2907,12965
12242,1431
11075,5620
13998,4432
7776,1609
7889,8296
6430,8624
2768,13518
11223,1281
1323,10640
10769,9950
7227,9913
11382,7594
8600,10689
5081,6085
6039,13978
11844,8861
13588,4382
4663,9234
8091,1517
4493,3987
6304,10170
9876,9828
6125,2155
3556,13771
2911,12928
7223,7456
5469,5261
11674,4378
4677,4712
9057,8632
7476,13468
3925,13595
6808,9675
12347,5031
3669,13343
13681,4420
1835,11153
4674,13505
10827,9902
14168,13016
4749,8974
2105,11668
3216,7754
7818,7538
11968,6729
10796,10297
3537,3389
11570,10706
1871,12673
1164,12068
3333,13428
3338,13148
4580,9743
