x,y
4340,13450
11708,1810
13245,3853
3881,13919
1277,11476
1280,11098
2113,11827
10690,4670
10873,4972
11784,1297
11525,1309
10844,3477
5718,8400
8699,1487
7632,3279
1674,12876
2008,13172
11802,4569
4215,5002
8633,5166
8681,3510
8379,3399
12374,5274
11471,6298
925,11185
3693,7731
1522,8523
4810,5644
10594,2733
13612,4077
2001,12183
4590,1208
10068,6895
3496,7026
6061,13373
10955,4810
10301,2715
13104,2911
7906,8525
9322,11456
6622,7312
960,1601
7403,12552
11748,1231
12083,2410
11291,1244
3615,13343
2796,13212
1574,11284
1432,1284
1746,11428
3505,13794
10142,6555
12673,1680
908,11056
6488,11250
992,6062
11659,12591
9967,8775
1342,12519
11526,6551
8033,10812
7711,9808
7821,13249
13616,8642
12499,7250
11569,6487
11128,5558
11329,6154
11269,5913
9493,5484
1405,10991
11373,1730
6126,14106
7142,13588
8656,12428
13830,12024
11242,13375
10867,12917
8036,13858
9938,9220
2113,13051
11170,5095
10588,12825
14146,13550
1252,11381
1617,5888
12600,2435
12491,2019
12249,1337
4975,3825
9942,5395
11054,5585
4223,13753
9015,5710
4657,11893
4628,12612
3976,11508
2399,13409
8822,14036
7834,10133
8502,14164
7294,6022
6579,8271
4670,8977
8602,8757
8409,8890
6385,8271
8495,5242
3164,12810
9654,9714
7156,7701
6958,7886
7486,8001
10286,7472
10272,3258
10817,4800
1021,11793
5000,8580
5585,5579
12137,5035
3443,7812
1977,12960
6351,6050
5696,5249
5219,9182
2996,2816
3984,3314
4397,1743
3930,1672
1260,5677
3432,10125
2309,13002
1082,10249
7509,9854
7104,8022
6114,7264
7713,7952
7604,7808
6486,3129
5945,5441
10794,5414
1509,4392
1368,4675
1313,3794
2065,1609
3026,11149
3507,9637
1674,11083
7215,8669
8026,8483
7547,7954
5802,5566
5366,6008
9918,4694
10470,5398
6535,13895
12309,1352
5150,5645
6823,9707
12630,2822
7457,803
5389,5482
3658,3561
6556,1212
2156,12154
8298,7938
4960,9693
6724,11410
11878,3804
4864,5972
7090,7226
5624,7543
1280,4422
4841,10191
3809,4402
6356,3326
3440,3244
13612,3580
2698,11929
8567,11614
14018,4558
7950,7258
4980,10487
9039,3518
7706,1568
7772,1630
6186,6745
7118,3018
4674,4410
1986,1128
2823,11882
2003,13087
9906,828
8375,7851
4377,4170
5874,3484
7160,9251
4603,6581
3356,10282
1821,13126
11847,5109
1768,11555
1764,12619
6962,6990
1662,12034
3486,13183
2344,9994
8183,10372
7787,10968
9053,13872
13537,12223
1506,10009
7697,12374
2855,11407
2769,12055
13897,5293
13934,3594
4905,10506
1834,11924
6220,6361
2840,13657
2755,13440
2625,12894
2314,11691
6339,9698
9344,2283
6855,8280
4729,9026
8449,8569
13540,2731
13641,3913
10535,1370
4766,8885
5457,10349
8673,4871
1730,11982
2738,13102
4544,4738
4411,4348
12541,1693
13861,4947
8558,13220
1845,12034
8428,13881
8533,13656
6972,13289
11023,13250
9976,6608
8652,10727
10054,7582
6319,6205
13515,4319
2432,10370
1736,5062
1170,8005
10722,1097
2508,2407
4159,12795
6543,3171
2255,13311
6766,7256
4413,11780
1578,10136
3787,4151
8526,11359
7438,7450
10011,8882
5527,12514
4765,13492
13207,4370
7949,8317
4500,9135
8529,6227
10868,3578
11633,10035
2252,12718
11878,1818
13057,3021
13693,2972
1142,10475
6120,10625
2704,4132
10814,1697
5876,6042
8482,1179
13069,11681
11948,10838
1299,11500
11347,4312
4315,4860
1103,1089
10431,2672
3297,5163
6660,11536
12408,1564
4011,13649
1156,7810
3808,9320
1602,11554
3686,7952
918,3537
11357,5851
1060,1214
2078,13227
7377,7817
1512,2873
10640,3220
8538,9796
14065,11098
2375,12246
8256,7188
12815,2618
7411,5868
5705,13281
7911,991
855,10985
2793,12910
4095,13073
4143,11512
795,10121
6540,4719
3298,6718
11150,4900
5957,3403
1175,12328
12777,9589
4195,12767
6351,10112
6142,12690
5091,4998
5115,5173
3642,2806
8962,8370
13773,3769
2216,11998
2525,12692
3958,4337
4255,861
2932,7285
1967,1948
1751,2065
11513,5748
10819,10898
8723,13264
1349,11694
4863,12234
9736,1308
8864,5436
1553,6840
5178,4713
2712,3464
3612,13066
7130,9518
1572,11836
13516,3063
1752,7628
2960,12705
12485,2648
2008,11964
4799,13890
2628,12354
3834,12712
3916,4168
3470,2067
5225,9520
2132,1299
1912,11634
12138,3195
12527,1981
9980,13355
12336,9425
3740,10868
12003,1610
1524,11752
6016,13291
11591,1101
11600,1626
2193,13418
6584,6628
6608,7994
6143,1170
10006,6937
3614,2016
1630,9036
6797,6599
9094,5590
1328,11676
2803,13507
1320,11257
1100,12050
9781,6262
10693,5293
1640,10304
1767,11259
7967,1431
1840,12534
1368,6607
4642,5882
2663,2548
2086,1302
2662,12705
992,11521
1383,11330
13002,2661
2106,13401
2459,11728
2259,11777
2104,11642
5221,13536
