x,y
2143,12509
1304,11317
2996,7664
1464,10476
1462,9845
10143,5304
4140,7422
10224,5352
13221,3676
10188,4735
1101,10241
7680,11066
3049,12631
8890,9273
4231,11709
10040,10206
5018,10443
12748,13738
6151,14057
3548,9185
3780,11040
9184,7259
4704,13909
10160,4370
3211,13050
3797,10862
4900,5886
10124,4819
9579,9763
4772,10593
1316,10140
8522,4844
7145,7343
8614,7776
891,9279
8891,2196
3374,6508
1409,10610
1355,11164
12887,2386
2909,12096
1406,11748
3594,9509
7938,7195
11726,10752
5925,11436
11983,11884
5968,10380
13373,12051
10727,4990
13155,12734
4152,13124
1285,10769
1789,11136
834,10548
4299,5100
2984,11854
7396,13612
5007,5382
5284,7902
7909,1478
3584,2686
1035,798
7019,7774
8716,8114
2119,3511
3172,1232
4458,11984
8861,5465
9950,4794
3279,8277
9518,4359
13310,7434
5341,5021
4995,3161
1986,9145
3197,3740
10168,4289
1883,1827
9744,5372
809,10507
7145,8008
10583,11000
11510,13380
4432,14018
3873,13255
7386,6721
11193,4887
4520,11765
11377,10927
13557,14110
1756,11223
11832,2676
6286,4969
13471,6222
12559,2655
9659,9336
5557,9413
2744,7652
1554,2753
2094,13172
2456,12081
1738,11641
2669,6532
4152,817
9937,8839
1004,10110
2637,13725
5462,13517
11433,11829
10656,7638
7602,13464
10050,10529
4903,9419
13113,2690
13153,5749
5085,13642
7824,8371
8327,8533
6024,13947
9957,6713
8295,8069
11406,11308
10589,5160
1953,11640
13056,7562
5304,5516
10000,4656
3981,4720
6888,5338
10692,3331
7766,7933
5709,3781
5021,11460
5097,5425
8733,8901
2959,3653
10662,12162
7491,6779
7829,969
11644,3672
2909,3249
8740,9093
11943,9462
12512,10735
13073,10476
6681,7284
12115,8681
2523,12369
10516,3243
9782,4471
8570,1706
5400,13462
12698,4988
7887,7303
11010,4901
1083,7288
11074,10657
6661,6340
12457,2000
13771,8330
4198,9596
6166,6192
4853,8247
6840,1158
9065,1073
1156,11862
4646,912
9492,877
10928,1054
8395,7851
7709,10079
2679,12161
6435,9390
10230,8461
1445,7334
6058,9062
12930,10829
13099,3714
11206,11030
6887,2556
7158,7233
7423,7676
7922,5304
10928,5532
8276,5016
8886,9888
10306,5182
9755,4292
12701,5957
12748,5269
8991,4027
827,10433
13930,9843
4512,9938
7074,4435
3834,9520
8628,4466
3610,4185
8506,6298
11782,13671
12845,13665
11598,1760
6318,6553
7702,13302
7224,7718
10820,11018
10815,10959
13039,13752
13220,4444
6660,11536
12412,13259
8779,1454
3128,686
6410,12574
9844,5278
7217,7333
9020,9578
5417,9317
1284,2018
9573,4586
10377,3011
10196,13917
10223,4639
12566,12479
10160,3256
9667,3975
1332,6151
10992,9888
6291,10040
6086,6674
12928,7322
10939,11028
13951,11894
8866,8597
9780,11199
2857,9730
9272,808
6485,4769
7707,9614
3289,7970
13576,2949
11423,6482
2766,5343
5318,10528
6033,5564
13510,12623
12408,6222
1146,11969
9404,8841
13614,7095
9148,7487
13676,3572
6819,9249
10262,11079
2437,12384
14002,5567
14120,7423
6715,7399
6577,1495
4433,4772
3511,2115
9435,11831
11169,4507
10373,9953
5890,6557
7460,5810
12685,2303
7549,7220
10692,4971
10893,7107
8413,6906
2816,4497
1226,10806
1162,10504
1289,10694
781,9805
10660,2622
6153,6345
4825,4611
5446,13348
3029,2507
8206,3448
4930,10264
5080,10273
11528,7226
7606,8025
9636,10054
9150,13523
13529,11068
3714,7969
3445,3068
3895,4533
12571,2143
13549,5248
12054,7416
6939,13043
11057,11473
7520,4799
5829,9360
5407,10305
6560,6517
1565,10026
11802,2994
9127,8707
8819,6267
6226,7022
4602,7762
11796,7132
12685,13708
11581,12095
3855,10115
10785,1002
9425,5521
6017,5801
1138,6592
6870,9276
2790,5973
11775,4180
4540,10184
1645,6163
11718,5859
13897,14212
3178,608
2031,2868
1208,2779
8759,4562
8389,6515
1318,8929
8576,3685
3187,7681
5426,4900
11227,4135
9563,10156
10134,8977
3788,11564
11151,10845
12674,12427
5713,5995
4699,10337
8442,4915
4840,8235
5022,1331
1898,1891
7752,5281
10010,10321
11622,7192
4323,11796
9164,13322
10215,5232
3040,12791
4267,12595
1257,11244
4968,4558
5275,13158
5050,11762
4336,4872
4844,1566
1357,1028
3070,12898
10082,1218
8259,10280
2629,12447
7324,6710
1351,11352
1343,12576
6084,3932
1903,12608
1311,9289
2941,13112
7799,7809
6621,6748
2227,3108
2033,1916
10552,4971
2238,7684
1394,12169
6337,8497
12541,6132
13804,7998
11582,3374
9723,9530
3699,9446
10436,9732
6634,7182
7440,7788
2273,3691
8525,7720
1009,11331
6382,1700
5287,12481
3781,11066
8440,5402
7136,9450
5123,7948
8310,8658
5620,3528
1695,10474
3019,13272
11102,1287
9024,5992
10130,7743
7409,3637
8978,12410
11234,4230
3742,2531
2606,4298
8157,7235
9485,5852
