x,y
6938,13649
12591,2484
13776,3184
1641,9255
1046,9681
832,8912
1350,5965
9138,13195
8560,13325
8058,10243
8698,10592
9141,5735
12386,5057
7152,3456
7693,5735
1102,10240
3857,10282
4527,10206
6180,13791
7577,7440
7290,7580
7543,6014
7975,6754
3798,3286
4458,4954
2219,2122
1890,2206
4762,10084
5249,8526
11540,3258
12006,1997
10992,5378
13306,6748
13670,14016
2946,11158
1272,10052
1696,12300
12700,2674
929,8102
6480,7820
5430,4876
6584,2482
10933,4971
1395,11982
1556,12026
11375,5506
6856,6432
7279,6425
7579,11360
12092,13667
13621,14079
9275,8740
9207,13159
4490,13674
8468,7916
3830,13282
8542,8567
9001,4110
11814,6887
8153,8621
12106,8214
11676,8215
13641,6744
1168,11555
5571,5799
4655,4912
1270,8753
1488,9000
13621,4545
8649,9864
7949,1617
7244,4812
6603,6567
7214,6700
8664,8199
12729,2780
4941,13639
9924,6603
11877,1071
11951,1570
9760,1428
11187,3875
9587,5926
11379,4353
9011,1609
9626,1297
13601,4290
6064,3332
876,10291
6932,7453
13403,4876
10260,6840
11239,11069
12657,2599
8969,8945
9043,9193
10691,10537
10884,11105
11232,5982
9766,5639
1410,5934
5315,10580
8142,6731
6513,9881
7730,7906
12107,12134
11810,12188
13319,13965
2064,9718
1670,9595
11791,2447
6297,4923
12349,6205
3608,8888
1108,9678
1241,9998
1406,10562
11170,3472
11170,3470
888,8604
9222,3679
7641,8057
8737,11482
9421,9226
7491,8505
5394,13827
4525,7266
8623,13693
8059,13717
11988,10090
5192,9650
9866,2520
12925,5079
11665,8025
13314,7461
13437,10126
14342,13050
8194,8705
5186,11468
10011,9910
8100,13842
7414,13407
13575,8793
13602,13497
7276,6913
6303,6073
13316,2434
13207,2944
2548,12453
12226,2656
12353,1411
13384,7819
2756,11454
3247,13029
7248,5069
7844,6426
7218,6510
6960,6713
5973,11111
4038,2674
11379,1728
12733,3265
13423,3456
4816,8056
2769,13585
6997,7986
3390,8502
8811,10617
7837,8751
6380,7113
12582,11792
884,11311
1631,10847
9273,1381
7779,1099
11905,3744
11584,4069
11842,3837
11465,3459
8205,8242
8260,7998
8650,4625
7349,7072
3520,8912
6997,3932
1249,11754
4220,13601
13346,3100
13516,3730
9216,9878
3882,13128
12106,7199
11983,9927
13720,7665
13159,11387
13188,11134
12718,1745
12331,1659
7233,6581
6082,6338
13828,3567
7520,6012
7238,6488
8492,7602
8627,8748
9487,8903
7830,7176
11807,4005
9500,6128
10714,5097
11143,1022
7294,7426
5144,8488
11758,4072
8933,9285
10537,10535
13770,12325
14037,11928
4963,13287
8722,10162
9176,8478
9169,11430
10772,11955
12075,12798
8473,13874
8263,13858
11990,12118
12889,13694
13452,4892
12544,1631
13756,7710
11372,10574
5171,6097
7829,10482
8640,8112
12944,2925
12276,2408
2604,12668
12542,2800
3053,11653
7635,11408
13754,4006
10564,10365
7022,6787
6745,9918
1378,12011
12563,4795
10311,819
1526,11269
11227,5814
11439,5727
14002,9976
13766,10093
13526,9472
8887,8129
5841,8922
9999,8878
3340,9093
9719,6411
9883,6547
12800,11606
5224,4764
13385,4371
9562,4338
3940,5102
4360,4856
3762,13234
7335,11176
2790,13120
13145,3871
4770,12516
7542,6727
9101,9769
11734,11040
12884,11762
11294,10996
7363,8659
11040,1019
8600,4440
9756,9217
4663,7475
838,9793
13187,6459
4329,10059
2477,1679
8679,8432
13716,3887
4776,10287
7093,7289
8660,3893
1116,11642
3851,13224
10624,5268
1759,10188
2047,12072
11472,6404
11468,6419
6232,6080
9506,6350
9251,6094
10032,4850
1545,11621
1141,10909
1721,6892
6424,2444
3139,1539
2121,1447
1894,2716
1886,1847
1582,2531
2421,2121
2012,1694
5198,5214
6383,6408
10073,8598
1591,12366
5780,6141
1675,11131
8962,6503
12380,7352
11572,13856
12233,13943
2400,13153
7813,6967
8120,1299
1354,10222
12033,2109
9159,5416
8350,812
9802,5483
7791,8771
1898,11604
6280,11083
10013,8372
9212,8740
5053,5445
11264,6076
10589,5198
8480,5468
1001,10997
1686,2054
3128,1775
3779,10886
10311,4755
11884,10050
12849,12495
13128,11790
14065,12500
9013,5922
3490,12991
10354,10717
7573,5925
5152,8760
7595,8454
11743,7413
12527,2015
12015,1295
13362,4130
6112,13692
5189,13904
4835,13926
7739,10054
7052,6638
9896,8214
9091,2414
10711,3220
1807,12176
13596,4580
4635,11811
5217,10011
6505,6260
11091,1067
6651,7283
3358,9101
4739,14018
3184,8056
4960,10550
7672,7178
8811,9855
4858,10025
9993,11508
6620,7096
2307,12625
13482,2728
13400,3292
6092,6060
3680,12967
7438,8810
2816,12507
3693,13736
13997,8099
3326,6653
8654,13890
13605,7644
8107,7951
8312,8664
7987,6794
9352,9601
8310,6919
9946,10057
10346,10922
10923,13086
10700,10665
10333,13354
11467,10985
6554,4828
5860,10586
10215,8092
12958,3038
5840,5322
10296,9775
9244,5882
4102,12482
3089,12699
4795,8590
9482,6239
2745,1224
6236,4630
4660,13575
6369,3268
6253,1179
3856,10048
8240,8676
7054,13980
2377,12470
3060,8018
11112,5681
13243,2907
4344,11459
7211,7853
6465,6136
1372,3202
1671,1066
8073,7299
8199,6506
5425,8120
3445,1684
3842,2339
3393,9249
5451,9045
6621,8543
9583,5464
1292,6744
1268,5903
1345,5836
1482,7685
4421,832
3805,9609
1895,7544
5846,5881
994,10728
8446,5402
8472,5306
1686,11907
7411,1671
13700,6386
10715,971
4192,9289
9609,4022
5504,5093
6022,5168
7735,13516
1240,12027
2442,12177
1418,11756
6091,1797
1648,6527
2432,8934
3016,3569
5537,5080
1247,7522
3771,4208
2027,12272
9722,6044
6894,7439
8176,7931
4229,13684
12248,3521
6894,7233
8277,7818
8896,9732
11010,12998
6777,6401
7075,6760
7742,7546
8175,3510
4615,14005
8179,7447
8458,8707
1556,10652
7523,6043
3758,11269
6245,13371
3268,10647
13341,11515
12606,11398
2542,13083
6454,6914
10605,2526
10509,4732
7297,6867
11005,4768
10894,4664
6276,13638
3701,12820
6748,6734
11243,1840
7660,7072
7634,7088
5684,6181
6114,5868
6238,4845
1179,6323
11300,12086
12472,3257
8062,7383
11204,9697
10543,1563
5828,4134
4744,11712
3853,3670
1610,2182
13544,3638
8250,6880
10104,6616
11413,8319
11722,7258
8318,7748
8836,9930
8191,3422
1594,9412
9881,4367
9940,4440
11636,1414
4279,14050
9515,9569
10173,10175
9920,7394
10715,11065
11351,1539
14080,7490
1505,10891
5746,13044
9804,13290
11959,10249
13633,12534
10222,10847
9622,5654
13573,4131
12871,2458
13169,2922
11219,1890
6727,7185
9415,14023
7495,7933
11472,4217
12146,8271
4113,13897
3564,9171
2306,11903
1704,11458
11849,2905
10992,4536
1155,10151
4594,10275
11393,6703
6628,11608
12019,9667
10077,3221
9003,9353
5518,8927
10211,5256
9255,7251
1892,11900
8456,6757
764,2575
1082,2456
8336,6608
3800,13232
6420,1474
6933,6666
9471,5666
5522,9444
2148,9558
1158,10560
11174,1756
7776,9946
6554,1194
9962,7588
3958,10272
1182,6010
2989,791
12259,1374
12068,1481
13840,4734
4866,4152
9581,10187
9698,9861
11310,7904
10531,7609
7450,5214
8866,1399
10507,1212
5406,1286
5335,1578
4972,7891
5335,7654
3708,8302
8465,2533
8545,9976
8580,9958
11734,13379
10509,13807
9468,13500
12242,6623
11659,1461
13414,3456
12659,1998
8633,6339
7793,7084
10024,5479
7262,6922
6573,13943
8931,5715
6868,7902
11536,12662
6113,6019
6070,4915
6801,4533
7465,3015
8825,2194
5407,5036
4350,4909
937,4173
1627,3970
4439,1259
10382,1236
12742,2082
8419,10256
13876,5728
6786,7948
2584,11633
13759,9220
4598,10518
9552,13397
7080,7084
7409,3966
3160,10786
8504,12048
13919,13654
9473,8767
12918,13433
14071,11368
13933,10729
10955,949
6641,6183
1204,10399
3469,10227
1572,6131
4574,1181
5163,875
2202,807
2034,1211
8780,6372
8555,6556
2728,8385
8475,1484
6990,6996
7168,14074
8301,7952
6338,6310
6880,5476
11322,7506
6611,6328
6525,6223
7971,7593
9896,5142
2448,12027
3559,8590
1408,7171
1369,6757
12282,4933
4777,9219
6279,8826
13125,4259
5170,2848
13112,9862
8567,8583
11001,11876
6925,6769
912,10578
7760,6736
3566,13508
1259,12388
2730,12581
9916,4467
7544,7838
7040,6554
4950,9396
13519,9294
1578,10474
7803,4150
12885,3409
6274,8434
11167,5338
11146,6846
7573,13608
10823,13589
10491,3101
11468,6563
8697,4464
5970,5938
1156,8495
9745,4214
10401,5045
4648,9771
7946,6706
7762,10196
13833,12771
1692,10808
5680,6453
6856,5129
3296,13038
6239,6507
11012,1463
11750,1730
13040,11145
12221,1445
1272,9716
2595,12380
3908,6114
6675,6985
5993,9059
9684,1718
7766,7845
3956,9443
8039,5690
6398,3331
2356,12753
12778,2882
5285,9287
9795,9282
13911,8511
10199,13174
13298,13708
2469,12893
6826,5282
10747,2159
10438,1173
6165,6026
5722,3765
7042,4612
13804,4167
14123,4917
5199,5512
9558,8950
7800,3998
10320,1172
7472,7806
6919,7184
10831,4956
4928,5052
5506,13926
3061,7021
4714,11629
3482,4150
4109,4382
3702,4854
13667,7372
9359,9533
7019,4019
10636,5249
10269,2956
10059,3263
3107,2870
10806,13642
4117,4146
10239,5417
8604,12568
950,9955
4450,13388
1774,10810
8662,4171
7215,8818
13711,3411
11094,6538
6372,4618
13581,5594
12756,1688
6649,7245
7209,12446
10109,10191
10013,10316
12067,11315
2642,3404
10638,7651
10773,4874
10860,9948
4924,5044
4406,5230
975,4064
8766,2463
1032,9390
7492,3159
13625,4533
6823,12513
1338,2240
1511,2713
2470,2171
8557,2273
6256,6297
11737,1820
5525,4958
6985,2945
8668,5344
4235,7105
2423,1536
9497,5878
9285,9879
6078,6554
3387,10344
13245,2950
12347,2928
9441,5410
5205,12306
5781,5931
9089,5960
8082,5440
8594,5445
