x,y
1320,12206
2654,13544
8698,8766
5400,5310
3656,1556
13964,10898
4793,9304
1628,11246
860,10587
10207,6995
9261,9111
3845,9416
10961,1615
6872,3971
4188,7278
12375,1541
6843,11518
1433,10317
1530,10847
1128,10274
792,10724
13119,7449
1111,12119
1679,11564
1304,12289
1112,7024
4507,4737
5692,6108
1606,9312
8685,8184
1645,6920
8302,3551
7532,5093
3832,4824
2371,11772
1907,12157
3142,12731
5942,6022
8254,8435
2802,7586
12742,2557
7482,5007
5605,4949
7741,2254
7116,8215
3931,3929
1240,1234
2373,9600
1873,2002
13952,4376
6654,6801
13624,4570
10876,10474
11693,4404
7514,7341
9755,9502
6227,11062
9326,8970
5977,1286
7265,5180
4807,8820
8566,5819
3405,1961
2102,9627
1313,9649
2163,1995
13258,3258
8586,8175
4527,3895
4398,972
3830,1246
3880,12728
840,10549
3393,13003
958,9264
4126,12817
1116,11054
1292,10632
13104,5467
12902,12097
11733,7271
12943,2427
13539,8544
11366,10761
1643,12973
4940,13881
4634,13646
3493,13325
8112,13603
11369,6508
3569,8995
12899,2179
11476,5656
1618,11887
7217,7075
11261,5606
12781,5157
6638,12679
13481,3366
9944,1505
10559,872
3915,4129
6592,7234
1023,1181
6509,7162
4563,9003
7728,8365
6560,4800
11067,5568
9580,5916
5355,8622
8681,5507
9177,5703
12338,1945
8801,1287
13236,13794
11214,6054
5910,8872
5456,3548
9482,11343
7769,8063
3190,7899
13092,3121
6246,8970
10227,5239
13803,7074
11280,4010
8261,8079
13495,9926
1224,10624
3124,7423
1383,5867
7893,5607
5172,5756
5961,6764
8477,5019
6070,10999
8362,12200
14143,10633
13108,5240
2107,13391
10083,880
8670,12259
13807,4045
13178,3706
12201,1920
6777,7024
9606,13090
13480,7908
820,10640
2946,13607
6575,6164
9847,9376
2687,9904
5079,5255
10273,4908
3945,13295
4729,13549
8842,8961
12192,11308
11778,1649
7504,3374
13862,3741
5176,5073
12126,4852
11254,4896
2901,11824
3832,2120
3979,13676
3888,13412
3396,12866
4261,14037
4525,13893
4208,13646
7151,7018
8580,8042
1863,11694
1693,12001
1473,10262
3011,13296
2223,12212
1117,10401
1573,9751
7315,7436
10970,4315
10137,8620
2497,3435
3498,10307
5072,811
3050,1624
1695,12020
3286,13193
2038,12516
858,10853
2508,13473
8503,2341
2631,12740
3395,7274
7889,7327
6413,13746
6971,7156
7891,10041
5945,10473
3312,3632
13247,13730
12648,2391
13779,6400
2063,12396
3205,10893
1080,9887
1400,11451
1244,10320
1514,6208
970,5174
949,2553
1231,10584
1502,11597
4450,9318
8272,3431
3327,2443
6568,8253
5550,8974
605,2995
7620,3854
1389,12355
3102,12940
4630,13732
3782,13666
11006,10960
12601,11448
10570,10286
10793,10612
2022,12524
1511,10782
1332,10860
1330,10822
6003,5934
10859,1596
4368,5133
3591,3562
9620,4336
1120,2114
1591,1186
3780,13134
3478,11270
5301,6132
4553,7567
3929,10261
3634,13362
8634,8668
6354,6621
8501,3742
10370,10625
8572,12180
9104,1443
12810,2650
11710,1403
11346,1777
5556,5402
5616,5400
4853,6073
2172,3600
3637,2222
1993,1853
9493,1770
13424,2880
9997,1307
11364,1494
9903,6459
7399,8447
6047,6308
13027,10267
7803,11950
10581,5531
7518,860
1282,5054
1289,10610
5513,13577
785,10325
1085,10831
1199,6915
4412,13488
3890,12964
2849,11725
8020,7474
4888,13473
12819,11460
8765,11084
1356,11374
10916,8734
6287,12638
8203,7874
