x,y
10372,871
12012,2525
2536,6861
1363,7496
12056,11139
11764,10458
9430,9327
10433,1182
10814,11749
6765,7378
10456,1568
11138,958
7987,7557
8491,6808
10425,866
4663,6980
5143,5825
7239,2859
11790,2180
11001,4343
6249,4899
13152,3812
13989,4101
11704,1339
11492,11095
8891,9213
9946,9578
12401,11786
12180,12334
13668,3871
12788,2396
3866,4276
2545,1485
6911,6286
8245,7319
6006,5934
10057,6326
7938,10068
8356,6183
8912,8870
5927,1308
6148,1435
5241,6048
6862,6403
6594,4528
2028,4624
11335,4550
12192,2441
6705,8565
5818,9173
12959,3200
11870,1947
11766,2200
10665,1310
10418,1694
6086,4907
2431,5245
3602,3561
4615,7020
821,1947
1732,2055
13311,5131
13621,4346
13637,4535
9182,9946
8159,2386
12917,3027
9124,1585
10285,1494
9990,2983
13452,2643
5288,6128
2838,11777
7094,4134
1647,4612
12402,6393
12034,3342
6359,8757
5736,5937
4616,5494
10162,4588
9645,6313
11103,4427
10864,5027
2064,9742
6914,3954
13183,3259
13132,6742
7168,11662
5182,8662
8060,7495
11799,2952
12560,13614
10650,2692
14072,4213
7400,7705
7726,8130
4749,13351
7876,13616
11956,13402
8734,9063
9200,9742
12703,12188
6165,9279
11562,11030
11230,1733
10370,883
9818,6424
9220,6200
9281,2039
10462,5670
12652,1876
11285,1685
11800,2059
10777,4977
8613,8552
9326,8970
2640,11551
10675,10099
8983,10911
10299,13900
3534,7017
12164,1410
11757,1250
13844,5163
13119,3224
12626,2378
12575,1592
6300,6750
8833,8709
7445,3829
6564,4567
8397,4755
3898,7416
11095,10583
8590,7700
8328,8173
4474,4226
11792,3209
2211,1590
952,9284
1574,9126
6020,6080
13926,7725
5542,5473
9718,4492
6966,7690
13943,7508
12741,13318
11469,10862
8748,9050
7708,7092
8692,8820
6819,7020
8237,8504
8378,7998
13406,3066
12815,2382
10500,844
7406,8789
3689,2071
3000,11086
2966,1487
7579,3310
7099,4071
1038,2436
10768,1967
12129,2161
7371,7524
8564,8969
6500,7116
13959,13020
7161,6820
12522,13846
10304,13070
13034,2760
12985,3237
14080,4364
13463,4435
8839,9268
3149,10072
7676,8210
8523,9054
12642,11570
14076,12071
12115,7317
5792,7274
11755,1468
13655,3246
8222,6316
6009,1318
9135,8393
12681,2992
13414,4116
9427,6158
13929,4208
13079,3411
11434,4717
13472,4428
12579,2608
8409,6790
8376,8356
12203,8419
13575,3497
7561,7529
8417,9001
13433,13804
13799,3910
11559,1296
12724,1784
7403,7108
7293,7286
13016,7239
3224,9346
1447,6926
4415,4394
4988,4002
11102,1076
12192,1652
10607,891
13834,4653
7123,6890
7129,7505
8984,13469
3429,1753
4112,2848
13464,4524
14100,5928
12601,1715
13507,3777
13143,4297
12723,3089
13258,3323
13199,8067
13191,8943
10470,7439
11266,993
9341,4445
8582,5131
9022,5798
10072,3908
8620,4497
8241,10258
3722,3328
10149,4532
10936,4705
4220,14034
9440,10024
14102,14262
13560,13072
12908,5063
13629,3905
9859,9620
9149,7417
12025,1706
11237,999
8499,1104
7549,6654
1080,6247
2110,2931
12515,2509
11628,1333
3908,3812
11635,1162
10375,1540
6349,871
14189,14244
10544,1474
10660,880
11886,6598
11502,1740
10790,1202
8433,3694
6282,6929
6583,11323
9499,4550
4618,5102
5550,5477
5706,6052
12411,1604
5149,5615
4850,9606
7739,6678
9984,10368
12870,12066
7274,14106
7622,13697
12677,9447
6207,6046
1782,1162
10688,3182
11920,2922
10602,2651
6779,6634
6577,6627
8620,5412
4832,2968
5317,2493
9387,9981
8848,5490
4681,9294
3508,3413
3099,7696
3362,8557
12057,1430
13092,3121
9199,9083
14146,12112
11892,12533
11638,12438
11106,10209
11297,5868
9361,5588
9788,6451
4230,4537
1070,11408
2206,1648
1930,957
4882,3412
12915,13428
11770,2196
13078,4187
11872,1828
12158,1521
7975,1607
11839,3089
854,8673
5175,4692
6364,6292
6944,8292
8799,8670
6833,6583
9152,1966
10834,885
10185,10321
12471,11296
11287,4223
10210,9622
13666,8948
12424,12042
10672,12119
13815,4899
13130,3733
13519,2901
9927,9720
8156,7881
7918,7799
8700,9160
9931,9776
10004,10594
9832,8901
10995,11035
12495,11853
12460,11964
12827,12270
12599,2968
11147,1367
11314,12414
13191,11899
12703,11511
13340,9264
9896,3274
8799,4296
8886,4274
13265,9316
8033,8630
5746,9226
6507,9605
13216,3440
5466,11370
6578,4792
12762,12554
8052,8156
13088,12183
12990,10453
4830,8246
5821,5754
11412,1777
1352,10355
8107,7599
11620,1037
5107,8552
5328,8548
7058,6749
4563,5970
10790,1173
12471,1484
10869,6989
11670,6553
6111,4261
7284,4936
6244,8921
3836,3400
11906,1592
12817,1823
10314,1310
7002,7828
6476,6114
2568,6273
1256,9521
8046,3354
7165,1374
6935,3087
3679,3893
5381,5702
5263,1874
3857,1671
1744,2026
3409,2146
520,1212
3657,10225
14000,8184
5512,12777
6366,9796
7901,7997
13795,7161
12151,9552
10414,11584
11559,1598
13768,3240
13130,4027
7841,5791
7817,5585
12167,3011
11262,1770
10608,1180
8477,3624
12835,12156
12399,1750
10017,831
10222,2472
10187,1517
10510,861
7121,6927
3175,12926
14085,4553
12446,1623
13189,2927
12531,1536
13887,4238
13910,4450
13516,2885
13795,4289
13727,6489
4549,7389
10099,10212
9209,8997
7690,8839
10120,10524
11405,11125
7370,11674
11701,1927
14016,3901
13078,3962
13003,3426
13798,4820
7735,7142
10064,9829
8863,8963
11645,4321
11767,2043
10834,5357
11114,6851
6868,9354
8771,10010
8718,12764
9342,11180
10237,11092
11747,11255
10963,13075
10793,12293
12982,13642
13107,3820
12962,3003
13360,3584
2748,1114
751,5056
9855,2489
4323,4300
4830,4761
2555,2359
5740,8746
3661,10931
2517,5067
4143,4314
4024,3868
5111,4690
9680,6180
10707,5167
2912,3962
4469,4622
11582,1313
10156,10374
6419,12888
11102,10639
5290,4899
9392,5428
11858,12068
2244,2075
6537,4694
11746,2825
8405,8461
4503,9827
5863,10373
10315,10932
13536,14049
11213,5960
12247,7254
11458,1168
10590,5355
8504,7836
9964,9014
1894,1023
12752,1744
12219,1368
12568,2546
11448,1541
10099,1233
5493,6075
7341,3297
6124,4058
4456,4584
4408,4486
2800,1604
7272,7182
6604,6306
7133,7780
7677,9964
3593,8799
2020,1011
4921,1448
1673,1137
12072,1980
13376,3602
9893,1483
8392,7531
10339,9719
3600,10909
8078,8234
9974,6754
10287,8736
9584,4226
10715,1741
6947,4636
6815,5339
6749,7133
4986,4479
13401,3923
9551,2502
4437,9309
6390,6285
5016,6017
9165,5766
7566,8129
7044,6722
7704,7684
6974,7832
13243,4854
13326,5062
10258,5632
12534,7300
1763,4706
1025,10883
12311,1650
5484,10616
3270,8749
5886,5723
9498,2702
9570,6278
13314,4497
13168,3648
13334,4245
7224,7561
10058,8841
7896,5695
7780,8433
7263,6624
8742,8132
8560,5800
8334,6463
8615,5782
8503,6038
13258,11025
11913,10986
12801,13061
11910,13344
12079,12909
11246,4410
12843,2442
11730,2265
11121,1938
8573,4861
7948,3325
8644,4203
7174,902
6154,4410
8283,1565
11624,1270
7384,7648
5390,7804
6378,6598
12223,9883
10962,11818
4648,9764
7079,8127
12740,11881
12543,3179
3699,9892
5435,8857
1454,8288
11299,5509
12905,3192
10892,1618
12685,1643
12865,7299
4823,8246
2847,9570
10190,1265
11446,1002
7886,6800
4661,1289
3079,3774
2492,2046
13457,2616
12545,2646
8417,6838
11691,7693
7792,7670
4586,1546
6476,6153
4678,5081
8668,5774
4674,9843
3798,10517
8702,9993
12152,8057
1228,1102
10275,1714
6232,13444
8371,7601
10648,1495
7791,7269
10205,9928
8328,2374
11814,6769
12458,1782
10629,5072
6975,7097
6257,13585
2614,1704
13089,2085
10759,3335
879,8486
9469,9959
12234,1488
5121,9583
8774,9035
5062,9205
13788,8146
10025,10084
10550,5516
2003,577
13571,3144
11164,1789
9870,4556
6356,9319
9082,8898
13686,3781
4919,3738
9370,1966
13693,4047
11406,1588
7667,5065
12702,2858
7744,8070
8850,9977
10120,9564
6698,9276
8571,12641
8417,13230
11679,10790
11562,11937
11775,13250
11600,1126
13330,3750
12688,3210
11740,4062
3465,8352
6351,12064
4607,10423
6417,9666
11880,12776
11383,12940
10807,11055
12832,13232
14039,4010
11279,4291
7475,6709
10300,10516
9836,10384
10099,10507
7934,2317
12475,2530
12389,2956
8822,13700
3109,11444
13976,4125
13548,3757
7531,7280
5570,1774
5271,5319
6120,4839
3668,2336
13133,5583
8088,10217
8430,10146
14142,7268
8658,8412
6672,9505
5079,5138
7380,8491
9794,9568
11174,1408
10862,3514
4500,630
9921,1078
13136,3568
9802,806
9931,5242
6109,1969
1042,8056
1063,6557
11427,7068
10632,870
6792,1101
13057,4003
6577,1495
5739,6192
11837,2173
10546,7782
7680,7746
9153,5547
12122,8671
14154,13822
13346,14214
10629,1143
8670,8927
9374,9571
10982,1268
7928,1720
3063,8161
4831,3824
13298,2516
14064,4573
8314,5427
9652,2525
7767,2158
13245,6871
14064,10019
9191,8591
13443,6501
13214,12839
11579,2035
8900,7497
5303,9029
11424,7106
10941,7621
7612,8898
10770,896
12543,3194
10848,1529
13549,5248
13578,8658
13037,3662
4108,3671
14044,5678
10500,1510
12890,2799
9604,1156
11205,1151
10384,5765
8203,7696
10269,13403
9553,1387
10260,2563
3413,1592
11437,1217
11919,7379
4926,4948
6983,886
6124,4797
5542,3740
5405,3551
584,497
1427,670
10018,784
12492,2740
6691,7526
9574,11158
13424,10704
13901,11290
13242,3746
13943,5662
5679,6081
11120,1819
11271,1303
12450,9497
13550,3852
5104,5120
10077,1461
5322,5548
3768,10272
13985,9591
12340,1887
13302,3472
5719,5474
3759,4388
3931,3798
4004,3562
2770,2152
5802,8801
5829,1155
12163,1841
13658,4068
12864,7332
8021,7773
8944,9153
8114,8567
7438,8831
7484,8819
9180,9010
11974,2637
5621,1169
6480,6933
4210,2422
4065,837
3682,1488
7709,7490
12807,2714
4584,7387
8283,955
7115,6899
7088,11367
12775,1755
12990,1994
8670,3616
7466,1230
6147,4082
9876,5274
13290,6955
11479,5759
12570,2864
9201,930
8728,4862
3744,10537
4790,10070
10820,11538
10917,1383
11425,1153
6596,6280
8536,5781
7881,2282
1119,10456
7466,2768
7985,4194
6487,1085
2165,2224
5574,3776
2956,940
1870,2146
12225,1479
13515,3595
9485,5852
10143,14127
12232,2405
11612,1846
6675,13855
8437,13741
11897,5486
13626,13342
13673,12759
12922,3508
13258,3848
11805,4178
9552,1694
13231,2198
13164,2068
11135,6517
13992,8746
7828,7432
8865,8221
13138,8079
14168,10947
12398,1325
8848,7491
9122,9750
6137,9175
6811,4985
12698,2687
11457,3835
10514,5448
4497,7297
5695,5947
10564,13134
13022,3758
9546,9480
13805,13875
12036,2555
13923,4919
4750,11577
6521,8061
8431,8616
10516,10668
6911,13225
11606,11312
13650,12471
13229,12226
14425,14164
6592,9769
5482,1454
6537,875
6229,1881
12390,2470
13593,3990
6005,1378
4552,11738
6502,6558
6455,1610
2304,3242
2386,7521
11857,2382
11382,1038
5923,5865
11883,1843
9548,1420
10126,4973
5633,3629
7200,7465
3164,3696
5686,7391
10377,4341
12940,2584
11725,1449
2051,7534
4448,4317
3903,3121
11077,1091
10232,1052
8430,4808
5438,1504
12835,13209
8105,6578
8107,8184
11705,11292
13568,3250
13546,3692
13373,2637
14022,3808
12324,2996
11680,3448
8064,7326
6016,10943
7541,11518
5691,3721
4280,3478
12704,1761
12363,2191
11664,1155
11784,1700
7340,7239
9691,9782
9882,9858
10805,4583
9943,4658
4633,13452
7134,14063
6652,7378
11977,12423
9462,11432
13731,13887
11383,8397
12322,2808
11769,7240
10211,10096
9569,9117
12788,3279
9717,9426
5579,3612
8082,6966
10627,2171
13724,3523
13057,3646
13201,4148
5259,13217
12082,10245
12240,1885
12362,1915
12938,3224
11564,4464
7776,1214
8650,1294
13600,8375
12138,6556
9683,7101
13982,7774
14058,9515
12070,11006
12603,12713
13426,14176
13976,13885
9458,1983
11999,1327
9141,8340
13266,6508
12450,3221
13544,5023
1723,10996
2468,8771
5053,8717
9149,5475
11991,2148
12662,3118
6039,6582
6768,7100
1293,12165
1495,9324
7283,1003
4234,4542
4480,4721
10021,5849
13308,2540
10670,1868
13708,3002
11418,1589
12168,8141
8506,1528
7294,1554
2961,4293
5454,4982
1327,4483
643,3567
1612,4192
1598,6886
2534,5206
5327,2559
2832,3084
11007,3480
11843,9600
10772,858
7034,5233
8166,7840
7522,7218
4842,8248
12226,2749
8160,7484
6872,4831
4868,5214
2139,2972
1558,4769
11235,5269
6650,7751
13660,6090
11042,1841
10614,895
10661,866
9086,2372
10416,846
11473,6134
6736,4405
4793,1634
9070,2205
12692,2264
1605,4951
1966,4328
4271,2877
3436,3300
3677,2883
3429,6349
3622,4290
13553,3237
9549,1839
14066,4317
13769,4693
9559,9547
8732,8391
7413,14087
2758,3976
10264,4618
4580,592
1290,1409
969,3090
7629,7261
10518,9999
3224,1352
1169,5789
1050,4641
1584,8758
14000,6005
13144,7253
13897,8006
10019,1117
10672,3427
8090,893
4656,4418
1575,11564
1744,1085
1080,6564
13411,2523
6521,6508
5188,6095
13089,10696
13667,12739
785,5530
1239,9055
1809,12275
6121,5867
4405,13144
11101,12189
13862,4845
14008,6759
14002,8090
13152,2301
10920,1688
13771,8274
10992,5394
13244,7055
10784,10598
12042,10733
13495,2673
9432,5756
12629,7381
9863,5927
9997,10104
772,7963
7218,12453
12587,7185
13775,4957
13745,4945
7951,8565
8731,7748
4722,6840
13302,12559
12969,11950
13486,2537
6030,7136
2530,5002
12196,1293
10456,1136
10773,977
4781,8697
8807,1682
9127,9179
8760,8294
8702,8882
10620,11764
3974,11542
10961,4526
12843,7136
7566,7610
11594,12575
8590,8567
7107,6717
5066,5425
12340,2382
13458,5355
7759,1127
8479,5944
8837,8736
9713,7283
10288,6659
9050,6200
10102,9885
6704,6437
6612,6555
4852,9794
9275,7133
9198,6308
4209,6082
11281,1703
9911,1250
12323,2587
7762,8384
7563,1298
7053,6320
6095,6125
8101,6599
5486,5347
2780,6652
1464,8947
10549,11259
5497,5057
9584,3446
10546,5180
10362,4839
5795,3558
4161,10480
3831,9351
1245,6060
2093,7517
12025,2970
12476,1557
9132,13826
6937,6976
6646,8252
11709,2871
6059,13940
2097,7527
4434,3973
12622,1912
12535,2841
8768,8632
7940,8360
6557,4549
8115,3519
7938,5028
6486,8404
9315,7423
3421,4007
9728,4440
5564,6157
13596,8577
7694,11586
11805,1300
9839,6457
12913,3294
11914,1749
8444,8096
11106,1349
10305,878
13022,9776
10144,5838
6326,4414
13642,2874
13538,2961
10167,1058
11294,1633
12326,1342
7592,5737
5135,5084
7039,7078
2728,7286
2949,8198
10099,2344
8845,8275
12424,5114
13384,10934
13457,7985
12110,9364
13590,10914
8984,10757
