x,y
1088,10302
1592,12910
897,8618
12725,3217
10680,3278
9419,2129
8906,8212
7334,7629
2205,13283
14019,7717
9578,9262
10615,13311
12285,11660
13413,7930
8661,6161
9690,9365
751,4371
5207,9160
9430,9886
962,11005
9086,2124
5360,8668
968,10662
13477,2485
8346,1708
7156,1217
4392,5959
11242,1219
7830,12356
12897,13549
14057,13521
9818,4045
7031,13933
9794,12756
11575,4249
2260,11838
8030,7327
4235,4129
5705,13281
10322,1276
5918,6184
7911,991
8788,8602
5248,9259
9940,9807
4107,14029
12671,7373
7382,10106
8577,10188
9559,10160
13668,4973
8560,3531
13069,2300
1327,11548
13654,3706
6593,6632
5585,7450
13121,2307
929,10922
843,7972
4735,6171
5056,3764
4307,10207
9054,5940
10839,3325
12733,2805
8348,6790
7202,4961
1438,11368
5882,5363
6779,6869
9997,7765
910,5970
10016,7391
4332,11545
5184,5674
3998,13657
3806,13227
2256,9834
5562,5818
7630,2600
8874,5442
8020,6943
10830,5016
11015,1834
7202,977
1362,11854
10397,885
6527,3193
7936,7814
7706,7698
6352,2385
8137,3419
3323,9016
4236,4044
3575,796
5343,12247
13595,4333
8957,9629
6367,6452
8924,8118
10167,8497
9711,11242
10081,4629
13611,12385
3543,11149
5834,1366
720,3920
8311,7760
10972,4206
4137,10052
5110,3052
11292,14112
1335,11192
4568,1082
2677,12584
10090,2433
11796,2743
7072,3140
2367,1737
12127,3381
4795,6412
5311,5915
1932,11928
1679,11449
1231,10502
1325,9598
1304,6808
894,5526
3854,10340
1569,10681
8030,1393
6302,5922
6923,2678
5317,1593
1690,3111
1562,12378
6113,6852
8452,6583
2589,5672
11582,6838
6447,8848
8199,11716
2463,1016
2409,3824
7808,5113
7478,2778
11888,5270
9716,9862
11533,6609
6154,6022
3165,3537
2473,12382
2849,1779
1791,4199
1561,11908
2757,13531
6964,12880
7348,7336
10970,5054
2081,11630
9552,5545
6252,7167
11781,6682
3141,1939
2955,13671
1362,9385
8690,4302
5566,5474
10071,5750
4839,9907
3909,4057
4598,10096
1042,1994
4174,13360
5696,13696
1748,12385
7227,7510
5190,5563
897,6968
9588,4416
6234,10416
5579,9167
10441,9918
4535,12670
10367,12656
12852,11348
7714,7681
1429,11372
4364,10007
12386,1970
12135,2678
6580,4702
2438,9717
8342,8870
8977,9514
8759,8176
8640,8264
3621,8927
5370,977
4811,4641
3715,4293
2760,1256
2845,2717
1642,2391
10649,5298
5677,13057
6756,9966
6656,1513
8527,8066
11621,1658
5357,8813
12591,5551
5554,6333
9610,6372
9222,7473
9558,9572
3944,1632
2475,12578
8106,6589
888,10127
10292,4852
13579,3122
4948,5533
6145,4054
5780,9159
10064,5921
7979,7873
7604,4858
2776,5989
10611,5278
11860,6870
12823,13967
8888,5483
2694,6936
11434,5885
1430,10498
1384,11683
6167,6490
8392,1660
1437,7655
7696,7952
11379,4623
11251,6714
8896,10920
7698,10101
12027,11300
7700,4892
3799,13956
8035,8658
13827,7595
5378,5168
8635,8989
12165,10775
10514,12438
6819,11411
7881,7721
3466,13122
12648,5230
8889,9179
6470,8224
11736,10617
10899,10651
8180,7588
8209,6957
8694,8096
11178,11827
13980,13363
7862,9682
12403,5513
8415,8619
4844,12400
5072,9581
11551,7059
8994,5582
13422,3259
8309,5392
2266,11866
6797,6190
10499,5284
3905,11376
4673,4261
1252,9101
10650,4840
12799,1764
13260,4020
4671,9502
13348,4218
9066,9884
7484,11293
4092,12604
11320,5321
8826,10025
6477,13929
7995,8165
7982,7135
8347,2275
6389,4695
11579,1420
2713,5417
9064,8627
11406,1921
9698,12188
10956,11358
6574,9352
8848,6242
1750,11336
11376,3262
1707,7453
4910,7978
6493,4614
3803,3549
6821,10081
13427,7563
11727,7366
1660,10279
8221,8029
5104,8447
9099,13894
5058,8569
4122,13507
12700,5394
8790,8619
10430,5095
8253,10226
10641,11393
10104,12112
11119,10635
13680,10356
3144,13151
11379,3402
1781,11741
4695,4923
7604,7605
10391,10737
7182,4838
10018,10130
12902,13426
9199,11312
7830,1498
5505,9064
7820,7635
10658,2403
5236,4964
6994,3075
9058,9122
10960,11019
8996,9229
1806,2429
9182,9550
3570,7027
13740,4143
7225,6825
9591,7382
10028,9336
12028,5476
9409,5743
3394,9036
2459,13439
9509,5370
8918,5912
6949,6183
5538,5059
5096,5392
10054,5641
1513,1101
7106,7466
11065,3426
13489,2683
11310,3924
11289,3953
10139,2515
6697,6574
11001,4729
2552,9846
6467,6344
12800,12492
2805,3513
6115,4180
4756,6029
3969,4126
8772,8206
11993,9367
3655,10401
4085,12646
8678,4459
7724,7350
6182,6376
6274,8108
1957,12966
5083,5844
7896,7289
6907,4521
8108,7841
3363,4058
8886,4915
4882,4367
1214,708
4233,12452
13889,3793
8482,8738
8889,5804
10275,4493
3990,4044
12040,6914
2928,5529
8862,2190
4023,6104
5456,7523
4828,8140
10063,1049
5723,5596
11926,1906
8760,1498
6825,4323
4814,8691
7254,1338
3577,6486
3449,8824
6103,5874
12258,2948
2781,4397
1425,2602
2891,3068
12098,1968
7770,3270
6625,6615
8187,8513
3545,7982
3765,9471
7810,8159
10162,5301
5827,3862
3919,3625
11275,1075
9536,833
13054,3188
13099,3632
4031,4464
8145,5042
8933,5481
