x,y
2878,12524
4408,13754
3404,12896
4467,13790
1670,11428
11436,4289
6735,13624
13709,3282
9086,6100
9968,9620
10086,9719
4540,12206
6920,4879
5903,5226
10541,10964
12064,7276
7296,13249
13732,13279
10388,1152
9073,8687
5221,5358
5074,10956
4777,10459
8339,7423
1880,12925
1933,12169
13458,4251
13858,7034
13476,5832
14095,13666
13965,13285
13615,4637
12905,5101
12311,2460
8469,8649
13352,2764
8147,1414
5659,788
5235,6008
3651,4312
8898,6014
1344,3808
5312,9322
1256,10113
1113,10784
13380,2438
5586,1310
7025,3996
1292,6210
929,690
1355,11822
8909,8271
7266,9658
9900,9204
5178,9097
7428,8619
8435,8408
12008,3291
3497,8232
3436,12999
2090,12391
11828,3746
11760,4124
11661,4375
6619,4713
12113,5092
13086,5016
12467,5244
7660,1299
7808,1568
12552,3121
7049,11260
1871,12922
11595,7200
3436,13150
7765,11054
7810,13308
4675,9953
8826,9968
10222,3189
11242,10024
8600,10516
2555,12187
3782,10745
2361,12816
10461,3184
10650,1709
13107,2729
11774,1298
2958,7599
1230,7718
4334,7324
5240,8676
6967,7379
4824,10325
794,3772
9212,5810
2438,8649
8594,12258
11657,11877
4618,10154
12697,12471
13834,3996
10058,8600
8820,6643
6666,9817
11544,7591
4895,8348
3625,13837
3886,12652
4564,13526
2872,12612
2458,13500
6648,11544
5256,7723
11310,4836
7640,7317
7305,6423
7303,10836
7858,6723
2090,3477
6112,6340
7748,7304
7995,7639
5312,1136
6142,9227
8937,4554
13338,2573
10922,4322
3805,2736
7981,8001
7973,8251
8263,6945
9471,5876
5470,5780
855,4377
5532,13754
8514,5492
5847,10931
1224,5814
8496,6829
4976,12431
5978,4007
8012,8171
7383,4764
8594,5266
10725,4757
11714,9907
6106,5867
2918,3478
1358,10892
11504,6518
3502,13214
6476,13204
2661,1697
6128,4366
2978,8046
1547,2766
3069,12660
3357,13076
3504,12900
5675,5104
7115,6209
7393,7510
7530,7224
6825,6778
2232,3073
3794,13484
1982,12355
3660,13688
2442,12830
3780,12753
4064,13405
8305,7568
9628,9484
5613,13488
8582,13364
11908,11346
12992,12231
6986,6922
7590,7522
7672,8788
8419,8039
1478,9749
1509,7583
13685,3755
12234,2902
3233,6726
1166,902
5647,13083
8062,1729
8162,8636
1630,11538
2992,11928
9307,5904
6530,6818
11051,12006
13752,12561
12057,12741
12868,13939
6092,5998
3236,9207
3149,8093
6057,7269
7640,6977
13466,4115
3547,13759
9299,11383
13939,4964
1598,10673
1276,6074
1046,6131
6221,1491
3904,1570
1717,1324
4496,9261
3202,8206
2397,12271
2016,9802
3134,7546
12896,2526
13701,4580
13260,4946
8728,5418
13566,5558
1240,9186
1236,12316
4843,2747
8806,5789
6818,6812
6836,7010
6842,6580
9070,4706
3906,12537
10342,5496
13923,4064
14057,12957
12554,14032
5242,6112
993,10808
5116,7632
4952,5528
3610,11358
3169,11785
7355,8017
7720,7862
8094,5341
10068,8659
7616,11946
3834,13721
3301,13605
2220,12267
1949,7536
4169,11930
4142,13020
8910,9198
13288,5102
11616,5618
11731,12007
13470,13811
5157,3834
8865,6464
4550,13879
7722,3282
2277,11918
4737,5151
2982,13445
9187,8486
14024,4502
13898,4118
13758,4702
11015,8813
13312,8959
8148,7742
12564,5791
1237,11243
2994,12673
1252,9731
9770,5708
9289,6371
10850,4420
6207,4921
7558,4944
6398,4814
7452,5015
6262,4767
6222,4784
12636,1838
10961,1410
1642,11532
3765,4611
5897,6735
7988,7614
6570,6440
8554,6600
7404,6778
7076,4041
5725,11043
13446,13547
2744,12432
11658,1063
12654,1660
7968,6508
2882,8114
3076,7970
11471,4575
10313,5272
7257,6164
1983,3801
13955,3914
3133,13612
12540,2515
6272,9758
13774,5145
7969,8384
2063,9572
899,8192
8063,10352
12921,2874
9392,9223
9978,10384
7499,4986
1970,12078
11887,1421
11328,8743
4422,11957
12649,7360
9542,9192
3785,7737
5978,6133
5368,4842
5491,7494
3752,9398
8943,7825
6684,6957
9624,8999
8612,1438
3625,8837
3136,7674
5295,7556
11000,2046
4532,4730
4386,14017
5362,13880
6709,11387
10040,5719
1156,10642
8148,7779
7763,7810
1194,12239
9628,7268
13725,5675
13412,5710
11180,3708
5814,1271
6702,1018
5896,5185
11429,1568
7655,7185
7233,6730
9910,823
10452,4920
7217,2860
5127,9019
7242,6548
8131,7457
12937,2649
7066,9737
5166,10088
9475,13575
12190,14378
10229,10860
3587,13007
2593,12301
3752,13340
1264,10675
5237,9118
5037,8748
1293,11041
1389,10679
1532,7229
6450,4490
6873,4821
10391,2621
5870,1136
3907,1640
4299,1509
4106,1252
1214,2770
699,1434
1042,1962
3388,9034
5052,5802
5879,3553
3654,12897
7043,10032
13034,7170
11883,7203
7562,8073
9101,13885
9322,8718
9419,9558
9777,5362
12002,2551
3269,13016
10055,5620
3819,4270
11567,3962
9284,9413
3401,6719
6235,991
6755,4636
8700,6028
7728,7014
10661,10225
3150,9350
7025,4803
5424,9506
2750,3274
10892,891
1107,10226
4908,9483
8232,8756
3319,7371
2811,3482
875,11240
10339,1219
6631,6990
7194,6315
7476,3968
14102,6468
7220,4997
7278,8024
3010,2138
4176,3732
10196,867
2828,12787
11902,5432
11194,6558
11694,6906
13484,4410
10006,8908
10350,8997
12832,12266
14039,4545
12198,5024
12584,5278
5085,11686
13529,12865
7286,9016
8188,6532
11058,3956
12663,2247
6156,13416
3565,3229
6286,9734
2957,13395
11348,932
2081,12513
6917,5203
13568,5682
7777,8116
10073,9438
5739,9145
8704,10068
7056,6494
7551,6662
5430,5022
8217,2104
3655,9755
4674,6708
5380,5980
8257,8423
7841,8099
7662,8022
3428,3182
13217,2455
10488,10980
5445,5844
5458,6124
9860,5323
5836,7151
4992,10684
7425,7172
13690,12584
1055,11667
12859,2953
2102,12716
4793,7326
9266,5708
13844,9558
12398,13728
7320,8462
12630,7560
10027,10763
10234,8202
11562,12321
12772,12616
14019,4265
5828,12673
9272,5886
1860,13275
4827,9602
7421,12424
1053,11069
10116,4450
7663,3583
6355,4918
6064,6682
6233,4454
1506,6238
1340,7334
1123,2835
1819,2006
1639,11607
1123,11047
2937,12534
1033,10908
5760,12732
2208,4243
4165,13597
6384,6111
5317,1254
7588,1539
1176,6004
7543,7939
2966,12904
7143,11389
6691,11457
7798,5579
7551,5870
1724,5858
1635,7040
3500,13683
13173,3658
8243,8185
1185,9506
6430,6595
7004,7876
6728,3006
8117,8350
10129,6940
3964,4141
2029,12944
1262,11330
12078,3134
3977,13199
12536,2503
3986,13378
11884,5372
7823,4928
7496,5146
6263,13681
11619,10961
1488,11534
6612,7165
1549,11922
11247,4409
5090,3628
6736,4430
5302,10366
6216,11028
3917,13988
3917,13427
7813,11063
9275,8769
13205,7558
9810,14090
8761,12507
14003,11114
13904,11484
12941,9744
12842,13248
13909,3933
7486,7408
13344,3840
7635,7119
6582,6706
7335,8791
3031,7537
8580,5024
10026,1415
10188,10223
10902,7526
12665,3118
7090,6938
6665,7174
12660,11446
8782,10854
8721,11099
10347,4993
3722,9274
6894,6846
13083,7383
10563,10538
10022,7184
10634,10272
12841,3033
10722,1487
2295,12154
7639,13978
2617,6518
10627,13851
11044,1030
8053,1632
10310,8820
10587,9045
13563,5288
14085,7159
9834,9719
9641,9786
8804,12265
12024,11022
2335,12497
5568,9283
7387,6679
5484,1146
1362,6916
4641,1721
7612,7670
3035,13873
2524,13640
11444,1936
11037,5618
1584,9574
3658,7336
2910,7483
2787,13498
4245,13148
6909,8308
13485,9639
13085,13684
9871,5889
3915,13026
3782,13070
10073,10540
13836,10830
10764,1235
10400,7408
7301,9996
10478,5147
9392,6316
13031,14286
10205,4767
4900,4720
5708,5356
12599,2330
8403,8453
4282,13452
4285,13495
7356,7301
13426,6593
12433,7390
7766,8208
7358,8712
11601,9677
7890,5936
7558,7546
13891,8284
3997,9932
4964,5679
10416,8786
9071,3955
12098,8843
11406,8192
5363,13572
4773,13762
4460,9280
4207,9473
2702,11709
6722,9448
10454,5226
4874,1047
4728,7506
6928,6266
10225,10080
10886,11290
8450,10471
9791,9598
3596,13612
7839,5376
12438,5100
10585,2877
12934,3378
7663,871
4680,7914
7196,3257
2360,660
7434,1065
7629,7502
11764,10798
13126,2386
13458,2819
4378,13691
10764,7480
5083,13746
6459,6364
2859,3046
11312,5621
11395,7126
10835,10972
9861,8796
4320,10172
6723,13877
9705,5439
13119,8312
11950,7472
4753,11967
12394,13994
10566,858
11436,3892
7614,7916
6326,11056
3506,7140
1982,1076
8165,6164
1467,1147
10696,9986
12016,2138
8162,7644
4364,2792
7730,1640
5669,10967
7046,7300
6618,9204
6900,11598
7652,7154
8116,10520
6059,9164
10551,5533
11730,7241
9497,7207
4782,10808
10055,5675
3841,13700
8920,8709
4200,9357
10828,11446
12217,11281
12763,1868
6778,7080
1753,7197
8500,5249
6757,7299
13961,4970
14012,4561
12032,1207
11665,3787
13416,3798
13607,3638
7842,5003
2208,11728
12212,1460
12946,2849
3763,13145
8002,3530
4481,4130
11024,4050
7134,8324
6251,9725
7150,7445
13386,7585
7068,7356
2628,8413
1437,6265
1338,5738
932,1190
12465,2036
5815,5304
4908,9245
4652,1108
1058,11788
5962,11299
9619,10232
13494,5542
4123,4847
3402,13155
7007,4744
5343,5307
1931,11547
1201,12123
3394,7767
2967,12609
2564,5008
9618,9548
4988,4979
10707,10372
13032,3318
13123,2497
1342,12599
12414,2985
3500,9497
2320,11696
1047,10917
6422,9140
6163,6251
6374,6732
6297,6339
8411,11808
6894,7568
8674,8332
12331,1392
5880,10752
10562,4962
10132,4715
8060,5355
11796,10754
4150,9856
7291,9874
7419,3788
2039,12136
6133,7137
3550,10629
1529,680
11772,2043
12303,7259
10447,2489
11976,13184
2358,12782
7797,5869
9032,11001
6252,10101
6794,12777
6948,12892
11693,1167
8103,8667
12529,5058
5826,5046
8256,7806
3717,5928
7766,9879
2142,13374
7535,7822
10668,1171
13743,3166
10955,5374
13686,3445
6477,9834
2527,3479
3663,2723
3479,3987
4304,9936
13753,5827
7116,9966
11715,1833
9985,10449
3409,8303
8924,8928
12838,13174
1833,11484
10283,891
10640,1310
4402,10002
941,1177
8049,7327
7920,8058
11169,1636
4601,5134
11293,1093
9649,1495
12688,1679
8333,7849
11576,6179
9984,10244
8164,10360
10915,2008
13494,3956
7760,7048
13489,7112
8184,7772
10567,10790
4230,9955
12096,10013
11465,13447
11992,13878
11420,11455
5370,8535
5195,11650
7112,11331
13403,6896
3569,9307
1804,7519
10133,7300
9942,9105
10284,9625
12400,2277
11764,2634
9924,9443
7944,6559
2347,9798
12316,2807
11882,2280
7598,4924
6256,13302
10617,871
10109,10555
9832,11327
4679,6470
5934,5640
11590,3201
4802,6017
1269,7518
5676,5554
6116,5785
3670,3386
913,1554
3168,13175
2553,13227
7687,4992
12973,2341
5352,946
7832,4110
7385,9680
13732,5646
13353,5824
13860,8448
9526,10153
7326,11058
10687,10825
9234,9473
11779,11900
7744,7491
5182,5554
10124,6983
12785,3141
9084,5722
13107,3570
7741,12341
1077,795
964,809
4344,9654
8420,6412
8158,6370
7012,6319
11596,1848
3753,4016
12094,2076
10752,1434
1850,11938
5474,5734
5802,5702
1630,10891
1315,9581
6193,10458
11347,13074
12306,13042
3955,11483
8311,8894
9254,9296
11508,11302
13850,13854
6177,6845
10886,2033
3542,6478
7843,8309
7388,7900
8212,8202
10397,5593
9920,6266
9999,6532
5317,9358
5909,5203
5578,13143
5278,13116
9893,9713
1242,5789
14125,14221
2748,3164
4826,1610
1758,3868
8732,5495
1446,4826
9191,9908
11322,9918
11640,5691
11419,8211
13004,13544
1699,11361
3508,13519
1692,10776
1192,10256
4071,2669
3820,3775
9760,5372
2906,12553
5014,13617
7572,862
4243,4699
9412,5486
7333,3137
5005,3078
4693,4269
3565,2538
6228,4545
1623,1120
2902,2571
6032,4021
913,714
12433,3242
10885,5415
10250,5159
10416,5080
10089,4573
11278,10748
11769,13514
12982,13920
13507,12785
3456,13563
6596,13960
2085,12583
3970,9595
9917,9115
11774,11152
13003,12904
6242,12044
11919,2428
12032,2666
5174,5750
2088,12156
7670,5869
7897,7059
6765,8028
2565,3546
7763,5991
6721,13171
7636,5073
5934,8779
10607,4914
10680,13106
9960,5352
1192,2222
6605,4590
6660,8078
7708,8444
6783,4315
6082,5701
5436,5078
7170,3206
2416,12775
8918,4266
4937,8924
2863,9632
8806,5811
8521,4720
1715,6669
1862,12676
13804,3357
4385,4070
4871,4935
4360,4062
4149,4221
7054,8312
4839,4497
4313,4496
8986,8682
1973,7525
4111,7161
13533,13694
8432,7830
2849,11547
9040,8356
10747,7686
8038,7900
10109,8527
9709,9084
11573,11046
12056,10518
12768,1556
13760,3590
12188,2076
8488,993
11452,6294
5975,5924
5313,10753
8046,10084
9863,8880
13295,12322
11257,6422
2468,13248
2115,12381
11173,4087
9794,5254
