x,y
8467,3552
13383,11774
11338,1802
8750,9334
13542,7472
11462,10701
13835,7488
13029,9302
12711,12308
4573,10332
5178,4689
13532,13704
13748,4105
12076,1583
13125,3683
4439,4141
2785,7125
8040,8195
7913,7150
13883,5041
6270,1713
5122,11643
9840,6995
7885,5120
8170,10261
12685,11001
13661,4354
13183,3532
13958,5656
12073,1663
13477,9043
10821,10420
5156,13318
4533,13413
7256,7132
6189,10882
10270,1239
12576,1963
5673,6001
6066,9366
2760,12656
10031,5904
3331,13174
12269,5058
9944,6404
8870,1051
7671,8148
9262,11151
8547,1008
12360,1596
6018,6974
6032,9277
3785,10880
11218,11475
9768,6072
6529,9517
12684,2816
12880,2017
10389,1329
8274,6773
5138,3403
12512,4985
12235,7253
6687,13648
5515,7553
10476,11803
4018,1488
4328,3176
13114,2962
10757,7279
13221,3676
5615,5429
7759,7151
7321,3263
11288,1535
831,9102
1058,8959
12202,8171
13621,4881
12210,8218
11069,5620
12143,6675
13780,3770
7430,6762
8359,7394
1460,7928
8158,5264
12903,3354
12580,11882
13415,13777
13937,3730
12532,11717
9073,8347
13445,3770
10907,1708
7476,2891
4727,4816
11819,2456
10026,10548
6880,9566
11785,2029
10876,10474
10628,5213
7824,6566
10050,9445
8544,8442
13387,2733
7981,8714
12803,2221
11213,5886
911,8102
12453,2623
13380,8126
4213,1058
11738,7385
13001,3135
10155,9921
10968,1859
11020,10294
12344,1723
10574,1261
12066,2187
7663,6782
6974,14106
7397,6219
7739,7319
6310,12665
5937,6101
12592,13344
12143,13766
7068,7382
8443,7953
10693,921
2876,9760
7241,6495
11215,4375
5722,831
11788,2604
9509,7267
2142,992
2838,1808
4504,2953
1970,2168
12300,1810
5750,9252
3486,10602
2189,9704
4869,4989
4316,3855
10046,10237
4382,7294
3605,4025
5002,4033
8233,6946
13618,3044
12968,2389
10850,1382
10576,1198
9757,6298
8670,7968
6208,10386
11454,11040
10594,5636
13264,4208
10234,850
9032,9040
6176,13632
7752,12292
6038,6139
11292,927
10153,4941
14001,7865
11762,2060
5187,5181
9417,1477
5136,1336
6823,4557
11586,1437
11897,4130
8034,13252
3872,7375
5302,5234
13923,5157
12362,2520
7230,4675
12404,11823
10480,5218
9662,4099
10402,5007
10883,1464
10555,1323
6613,6594
7068,6656
13221,2257
12394,2488
3293,8828
7074,12473
12370,7675
6487,6462
6496,6279
9399,9360
13695,13146
12005,1896
6999,8193
12667,7110
5218,4805
9336,1868
11915,3820
8020,7010
12516,1577
7816,9987
13337,9000
1128,9750
7312,7175
4243,4491
14100,4869
5572,8831
12366,6283
6621,7326
6792,7692
7302,7182
9672,10006
3973,9561
12837,2117
10672,5708
12151,13062
6434,4600
7092,4812
10568,1496
10358,914
6726,6888
11218,10794
11217,10781
7316,8916
10997,11291
7166,11521
4315,7239
9986,10232
11524,11204
2877,11726
4165,6126
4693,2871
1442,2664
9801,1512
11076,13407
11847,1298
11160,1723
5141,5326
1481,2371
1205,620
11620,3582
12121,2993
8617,4071
9750,1336
3480,3452
10612,9941
11500,3091
9889,1012
7002,6540
7674,7187
6329,1344
6258,968
6241,4325
6286,4460
5160,5554
9840,1542
9287,9217
11644,10875
11786,2172
14109,4689
9153,7350
1575,8877
9168,8966
11244,3962
9333,9209
13302,12340
13040,2676
12875,3167
7754,8141
11593,1858
12776,3001
11445,1358
9883,1425
5220,4952
12279,1915
12233,1481
6390,917
2459,1920
893,9586
5888,4269
3597,8766
10344,2634
13893,4010
13443,3184
5553,13297
10537,3247
13992,6482
8893,9279
11211,1715
10606,1739
6216,10215
10825,11332
11501,6730
8506,5416
10252,1528
4992,2775
5632,5997
8227,7617
5855,10918
4912,5623
7090,7131
12422,3252
9846,9193
12290,8504
8610,5956
9432,4530
10993,4258
13638,3787
12396,8392
8927,3936
8970,9834
10543,12309
3792,11060
8652,8710
6042,12648
8390,6455
13525,3552
11468,1957
11603,2004
13634,4330
13352,3817
13645,3684
13863,3919
9224,7499
13586,12948
12057,2267
11545,1646
10689,1658
8140,2380
