x,y
12310,2278
5666,5120
7125,9388
12652,2016
10456,1568
11642,2116
11596,1309
6982,7444
10063,6715
7048,7223
12822,5252
5344,5457
9571,875
13270,7037
13204,6063
8237,5715
10325,2327
11529,1340
11294,1098
7358,1020
5288,5480
3338,1563
3504,4320
1714,4419
6292,6809
2634,1233
10791,5313
1014,2922
1651,10943
3474,11626
3430,13709
14146,6796
13447,4523
12452,2672
8002,5642
9423,9548
10512,9917
5873,12780
13694,3241
13768,3287
13891,6305
13974,4052
13259,7406
9895,5684
12618,7418
10432,10298
3955,13271
3028,8071
6147,6231
8921,8071
4991,3956
11709,6883
13472,2839
13666,3445
8045,10553
6375,6989
9866,9359
6254,10315
13463,4375
13772,6468
8796,8876
12666,10824
9624,12596
12047,10395
13653,13459
11066,1132
5111,5189
11675,5548
13893,6128
10969,5050
14107,4821
12150,2236
13312,4155
9757,7016
8002,1073
9707,9345
11770,11207
13440,3587
11293,1917
9176,2651
5080,6118
1535,10286
7499,5167
11872,4308
7512,7514
7800,3465
7897,943
6618,8168
8158,5264
12909,3013
13734,3717
13326,2484
13209,3921
13360,10188
8129,8198
9251,7408
13151,13052
12936,3439
8165,12255
7999,8431
13350,3986
12033,2564
13637,3801
9106,13230
9867,9917
9357,6257
13798,3391
9484,7273
8644,5478
6967,9836
4177,10085
1584,2107
9752,1080
7155,1352
6319,8709
4939,4555
3736,3350
2370,2284
12263,1751
13989,4041
13735,3185
13940,4878
13618,5862
13146,7575
13365,8014
12064,11725
1348,10875
11696,1777
13822,3442
10119,10316
11295,11380
12332,3091
11581,5712
5920,5605
10376,5497
12321,2634
5083,11476
3426,4259
5885,6267
3467,3994
8540,5573
5156,1174
7771,11738
7805,7014
5647,3777
1981,1094
9680,1744
12052,2039
11702,2347
11095,1980
9074,1033
1897,7695
2783,13167
5870,3519
3764,13230
12062,12453
9281,2039
10891,5537
12699,2588
12884,2740
11430,3696
6577,7895
11279,11416
13932,3919
13351,3482
13860,4688
12361,7536
12969,3328
4720,9340
7350,4712
5799,12519
12865,3377
13102,3150
3729,9864
9970,6834
8774,8814
7064,11680
13360,4442
8855,8645
8658,9043
3323,1716
13296,2444
12672,2703
7800,8504
6522,11287
12715,2320
13344,3933
7077,6974
8018,5116
8077,3411
12471,3167
3771,7259
7774,4781
7358,7124
5950,7039
721,4247
12446,1464
10260,6840
9043,9193
6579,11338
10336,841
11915,1979
8771,12928
13730,8887
4831,7682
12225,1210
11555,1465
10235,812
10329,3040
7031,3934
7237,6830
2072,3641
4424,7343
3768,4951
7223,7798
2743,12507
3324,10601
12835,13870
13809,4907
12142,2088
13440,4633
8005,8079
10291,10300
9593,7061
7882,8424
11503,11890
12440,11730
13173,13743
13667,3417
8454,7834
9654,9714
13045,3683
4811,5866
4911,5981
6884,995
11201,4488
6170,6360
6235,5838
1554,10619
7842,7945
13889,3874
13392,11482
13849,12280
12504,11824
13407,4393
13137,2893
10139,2617
5989,11100
9574,10196
13979,13570
9018,9049
8726,7462
13220,3825
11672,1266
13230,3002
12755,2830
10775,1349
9471,9953
7904,7684
7278,7778
12108,1969
3130,9369
1086,1254
13394,4875
12834,5146
14100,4806
12716,2358
5037,3860
11875,2092
10548,1690
10490,1488
4675,4933
1639,1209
10591,1427
11290,6052
12943,12973
5302,7523
13026,2678
10212,1064
11034,1620
5690,3697
11603,2042
12296,2741
14010,4553
7362,9790
12228,8622
4237,13377
11827,6890
4497,10177
8700,7748
7765,10219
5325,5384
4352,10179
11867,11312
13214,3273
8801,8589
10794,4648
13930,4100
5280,8740
5223,9635
3413,13518
10901,1697
4414,4424
11034,1311
10236,1109
12303,1207
14086,7082
5441,5506
898,2033
11658,1591
10837,1456
10713,896
5263,5968
13451,3253
12792,1775
12362,2385
13856,4148
13534,4392
2130,3421
13612,3108
3410,10940
4837,6166
13217,11013
10516,1477
13159,3850
11072,4392
6275,6218
8049,10252
11564,12603
10860,974
9840,2566
6569,6959
8184,8059
5243,4827
8772,6334
7639,11081
10917,9935
6211,9304
10037,4093
10814,899
12002,1911
6996,6334
5964,6292
14071,4307
13260,2706
11073,4714
13543,6697
5116,13596
11045,11581
13549,9041
11579,13131
13147,3543
10391,2563
8712,8932
7140,7795
6226,9896
10987,10473
8671,10038
11398,4882
5532,1335
13078,12855
9830,1043
8792,4405
6399,988
1284,8830
12488,1472
12734,2996
13928,3656
13498,2492
7589,7821
10012,6732
2271,4422
4590,8978
3650,9280
11723,2840
12164,2395
