x,y
4034,13535
3496,13007
3905,13494
1072,11328
3643,9533
1088,6424
10194,8086
9163,1791
6222,4774
5602,5962
4439,4141
7710,7004
1357,8424
8208,7989
5376,5858
3716,13858
1800,11253
2731,13383
1388,8796
3710,13348
6354,13599
8389,10432
6968,13648
3184,10991
10610,11898
6155,5720
5038,9570
4901,7436
9016,9190
3168,7943
8544,8337
8435,7878
8427,8379
5879,13365
13501,4411
8222,7861
3407,3988
7445,899
3344,8406
830,10470
1507,10684
10696,11852
3111,12985
4135,14021
2092,12038
13848,4652
5960,3904
1908,9442
9526,12888
7051,11625
9306,6026
6752,8252
8173,7642
4677,13628
13650,6384
7360,7842
7206,9609
8701,10072
8273,7720
8869,8037
10248,7236
8735,7777
3582,2810
1473,10446
2319,12705
9059,9273
11544,12366
4170,13925
4325,13454
2942,12968
4961,13914
1498,12492
3745,13588
7570,13432
7753,3382
7511,7625
4048,9905
13238,4741
1712,7681
7341,8578
9143,9142
11497,11984
6249,10171
10828,11163
2849,11475
4258,14044
4148,13301
1312,10234
2780,13528
1217,8369
4845,8505
2827,3995
935,11130
5757,8842
6142,6472
3621,8042
7699,5998
4940,9518
7423,6249
7655,9890
5237,4804
4826,5078
8664,8168
12465,12116
4965,6008
14050,8860
9524,12050
4622,13536
1427,10534
1905,3831
3426,13439
1116,10541
1342,10339
1231,10843
8136,8429
1152,8715
795,8253
1032,9363
1722,5834
1540,12234
3106,12703
8186,5137
8672,9142
12090,7156
10013,10279
9128,14002
4072,13418
4221,14003
1073,8679
6478,8437
10286,4927
7406,7166
12035,11761
13966,6823
5154,5021
2752,5084
13022,14058
10804,10104
10144,10108
4369,13592
4195,13558
1268,12132
1764,12424
2599,6907
6596,9244
10260,13723
2156,1061
7504,6108
12938,2767
8518,10508
4151,9421
4064,13581
5043,5639
5794,5500
9184,5690
1791,3263
7720,7930
3648,8756
2484,11826
2706,12614
3407,13049
4343,13336
4095,12706
3400,12846
7594,6620
10667,10403
8270,7583
8136,7334
10334,10166
5714,9357
7846,8019
7351,7036
8022,8656
12140,8331
9979,6007
1188,12454
13584,6100
11205,13981
8003,8057
6242,6109
6348,6130
4168,4414
2386,7280
1687,3277
8328,8311
10192,9688
13338,7748
9393,7349
8506,7640
6620,6906
10696,1607
10752,3379
8198,6659
7442,7570
4820,10027
9753,9164
6713,6711
5705,6060
3434,2958
8962,6465
6089,5798
8219,10308
4850,8980
3533,2865
9552,6080
6876,7572
13093,11874
12213,11828
1847,12346
5597,4978
7614,4856
5506,7626
8057,7568
998,5383
7550,8198
8132,5753
10025,7016
11863,2406
11356,1414
5130,1212
5838,7292
7678,7481
10150,9992
2799,12474
3035,13185
6795,14083
9907,9870
9576,13790
11322,13216
6538,13672
13424,13771
13015,9579
12563,12188
9852,5748
8253,10198
13607,3543
13443,10434
8054,8269
7904,8215
8244,6342
7004,6734
8048,7554
5932,5492
4399,4855
3082,7017
13348,12879
8225,12332
8947,8783
7237,8055
4522,10034
9968,4802
5862,844
3454,2920
6293,6130
4550,9447
4737,9127
3031,2826
7629,7771
6416,6451
6859,6292
7753,7589
7314,1040
4329,14065
7932,7757
6555,6902
3679,13084
8924,7861
7008,7327
11571,9909
7606,12398
4217,10227
866,10678
3228,5348
1548,4184
1160,3342
8589,3647
916,6392
5746,6026
13942,14089
2788,13160
7373,6276
10600,12304
9915,9502
8761,10891
9007,9813
930,11331
1631,11249
11198,4115
1657,11590
1481,12470
3596,13324
11995,1602
6734,7067
10008,8978
8522,7506
12663,5166
4592,9866
11779,6922
7794,7399
1083,10284
9990,2480
4627,7861
7516,9696
2357,3280
6257,6319
6934,8081
13040,5448
6774,6490
8368,5560
6345,5986
6147,5806
4599,4229
6862,6856
5246,5180
7979,7198
4499,5256
12878,13866
8017,8348
7967,7220
8948,9407
8341,8361
8537,8097
6345,6723
4862,4842
10910,3425
6642,1112
2606,5868
2088,2148
2019,2397
8149,7936
9165,9329
12641,12673
12082,9793
1493,11127
2642,13348
2616,13278
7844,8400
14043,12825
11554,13396
10472,9869
11483,11965
12560,12843
8426,8734
1625,10967
8208,6586
8641,8022
10097,9481
11920,7771
12439,11615
6519,7806
8828,8155
4570,13564
4593,12524
1263,10717
1131,10344
1555,11485
9637,4128
10304,10520
1453,11174
2125,7536
9918,11036
6994,6790
7475,7075
3365,8852
4852,4454
4405,10156
7275,7426
3272,13106
5351,12970
9716,9244
13712,13287
9532,8874
10066,8646
8236,8346
7878,6878
3266,4064
2038,11843
2370,12678
1248,10819
1435,11279
12687,1684
3589,9098
5943,904
8821,8250
5670,5046
4384,11691
7765,8148
951,10601
11070,5520
3806,3319
2372,11882
2722,11430
8195,13960
13150,8738
7432,13792
13072,4184
13395,9682
6821,12982
3329,13805
6280,10115
7766,13468
3031,12954
7996,1318
2702,8221
1141,10875
2435,11648
1958,11494
1062,7996
2372,3752
3274,13674
1772,11400
4930,5646
4165,4022
9462,7378
10543,13148
3204,10906
3176,13590
915,7099
7301,4827
3501,7752
1614,5668
1899,12627
3898,12554
4729,5497
8277,13281
6215,6032
8655,7542
7558,6930
1864,1392
9102,1531
6294,7144
1360,10990
2110,13486
2330,13026
6355,14100
7158,7108
1443,10614
6756,7156
2983,11428
4973,5220
1449,10197
11986,2940
10168,5761
1773,7554
4891,9666
5785,9382
9229,9203
7877,8052
7480,7257
8085,7894
8164,8368
13032,7368
6284,11430
6410,7954
11237,5185
7911,6904
11158,1494
6587,6675
5594,3521
3686,7282
7509,8628
3431,3805
13906,6928
8739,11545
6924,7183
5975,6165
1246,8639
6450,6675
7376,6957
6883,7569
6256,6021
6560,6658
4563,1900
4449,9695
1247,1967
815,10627
2609,12220
11100,9758
3917,10178
12556,13350
8513,11976
10043,9933
902,11434
1962,12920
3838,3748
1157,759
7323,7829
7441,7145
7719,7836
6857,7851
6582,6206
1077,6943
5072,963
5285,3322
8242,2112
5146,5191
4313,3806
8593,8189
4775,11749
6279,8120
4538,13426
6223,1256
1348,1151
6828,7814
8122,8556
8666,8575
8079,8139
9046,8791
7591,7493
8496,5722
1856,12952
2350,3444
4223,11992
5423,12651
3119,10707
949,8655
4801,9617
6310,8648
12062,7759
6973,7606
6541,7154
4744,6072
5406,5044
3690,4156
12075,2833
1054,4525
3741,1860
9997,6547
5933,5720
10017,7739
6211,6255
2250,3716
1330,3382
6638,6623
10672,2229
8586,5778
6152,5920
5775,13628
7839,7465
7822,7517
9730,9514
2752,12546
2700,13530
5034,9678
13738,4198
14084,8421
8886,9884
11256,11012
10106,8825
4358,13444
4766,9522
12012,11350
7535,11868
11115,7601
9998,8153
9017,13607
5073,10147
4360,3417
1061,778
3389,12927
4962,13943
11830,7026
9341,9244
6496,6143
6190,9752
7552,2609
8163,8344
7782,8042
4234,9656
9847,5572
8564,8456
8344,8170
8034,7453
9582,9426
5920,5209
1015,10808
1478,10700
3468,11248
2414,13415
9666,8971
6930,9034
6168,9159
13232,7358
8741,10067
10934,11648
9233,5603
9571,10150
7768,10407
7218,9775
4912,9066
13305,4156
13523,8878
1636,11392
1684,11819
5938,5951
5958,9158
6127,6732
3256,4010
5167,5155
1456,5129
3848,13223
7435,11549
13461,7171
3126,7927
6680,7183
1906,11482
973,7750
1057,9079
8328,11664
5360,13616
1863,9470
2667,10013
12743,5102
7465,11708
8634,8806
8334,7856
8235,6562
8852,12962
9965,10863
10976,10826
13871,13106
6781,7083
8212,7092
7338,7096
14224,13973
8843,4282
9137,8424
6094,6539
13774,8005
10550,13346
5456,11513
13606,12783
6872,6915
6146,6209
10356,1217
6704,6733
4909,10124
8968,1402
6066,6273
10025,6011
6659,4544
4838,1513
4730,4887
1541,6463
4032,1730
3319,2821
1656,10831
3757,12937
8521,5132
4865,7951
11385,1878
4932,8815
3936,13669
10054,8600
1897,11596
1196,10428
2339,12675
5736,6128
9534,5659
3690,10252
2291,1319
2702,936
1086,6497
8072,7946
8595,6692
8472,8066
9517,7291
10099,8420
7767,7088
13825,6725
13664,7667
8256,11722
9805,4251
7545,7642
3577,8554
11522,8119
4844,13620
4097,1989
6933,14052
8220,6380
7513,5927
8829,8737
11528,6194
8694,9978
12542,13279
11961,7372
12108,11392
9812,9067
10142,10115
6512,12747
13702,8649
4142,3936
3722,12706
3400,11116
7956,6805
4404,13567
10953,10026
3089,12689
1594,10074
3122,13342
5996,6106
3858,11172
4114,4389
10233,9569
7986,6931
10804,1621
8130,6519
7944,5301
9622,9396
1303,4251
1246,7348
1576,1019
2682,13330
4463,13472
4401,13705
4583,13695
4701,13638
7717,13635
11664,11286
4165,13740
11796,11384
11508,12069
14228,11046
8177,8418
5151,5378
7867,7054
6227,7189
3636,2884
12722,11790
8774,9975
13647,13978
1237,10787
4959,7924
9240,5661
9466,5636
3191,2709
1993,11528
10270,2849
1585,12933
2239,11705
2226,12314
10927,4932
8996,8329
11022,5574
7340,6920
7990,6754
9377,9432
11756,6806
6237,4624
13911,5981
8899,8963
9490,9301
13546,6822
4598,10245
12148,12096
9500,13102
6471,6177
8134,7104
8686,8269
7571,7966
9647,5358
10201,10088
6749,6395
11184,5857
10629,10041
11758,6783
11511,1964
13728,5110
3508,13608
824,10595
1395,11162
6310,3244
8496,7698
4364,3968
2030,2216
1412,11452
827,10512
1276,10331
976,11547
968,6739
7311,8773
4814,5347
2776,4808
4546,4831
1247,10719
4770,9398
8829,906
1711,5647
2513,2584
4240,13472
4959,13916
1700,12934
10120,12168
5792,8398
10095,10007
13446,12772
8361,7915
7811,5655
6379,8111
8397,8351
13839,7057
8426,7478
