x,y
7522,7738
7740,7148
4167,9626
4904,754
13512,4437
8926,8298
5120,5244
4953,5187
6033,6929
9957,6590
9514,8814
10793,1198
3824,4704
1655,8905
10439,14072
1794,2622
7684,5667
6263,6939
5917,8447
7629,4831
3492,2525
1012,7004
1714,1263
6314,8169
4963,9242
10039,4881
878,6693
6724,6958
6507,7233
6670,6700
6886,5016
11654,3133
3455,6550
10175,10682
8114,5310
11922,12155
10324,10854
4961,5231
5994,7382
9390,7410
6650,4773
8671,8752
1666,848
8111,8061
8509,8758
10284,4659
7746,6796
6834,7613
9441,9187
11765,9482
12584,11443
14306,12550
7932,7708
6516,7872
7166,7673
11822,3352
7145,9298
8332,6729
8210,7111
6176,5844
8516,8140
11158,5808
9138,8844
7887,5687
7573,6861
9591,10011
7961,7495
8774,8794
8642,8984
11557,1325
5435,6223
8130,8302
6794,7097
6029,6349
8818,6065
888,4748
8674,4212
6293,9855
8912,9834
1178,11978
13450,12008
6603,13301
11362,10552
8351,8039
10316,8855
13333,14136
8236,8166
12403,5761
8163,8389
6229,10819
6274,8056
7747,7909
9232,7430
5636,8744
13281,9673
9254,8575
11747,5488
4540,6523
4886,1318
958,9787
8622,8164
7912,8243
8763,7929
12655,4976
7290,6288
6582,7103
4512,3906
2700,2060
8879,8747
7755,8085
6108,8736
5055,11585
8063,8090
8070,8454
12506,9896
10693,11350
8986,5855
7208,5015
5810,5671
3570,8758
7483,3303
6259,6172
6214,6468
6135,6393
2159,7455
6307,9802
6364,6195
9084,11259
10810,4455
10058,9796
8589,5920
2338,9556
1671,4731
4798,7215
7732,7952
7826,11120
9932,13986
8866,9698
6865,6803
8174,8404
10849,7149
11383,6436
6519,7064
4789,9740
4486,4304
5946,4133
6228,2616
4538,7984
6775,6494
7598,8059
4156,9768
5477,5866
5301,5040
5672,5793
7972,5908
11445,1938
4539,1168
9271,6407
4274,7110
7289,8720
4928,8464
7284,7076
6013,6072
2732,6366
11902,3718
7179,6035
7867,6968
12457,11171
1092,2240
13973,7054
8490,13278
8304,8704
9163,7562
8613,8132
8557,7566
8468,5697
7745,7378
1676,6680
5095,1863
9704,9787
8531,8773
8713,7789
7844,8162
3149,10072
8523,9054
11641,12503
14076,12071
6181,6337
1189,10627
7146,9103
8334,7929
7899,5748
13447,9114
13916,9218
5936,6759
7448,2972
5797,6200
8896,6452
1024,7043
985,1908
8068,8460
9268,8844
8448,8445
8643,8454
5323,1164
5916,6261
5990,6206
6304,6198
5923,5861
6209,6450
6360,6298
8619,2226
6878,1162
1122,6299
5056,5220
7819,10944
13688,3625
13034,11760
6950,7741
9155,8606
6549,7210
6342,9367
6294,6089
7236,7245
8654,8974
10006,2579
900,2167
6252,6988
6003,6710
6466,6706
5548,7464
5906,5080
3416,4016
793,6998
849,1085
10204,973
5023,8497
4780,6151
4360,11509
9184,9101
4452,12149
11160,3671
5520,11340
2716,9874
4586,9174
4428,3634
10973,5374
9787,10946
3459,8415
13718,3113
4756,4995
8621,8628
8877,8158
6557,7683
8265,7836
8713,8573
10663,5535
7535,7652
13101,5587
6368,12641
8430,8488
12565,13538
11740,12159
5905,10039
8162,6436
9524,6126
8362,7838
7792,8237
2372,635
8466,8590
10313,3018
7128,10949
6345,9880
2769,13585
6997,7986
5491,6210
8100,13266
11533,11043
6380,7113
13330,8888
10816,10247
8472,5317
8342,6734
9051,6191
1223,12332
8634,6654
4790,7300
11966,11617
8385,8222
13914,4785
5811,6561
11368,8617
1856,2822
6724,3057
8369,7649
8548,7871
8029,7177
6727,6584
6646,6297
8634,8308
10941,1566
9078,13307
10718,10930
6480,6544
7566,6632
6904,6846
6162,10000
13688,6690
10359,10893
13564,6393
14175,11731
8154,7380
6905,6201
5905,9183
5404,7509
8050,5141
7855,8367
3485,7403
1896,3432
7644,7174
8063,7356
5889,6649
7754,8092
8928,7367
10130,10320
11589,12038
6426,8259
5579,5003
9922,808
10208,961
5949,1478
13076,5073
8350,6985
8651,8577
8201,5423
2946,2575
1574,6180
1705,2843
3736,8360
7460,6153
5376,6140
13836,4061
5146,5860
10300,7652
5208,4774
11735,1581
7964,7496
7311,4749
11044,4805
8602,5824
8664,6329
10185,4599
7728,7818
7998,8067
9874,9824
10110,10012
8398,8077
7298,6906
9762,9786
6463,8819
10158,10081
8599,8657
8038,7704
9322,8586
7535,6802
9921,6053
8753,8520
8528,7860
7172,12390
6287,11321
8183,13410
13427,10451
13415,12077
8332,8760
7478,7938
7467,7872
3416,8542
13746,4109
5282,13476
7650,7702
9215,1414
6418,8384
14092,6753
9879,9162
10231,7992
10692,10348
10276,8078
11768,12330
7817,10192
13555,13463
7510,7164
9863,6939
8794,7776
8154,8659
6066,4910
1375,7863
3562,2766
8776,8102
4465,4137
7862,7508
6816,7995
7934,7837
9847,9729
11506,7686
10301,2692
7581,7716
8041,8372
11864,12304
8446,11593
9416,7242
8538,6531
8659,5503
10584,4986
11646,5850
12132,2500
6785,7541
8210,8314
6079,8683
11327,6248
8216,8620
5439,11539
1245,8869
10056,10352
10529,11198
8979,10953
3007,11374
8816,8141
7534,7443
6775,8239
7714,7699
6920,7202
7772,4308
6787,7458
7827,7704
8365,7945
8509,8922
520,2402
8657,5500
5044,5905
4637,8506
6563,7217
7538,5990
12046,11674
6808,7202
6933,6645
6102,5949
8965,5628
4305,4448
8772,8079
8042,7385
9355,7129
6940,6193
10814,1697
8908,8311
9931,9544
8878,8934
8291,8128
2593,13412
997,11322
8004,13826
10365,10695
7920,8269
8138,8173
6606,7272
8470,6345
8564,8876
10239,10820
3870,12891
13234,7533
10132,9799
9375,8908
6631,7328
6120,5998
5999,4008
5662,9164
7079,8026
11551,1222
14006,11617
6952,8830
7822,758
7332,6707
8500,8022
7318,7221
12546,2019
8322,8356
6739,7440
8582,7953
8128,8251
8030,8002
5394,7775
1131,7456
4393,760
11451,8380
7106,7148
1070,11471
2585,1869
5629,6419
4918,5548
6074,6377
9468,8830
9556,9717
7600,5088
9596,8900
7435,7106
7204,10167
11529,3561
11921,3702
4933,13248
6218,4864
5356,7684
6002,11039
12085,8297
7106,11289
9371,7077
4189,12214
6612,6959
8677,8859
8004,8234
8331,8668
7629,8580
9129,9876
7404,12283
6548,8106
11967,7066
9347,5556
6123,6233
5953,6119
1021,6094
3230,3862
6008,5919
1549,12717
6916,6656
12276,2625
8652,4299
4388,6104
6088,3634
6069,6083
4465,2675
2617,1919
8177,7181
8194,8068
8254,8195
9590,9057
9220,9246
11518,7686
9077,9435
10522,11156
10712,11056
13453,11017
11605,10808
13231,12178
12433,12638
7260,9588
7074,7531
7319,7297
5475,8609
7536,8451
10102,4300
4988,9041
4550,9715
7285,10049
1915,1535
8464,8104
7802,8474
6854,6568
8918,8998
9935,1281
10834,10768
12234,10033
13091,11569
7693,7120
7338,7454
7976,7826
6899,7854
9423,8807
8146,8769
11034,1714
7518,14010
13133,5624
13770,8754
12412,13373
13164,13770
13427,8073
8412,8656
2132,13460
7985,8244
10352,10235
7129,6400
6438,7206
7446,5898
6981,6506
7262,4860
6210,6460
5215,1066
6453,7993
5879,6136
5768,6561
7099,7073
2533,7522
11009,4760
6024,4058
9154,7469
6158,7264
10705,12177
13078,12148
7773,10630
12159,3328
10206,7224
5171,8689
2814,8079
11207,1039
3462,6458
10389,873
6525,8038
8185,7831
8984,7749
6114,6366
4316,4824
3056,13868
8566,6172
9554,9973
5284,5335
11529,1486
5341,5329
6934,6289
5268,5717
8566,5913
2836,11648
8406,756
2274,7308
992,4866
9004,6006
13972,6940
6069,9318
11997,10482
4614,6824
2803,12347
1215,4884
2961,3859
7949,1788
3200,7804
1895,11737
8298,7509
11224,5129
8860,9098
6067,6922
6733,6871
5582,6232
7355,7163
5290,5353
11288,6170
12100,1287
3376,4057
2605,1321
9056,6244
6600,6651
5146,8615
7399,7038
5038,11589
7990,8337
7597,8192
2728,6008
6905,1644
4476,5129
8668,8436
8157,7556
6843,6475
8647,8158
7900,5222
7870,2360
9603,9497
12893,13362
9183,8979
7833,7309
8006,7654
6812,7008
13471,4205
14340,14391
10954,11515
11656,12112
5934,6272
6254,1553
6704,6667
7528,6837
5550,935
3977,3398
8687,1053
7241,7334
11010,4015
4372,4697
6600,6870
7677,8397
7103,7067
8085,8700
8279,7782
10628,10587
6095,5998
4763,2882
13185,7997
10135,10222
12331,1378
9000,7287
6083,5803
1425,8248
4359,919
4432,9703
7094,8076
6973,6768
1292,10269
8667,8998
8232,8735
4945,4545
1360,7408
5271,2237
4287,9368
14048,4555
8678,9223
10057,9372
9624,9332
11287,11308
11811,12411
13137,11664
12729,12680
13269,13728
8344,7549
6534,6482
6019,5537
13780,5972
12907,1843
8038,8561
11303,11259
12800,13007
6505,8218
10668,10516
8495,8541
8040,8414
8682,8830
11494,6817
9530,7351
9883,10429
8528,10416
13004,13656
8525,5495
5129,5635
914,1790
7294,6121
6279,9757
8603,8979
9802,9266
7673,8462
6826,7328
10726,11246
13801,10299
5216,9321
7322,7738
10324,10630
2475,2302
1673,6586
2400,1144
10201,6569
6644,6742
6840,6837
10408,3209
4970,9661
7536,9784
6018,9048
8980,8350
7090,4762
8645,8679
7916,8252
3828,13312
8044,6820
12517,3226
5928,8507
5277,4882
10955,11510
4640,5063
8363,5486
6593,7100
7449,7473
7712,6593
7568,6897
3408,3240
7413,1424
2269,1159
2792,12870
14071,11368
4582,7412
7383,5902
10040,8704
6389,13635
13908,5842
13091,9865
8698,3377
10029,9945
5695,7590
10011,10428
4969,6106
5671,5413
6707,1402
11404,6170
6760,6541
7578,7664
5842,7538
7195,7610
6473,6468
6130,10044
6537,875
904,7152
1148,7720
8436,6349
8263,8573
8121,6971
11003,1578
5122,6113
11905,5143
1233,5525
5973,5564
9284,9095
6921,9778
3947,3883
3900,10025
14364,14307
6759,6803
6215,6375
6658,6853
5705,12809
4990,5600
4472,4888
7116,2828
11390,5948
11265,6830
5963,10498
10419,13453
11424,12500
14361,13934
2908,3859
7978,5422
6862,7028
8689,6029
8085,8209
14068,6138
10011,10772
9037,9260
8595,8024
4574,9702
7498,7506
5717,6508
6783,7274
6571,8454
10034,5337
10068,10633
12431,9588
5797,6117
6596,6836
10828,3414
5678,6061
11471,5976
10071,5503
8615,8798
7916,7883
6984,6990
8380,8560
8845,8687
8993,8247
8728,8232
13147,7226
9251,8734
12179,7290
8346,8094
8297,6710
13191,13744
12020,6564
5807,6056
7677,8295
6025,4085
8474,8374
8086,8475
8524,6624
8730,8829
8818,10978
1498,10902
8866,8384
10660,7568
7101,6586
8061,8010
11373,4594
8255,6432
7836,9530
6728,7603
6136,6488
6003,6440
9197,7350
9046,9127
2554,7568
5291,4932
6431,1117
6766,4510
8266,8515
10063,8112
5996,7347
8176,8586
6486,4757
6256,6297
2561,4420
4571,10315
964,4318
1936,1951
7593,7234
6573,6261
7724,5226
6376,9202
11232,1825
7823,830
6072,2503
4582,5387
1242,1877
8816,3616
7584,7228
7979,7770
11365,13102
10104,9615
6923,7537
8878,6321
5116,7534
8345,7560
7969,1809
2153,2730
1900,1100
6530,6466
5894,6032
6825,4861
10369,4771
9104,9722
9866,10449
7650,6968
10105,9852
6142,6719
8671,9098
9347,9023
7113,3579
9936,5464
8376,8460
3874,10472
8685,9921
7925,13956
12381,12787
8040,7632
12205,2928
10654,2487
8209,7275
6211,8422
5433,5985
11395,8488
5169,13433
6799,8953
8697,11132
9145,13225
10845,10418
6697,6258
8190,7886
2513,7622
1323,11865
6739,1309
5084,9172
1905,3986
6079,5980
6380,6927
6701,7388
8421,6468
6441,6416
11298,6130
5900,5213
7263,7354
6169,5839
1325,1975
2493,1011
3496,4284
8855,5795
6092,6573
6655,6644
2874,3482
7938,8264
9491,9620
8241,7973
8588,8083
7789,9461
10226,10137
10270,10047
11455,12041
11862,7040
13476,11978
8586,8010
7374,7279
8602,7944
9622,9484
5614,9399
11662,13036
13772,13072
7260,7533
6399,6850
6091,10425
12934,9419
2428,2989
1088,666
3437,1483
5052,5460
3252,12896
918,7762
1289,6363
7106,6558
8078,8748
6644,7830
6410,6558
3829,4394
8885,8163
7003,6686
8070,6436
7043,6494
14068,4988
13797,7843
6494,9931
4898,7552
4588,10180
8206,8017
5149,5729
8758,9283
11263,11316
12269,13700
11910,2538
6211,3038
5573,5303
4492,1675
6217,6927
5537,6255
8710,6308
10002,8902
7186,6985
6798,7536
5928,3923
3162,7390
6010,4965
2611,4835
8076,7183
9474,5560
6152,8838
5158,13802
10751,12400
12547,12790
8429,8230
9079,8412
8877,8800
7288,6504
4582,4460
13830,13122
7978,7498
6442,6613
6911,6238
3615,8824
5237,5402
6644,4485
3566,3868
3038,7672
7176,1261
6871,7194
8091,6596
11989,7269
13654,7792
6055,5727
9684,9360
12403,9718
4767,8082
1697,2769
11629,9703
6550,2583
3164,6866
7684,5091
911,2119
7033,6671
8476,8236
12374,2412
7796,7766
10802,13720
6630,7769
8371,8533
5701,9355
13677,5907
5610,5651
10073,8123
9014,9582
9488,10115
6571,12628
9938,10396
10053,9433
8770,5834
8918,8849
8236,8435
7885,7546
7758,7852
8987,9026
11407,6395
10135,9904
9526,10152
8346,6180
9128,8462
10519,10243
12145,12125
13605,11984
8697,8338
7966,7249
7863,7738
11686,1116
11002,1232
9020,7200
3372,2812
10400,7435
8491,8586
8150,7980
8453,7695
10006,9740
7567,8304
9999,10033
9960,9874
7901,11137
10060,5508
4166,12476
12551,5081
10400,3180
10703,11093
8429,8591
8042,7692
9731,5660
5702,7562
7070,8198
10577,10392
9987,10515
10387,7864
6132,6733
6835,7357
7186,6104
7104,6410
9087,9097
14088,5291
13659,7600
8415,8726
13370,10011
13261,9439
6654,9632
7793,7742
8502,8863
5360,5116
13034,12902
9940,8961
8863,8846
8302,8416
8292,7241
8442,8791
6108,5611
13458,2554
4377,3145
7101,4634
14150,12526
8206,8568
8338,8191
12019,6655
10063,9465
8179,7021
8623,8134
9456,8728
8318,8559
7539,7496
9609,6338
13149,13771
11883,7574
13873,13037
11615,2946
8016,7251
5674,6458
5965,6715
6989,6171
3590,2140
7150,7423
8215,6969
6986,6978
8147,8052
10224,7814
5706,5187
7034,9801
12974,7366
14535,14219
13550,4303
6295,8065
8652,6471
9328,11452
12393,11094
3000,3543
12832,2828
9484,8784
8196,2438
7010,8801
3696,10541
12451,3242
11260,14002
6029,1690
1391,1233
7367,8949
7077,7162
7842,7242
9311,7046
8513,8530
7615,7435
5577,8540
8118,8174
5933,6351
7631,7613
5322,9514
10795,11067
13986,11673
6104,6709
6656,7361
6256,6802
7430,7987
7576,7848
5672,6005
8478,5712
8538,7577
8207,7558
6762,7094
7229,6539
10180,864
7151,4607
9063,5431
3027,1609
8646,8701
8280,7912
8364,8307
12509,2346
9944,9746
9198,8928
2047,7652
1449,5816
4691,4487
2031,3420
6546,6743
6816,6888
7302,7422
13423,3182
8828,8892
8578,7686
5596,8916
7813,7090
6794,8099
4838,11606
8044,7857
4911,8322
9657,8805
12595,12737
7268,14104
9393,9775
4588,4807
7762,4979
6305,9308
6114,6580
8568,4796
6240,6420
7498,7023
13608,3732
5215,5757
8226,7285
6366,7029
6624,8250
4392,9354
7259,7299
11328,3731
6780,9617
1425,10703
6057,6578
4717,4802
6853,6292
8445,6895
8320,8325
4061,13495
8271,8591
11007,10696
4298,11883
7270,7397
11597,8166
2220,12346
5031,4550
3191,9276
10103,1028
3976,4090
1798,2884
1869,7538
4559,1022
2995,10876
2916,11080
5412,6254
9275,9050
6014,10433
8804,13764
6698,7282
6810,8025
5046,5570
