x,y
8758,8886
7365,2952
9756,8829
13191,4155
6229,10912
9972,10154
14324,13268
14179,14054
5873,8871
6602,3077
12196,1538
11346,5330
4049,9406
10219,4942
8036,8541
5932,5458
1689,11073
6434,4696
11510,6292
7659,7129
8450,6446
4751,13578
8567,7797
10582,10722
6183,5717
5866,6554
2157,7414
596,284
9348,6339
8333,2050
12426,13820
7298,7868
7709,6647
5778,9026
2114,2378
2320,2462
6363,6225
11065,1460
7085,9387
9016,9190
8230,8254
9999,5079
9849,5320
10647,5408
8232,7306
8549,8266
9347,8646
8593,8657
10529,10557
11824,3490
7362,8022
9330,9798
6402,9536
11816,4242
5723,5121
12521,3058
8674,4278
8886,8708
6396,8503
7718,8241
9519,9096
4138,13517
8922,9686
13532,4893
13985,11173
5339,11521
9431,9865
10691,11045
10609,10590
9712,9452
11679,12470
8253,6702
8578,8364
8922,8056
8492,7688
7908,8028
7224,9220
10118,7104
11244,11371
12239,11916
12481,13256
6503,6325
6168,5903
12576,5146
10725,2079
5964,5647
4524,1624
7652,7852
11260,6353
5537,8983
7528,7077
6519,6506
6117,4716
5043,7746
6324,4464
8951,4036
8829,3888
7189,3185
4672,3974
6233,5955
7545,7113
7732,7526
2620,2109
3432,2498
2043,2151
4423,9804
5652,5763
5896,6602
2649,12089
3968,11396
1594,10378
4375,4842
5019,5918
7728,2372
7609,2417
2734,2936
1078,2528
7038,1166
3853,11161
7130,6869
5760,6076
10370,5682
8328,7938
8666,9927
10140,10604
5873,5502
12388,11321
8507,5348
13944,12882
5756,6541
5365,6214
1696,6908
9866,4124
1368,3580
905,1943
8220,8148
7779,13601
12727,14168
8867,8945
4878,10478
10234,12788
9732,9547
8477,8533
6204,9407
5008,1090
3515,7272
3508,8469
3271,10965
6098,5877
6152,5758
6084,5147
4900,5902
7866,3325
7016,7934
7447,7061
4588,13832
8288,8006
9362,9050
6436,6406
6240,10326
8236,7860
5267,5067
8266,8576
10607,10490
1868,2518
13308,6314
9767,12784
4423,4580
1281,6601
1789,756
3208,2094
888,6370
7817,7448
8606,5388
7799,7957
8070,8686
7116,4564
1025,4197
3658,3470
6527,9606
6210,12423
8593,13492
10617,10843
7411,7422
8576,8370
11475,1401
7628,8105
9245,8582
9608,10168
10162,10028
5390,5542
5320,9238
4809,6149
13687,3226
12380,7387
10854,10510
13124,12132
13669,13230
6880,7550
6774,6753
7934,5455
6497,6800
12352,1758
2156,1160
8107,8484
9026,8929
6528,7050
6977,7013
9486,9312
11852,7768
1974,12502
2909,13682
5719,13524
11657,10773
13293,10651
3524,8743
2207,5145
8660,6206
2734,3190
2559,2853
9594,9156
7266,7845
7733,8074
4063,10394
8224,8100
5147,1147
2567,2462
9154,9009
8575,8966
2972,1470
2604,5776
1741,697
6824,6849
6946,6180
9204,1926
9404,3194
6443,4644
3421,8281
7661,7388
8316,7078
9064,828
1090,7148
5834,6192
8386,8005
8802,7760
7500,9945
9994,12248
9279,6088
7712,7200
12118,2102
13244,7300
11018,10554
10938,11789
11576,10676
8926,8837
4420,9778
7518,8010
6379,6379
8082,7810
7555,7881
8490,8932
8816,3872
7248,4712
2250,1393
2751,1165
5646,9510
4526,9216
9427,9446
7687,7843
11360,1012
7019,7004
7278,7778
6218,6240
9650,2478
3180,6901
4559,4236
3685,4280
7846,7083
6427,7097
3570,7314
1582,8980
3859,4556
3486,6989
8078,8454
8771,8997
13214,2310
6996,8212
1169,8779
7052,4272
13937,7861
5780,10964
5498,8559
7872,5992
4526,12105
11230,3504
4412,4078
8163,1532
1613,2449
8072,7614
8404,7484
5696,7498
5959,5880
7615,7974
2658,11800
3041,13865
12314,13291
12844,13764
11660,12399
12421,12140
11273,12413
6355,6577
4194,10034
7323,13821
8323,13641
9892,6166
5240,8790
1931,1376
7139,6970
7783,10603
7349,9055
7076,9620
7138,7060
5021,11460
11364,7571
9677,12273
8722,8998
5982,6056
6054,6206
9507,13268
12017,10374
10283,12742
8442,7751
12797,11825
12836,11801
7230,6880
6282,6082
6892,7062
9923,6532
9097,6469
9022,3670
3447,7887
10588,10724
4431,6064
8238,8869
6284,6472
8668,6665
987,3911
6399,6343
10037,4093
12430,5083
10814,899
10745,926
6996,6334
8896,8692
8102,7415
10096,8375
8335,8633
12542,6060
9498,10132
9370,11506
4699,9772
7727,6990
13543,6697
11158,10665
7950,10834
13998,8088
13510,7850
7238,7224
7850,8318
909,702
6893,7752
7377,8017
5524,5387
8517,5855
13058,7736
11770,12248
11968,2766
13133,3112
1682,11095
7359,7133
9170,8406
8195,8121
9672,6408
5024,3687
6789,7572
8844,8720
7538,7846
7836,8024
7269,7333
5114,5605
9975,8758
11928,1118
3082,13494
513,1850
1120,465
2558,1619
11447,1148
10694,1249
3561,9250
4177,9695
4316,9346
9584,4332
9851,5375
10708,1405
10594,5370
10466,5616
988,780
6694,6964
8762,8009
6680,6778
8273,8108
8696,7688
7780,7276
11475,1306
9682,8988
8369,7588
6442,9404
10684,10796
9717,11298
6245,6818
7892,7072
5756,6281
10227,5239
7236,8031
11280,4010
13386,4158
6314,9336
1956,9830
1416,11171
1656,10320
9056,9319
12287,10795
13592,10748
5419,5950
10614,906
6750,8131
3484,8338
6132,6326
11737,1615
12871,1829
12809,1779
12557,3029
10192,857
5211,4757
13390,2649
12178,1632
4326,1113
3818,998
1957,877
2691,4259
850,7920
13608,6618
10358,10758
11205,12933
10425,12001
14037,12883
10597,1739
9171,2304
10507,863
11136,3406
3422,10040
4013,4108
1110,7698
4322,3907
4089,4816
3409,5066
3820,4093
