x,y
11310,4446
13091,3756
8635,3867
12808,11751
1594,10080
2804,2763
4294,3340
2199,4000
2526,3136
11653,5630
4756,14057
3716,13276
4740,13322
2694,12143
6671,12718
5890,13358
8359,8711
10502,10203
10706,11162
7583,13470
10168,9460
12732,12576
11812,1172
9006,9380
7040,7671
13793,3399
3637,10656
5158,5802
4836,8744
13735,9270
11095,994
13790,13524
10228,6522
13807,5685
13998,3871
1734,9325
5830,11314
8508,12175
6757,9951
3023,11658
11917,14004
11757,1250
12626,2378
10010,8724
8833,8709
8854,7468
6564,4567
9368,9534
5335,5614
8328,8173
9070,9402
10476,1216
11114,1836
10624,5466
10626,3166
6251,3363
11200,6306
6121,5039
6133,4267
12412,3091
12112,1287
1758,11715
8809,6629
11723,6749
3817,9460
4695,737
13468,5890
13705,5202
7685,3265
8076,4980
8172,8661
4725,9779
13479,4429
11918,2387
9010,1130
11051,1129
4610,1680
1557,12800
2770,901
12969,2238
11213,1260
12055,2119
12691,5146
5792,6127
11563,3758
3496,983
3239,7847
12061,3581
13397,2954
9751,4273
8032,5169
8192,8010
10736,3464
9582,8889
13850,10252
13245,7446
4003,7368
2899,6185
8470,6104
6164,10508
5879,6164
5451,5866
11523,6629
6460,9656
12237,1579
13042,7150
6380,2670
6790,4855
8864,8644
7157,7574
14000,3980
13653,4693
13717,3030
6129,4946
11322,1539
11086,4504
7542,7106
7267,4805
3718,4307
1732,2911
3507,3863
11683,2111
13285,3418
7196,7714
2925,2430
2793,6817
7650,3232
13213,3648
10490,1495
6050,1403
3434,3696
8553,1414
4264,2174
7536,8450
13283,4679
14017,4515
8181,10988
5905,13266
11900,13337
6580,11394
10007,6583
11392,4426
12521,1506
10534,5067
8167,10182
9183,11390
12378,11747
9993,1446
12976,2789
12992,3317
9533,2497
1810,7603
5048,5061
6001,1888
12944,2925
11372,5468
13680,6227
9237,9387
12924,12780
12438,2412
11136,1168
12785,2110
12516,1962
5312,9093
11457,1206
2402,574
4744,7245
2925,3844
13091,2335
12537,1706
11062,5090
13407,2743
14065,6861
13748,6821
7717,5586
8696,10059
5614,11366
10104,7040
12810,12503
8667,13491
11397,12841
13207,8401
12970,1940
13720,4704
13489,4715
9373,1924
5383,6243
7893,7676
9723,6203
1143,6726
8443,8841
6373,6731
10036,5660
8016,8281
7817,7886
9831,9150
11664,6890
9155,9400
9672,6908
8292,8090
10592,10924
10479,1204
8454,8408
6592,7165
6856,6976
10896,10762
1939,2405
2271,12426
2925,13255
4841,13874
5397,12523
2664,11671
8016,7334
4351,3860
4858,5586
13184,2500
12395,2398
12674,1552
12654,1876
11495,5638
6222,6729
1334,4228
6930,6214
1726,12977
13306,6242
7643,6861
8077,8127
981,5576
4243,14032
4363,14055
1756,9926
10736,5481
7945,6771
12316,8078
2729,4295
12717,3240
11145,1203
12766,2795
6057,9383
2109,13125
12124,7443
11455,4098
3611,3504
11739,3722
13181,5539
7522,5864
11387,4864
6911,10127
14029,4610
8521,5747
13557,2861
11676,2155
8542,4961
6441,6429
1576,8678
7843,8170
7902,7266
9121,13833
10961,1046
10835,1050
12153,1432
2736,7016
3824,11094
6381,12586
6383,4679
3885,2705
2573,11945
7722,5028
4946,4645
4495,1549
4960,5687
10290,1689
13342,5021
9458,7287
11432,6163
8384,6444
3585,3220
13129,2162
11217,5975
1669,12348
2438,12707
3299,13643
13431,4496
8104,13533
13031,12903
10447,5520
12605,5997
9736,13918
12366,7525
13303,10028
12251,13222
9093,1124
11332,4553
8687,4325
11840,1948
5562,8592
4295,9549
9494,5689
5360,9145
8589,3305
5919,6611
3863,2225
8150,903
10875,1635
3675,2827
4420,4009
9146,7216
8992,8949
9270,14018
14171,13359
6603,7384
9042,5530
4912,6846
7008,4025
2112,2547
1698,10408
2971,3821
12720,2697
11379,1169
9574,1001
2317,7249
3396,10547
7834,6975
14012,6318
5653,9434
12728,5419
10973,1337
11249,1531
9684,5496
10375,1481
11420,4676
9892,9286
5870,7446
12061,7635
13542,3084
11439,7943
8415,7907
10363,10910
9914,4463
9386,2370
11681,1556
11929,2490
12486,2304
12252,8949
6365,6716
13196,5283
10798,13811
13119,3744
9585,9551
2582,5424
3240,9223
1481,2110
8736,863
11425,1153
6542,6177
3508,9087
7881,2282
1213,6894
6533,2527
1870,2146
1770,11774
1472,11118
1670,11152
4191,3060
10824,1045
12590,1487
13696,6130
2011,13202
1202,12244
1950,4454
6992,3106
14134,5612
10719,11284
13928,13512
13540,3640
12906,3216
9208,7437
5505,13595
13027,11614
11404,1289
12616,2786
10461,1204
10480,3089
11241,6860
4972,8406
13240,2783
9765,862
13352,3257
13163,4210
6209,10375
12285,3222
2562,9846
9674,9742
13956,7409
13354,2450
9868,5354
11227,8658
5823,6582
11717,7265
7374,13281
10676,10328
13372,10146
8792,9019
8433,7668
8760,8817
9234,9215
12835,13209
5924,13466
8830,10000
8107,8184
10499,5598
4080,2198
8468,7970
8404,7913
2976,3648
6016,12350
10747,2159
5253,3279
7042,4612
1479,2029
1717,1140
1371,11056
13091,3388
11160,1648
8297,7073
6320,6592
11246,1291
5839,5438
8035,8435
9982,7784
7650,5029
5450,7629
2702,2114
10518,1647
12185,1382
2555,2787
10087,1136
1995,13212
5090,9545
11512,4660
6800,2640
12348,2684
13505,4875
5656,6260
10687,11928
13748,8276
6350,4743
5103,5950
7106,10114
11922,13096
13377,2936
5131,2994
5402,9323
8271,7730
6552,6176
4725,10097
13313,2575
12778,1850
11303,1279
8081,7918
13709,4171
7089,1617
7371,1610
5189,2589
2198,1506
4242,5041
13410,3530
10620,2982
11383,5776
5196,11660
9729,10331
9325,5903
8779,9173
5875,11427
11715,13009
12644,3012
13183,4353
8404,13474
13778,12796
12619,5193
13695,4317
13355,4018
9944,9527
10448,10764
13426,10802
10276,836
11567,1239
5381,9157
12059,8564
6582,7143
8125,10113
13499,3716
11162,5441
10034,1538
10244,3207
2756,3466
10638,1581
13473,6777
2516,1096
10530,1366
11602,1842
6842,6655
8265,8252
2676,6645
5788,5976
3898,3750
5745,7599
3715,3905
3511,2616
13258,9626
13221,6308
12022,9039
13567,12225
13031,3325
13225,3938
11899,4106
4202,4286
1464,4647
13427,2662
6675,6683
4311,9862
3765,4401
11770,2163
10716,987
11828,1687
10655,919
7642,8151
5817,6162
1088,5065
3779,4006
12745,2306
10673,1234
13493,4311
5923,6226
11455,1446
8878,5463
10054,911
4172,4177
7912,7333
4295,9671
2582,5440
13305,2388
10919,3644
10109,7982
9949,9754
13642,4393
7939,10521
8230,5370
9279,5940
