x,y
13316,5018
11357,4066
3644,2986
12762,1828
11816,1450
4592,4788
5930,5754
1404,9968
1314,11386
1270,11468
3335,12905
6164,3276
5572,12444
14021,4000
3803,1727
2677,4457
4682,13436
10291,9613
10152,3105
9132,8474
7834,7162
4960,3780
7896,5424
11766,7290
3712,9637
5135,9303
13072,2178
13344,10992
2787,8300
4049,12545
6208,10773
13009,5376
12082,1767
11320,5222
11340,10631
9690,10309
1628,12266
10715,1260
1165,1085
12459,2190
12529,1467
14092,4739
4129,9918
11886,7687
5749,13058
2640,2743
2519,2753
11289,1304
10162,2568
6525,869
3900,3345
3314,910
13014,3188
13701,4295
7769,10859
6343,11251
8453,5239
6472,9387
4188,4729
6693,2739
802,10308
12880,2265
6235,6310
6948,7024
12971,12908
13267,3848
13316,2518
12501,1529
6006,5036
13301,2643
8112,1625
8336,6405
3992,3386
3028,4149
4830,4999
11515,3843
11203,11421
13188,13614
14031,13284
11749,1877
11504,4348
12629,12088
12060,3419
12619,2751
11994,1634
8448,5514
12040,1435
12883,3076
13087,4799
8400,11886
1622,12982
1858,13007
3864,13693
3317,13113
3481,13549
4881,4961
1405,2269
12205,1546
12359,1479
5874,6588
13489,4778
12387,1546
11824,2578
4869,9520
11764,1858
10893,12061
12017,14094
3611,12928
1157,10276
1082,10794
1579,12857
13065,5356
7427,6922
1835,11820
1117,10038
7124,9866
4522,13606
8739,9129
7243,1440
8234,7086
2622,11546
9827,7216
3152,4396
8318,6638
8262,6788
13141,4166
11972,3111
12490,5900
12937,5208
9378,6306
4488,7096
4842,6989
5496,7502
6782,1633
9057,6502
10701,2024
12110,1694
2624,6695
6893,4272
10396,1344
2638,7400
6618,1704
11398,5607
12659,2074
12246,2618
13366,6058
13163,8259
11859,5530
11350,10908
12840,2115
12928,11196
13459,2732
12492,2360
13372,3424
11266,4540
12444,1572
1301,845
11456,1062
10877,5278
7038,7838
4275,9391
9747,1378
3254,13095
13408,5711
12860,3264
13541,2722
13798,3638
8750,6632
3533,7900
7672,11652
7803,3496
12286,2800
11026,4874
6134,8599
11912,1444
6472,8431
11852,1409
12631,2693
8533,10136
4458,11826
11955,11912
11483,12604
1918,12239
1535,6053
4233,4623
6001,1463
5067,9340
3422,7738
10005,7259
5479,13585
6164,10188
12242,3368
13599,3434
14051,4544
11090,3549
10512,10814
10624,3246
1814,9794
11657,1760
12041,2141
906,6784
8152,4724
1396,2369
13122,2660
9198,8554
8415,8230
9572,6958
6429,6704
10129,9682
10170,8341
10578,12255
12913,3348
8736,5128
2697,13377
1760,12750
3205,13508
4081,13742
6196,13710
9587,14030
7404,11556
8818,10978
10250,10930
1498,10902
10660,7568
3091,12799
3412,13513
1765,12017
8600,8494
10065,7643
2809,13419
7376,13397
8423,7841
10120,8468
9836,9526
4147,4839
11901,1319
6915,8127
10732,992
11190,5393
13365,6464
13820,8064
6638,7483
13342,5381
12998,1786
8524,3868
10415,5173
10034,4390
10330,846
7547,13805
12815,2356
8938,9865
12426,2652
11962,1596
7700,5567
11796,4214
10028,3144
7989,8182
11859,2211
8445,8420
11939,7396
7287,7135
3073,3893
13427,9355
13253,6928
12337,2435
12272,12997
1914,13288
12544,1610
13549,2840
8170,7572
4179,11899
5772,5304
7443,4850
10421,9687
4496,10004
13765,3194
11346,1241
7865,8128
11726,1273
5155,5714
6626,7471
5992,5017
10052,1706
5630,3582
1130,12346
3316,7968
1929,12071
5955,14087
1357,11879
4968,13544
7715,13290
14056,7943
13479,7280
9637,11147
13245,3133
8279,7626
7847,8301
11513,8492
12939,1971
4820,5266
12834,11083
1624,1070
11186,5771
4350,5934
12029,2209
7406,7992
12167,1354
8946,9636
4896,3568
4876,3802
1218,2750
13259,3724
10103,1630
13624,5255
3857,12973
1394,12568
3674,4670
2754,5771
12910,2662
11471,6295
12489,2557
12482,2599
11512,1662
8670,7537
4528,4244
4236,4544
1910,11512
3015,12065
1882,11474
6510,4851
3564,9286
3259,13581
4783,2878
6954,6254
4998,5626
13306,4988
13273,3798
6687,6291
8073,7085
6575,6302
12112,1861
10782,4481
8615,7862
10868,1156
10757,1460
7489,6946
9118,1524
6080,6141
6243,9556
2448,5534
3864,6188
4168,6008
3410,6632
5400,7526
1384,10506
4017,4113
904,9714
13022,13552
2942,12356
1474,10178
1540,10756
5262,5169
7235,7786
1364,7696
6030,3964
1630,3962
10608,5302
1258,10036
11744,3046
11035,1397
8112,7110
9460,13978
2939,13368
7460,7928
13465,2982
10948,1581
11398,5551
6246,6398
10064,5990
9867,5801
1530,6267
10670,7616
10948,1946
13757,6255
6687,4504
6706,11498
2605,12865
3904,13813
3588,13558
11900,1152
11831,3287
6043,10378
5448,1849
10222,5569
1535,12098
10609,1839
5000,7700
1394,5796
1272,7394
13720,3663
11508,12069
9939,7273
11990,2226
8418,5448
11978,3305
10972,1454
11656,1898
5528,11402
1993,11528
11636,1402
2066,12140
8326,3363
3196,13694
7307,2606
7746,2316
6216,5090
8088,6676
8185,7371
13246,4122
11759,1308
8692,7708
2926,5994
10759,1228
7950,5140
2283,13249
13528,12124
6861,8524
8629,3691
13527,2939
5083,5669
10855,912
3641,3184
3150,13164
4981,13849
12921,3405
8251,1630
12899,3391
9888,9416
9234,9507
13533,11899
13032,10808
13439,5408
12441,1588
12625,13329
1674,11753
1965,12249
1827,13168
1128,11357
3848,12922
7590,7342
12271,10364
14036,13562
11688,2122
11480,1450
12398,5848
5636,13064
11415,11961
3008,11941
1553,12046
4800,13716
2954,12886
13106,12446
2756,11880
4061,13381
3972,9824
1378,12199
11425,10818
11657,10940
5422,7488
11303,4497
5519,5760
13508,5285
9085,9392
8668,10000
4972,3108
11560,2367
1099,6998
1059,2588
13758,4263
10410,7867
4527,4263
3756,3132
4693,954
13820,4086
8662,9814
10303,8296
5746,4942
918,11498
7720,12322
4681,7836
2718,5008
9073,5543
6560,6950
6249,13516
4658,12525
7323,6892
5798,7406
11664,2040
10987,1684
13279,8451
11366,6077
11410,5685
14072,6152
8608,8836
11258,3329
12400,4845
7908,2244
14042,4452
4929,9709
4812,13821
4588,9318
11412,1725
6801,9664
7298,8546
11262,3260
704,2156
10640,5186
10009,6736
7554,9708
9160,1932
13278,4954
6196,5015
8005,8314
8814,2199
10338,7651
5941,11020
10753,1995
13968,4001
10552,1444
10506,3354
7712,8766
5651,6417
13790,3927
12359,1960
7432,14020
8862,10016
13155,10655
13460,10350
2474,12244
1645,11439
8602,10105
9116,9892
4374,4888
6380,12113
4091,11363
2522,10364
6160,10056
8674,6691
6216,9464
6660,9407
1279,8109
13141,3956
11612,2024
7303,1633
6105,8840
4158,2136
4230,4921
5943,12690
12852,2271
13283,3356
5504,9254
13825,6743
13256,3324
11928,1876
7151,3190
8965,5935
8301,5572
8420,5444
6789,10027
4459,11584
3732,8452
11217,3821
13217,4183
7327,14106
10852,14016
6814,6278
2910,8106
974,6218
4684,5344
2890,5126
9175,1401
13244,2980
12624,2508
13496,6836
13278,2581
2005,11574
13773,9937
14037,10040
11251,1804
8718,9286
11798,9461
4817,8784
7784,3571
6175,10347
4034,1606
4548,2462
13904,6965
13488,2974
8274,2052
9668,2422
1076,3377
2180,1358
11249,1113
10536,1488
6319,9830
3574,13795
2475,13673
13843,4913
9719,1700
8797,3626
5658,1067
8155,6896
4026,10317
11904,1523
13359,3706
8481,5519
5888,5604
12519,1532
8155,7051
9303,8669
5190,5096
4864,7471
5892,5272
7834,1422
1652,9392
1099,11737
1272,10919
12503,2034
7691,5782
9092,6498
13236,2366
10672,1814
12210,1986
12869,2077
12580,1592
6532,7992
1076,11420
2866,13426
10624,13598
1236,6261
10797,1524
5054,7850
3908,2740
3820,6070
13740,3634
7145,4748
9977,9608
7820,7950
10776,11284
5842,5960
14136,5360
12955,2815
12207,2547
6524,13246
8732,8970
11518,1764
