x,y
8200,7619
6795,4800
9778,4668
9895,5480
5628,5593
8408,7469
9583,8797
7719,7791
7764,10100
7736,11202
7973,10188
13518,13860
6180,13373
10600,8720
8586,8986
8410,7832
12517,1968
11177,1812
6157,10805
10758,2064
12084,3130
7420,6022
5873,5909
6028,5664
6988,4619
7843,4879
7693,7480
12832,1977
11529,3000
11762,2960
14060,4181
12273,5001
3485,12928
4217,12571
8307,13400
9062,9815
8930,9648
7984,13763
8578,6177
13030,7357
8646,8092
8544,8337
8427,8379
5879,13365
12569,3223
4845,8229
3407,3988
4571,9958
3344,8406
4712,4940
5975,8618
10495,1241
10941,2374
12090,1567
10880,11327
7897,7822
12669,2534
10514,4789
10746,4838
5028,5041
8885,3608
7272,7200
5381,4911
11519,1207
4829,6761
7338,7090
8710,6534
10011,4601
6546,7656
4718,6232
4242,4850
6299,7225
12231,2118
8662,4706
5940,6270
907,4078
1042,4526
1945,13327
785,10516
10066,7219
6965,933
6710,3043
2497,11732
11917,11996
13005,12156
12786,11987
8748,8299
3661,11171
3121,10887
7567,7963
6221,12694
7692,9718
4023,7415
5483,12447
8031,10056
8394,11878
6270,10097
5115,9576
13654,2730
13836,8177
1693,6732
4835,5332
2131,1425
500,1040
8551,7977
8137,7674
4584,12217
8487,5190
4635,12261
4944,13449
7948,7701
4661,8929
3513,3035
9609,12679
1194,8996
4592,8158
8651,4790
13268,7602
1746,720
1784,3248
12651,10584
11723,9708
13294,11756
5507,9225
7446,7990
7634,7422
6030,11276
1710,12497
1860,11708
7647,7947
7726,11021
12263,3093
12604,2955
7682,10068
6314,9132
8452,8620
8139,7527
9618,7366
13818,8687
6550,12381
11077,10869
7585,7129
10022,9826
5462,5078
8693,5156
7782,13466
13909,5902
10224,10928
7948,9986
13462,7277
8619,4702
12754,12469
13742,2920
13249,3168
11209,5676
11304,1684
13804,3930
6685,9239
9982,10958
13418,7510
8897,4702
9229,8891
6857,9038
12092,7047
7904,6690
7713,5795
8030,7098
12579,9818
5804,5974
3439,3524
6013,5998
10113,7393
9348,8698
7480,11209
8605,6311
6334,6966
6071,1190
1323,11056
11067,1224
3890,7293
13359,2693
7069,1493
8461,5414
1933,2954
1147,2845
3602,9077
10298,5870
14035,4621
9950,6836
11357,11378
3192,8197
13757,12906
8659,6572
7247,7103
5735,5910
6659,6186
7949,1482
7985,972
11024,4716
5207,5650
1594,817
1976,2032
731,1528
12466,2975
8801,8589
13930,4100
7495,1101
2598,6501
5280,8740
7098,7103
9529,13944
6753,6509
7451,8603
7073,6453
8458,8568
6181,8491
13490,10313
13182,10931
9277,9076
9897,9107
7256,7094
3678,9638
6930,7678
7473,10950
4558,9345
5679,5496
1609,2958
9115,9619
13017,9496
13644,8248
9020,3876
4865,9040
12186,2608
7279,6858
4728,13598
4065,13335
11548,5679
8190,7521
8159,7260
5776,5464
8371,5999
8325,8467
10851,9830
8185,8133
8458,7678
13586,3338
7531,7186
9231,5938
7014,4241
10508,1761
