x,y
1895,13177
2760,12624
3604,9724
5531,844
5557,7778
11519,2073
6774,5220
4399,9401
9526,5550
8537,7622
8632,10636
5960,12653
8408,7469
9583,8797
7736,11202
7973,10188
13518,13860
8481,8539
7629,7103
6543,8985
2600,12774
4540,10695
2302,12786
3384,13541
6700,13497
8890,13860
6923,7129
6902,8998
13718,8357
13772,13358
8508,10052
13502,9432
10922,13852
7534,8236
13329,6221
12546,11474
7236,6682
7723,7473
10140,974
8705,1542
7350,3192
3702,2198
879,1740
2920,3816
3199,13014
2261,11793
3089,7064
7164,7090
6798,6329
11805,6755
8649,7824
6686,9448
7770,10285
4045,3391
1084,3826
2711,3529
7520,3197
3130,2701
4652,13821
1299,11034
5291,9226
2775,8159
2493,4271
7216,7033
12393,11618
8284,5091
5575,7664
11113,6718
5410,9601
6038,4489
9751,9721
10672,3283
5263,8660
10017,4032
1696,2086
2400,9816
8836,7375
6104,6377
8610,8375
11864,6853
5676,7384
12122,3197
6629,6473
3472,6106
5409,1790
3059,3392
2840,7937
7544,3324
4891,9784
4566,2313
11406,12636
2007,12307
13066,3734
4296,12634
11019,6099
5233,8576
7985,10858
10642,5571
10392,1247
2532,7542
7750,7225
9160,6126
10167,9695
3534,11687
4405,13615
4167,14003
7551,11150
7849,13815
8681,10509
10904,10562
13824,12877
8504,8242
6661,8383
1552,10551
7397,6219
2917,12164
9825,6490
8321,8038
13496,12041
12249,13964
8741,7791
8853,8014
8670,9892
10322,8434
9004,2223
7751,12081
2862,12474
811,10807
2353,10067
3324,6766
10461,7238
4815,4532
7540,1629
7846,881
4076,6018
7650,11142
4799,6141
4438,6209
2912,9253
11379,4353
9011,1609
6064,3332
3122,5022
1792,11286
3870,13781
2956,12754
7371,7524
7161,6820
3200,12624
2608,12820
2267,9413
1169,11749
9995,2465
3946,13459
4523,14008
5817,5504
4507,6181
7759,8023
10411,3063
7608,7384
12390,7301
9231,9496
7589,7547
5652,1289
5687,5035
6069,6111
4694,4029
2469,879
3811,13956
3022,12725
4268,12465
1281,12367
1941,11677
10971,3612
3208,9205
8468,8676
6820,6849
3296,13828
2430,982
8625,7764
9595,4259
13187,3024
6128,4831
4628,7151
5454,6100
5098,6073
8765,829
10194,4349
5075,10164
8233,13227
5357,3233
5589,12407
8698,1096
1841,2199
7340,8546
10880,4494
7567,8051
12187,7929
7681,7333
12695,10657
13268,10690
13301,12236
3567,11442
8127,7887
7105,9021
9124,8766
13466,4281
12136,10737
10005,10816
13518,11614
5985,12349
13649,14103
13888,13196
7449,6918
7932,8618
7298,13653
