x,y
3540,13538
2144,13143
5633,12723
8840,8218
4470,5175
12551,5137
5379,5917
6021,3638
3377,8645
3366,8460
12721,2504
4079,1196
1108,4930
4176,4718
12679,3088
12700,2734
10511,1335
6159,6381
7030,7214
11685,3012
8522,11647
10674,5191
7400,11610
3916,13782
12291,11814
13775,13154
6871,7055
8143,7589
7709,7533
8489,7775
8123,6444
6740,9214
6755,6656
1298,11843
12020,3251
8835,8273
7414,6809
13664,4500
9436,11549
6363,6141
11051,5268
8556,5287
8393,7921
11663,5817
8592,8792
7684,6012
14011,6949
8402,11663
7367,11655
7658,10014
7755,9697
13178,12104
12610,11805
14311,13478
14074,11530
8086,7263
10617,1358
7982,3469
8119,5183
7590,5112
10412,3102
11432,1597
5556,5402
6331,6712
4761,13379
13665,4890
4732,9204
12801,1932
4508,3978
4583,2506
3910,1891
2731,11458
2327,1524
5932,3604
3912,2793
7160,7451
7472,5758
4695,2947
1414,7260
1027,2849
790,1323
1598,11673
2353,13231
2955,7910
4374,13756
834,10498
2157,12257
1476,11068
7740,5086
10662,10189
9370,1870
8804,2293
7729,7849
1412,7967
2909,13212
5211,8822
6407,9152
846,5549
3548,4996
2513,3570
4314,11875
11131,1395
1296,11238
3128,8105
8026,7535
3431,8279
2740,8050
1601,3112
4599,5150
2419,5535
1846,2033
8548,8506
7318,7301
13368,2952
6566,7138
12344,1766
7838,6800
5316,9084
7456,7033
8526,8906
14034,7579
8823,8019
8358,7774
8708,8700
9068,9781
9988,9128
8922,7820
12893,11195
12271,11374
11042,11380
8658,8792
12359,1630
12101,2216
5674,5657
8760,8450
9575,4159
2782,1708
2136,7416
8577,5618
7196,9996
6863,6408
6876,4825
7396,3459
8014,3254
9212,1918
11287,6683
11364,8271
6594,6495
6687,1580
9010,4545
5242,3005
6941,7764
11191,11020
4997,4500
4004,4607
4736,6355
10993,9933
3628,13868
3037,12710
10705,2370
13624,4570
4071,11638
9996,9140
12285,1964
10793,10518
6426,8351
9755,9502
13247,13721
11896,1442
11790,5846
11244,5388
10146,895
8816,8796
4859,5858
7114,7135
6625,7007
7084,7576
1396,2233
1019,11254
6590,9727
12309,9310
6508,11454
8701,8416
11460,1391
7974,7784
2045,11583
8913,6194
11070,4956
9483,4690
13238,4741
9398,7114
1712,7681
10148,9967
11331,11332
6249,10171
9269,11414
10885,10808
13120,14180
11906,12109
8111,7275
11572,1300
7386,7650
1139,10996
3013,5883
8872,8647
9532,9192
6657,1672
9227,5427
4521,7546
9792,7025
7887,7639
2518,13240
9409,5496
3279,8277
6698,6882
13286,7084
3054,4952
3197,3740
1415,10591
12221,3007
3393,9284
797,10558
1323,10687
6938,7284
1305,10457
3200,10694
940,9505
1007,10943
2522,13418
1986,11458
