x,y
11292,1269
11878,1294
12133,2548
13101,4574
11288,1779
9866,2445
4153,4083
1508,2982
13550,2713
9808,7025
8927,2408
12532,1763
11510,6292
11304,4142
12814,3327
13336,2685
13449,3355
13673,4729
6972,3031
13800,3553
8411,8808
4684,6109
12420,7471
8273,11708
7163,11585
8459,6512
9031,8662
9396,13133
6694,4708
1129,2299
8881,9889
10104,1114
12250,2654
3760,13291
8947,9499
11308,13977
12580,3140
11983,2109
10006,5108
10714,2210
12117,1689
13441,3915
11968,1770
13603,7918
12471,2721
11420,1444
13464,3366
8290,5772
6415,6410
13596,7412
10363,10029
4477,10158
12076,5106
10586,1156
5585,5510
4761,3951
907,4078
2658,1729
9841,4684
6683,6783
3741,4228
1198,10024
3046,9289
5008,3382
1324,1995
11724,1254
12309,1876
7123,907
7609,8197
6106,4860
5517,5728
8913,8748
10636,2694
10384,892
13485,6828
9418,5888
7528,9728
7821,13249
9410,5657
6888,4913
1876,9826
13133,4236
6106,6382
4868,10090
13326,2432
6147,8386
11607,6778
9837,6434
9385,6062
7907,2351
11596,3466
9476,9950
1270,8753
6270,4430
5196,10509
4598,1595
5172,1599
1642,6537
13692,3310
12273,1397
7642,10037
9285,1573
10398,4788
4422,12511
3594,12966
1924,11406
13692,3623
9277,9959
10617,13443
13458,4251
13230,12108
6597,2687
10087,9547
12122,11303
4071,5036
12369,11863
11655,1321
13464,7916
13602,13497
10572,1556
13673,3801
7372,1384
7918,923
915,4395
13477,3574
2944,8050
10156,10188
14078,12343
13338,2711
9796,2502
6312,2430
7784,5738
13787,4856
8126,6745
11678,1366
13351,3263
12090,7188
8374,6117
10990,1319
9104,1430
3918,3887
3335,1625
7079,998
3723,4120
1134,1822
12072,1300
13566,3887
8653,8021
12983,2290
13949,8086
7982,11893
10852,10926
13108,13940
14078,7282
11003,3754
13569,3076
7293,6458
9518,7189
11941,3952
10122,9390
8154,8154
13104,13823
12311,5128
11420,6257
11493,10905
6478,13396
12702,6252
9392,1721
12258,13216
13415,6648
11332,6204
13531,10352
10297,9049
13556,8562
12586,11519
11452,1049
11674,1840
11290,1695
9228,1067
5496,5200
3377,3924
2258,1173
11352,1615
12913,3377
13554,3997
11272,12742
10982,10569
13087,4912
2798,6683
9782,6377
13508,2742
12175,1384
8903,12885
11411,4586
1202,566
14106,5102
12415,2876
11513,1484
10014,13561
11344,4474
10472,884
10561,10030
6001,6229
8401,10110
10013,6060
2949,6067
12221,3219
13446,4617
6969,7980
13123,7981
7407,8635
12950,2052
12415,7534
12581,4976
13636,9721
8637,11550
11279,1685
10548,2412
6775,7020
8162,5466
6219,2046
7595,837
10689,1871
1803,11573
3890,4968
13409,6301
9513,10095
1548,3852
5174,3017
3708,1847
10894,4664
11112,5167
12970,12353
12080,13145
6917,949
4238,4588
2966,9428
6105,5636
3981,4011
1157,1988
12894,3221
12511,1793
8311,7800
13527,2996
13381,4095
2976,3935
9190,1688
5578,9122
7089,7962
8384,8648
9451,13536
14044,6011
6633,9619
12785,7068
7283,6698
12471,9678
9393,1213
13739,3212
6564,6832
5154,9039
7649,5116
5766,5030
4965,4621
5254,3676
10704,1184
9745,903
13725,2956
13152,2327
8857,4080
12768,2312
5887,1044
4741,5098
6024,1137
2504,909
7825,7457
6545,6146
1078,6053
11298,1898
10581,914
7552,939
1892,4439
8145,7355
10620,3026
4692,4086
5695,8856
1892,2154
10376,5102
10780,1714
9752,1724
7470,6851
13087,3357
5368,5110
5572,5696
9562,9083
2712,2539
10202,1610
6060,5132
7716,7973
