x,y
1242,10680
9326,6359
13034,11628
13225,12467
12941,13475
13101,4574
13352,4000
1508,2982
1095,10694
3492,2525
3694,6182
3716,13858
1800,11253
2731,13383
4819,8801
4746,6623
3710,13348
6354,13599
3184,10991
5589,13867
5576,13226
10062,5549
10218,5348
5528,6015
6628,9628
2068,12288
2300,11924
8644,8000
9358,9756
10013,12127
3348,13190
3425,11164
1357,7398
748,3070
1083,10910
1769,11331
5556,5833
7412,5046
7553,2449
5196,5955
4801,6290
856,1556
956,982
3269,601
11631,5950
6526,9498
4844,8206
8695,5643
6196,3341
6357,4660
4796,9805
3117,7407
4775,6621
5925,10716
5701,5724
6153,5768
6364,6492
5691,5358
6415,6410
11130,5055
5712,9358
11693,3897
12076,5106
10330,9780
11066,1132
11993,2369
3954,4624
7483,3259
8152,3446
3007,3476
2272,12922
4249,10096
6718,7328
5478,5823
5360,5445
8413,5475
11270,1355
6389,6489
11675,5548
12781,2183
9254,8575
5946,5771
3937,4439
4540,6523
1374,6616
958,9787
7756,6720
8196,7044
4282,11742
7743,5505
5637,6411
7346,7952
4078,3716
4309,10167
6801,6570
11441,3283
13584,3191
13408,3774
9996,9207
11284,8310
11216,12207
1667,11025
7692,8358
12437,7236
1896,11637
11060,10267
11948,1928
11817,1541
4656,10005
6151,14057
6340,14086
3070,13723
1033,10147
7450,4673
6330,2618
4804,3663
4075,3212
1032,6476
7218,7265
5520,4268
1637,12725
12093,8794
1762,13013
7673,1086
12890,2746
11292,1912
9818,1175
10081,9892
8006,7406
13050,5554
8213,11797
9084,8707
11360,5560
8485,8723
3241,9191
14083,13921
12635,1522
11981,1377
10198,1498
11867,7613
11119,5702
4871,14043
1814,11440
6396,13948
4595,1927
12994,2494
11980,2312
12061,3581
13447,4491
12080,2055
13707,3331
9751,4273
9922,4747
7648,4206
8625,5282
10814,13919
5937,10835
6245,10308
7130,6792
11246,3414
12073,2587
12255,5535
10874,8268
10449,10172
11390,6331
7654,8372
12396,1529
1326,7205
1132,11750
13211,2397
13744,3638
11102,1586
13193,3050
6179,6101
14004,6907
4088,4222
2885,5588
1763,11199
8814,12700
2943,13025
5435,12560
1584,12184
1444,10598
1657,6917
7001,6433
1289,5167
6784,3016
830,10416
5144,5769
8147,8666
5613,5927
4454,4090
6373,1714
6228,1459
5229,4754
11659,1945
10482,1353
11346,1172
9619,5670
5291,12388
6527,6489
8634,8802
8554,8814
4934,13381
2374,13312
3073,13534
1414,11061
1087,6918
5235,5437
7930,5760
7511,7637
7360,7681
10008,5158
6675,7550
1062,10200
4740,5523
4215,10133
1247,8057
8176,1520
6850,7959
6479,7856
6209,10276
9998,10760
6002,6115
1249,867
3502,13130
6036,5588
6028,5701
6318,4984
5003,6123
5955,6402
1876,9550
3900,2558
9815,5693
9458,5926
3024,8358
10909,11501
3290,13204
1990,12067
1315,11007
7186,4783
1402,7698
3270,5001
1434,8350
4773,4973
2879,4598
2126,4061
7335,2906
2179,3185
7047,9018
6402,9528
6016,9206
7041,7823
1901,13185
5298,9166
9680,6432
6675,4552
7031,4825
7276,9134
11141,11400
10866,10541
12741,13618
4889,1594
7383,7177
7062,6943
5099,5010
6581,6482
8704,6274
5894,5899
3249,2058
3160,11067
4489,13573
10048,9558
8162,7493
4594,13506
8831,12537
8589,13565
8918,13041
8719,13497
5664,9009
8133,10236
13083,2157
10897,3302
13103,2026
8030,7664
8278,8233
9204,8835
9856,6405
9183,9560
10307,10134
10444,9852
9988,9874
4798,8136
12560,11760
14123,12238
14064,13109
10579,10123
9569,9221
11366,13386
3289,13437
8832,8726
13816,9080
13108,13940
5007,5122
4922,5673
804,10498
2133,13416
3632,10820
3070,8256
2836,6275
5871,1681
1099,11334
3828,13703
4610,13586
4493,11583
3759,9354
909,3229
12116,12306
13787,8038
11291,11826
9934,6548
10202,10370
7672,7401
10757,7483
5848,4962
5662,3598
6865,7286
3665,11252
1036,9891
6482,6990
7758,10796
1153,10701
905,9797
1110,11391
2433,8769
10039,8774
7105,2917
7750,3361
4492,9909
1537,10726
1340,10353
8192,1595
10623,2190
11902,2112
5551,5682
7603,7461
7204,7757
7300,6422
12817,2057
814,7254
9982,7702
9416,1082
8858,1444
8278,1495
6236,5041
5232,4893
5987,5134
8154,5133
6571,6211
7108,7004
8858,8896
11814,11231
6255,6833
10480,7485
13954,7932
3704,13774
10236,8012
8116,10067
8875,12916
7073,13601
13648,3538
11109,3558
12452,2891
11271,1673
11656,4363
14055,4271
13100,3704
12607,2780
12160,2633
12139,1809
11863,1630
8456,1236
9468,1394
8964,5925
9683,1376
10664,2847
11185,4260
5979,5968
7140,1471
10488,4718
7624,7961
