x,y
13219,3135
13006,2993
12712,4995
9177,1242
12015,6707
12858,13648
9726,12451
12562,1815
13650,5289
3902,9954
6494,11266
6357,11097
13668,3404
12746,2974
11467,6451
11042,11350
10667,11880
12041,2080
12574,1519
10688,5033
13778,9044
12659,10898
4971,5606
3509,4237
4280,3078
2042,3042
9205,912
10257,1613
8120,4914
10347,10304
3688,9020
13250,9126
10462,1304
9167,830
13758,6909
7647,7273
6918,7806
4821,6130
11764,2118
4215,4950
11751,1729
13079,3115
10297,1097
5447,4883
12162,8726
6089,5969
9252,9350
3519,3437
7110,9385
2963,1957
9270,5528
13402,3212
8913,7797
12818,11942
10616,1270
10184,1420
5143,5825
1360,704
10463,1455
8779,7914
7078,11575
9763,12529
10271,929
4549,4378
2157,7414
5611,5980
12887,3308
9687,10305
9923,10126
9908,6586
13835,7556
13825,13547
13988,12662
11708,1810
12187,1506
13280,6055
11110,4915
11250,5697
8575,7803
13501,5435
10467,10189
13123,7335
12195,8818
8638,13221
13184,5299
5324,8881
13227,7080
9760,9566
5975,9224
10047,9032
11819,1478
7843,4879
11529,3000
14060,4181
3485,12928
9109,8669
9552,10141
9983,13494
10914,1066
5033,9612
11459,7978
4256,13133
8300,8210
12187,5021
10269,11034
8048,2375
10992,1347
6951,6625
8923,5590
3413,6794
7162,3458
8337,8109
9318,9505
10028,5242
11354,1612
14038,4326
8446,8701
3979,9520
7568,8715
7289,1195
631,4258
11086,1008
11246,1279
13247,2211
7334,9671
3836,12786
7044,6386
7996,8573
11714,1044
11154,1856
10616,911
13501,13676
10502,1395
13427,3338
9095,8900
8096,12165
11412,7820
6742,9973
6576,9983
11306,10740
12241,9229
5649,7376
8396,8856
7884,9722
14117,10611
12613,1591
12530,5196
10675,1769
1629,11428
13573,4745
10118,4928
11757,2959
10508,9962
7043,9841
10602,13155
13160,2825
12360,1596
11748,2784
11868,7335
6032,9277
11582,10923
12026,11168
5112,3704
11218,11475
1631,4563
13194,2426
11596,1983
12623,5510
9901,6576
11402,5916
9617,9771
11560,8506
13678,3262
10714,2868
